species,life_form,source,notes_1,notes_2
Rhammatophyllum ghoranum (Rech.f.) Al-Shehbaz & O.Appel Al-Shehbaz & O.Appel (Rech.f.),perennial,,,
Rhammatophyllum gaudanense (Litv.) Al-Shehbaz & O.Appel Al-Shehbaz & O.Appel (Litv.),perennial,,,
Rhammatophyllum erysimoides (Kar. & Kir.) Al-Shehbaz & O.Appel Al-Shehbaz & O.Appel (Kar. & Kir.),perennial,http://flora.huh.harvard.edu/Brassicaceae/intkey/WWW/Genera.htm,manually_curated,
Sisymbriopsis mollipila (Maxim.) Botsch. Botsch. (Maxim.),annual,,,
Rhammatophyllum afghanicum (Rech.f.) Al-Shehbaz & O.Appel Al-Shehbaz & O.Appel (Rech.f.),perennial,,,
Rhammatophyllum pachyrhizum (Kar. & Kir.) O.E.Schulz O.E.Schulz (Kar. & Kir.),perennial,https://en.wikipedia.org/wiki/Rhammatophyllum_pachyrhizum,manually_curated,"""subshurb"""
"Solms-laubachia incana (Ovcz.) J.P.Yue, Al-Shehbaz & H.Sun",perennial,https://en.wikipedia.org/wiki/Solms-laubachia,manually_curated,"""perennial herbs"""
"Solms-laubachia himalayensis (Cambess.) J.P.Yue, Al-Shehbaz & H.Sun",perennial,https://en.wikipedia.org/wiki/Solms-laubachia,manually_curated,"""perennial herbs"""
"Solms-laubachia stewartii (T.Anderson) J.P.Yue, Al-Shehbaz & H.Sun",perennial,https://en.wikipedia.org/wiki/Solms-laubachia,manually_curated,"""perennial herbs"""
"Solms-laubachia linearis (N.Busch) J.P.Yue, Al-Shehbaz & H.Sun",perennial,https://en.wikipedia.org/wiki/Solms-laubachia,manually_curated,"""perennial herbs"""
"Solms-laubachia flabellata (Regel) J.P.Yue, Al-Shehbaz & H.Sun",perennial,https://en.wikipedia.org/wiki/Solms-laubachia,manually_curated,"""perennial herbs"""
"Solms-laubachia jafrii (Al-Shehbaz) J.P.Yue, Al-Shehbaz & H.Sun",perennial,https://en.wikipedia.org/wiki/Solms-laubachia,manually_curated,"""perennial herbs"""
