species,life_form,source,notes_1,notes_2
Linaria verticillata subsp. cuartanensis (Degen & Hervier) L.S√°ez & M.B.Crespo L.S√°ez & M.B.Crespo (Degen & Hervier),perennial,"Sáez, L., & Crespo, M. B. (2005). A taxonomic revision of the Linaria verticillata group (Antirrhineae, Scrophulariaceae). Botanical Journal of the Linnean Society, 148(2), 229-244.",manually_curated,
Linaria anticaria Boiss. & Reut.,perennial,"Sáez, L., & Crespo, M. B. (2005). A taxonomic revision of the Linaria verticillata group (Antirrhineae, Scrophulariaceae). Botanical Journal of the Linnean Society, 148(2), 229-244.",manually_curated,
Linaria tristis (L.) Mill. Mill. (L.),perennial,"Sáez, L., & Crespo, M. B. (2005). A taxonomic revision of the Linaria verticillata group (Antirrhineae, Scrophulariaceae). Botanical Journal of the Linnean Society, 148(2), 229-244.",manually_curated,
Linaria almijarensis Campo & Amo,perennial,"Sáez, L., & Crespo, M. B. (2005). A taxonomic revision of the Linaria verticillata group (Antirrhineae, Scrophulariaceae). Botanical Journal of the Linnean Society, 148(2), 229-244.",manually_curated,
Linaria lilacina Lange,perennial,"Sáez, L., & Crespo, M. B. (2005). A taxonomic revision of the Linaria verticillata group (Antirrhineae, Scrophulariaceae). Botanical Journal of the Linnean Society, 148(2), 229-244.",manually_curated,
Linaria tristis subsp. lurida,perennial,"Sáez, L., & Crespo, M. B. (2005). A taxonomic revision of the Linaria verticillata group (Antirrhineae, Scrophulariaceae). Botanical Journal of the Linnean Society, 148(2), 229-244.",manually_curated,
Linaria aeruginea Loscos & J.Pardo,annual,,,
Linaria nevadensis (Boiss.) Boiss. & Reut. Boiss. & Reut. (Boiss.),no_life_form_on_database,,,
Linaria tristis subsp. mesatlantica D.A.Sutton,perennial,"Sáez, L., & Crespo, M. B. (2005). A taxonomic revision of the Linaria verticillata group (Antirrhineae, Scrophulariaceae). Botanical Journal of the Linnean Society, 148(2), 229-244.",manually_curated,
Linaria tristis subsp. pectinata (Pau & Font Quer) Maire Maire (Pau & Font Quer),perennial,"Sáez, L., & Crespo, M. B. (2005). A taxonomic revision of the Linaria verticillata group (Antirrhineae, Scrophulariaceae). Botanical Journal of the Linnean Society, 148(2), 229-244.",manually_curated,
Linaria thymifolia (Vahl) DC. DC. (Vahl),annual,,,
Linaria caesia (Pers.) DC. DC. (Pers.),annual,,,
Linaria atrofusca Rouy,no_life_form_on_database,,,
Linaria depauperata subsp. ilergabona (M.B.Crespo & Ar√°n) L.S√°ez L.S√°ez (M.B.Crespo & Ar√°n),no_life_form_on_database,,,
Linaria supina (L.) Chaz. Chaz. (L.),annual,,,
Linaria supina var. maritima (DC.) Duby Duby (DC.),no_life_form_on_database,,,
Linaria polygalifolia subsp. aguillonensis (Garc√≠a Mart.) Castrov. & Lago Castrov. & Lago (Garc√≠a Mart.),no_life_form_on_database,,,
Linaria depauperata Leresche ex Lange,annual,,,
Linaria polygalifolia subsp. lamarckii (Rouy) D.A.Sutton D.A.Sutton (Rouy),perennial,,,
