"species","life_form"
"Abelmoschus esculentus (L.) Moench Moench (L.)","annual"
"Hibiscus mechowii Garcke","annual"
"Abelmoschus manihot (L.) Medik. Medik. (L.)","perennial"
"Malvaviscus arboreus Cav.","perennial"
"Malvaviscus palmanus Pittier & J.D.Sm.","perennial"
"Pavonia schiedeana Steud.","perennial"
"Decaschistia byrnesii Fryxell","perennial"
"Urena lobata L.","perennial"
"Hibiscus surattensis L.","perennial"
"Hibiscus micranthus L.fil.","perennial"
"Humbertiella henrici Hochr.","perennial"
"Humbertiella quararibeoides Hochr. & Hochr.","perennial"
"Kosteletzkya reflexiflora Hochr.","no_life_form_on_database"
"Perrierophytum humbertii Hochr.","no_life_form_on_database"
"Megistostegium microphyllum Hochr.","perennial"
"Megistostegium perrieri Hochr.","perennial"
"Kosteletzkya diplocrater (Hochr.) Hochr. Hochr. (Hochr.)","no_life_form_on_database"
"Alyogyne hakeifolia (Giord.) Alefeld Alefeld (Giord.)","perennial"
"Gossypioides kirkii (Mast.) Skovst. Skovst. (Mast.)","perennial"
"Kokia drynarioides (Seem.) Lewton Lewton (Seem.)","perennial"
"Gossypium arboreum L.","perennial"
"Gossypium herbaceum L.","annual"
"Gossypium darwinii Watt","perennial"
"Thespesia acutiloba (Baker fil.) Exell & Mendonça Exell & Mendonça (Baker fil.)","perennial"
"Thespesia populnea (L.) Sol. Sol. (L.)","perennial"
"Abutilon abutiloides (Jacq.) Garcke Garcke (Jacq.)","perennial"
"Abutilon malacum S.Watson","perennial"
"Abutilon eremitopetalum Caum","perennial"
"Abutilon menziesii Seem.","perennial"
"Abutilon sandwicense (O.Deg.) Christoph. Christoph. (O.Deg.)","perennial"
"Abutilon incanum (Link) Sweet Sweet (Link)","perennial"
"Bastardia bivalvis (Cav.) Kunth Kunth (Cav.)","no_life_form_on_database"
"Bastardiopsis densiflora (Hook. & Arn.) Hassl. Hassl. (Hook. & Arn.)","no_life_form_on_database"
"Abutilon indicum (L.) Sweet Sweet (L.)","annual"
"Abutilon theophrasti Medik.","annual"
"Abutilon andrewsianum W.Fitzg.","no_life_form_on_database"
"Abutilon fruticosum Guill. & Perr.","perennial"
"Briquetia spicata (Kunth) Fryxell Fryxell (Kunth)","perennial"
"Abutilon angulatum (Guill. & Perr.) Mast. Mast. (Guill. & Perr.)","perennial"
"Abutilon grandifolium (Willd.) Sweet Sweet (Willd.)","perennial"
"Abutilon pubistamineum Ulbr.","perennial"
"Wissadula excelsior (Cav.) C.Presl C.Presl (Cav.)","perennial"
"Anoda crenatiflora Ortega","annual"
"Periptera punicea (Lag.) DC. DC. (Lag.)","perennial"
"Bastardiastrum cinctum (Brandegee) D.M.Bates D.M.Bates (Brandegee)","perennial"
"Horsfordia exalata Fryxell","no_life_form_on_database"
"Bakeridesia amoena Fryxell","no_life_form_on_database"
"Bakeridesia bakeriana (Rose) D.M.Bates D.M.Bates (Rose)","perennial"
"Bakeridesia nelsonii (Rose) D.M.Bates D.M.Bates (Rose)","perennial"
"Bakeridesia yucatana (Standl.) D.M.Bates D.M.Bates (Standl.)","perennial"
"Bakeridesia integerrima (Hook.fil.) D.M.Bates D.M.Bates (Hook.fil.)","perennial"
"Bakeridesia subcordata (Hochr.) D.M.Bates D.M.Bates (Hochr.)","no_life_form_on_database"
"Bakeridesia vulcanicola Standl.","perennial"
"Bakeridesia ferruginea (Martyn) Krapov. Krapov. (Martyn)","perennial"
"Bakeridesia notolophium (A.Gray) Hochr. Hochr. (A.Gray)","perennial"
"Bakeridesia gaumeri (Standl.) D.M.Bates D.M.Bates (Standl.)","perennial"
"Bakeridesia molinae D.M.Bates","perennial"
"Bakeridesia pittieri (J.D.Sm.) D.M.Bates D.M.Bates (J.D.Sm.)","perennial"
"Bakeridesia gloriosa D.M.Bates","perennial"
"Bakeridesia exalata D.M.Bates","perennial"
"Tetrasida chachapoyensis (Baker fil.) Fryxell & Fuertes Fryxell & Fuertes (Baker fil.)","perennial"
"Wissadula periplocifolia Macfad.","perennial"
"Wissadula boliviana R.E.Fr.","perennial"
"Wissadula cruziana R.E.Fr.","no_life_form_on_database"
"Pseudabutilon umbellatum (L.) Fryxell Fryxell (L.)","perennial"
"Billieturnera helleri (Rose ex A.Heller) Fryxell Fryxell (Rose ex A.Heller)","perennial"
"Briquetia sonorae Fryxell","perennial"
"Hochreutinera amplexifolia (DC.) Fryxell Fryxell (DC.)","perennial"
"Dirhamphis Krapov._indet_sp1","no_life_form_on_database"
"Gaya atiquipana Krapov.","perennial"
"Gaya calyptrata (Cav.) H.B. & K. H.B. & K. (Cav.)","perennial"
"Sida platycalyx F.Muell. ex Benth.","no_life_form_on_database"
"Sidastrum paniculatum (L.) Fryxell Fryxell (L.)","perennial"
"Dendrosida breedlovei Fryxell","perennial"
"Dendrosida wingfieldii Fryxell","no_life_form_on_database"
"Sida abutifolia Mill.","no_life_form_on_database"
"Sida linifolia Cav.","annual"
"Sida aggregata C.Presl","perennial"
"Sida hookeriana Miq.","no_life_form_on_database"
"Sida cordifolia L.","annual"
"Sida acuta Burm.fil.","annual"
"Sida rhombifolia L.","perennial"
"Sida spinosa L.","annual"
"Sida glutinosa Comm. ex Cav.","perennial"
"Sida martiana A.St.-Hil.","perennial"
"Sida cuspidata (A.Robyns) Krapov. Krapov. (A.Robyns)","perennial"
"Tetrasida weberbaueri (Ulbr.) Fryxell & Fuertes Fryxell & Fuertes (Ulbr.)","no_life_form_on_database"
"Robinsonella lindeniana (Turcz.) Rose & Baker fil. Rose & Baker fil. (Turcz.)","perennial"
"Abutilon amoenum K.Schum.","no_life_form_on_database"
"Bakeridesia macrantha (A.St.-Hil.) Leite & H.C.Monteiro Leite & H.C.Monteiro (A.St.-Hil.)","no_life_form_on_database"
"Anisodontea triloba (Thunb.) D.M.Bates D.M.Bates (Thunb.)","perennial"
"Abutilon costicalyx K.Schum. ex C.Takeuchi & G.L.Esteves","no_life_form_on_database"
"Abutilon muelleri Guerke & Schumann","no_life_form_on_database"
"Bakeridesia rufinervis (A.St.-Hil.) Monteiro Monteiro (A.St.-Hil.)","no_life_form_on_database"
"Bakeridesia scabrida (K.Schum.) Kearney Kearney (K.Schum.)","no_life_form_on_database"
"Abutilon geminiflorum Kunth","no_life_form_on_database"
"Bakeridesia pickelii H.C.Monteiro","no_life_form_on_database"
"Abutilon monteiroi Krapov.","no_life_form_on_database"
"Abutilon sonneratianum (Cav.) Sweet Sweet (Cav.)","perennial"
"Abutilon regnellii Miq.","no_life_form_on_database"
"Abutilon dianthum C.Presl","no_life_form_on_database"
"Abutilon peruvianum (Lam.) Kearney Kearney (Lam.)","no_life_form_on_database"
"Abutilon purpusii Standl.","no_life_form_on_database"
"Abutilon pauciflorum A.St.-Hil.","no_life_form_on_database"
"Bakeridesia rufivela Hochr.","no_life_form_on_database"
"Malope trifida Cav.","annual"
"Bakeridesia esculenta (A.St.-Hil.) H.C.Monteiro H.C.Monteiro (A.St.-Hil.)","perennial"
"Malacothamnus palmeri (S.Watson) Greene Greene (S.Watson)","perennial"
"Neobrittonia acerifolia (G.Don) Hochr. Hochr. (G.Don)","perennial"
"Corynabutilon vitifolium (Cav.) Kearney Kearney (Cav.)","perennial"
"Malvella sagittifolia (A.Gray) Fryxell Fryxell (A.Gray)","perennial"
"Cristaria andicola Gay","perennial"
"Cristaria gracilis Gay","annual"
"Plagianthus divaricatus J.R.Forst. & G.Forst.","no_life_form_on_database"
"Plagianthus regius Hochr.","perennial"
"Alcea rosea L.","biennial"
"Alcea rugosa Alef.","perennial"
"Anisodontea capensis (L.) D.M.Bates D.M.Bates (L.)","perennial"
"Anisodontea malvastroides (Baker fil.) D.M.Bates D.M.Bates (Baker fil.)","perennial"
"Callirhoe involucrata (Nutt. ex Torr. & A.Gray) A.Gray A.Gray (Nutt. ex Torr. & A.Gray)","perennial"
"Modiola caroliniana (L.) D.Don D.Don (L.)","annual"
"Modiolastrum lateritum (Hook.) Krapov. Krapov. (Hook.)","no_life_form_on_database"
"Andeimalva chilensis (Gay) J.A.Tate J.A.Tate (Gay)","perennial"
"Andeimalva machupicchensis (Krapov.) J.A.Tate J.A.Tate (Krapov.)","perennial"
"Andeimalva mandonii (Baker fil.) J.A.Tate J.A.Tate (Baker fil.)","perennial"
"Andeimalva spiciformis (Krapov.) J.A.Tate J.A.Tate (Krapov.)","perennial"
"Malacothamnus fasciculatus (Nutt. ex Torr. & A.Gray) Greene Greene (Nutt. ex Torr. & A.Gray)","perennial"
"Phymosia umbellata (Cav.) Kearney Kearney (Cav.)","perennial"
"Fuertesimalva chilensis (A.Braun & C.D.Bouché) Fryxell Fryxell (A.Braun & C.D.Bouché)","annual"
"Fuertesimalva echinata (J.Presl) Fryxell Fryxell (J.Presl)","annual"
"Fuertesimalva limensis (L.) Fryxell Fryxell (L.)","perennial"
"Fuertesimalva jacens (S.Watson) Fryxell Fryxell (S.Watson)","perennial"
"Fuertesimalva peruviana (L.) Fryxell Fryxell (L.)","annual"
"Urocarpidium albiflorum Ulbr.","annual"
"Palaua camanensis Ferreyra & Chanco","no_life_form_on_database"
"Palaua rhombifolia Graham","no_life_form_on_database"
"Palaua trisepala Hochr.","no_life_form_on_database"
"Kearnemalvastrum lacteum (Aiton) D.M.Bates D.M.Bates (Aiton)","perennial"
"Eremalche exilis (A.Gray) Greene Greene (A.Gray)","annual"
"Eremalche parryi (Greene) Greene Greene (Greene)","annual"
"Eremalche rotundifolia (A.Gray) Greene Greene (A.Gray)","annual"
"Sidalcea hartwegii A.Gray ex Benth.","annual"
"Malvastrum americanum (L.) Torr. Torr. (L.)","annual"
"Malvastrum coromandelianum (L.) Regel Regel (L.)","annual"
"Nototriche anthemidifolia (Remy) A.W.Hill A.W.Hill (Remy)","perennial"
"Nototriche flabellata (Wedd.) A.W.Hill A.W.Hill (Wedd.)","no_life_form_on_database"
"Nototriche turritella A.W.Hill","perennial"
"Nototriche pediculariifolia (Meyen) A.W.Hill A.W.Hill (Meyen)","perennial"
"Tarasa operculata (Cav.) Krapov. Krapov. (Cav.)","perennial"
"Tarasa thyrsoidea Krapov.","no_life_form_on_database"
"Tarasa capitata (Cav.) D.M.Bates D.M.Bates (Cav.)","perennial"
"Tarasa trisecta (Griseb.) Krapov. Krapov. (Griseb.)","annual"
"Sphaeralcea angustifolia (Cav.) G.Don G.Don (Cav.)","perennial"
"Sphaeralcea wrightii A.Gray","perennial"
"Sphaeralcea cordobensis Krapov.","perennial"
"Sphaeralcea crispa Hook.","perennial"
"Sphaeralcea philippiana Krapov.","perennial"
"Tarasa albertii Phil.","perennial"
"Lavatera occidentalis S.Watson","no_life_form_on_database"
