"species","life_form"
"Chamaesium thalictrifolium H.Wolff","perennial"
"Chamaesium paradoxum H.Wolff","biennial"
"Chamaesium wolffianum Fedde ex H.Wolff","perennial"
"Diplolophium somaliense Verdc.","perennial"
"Pleurospermopsis sikkimensis (C.B.Clarke) C.Norman C.Norman (C.B.Clarke)","biennial"
"Ligusticum canadense Vail ex Small & Vail","no_life_form_on_database"
"Conioselinum chinense (L.) Britton, Sterns & Poggenb. Britton, Sterns & Poggenb. (L.)","perennial"
"Ligusticum porteri J.M.Coult. & Rose","perennial"
"Conioselinum scopulorum (A.Gray) J.M.Coult. & Rose J.M.Coult. & Rose (A.Gray)","perennial"
"Mutellina purpurea (Poir.) Reduron, Charpin & Pimenov Reduron, Charpin & Pimenov (Poir.)","perennial"
"Trochiscanthes nodiflorus (Vill.) Koch Koch (Vill.)","perennial"
"Yabea microcarpa (Hook. & Arn.) Koso-Pol. Koso-Pol. (Hook. & Arn.)","annual"
"Turgenia lisaeoides C.C.Towns.","annual"
"Turgenia latifolia (L.) Hoffm. Hoffm. (L.)","annual"
"Lisaea strigosa (Banks & Sol.) Eig Eig (Banks & Sol.)","annual"
"Lisaea papyracea Boiss.","annual"
"Lisaea heterocarpa (DC.) Boiss. Boiss. (DC.)","annual"
"Caucalis platycarpos L.","annual"
"Torilis elongata (Hoffm. & Link) Samp. Samp. (Hoffm. & Link)","annual"
"Chaetosciadium trichospermum (L.) Boiss. Boiss. (L.)","annual"
"Torilis scabra (Thunb.) DC. DC. (Thunb.)","biennial"
"Torilis nodosa Kotschy","annual"
"Szovitsia callicarpa Fisch. & C.A.Mey.","annual"
"Astrodaucus orientalis (L.) Drude Drude (L.)","annual"
"Chaerophyllum villarsii W.D.J.Koch","no_life_form_on_database"
"Chaerophyllum hirsutum L.","perennial"
"Chaerophyllum elegans Gaudin","no_life_form_on_database"
"Chaerophyllum magellense Ten.","no_life_form_on_database"
"Chaerophyllum crinitum Boiss.","biennial"
"Chaerophyllum caucasicum (Fisch. ex Hoffm.) Schischk. Schischk. (Fisch. ex Hoffm.)","no_life_form_on_database"
"Chaerophyllum roseum M.Bieb.","perennial"
"Chaerophyllum prescottii DC.","perennial"
"Chaerophyllum libanoticum Boiss. & Kotschy","perennial"
"Chaerophyllum byzantinum Boiss.","perennial"
"Chaerophyllum khorossanicum Czerniak. ex Schischk.","perennial"
"Chaerophyllum macrospermum (Willd. ex Spreng.) Fisch. & C.A.Mey. Fisch. & C.A.Mey. (Willd. ex Spreng.)","biennial"
"Chaerophyllum hakkiaricum Hedge & Lamond","perennial"
"Chaerophyllum astrantiae Boiss. & Balansa","perennial"
"Chaerophyllum macropodum Boiss.","biennial"
"Chaerophyllum nivale Hedge & Lamond","perennial"
"Chaerophyllum bulbosum L.","biennial"
"Chaerophyllum azoricum Trel.","perennial"
"Chaerophyllum aromaticum L.","perennial"
"Chaerophyllum atlanticum Coss.","no_life_form_on_database"
"Chaerophyllum humile M.Bieb.","perennial"
"Chaerophyllum aureum L.","perennial"
"Chaerophyllum nodosum (L.) Crantz Crantz (L.)","annual"
"Chaerophyllum tainturieri Hook. & Arn.","annual"
"Chaerophyllum procumbens (L.) Crantz Crantz (L.)","annual"
"Chaerophyllum colensoi (Hook.fil.) K.F.Chung K.F.Chung (Hook.fil.)","no_life_form_on_database"
"Chaerophyllum novae-zelandiae K.F.Chung","no_life_form_on_database"
"Chaerophyllum basicola (Heenan & Molloy) K.F.Chung K.F.Chung (Heenan & Molloy)","no_life_form_on_database"
"Chaerophyllum ramosum (Hook.fil.) K.F.Chung K.F.Chung (Hook.fil.)","no_life_form_on_database"
"Chaerophyllum brevipes (Mathias & Constance) K.F.Chung K.F.Chung (Mathias & Constance)","no_life_form_on_database"
"Chaerophyllum australianum K.F.Chung","no_life_form_on_database"
"Chaerophyllum orizabae (I.M.Johnst.) K.F.Chung K.F.Chung (I.M.Johnst.)","no_life_form_on_database"
"Chaerophyllum andicola (Kunth) K.F.Chung K.F.Chung (Kunth)","perennial"
"Chaerophyllum guatemalense K.F.Chung","no_life_form_on_database"
"Chaerophyllum argenteum (Hook.fil.) K.F.Chung K.F.Chung (Hook.fil.)","perennial"
"Chaerophyllum eriopodum (DC.) K.F.Chung K.F.Chung (DC.)","no_life_form_on_database"
"Chaerophyllum lineare (Hemsl.) K.F.Chung K.F.Chung (Hemsl.)","perennial"
"Chaerophyllum pumilum (Ridl.) K.F.Chung K.F.Chung (Ridl.)","no_life_form_on_database"
"Chaerophyllum papuanum (Buwalda) K.F.Chung K.F.Chung (Buwalda)","perennial"
"Chaerophyllum borneense (Merr.) K.F.Chung K.F.Chung (Merr.)","perennial"
