species,life_form,source,notes_1,notes_2
Houstonia humifusa Hemsl.,annual,https://www.jstor.org/stable/25027862,manually_curated,
Stenaria umbratilis (B.L.Rob.) Terrell Terrell (B.L.Rob.),perennial,,,
Houstonia correllii (W.H.Lewis) Terrell Terrell (W.H.Lewis),annual,https://www.jstor.org/stable/25027862,manually_curated,
Houstonia subviscosa (C.Wright ex A.Gray) A.Gray A.Gray (C.Wright ex A.Gray),annual,https://www.jstor.org/stable/25027862,manually_curated,
Houstonia croftiae Britton & Rusby,annual,https://www.jstor.org/stable/25027862,manually_curated,
Houstonia rubra Cav.,perennial,https://www.jstor.org/stable/25027862,manually_curated,
Houstonia spellenbergii (G.L.Nesom & Vorobik) Terrell Terrell (G.L.Nesom & Vorobik),perennial,https://www.jstor.org/stable/25027862,manually_curated,
Houstonia wrightii A.Gray,perennial,https://www.jstor.org/stable/25027862,manually_curated,
Houstonia parviflora Holz. ex Greenm.,annual,https://www.jstor.org/stable/25027862,manually_curated,
Stenaria rupicola (Greenm.) Terrell Terrell (Greenm.),perennial,,,
Stenaria mullerae (Fosberg) Terrell Terrell (Fosberg),perennial,,,
Stenaria nigricans var. nigricans,perennial,,,
Stenaria nigricans (Lam.) Terrell Terrell (Lam.),perennial,,,
Stenaria butterwickiae (Terrell) Terrell Terrell (Terrell),perennial,,,
Houstonia palmeri A.Gray,perennial,https://www.jstor.org/stable/25027862,manually_curated,
Houstonia acerosa (A.Gray) Benth. & Hook.f. Benth. & Hook.f. (A.Gray),perennial,https://www.jstor.org/stable/25027862,manually_curated,
Houstonia caerulea L.,perennial,https://www.jstor.org/stable/25027862,manually_curated,
Houstonia serpyllifolia Michx.,perennial,https://www.jstor.org/stable/25027862,manually_curated,
Houstonia pusilla Schoepf,annual,https://www.jstor.org/stable/25027862,manually_curated,
Houstonia sharpii Terrell,no_life_form_on_database,,,
Houstonia micrantha (Shinners) Terrell Terrell (Shinners),annual,https://www.jstor.org/stable/25027862,manually_curated,
Houstonia rosea (Raf.) Terrell Terrell (Raf.),annual,https://www.jstor.org/stable/25027862,manually_curated,
