species,life_form,source,notes_1,notes_2
Parrya fruticulosa Regel & Schmalh.,perennial,,,
Parrya nuratensis Botsch. & Vved.,perennial,https://doi.org/10.1007/s12225-013-9450-4,manually_curated,
Parrya pazijae (Pachom.) D.A.German & Al-Shehbaz D.A.German & Al-Shehbaz (Pachom.),perennial,https://doi.org/10.1007/s12225-013-9450-4,manually_curated,
Parrya pulvinata Popov,perennial,,,
Parrya minjanensis Rech.f.,perennial,,,
Parrya runcinata (Regel & Schmalh.) N.Busch N.Busch (Regel & Schmalh.),perennial,https://doi.org/10.1007/s12225-013-9450-4,manually_curated,
Parrya pinnatifida Kar. & Kir.,perennial,,,
Parrya albida Popov,perennial,https://doi.org/10.1007/s12225-013-9450-4,manually_curated,
Parrya longicarpa Krasn.,perennial,https://doi.org/10.1007/s12225-013-9450-4,manually_curated,
Parrya subsiliquosa Popov,perennial,https://doi.org/10.1007/s12225-013-9450-4,manually_curated,
Parrya australis Pavlov,perennial,https://doi.org/10.1007/s12225-013-9450-4,manually_curated,
Parrya nauruaq Al-Shehbaz et al.,perennial,,,
Parrya arctica R.Br.,perennial,,,
Parrya nudicaulis (L.) Boiss. Boiss. (L.),perennial,https://doi.org/10.1007/s12225-013-9450-4,manually_curated,
Parrya rydbergii Botsch.,perennial,,,
Parrya ajanensis N.Busch,no_life_form_on_database,,,
Parrya glabra (Royle) D.A.German & Al-Shehbaz D.A.German & Al-Shehbaz (Royle),perennial,https://doi.org/10.1007/s12225-013-9450-4,manually_curated,
Parrya turkestanica (Korsh.) N.Busch N.Busch (Korsh.),perennial,https://doi.org/10.1007/s12225-013-9450-4,manually_curated,
Parrya kuramensis Botsch.,perennial,https://doi.org/10.1007/s12225-013-9450-4,manually_curated,
Parrya saxifraga Botsch. & Vved.,perennial,https://doi.org/10.1007/s12225-013-9450-4,manually_curated,
Parrya popovii Botsch.,perennial,https://doi.org/10.1007/s12225-013-9450-4,manually_curated,
Parrya pavlovii A.N.Vassiljeva,perennial,https://doi.org/10.1007/s12225-013-9450-4,manually_curated,
Parrya asperrima (B.Fedtsch.) Popov Popov (B.Fedtsch.),perennial,,,
Parrya maidantalica Popov & P.A.Baranov,perennial,https://doi.org/10.1007/s12225-013-9450-4,manually_curated,
Parrya darvazica Botsch. & Vved.,perennial,https://doi.org/10.1007/s12225-013-9450-4,manually_curated,
Parrya podlechii (F.Dvorák) D.A.German & Al-Shehbaz D.A.German & Al-Shehbaz (F.Dvorák),perennial,https://doi.org/10.1007/s12225-013-9450-4,manually_curated,
Parrya schugnana Lipsch.,perennial,https://doi.org/10.1007/s12225-013-9450-4,manually_curated,
Parrya stenocarpa Kar. & Kir.,perennial,https://doi.org/10.1007/s12225-013-9450-4,manually_curated,
Parrya simulatrix Nikitina,no_life_form_on_database,,,
Parrya alba Nikitina,perennial,https://doi.org/10.1007/s12225-013-9450-4,manually_curated,
Parrya tianschanica Nikitina,perennial,https://doi.org/10.1007/s12225-013-9450-4,manually_curated,
Parrya stenophylla Popov,no_life_form_on_database,,,
Parrya lancifolia Popov,perennial,,,
Parrya saurica (Pachom.) D.A.German & Al-Shehbaz D.A.German & Al-Shehbaz (Pachom.),perennial,https://doi.org/10.1007/s12225-013-9450-4,manually_curated,
Parrya papillosa (Vassilcz.) D.A.German & Al-Shehbaz D.A.German & Al-Shehbaz (Vassilcz.),annual,https://doi.org/10.1007/s12225-013-9450-4,manually_curated,
Parrya angrenica Botsch. & Vved.,no_life_form_on_database,,,
Parrya villosula Botsch. & Vved.,no_life_form_on_database,,,
Litwinowia tenuissima (Pall.) Woronow Woronow (Pall.),annual,,,
Pseudoclausia gracillima (Popov ex Botsch. & Vved.) A.N.Vassiljeva A.N.Vassiljeva (Popov ex Botsch. & Vved.),no_life_form_on_database,,,
Pseudoclausia turkestanica (Lipsky) A.V.Vassil. A.V.Vassil. (Lipsky),no_life_form_on_database,,,
Pseudoclausia mollissima (Lipsky) A.N.Vassiljeva A.N.Vassiljeva (Lipsky),annual,https://doi.org/10.1007/s12225-013-9450-4,manually_curated,"""biennial"""
Pseudoclausia sarawschanica (Regel & Schmalh.) Botsch. Botsch. (Regel & Schmalh.),annual,https://doi.org/10.1007/s12225-013-9450-4,manually_curated,"""biennial"""
Pseudoclausia olgae (Regel & Schmalh.) Botsch. Botsch. (Regel & Schmalh.),annual,https://doi.org/10.1007/s12225-013-9450-4,manually_curated,"""biennial"""
Pseudoclausia hispida (Regel) Popov Popov (Regel),annual,https://doi.org/10.1007/s12225-013-9450-4,manually_curated,"""biennial"""
Chorispora persica Boiss.,annual,,,
Chorispora purpurascens (Banks & Sol.) Eig Eig (Banks & Sol.),annual,,,
Diptychocarpus strictus (Fisch. ex M.Bieb.) Trautv. Trautv. (Fisch. ex M.Bieb.),annual,,,
Chorispora sibirica Regel & Herder,annual,,,
Chorispora songarica Schrenk,perennial,,,
Chorispora tenella (Pall.) DC. DC. (Pall.),annual,,,
"Chorispora tashkorganica Al-Shehbaz, T.Y.Cheo, L.L.Lu & G.Yang",annual,,,
Chorispora sabulosa Cambess.,perennial,,,
Chorispora macropoda Trautv.,perennial,,,
Chorispora bungeana Fisch. & C.A.Mey.,perennial,,,
