species,life_form,source,notes_1,notes_2,
Croton pottsii var. pottsii,perennial,,,,
Croton pottsii var. thermophilus (M.C.Johnst.) M.C.Johnst. M.C.Johnst. (M.C.Johnst.),perennial,,,,
Croton lindheimerianus Scheele,annual,,,,
Croton monanthogynus Michx.,annual,,,,
Croton lindheimeri (Engelm. & A.Gray) Alph.Wood Alph.Wood (Engelm. & A.Gray),annual,,,,
Croton heptalon (Kuntze) B.W.van Ee & P.E.Berry B.W.van Ee & P.E.Berry (Kuntze),annual,,,,
Croton leucophyllus var. leucophyllus,annual,,,,
Croton capitatus Michx.,annual,,,,
Croton elliottii Chapm.,annual,,,,
Croton alamosanus Rose,perennial,,,,
Croton axillaris Müll.Arg.,perennial,,,,
Croton decalobus Müll.Arg.,perennial,,,,
Croton pendens Lundell,perennial,,,,
Croton bixoides Vahl,perennial,"Murton, E. M. (2008). The Abundance and Distribution of reptiles on a small tropical island: Implications for the conservation of reptile communities (Doctoral dissertation, Imperial College London).",manually_curated,"""There is a sparse shrub layer of Croton bixoides""",
Croton micans Sw.,perennial,,,,
Croton helicoideus Müll.Arg.,no_life_form_on_database,,,,
Croton watsonii Standl.,perennial,,,,
Croton yucatanensis Lundell,perennial,,,,
Croton culiacanensis Croizat,perennial,,,,
Croton masonii I.M.Johnst.,perennial,,,,
Croton scaber Willd.,perennial,,,,
Croton tabascensis Lundell,perennial,,,,
Croton rosmarinoides Millsp.,perennial,,,,
Croton astroites Aiton,perennial,,,,
Croton argyrophyllus Kunth,perennial,,,,
Croton jacobinensis Baill.,perennial,,,,
Croton milleri J.R.Johnst.,no_life_form_on_database,,,,
Croton sacaquinha Croizat,perennial,,,,
Croton floribundus Spreng.,perennial,,,,
Croton tricolor Klotzsch ex Baill.,perennial,,,,
Croton acapulcensis M.J.Martinez Gordillo & J.Jiménez Ram.,perennial,,,,
Croton conspurcatus Schltdl.,perennial,,,,
Croton triqueter Lam.,perennial,,,,
Croton fuscescens Spreng.,no_life_form_on_database,,,,
Croton argenteus L.,annual,,,,
Croton subpannosus Müll.Arg. ex Griseb.,perennial,,,,
Croton atrostellatus V.W.Steinm.,no_life_form_on_database,,,,
Croton blanchetianus Baill.,perennial,,,,
Croton hoffmannii Müll.Arg.,perennial,,,,
Croton rottlerifolius Baill.,perennial,,,,
Croton fragrantulus Croizat,perennial,,,,
Croton pseudofragrans Croizat,perennial,,,,
Croton spruceanus Benth.,perennial,,,,
Croton orinocensis Müll.Arg.,perennial,,,,
Croton billbergianus Müll.Arg.,perennial,,,,
Croton fragrans Kunth,perennial,,,,
Croton heterocalyx Baill.,perennial,,,,
Croton sphaerogynus Baill.,perennial,,,,
Croton cajucara Benth.,perennial,,,,
Croton organensis Baill.,perennial,,,,
Croton campanulatus Caruzo & Cordeiro,perennial,,,,
Croton salutaris Casar.,perennial,,,,
Croton hemiargyreus Müll.Arg.,perennial,,,,
Croton ortholobus Müll.Arg.,perennial,,,,
Croton ramillatus Croizat,perennial,,,,
