"species","life_form"
"Croton dioicus Cav.","perennial"
"Croton argyranthemus Michx.","annual"
"Croton coryi Croizat","annual"
"Croton_michauxii_var_elliptica_UNMATCHED_indet_sp1","no_life_form_on_database"
"Croton willdenowii G.L.Webster","no_life_form_on_database"
"Croton cupreatus Croizat","perennial"
"Croton setiger Hook.","annual"
"Croton acutifolius Esser","perennial"
"Croton wallichii Müll.Arg.","perennial"
"Croton robustus Kurz","perennial"
"Croton stellatopilosus H.Ohba","perennial"
"Croton columnaris Airy Shaw","perennial"
"Croton roxburghii Wall.","no_life_form_on_database"
"Croton hutchinsonianus Hosseus","perennial"
"Croton laevigatus Vahl","perennial"
"Croton kongkandanus Esser","perennial"
"Croton poilanei Gagnep.","perennial"
"Croton decalvatus Esser","perennial"
"Croton cascarilloides Raeusch.","perennial"
"Croton kerrii Airy Shaw","perennial"
"Croton microtiglium Burkill","perennial"
"Croton verreauxii Baill.","perennial"
"Croton insularis Baill.","perennial"
"Croton klotzschianus (Wight) Thwaites Thwaites (Wight)","perennial"
"Croton argyratus Blume","perennial"
"Croton crassifolius Geiseler","perennial"
"Croton minimus P.I.Forst.","no_life_form_on_database"
"Croton caudatus Geiseler","perennial"
"Croton lachnocarpus Benth.","perennial"
"Croton euryphyllus W.W.Sm.","perennial"
"Croton coriifolius Airy Shaw","perennial"
"Croton ripensis Kaneh. & Hatus.","perennial"
"Croton kongensis Gagnep.","perennial"
"Croton tiglium L.","perennial"
"Croton L._indet_sp2","no_life_form_on_database"
"Croton louvelii Leandri","no_life_form_on_database"
"Croton bracteatus Lam.","perennial"
"Croton chrysodaphne Baill.","perennial"
"Croton noronhae Baill.","perennial"
"Croton crocodilorum Leandri","perennial"
"Croton bojerianus Baill.","perennial"
"Croton manampetsae Leandri","perennial"
"Croton mongue Baill.","perennial"
"Croton oreades Leandri","no_life_form_on_database"
"Croton goudotii Baill.","perennial"
"Croton heteranthus Aug.DC.","perennial"
"Croton vernicosus Baker","no_life_form_on_database"
"Croton trichotomus Geiseler","perennial"
"Croton boiteaui Leandri","perennial"
"Croton miarensis Leandri","perennial"
"Croton nobilis Baill.","perennial"
"Croton gratissimus Burch.","perennial"
"Croton zambesicus Müll.Arg.","no_life_form_on_database"
"Croton socotranus Balf.f.","perennial"
"Croton roxanae Croizat","perennial"
"Croton suberosus Kunth","perennial"
"Croton torreyanus Müll.Arg.","no_life_form_on_database"
"Croton virletianus Müll.Arg.","perennial"
"Croton morifolius Willd.","perennial"
"Croton ehrenbergii Schltdl.","perennial"
"Croton hypoleucus Schltdl.","perennial"
"Croton yecorensis V.W.Steinmann & Felger","perennial"
"Croton suyapensis Ant.Molina","no_life_form_on_database"
"Croton vitifolius Lundell","no_life_form_on_database"
"Croton francoanus Müll.Arg.","perennial"
"Croton limnocharis Croizat","no_life_form_on_database"
"Croton lasiopetaloides Croizat","no_life_form_on_database"
"Croton magdalenae Millsp.","perennial"
"Croton disjunctus V.W.Steinm.","perennial"
"Croton L._indet_sp3","no_life_form_on_database"
"Croton heterochrous Müll.Arg.","perennial"
"Croton payaquensis Standl.","perennial"
"Croton adspersus Benth.","perennial"
"Croton websteri M.J.Martinez Gordillo & J.Jiménez Ram.","perennial"
"Croton ynesae Croizat","perennial"
"Croton stipulaceus Kunth","perennial"
"Croton michaelii V.W.Steinm.","perennial"
"Croton suaveolens Torr.","perennial"
"Croton adenophyllum Spreng.","no_life_form_on_database"
"Croton humilis L.","perennial"
"Croton pulcher Müll.Arg.","perennial"
"Croton soliman Cham. & Schltdl.","perennial"
"Croton ciliatoglandulifer Ortega","perennial"
"Croton chichenensis Lundell","no_life_form_on_database"
"Croton fruticulosus Torr.","perennial"
"Croton caboensis Croizat","perennial"
"Croton sonorae Torr.","perennial"
"Croton peraeruginosus Croizat","perennial"
"Croton abutiloides Kunth","perennial"
"Croton xalapensis Kunth","perennial"
"Croton aequatoris Croizat","perennial"
"Croton pungens Jacq.","perennial"
"Croton ruizianus Müll.Arg.","perennial"
"Croton chilensis Müll.Arg.","perennial"
"Croton lachnostachyus Baill.","perennial"
"Croton saltensis Griseb.","perennial"
"Croton soratensis Müll.Arg.","no_life_form_on_database"
"Croton gracilipes Baill.","perennial"
"Croton elegans Kunth","no_life_form_on_database"
"Croton peltoideus Kunth","no_life_form_on_database"
"Croton leptostachyus Kunth","perennial"
"Croton bonplandianus Baill.","perennial"
"Croton curiosus Croizat","perennial"
"Croton flavens L.","perennial"
