"species","n_bio_15","mean_bio_15","sd_bio_15","se_bio_15","within_sp_var_bio_15"
"Selinum carvifolia (L.) L.","206","3.219681","0.360898","0.025145","0.001069"
"Circaea alpina L.","772","3.48013","0.560414","0.02017","0.000285"
"Cardamine amara L.","343","3.284723","0.366442","0.019786","0.000642"
"Cardamine amporitana Sennen & Pau","3","3.216155","0.437616","0.252658","0.073389"
"Epilobium hornemannii Rchb.","462","3.505005","0.395389","0.018395","0.000477"
"Elymus fibrosus (Schrenk) Tzvelev","91","3.671692","0.330679","0.034665","0.002419"
"Epilobium palustre L.","1230","3.563532","0.546986","0.015596","0.000179"
"Calamagrostis lapponica (Wahlenb.) Hartm.","510","3.851962","0.385271","0.01706","0.000432"
"Poa trivialis L.","628","3.422335","0.429573","0.017142","0.000351"
"Poa remota Forselles","228","3.402292","0.267567","0.01772","0.000966"
"Alopecurus aequalis Sobol.","1350","3.612537","0.534807","0.014556","0.000163"
"Agrostis gigantea Roth","621","3.598319","0.536704","0.021537","0.000355"
"Agrostis capillaris L.","639","3.334232","0.365067","0.014442","0.000345"
"Cardamine pratensis L.","559","3.345073","0.470926","0.019918","0.000394"
"Melica nutans L.","570","3.473149","0.405287","0.016976","0.000386"
"Poa pratensis L.","2219","3.627118","0.567633","0.01205","9.9e-05"
"Glyceria lithuanica (Gorski) Gorski","217","3.756286","0.476918","0.032375","0.001015"
"Galium triflorum Michx.","707","3.478351","0.5225","0.019651","0.000311"
"Phleum alpinum L.","747","3.549412","0.448945","0.016426","0.000295"
"Epilobium montanum L.","528","3.318762","0.354003","0.015406","0.000417"
"Milium effusum L.","826","3.392817","0.491255","0.017093","0.000267"
"Festuca rubra L.","1642","3.582483","0.547375","0.013508","0.000134"
"Sherardia arvensis L.","320","3.500039","0.521392","0.029147","0.000688"
"Brachypodium pinnatum (L.) P.Beauv.","433","3.43584","0.481249","0.023127","0.000508"
"Anthriscus sylvestris (L.) Hoffm.","629","3.511104","0.502762","0.020046","0.00035"
"Poa alpina L.","827","3.592321","0.452538","0.015736","0.000266"
"Deschampsia cespitosa (L.) P.Beauv.","1279","3.572694","0.531068","0.01485","0.000172"
"Puccinellia distans (Jacq.) Parl.","436","3.417491","0.463647","0.022205","0.000505"
"Galium palustre L.","694","3.266775","0.426086","0.016174","0.000317"
"Epilobium davuricum Fisch. ex Hornem.","218","3.674546","0.388672","0.026324","0.00101"
"Briza media L.","424","3.338263","0.365894","0.017769","0.000519"
"Pimpinella saxifraga L.","474","3.318856","0.338367","0.015542","0.000464"
"Nardus stricta L.","444","3.305221","0.357746","0.016978","0.000496"
"Cirsium arvense (L.) Scop.","545","3.456366","0.477559","0.020456","0.000404"
"Poa nemoralis L.","1119","3.434413","0.529332","0.015824","0.000197"
"Leymus arenarius (L.) Hochst.","200","3.286657","0.284643","0.020127","0.001101"
"Cinna latifolia (Trevir.) Griseb.","594","3.494411","0.565787","0.023215","0.000371"
"Rhinanthus minor L.","503","3.338314","0.32267","0.014387","0.000438"
"Alopecurus geniculatus L.","420","3.309263","0.330256","0.016115","0.000524"
"Agrostis mertensii Trin.","407","3.530361","0.412753","0.020459","0.000541"
"Agrostis canina L.","390","3.336641","0.373708","0.018923","0.000565"
"Glyceria fluitans (L.) R.Br.","429","3.300629","0.35746","0.017258","0.000513"
"Poa palustris L.","1343","3.536298","0.532435","0.014529","0.000164"
"Galium boreale L.","1176","3.607805","0.505021","0.014727","0.000187"
"Galium septentrionale Roem. & Schult.","27","3.35747","0.564312","0.108602","0.008154"
"Galium verum L.","826","3.668292","0.602993","0.020981","0.000267"
"Aegopodium podagraria L.","320","3.288002","0.351197","0.019633","0.000688"
"Catabrosa aquatica (L.) P.Beauv.","499","3.41683","0.510086","0.022835","0.000441"
"Anthoxanthum odoratum L.","611","3.403905","0.435339","0.017612","0.00036"
"Draba verna L.","301","3.353791","0.457911","0.026394","0.000731"
"Epilobium alsinifolium Vill.","221","3.36032","0.302583","0.020354","0.000996"
"Elymus mutabilis (Drobow) Tzvelev","212","3.873922","0.436913","0.030007","0.001039"
"Galium uliginosum L.","507","3.438503","0.374508","0.016632","0.000434"
"Bromus hordeaceus L.","439","3.41414","0.417193","0.019912","0.000502"
"Arabis alpina L.","338","3.392831","0.41392","0.022514","0.000651"
"Angelica archangelica L.","213","3.283407","0.273757","0.018758","0.001034"
"Impatiens noli-tangere L.","559","3.558471","0.540801","0.022873","0.000394"
"Dactylis glomerata L.","765","3.558857","0.516067","0.018658","0.000288"
"Saussurea alpina (L.) DC.","233","3.565353","0.412928","0.027052","0.000945"
"Lysimachia vulgaris L.","541","3.411118","0.392549","0.016877","0.000407"
"Molinia caerulea (L.) Moench","475","3.341907","0.338603","0.015536","0.000464"
"Poa annua L.","848","3.602016","0.521033","0.017892","0.00026"
"Lepidium ruderale L.","349","3.28507","0.338938","0.018143","0.000631"
"Agrostis stolonifera L.","747","3.492771","0.502099","0.018371","0.000295"
"Phippsia algida (Sol.) R.Br.","282","3.780027","0.455395","0.027118","0.000781"
"Avena fatua L.","440","3.613839","0.547998","0.026125","5e-04"
"Cardamine bellidifolia L.","552","3.776979","0.459145","0.019543","0.000399"
"Cardamine alpina Willd.","14","3.139638","0.486813","0.130106","0.015726"
"Arctagrostis latifolia (R.Br.) Griseb.","542","4.002675","0.367193","0.015772","0.000406"
"Festuca ovina L.","880","3.658482","0.536958","0.018101","0.00025"
"Raphanus raphanistrum L.","392","3.509451","0.464614","0.023467","0.000562"
"Poa arctica R.Br.","657","3.786723","0.434409","0.016948","0.000335"
"Barbarea stricta Andrz. ex Besser","222","3.435652","0.251355","0.01687","0.000992"
"Rorippa amphibia (L.) Besser","220","3.223077","0.387043","0.026094","0.001001"
"Rorippa palustris (L.) Besser","1231","3.574954","0.53875","0.015355","0.000179"
"Cardamine flexuosa With.","261","3.249085","0.408731","0.0253","0.000844"
"Draba norvegica Gunnerus","110","3.342002","0.296845","0.028303","0.002002"
"Draba fladnizensis Wulfen","230","3.843285","0.467433","0.030822","0.000957"
"Draba lactea Adams","305","3.838666","0.459127","0.02629","0.000722"
"Draba cinerea Adams","272","4.008442","0.334076","0.020256","0.000809"
"Draba incana L.","206","3.322682","0.320297","0.022316","0.001069"
"Draba nemorosa L.","652","3.812489","0.506604","0.01984","0.000338"
"Thlaspi arvense L.","613","3.599035","0.543276","0.021943","0.000359"
"Androsace septentrionalis L.","705","3.76897","0.464348","0.017488","0.000312"
"Lysimachia thyrsiflora L.","714","3.473045","0.467192","0.017484","0.000308"
"Epilobium obscurum Schreb.","188","3.232999","0.431573","0.031476","0.001171"
"Epilobium ciliatum Raf.","530","3.575715","0.602126","0.026155","0.000415"
"Epilobium lactiflorum Hausskn.","307","3.480155","0.413988","0.023628","0.000717"
"Epilobium anagallidifolium Lam.","416","3.529884","0.407156","0.019962","0.000529"
"Aethusa cynapium L.","243","3.192494","0.37698","0.024183","0.000906"
"Conium maculatum L.","416","3.436714","0.518641","0.025428","0.000529"
"Cicuta virosa L.","534","3.613187","0.46621","0.020175","0.000412"
"Carum carvi L.","567","3.604859","0.548978","0.023055","0.000388"
"Galium odoratum (L.) Scop.","403","3.339483","0.37138","0.0185","0.000546"
