"species","n","mean","sd","se"
"Selinum carvifolia (L.) L.",206,74.2572815533981,19.7547603497597,1.37637937250966
"Circaea alpina L.",772,53.8989637305699,38.0322772190702,1.36881160895637
"Cardamine amara L.",343,63.5772594752187,28.2074449249256,1.5230588651409
"Cardamine amporitana Sennen & Pau",3,124.333333333333,39.8036849215413,22.9806682041909
"Epilobium hornemannii Rchb.",462,11.9134199134199,39.7506473240662,1.84936748440809
"Elymus fibrosus (Schrenk) Tzvelev",91,-19.4505494505494,64.5681833819901,6.76858475740204
"Epilobium palustre L.",1230,23.2349593495935,54.0503419076323,1.54115347476823
"Calamagrostis lapponica (Wahlenb.) Hartm.",510,-44.1313725490196,47.7721383901106,2.11538584361817
"Poa trivialis L.",628,73.0286624203822,45.8283581596063,1.82875057919333
"Poa remota Forselles",228,44.8859649122807,25.824640342986,1.71027858719261
"Alopecurus aequalis Sobol.",1350,52.8288888888889,58.8889185202723,1.60275335421113
"Agrostis gigantea Roth",621,51.4347826086956,43.050919002136,1.72757387006616
"Agrostis capillaris L.",639,53.1674491392801,38.876363041796,1.53792515317629
"Cardamine pratensis L.",559,41.4883720930233,58.6413324212002,2.48026409095547
"Melica nutans L.",570,50.8929824561404,40.3586398441522,1.69043740320601
"Poa pratensis L.",2219,44.3199639477242,66.7573389365716,1.41716482890041
"Glyceria lithuanica (Gorski) Gorski",217,23.4608294930876,30.2504910467254,2.05353714016273
"Galium triflorum Michx.",707,54.1343705799151,44.5570302474111,1.67573959034138
"Phleum alpinum L.",747,21.7456492637216,40.5195096384523,1.48253133020328
"Epilobium montanum L.",528,63.8276515151515,31.6316956157773,1.37659285667466
"Milium effusum L.",826,54.225181598063,41.5122342860695,1.44439536158171
"Festuca rubra L.",1642,35.8221680876979,62.9748703209853,1.55410624450559
"Sherardia arvensis L.",320,114.88125,41.4381545253914,2.3164632595229
"Brachypodium pinnatum (L.) P.Beauv.",433,70.8637413394919,44.1954036684181,2.12389555888889
"Anthriscus sylvestris (L.) Hoffm.",629,63.2813990461049,49.4935689119773,1.97343782722958
"Poa alpina L.",827,-3.20918984280532,55.2455098277001,1.92107460484781
"Deschampsia cespitosa (L.) P.Beauv.",1279,32.2236121970289,54.5848612617143,1.52628957740319
"Puccinellia distans (Jacq.) Parl.",436,62.1651376146789,42.5409636282231,2.03734265808745
"Galium palustre L.",694,63.8314121037464,40.7631612828569,1.54734844214252
"Epilobium davuricum Fisch. ex Hornem.",218,-27.5045871559633,56.1085392932841,3.80014979281419
"Briza media L.",424,74.7759433962264,32.8822569810377,1.59690356640402
"Pimpinella saxifraga L.",474,62.7510548523207,31.475236901364,1.44570551155966
"Nardus stricta L.",444,51.5427927927928,36.2012242705109,1.71803407361924
"Cirsium arvense (L.) Scop.",545,78.1449541284404,52.3735091852941,2.24343464741339
"Poa nemoralis L.",1119,57.7944593386953,47.0480545038898,1.40645754196058
"Leymus arenarius (L.) Hochst.",200,50.685,32.6192558816316,2.30652970311609
"Cinna latifolia (Trevir.) Griseb.",594,38.7121212121212,35.4054752467613,1.4527042456519
"Rhinanthus minor L.",503,52.6679920477137,34.8588375469327,1.55427874454757
"Alopecurus geniculatus L.",420,61.7333333333333,35.1605975677406,1.7156614865636
"Agrostis mertensii Trin.",407,-1.01228501228501,49.8659518028018,2.47176346303554
"Agrostis canina L.",390,62.3769230769231,36.867984882202,1.86688298376257
"Glyceria fluitans (L.) R.Br.",429,74.6596736596737,33.0567450507638,1.5959946904989
"Poa palustris L.",1343,44.584512285927,45.8701283192396,1.25167606828335
"Galium boreale L.",1176,38.2585034013605,47.981870822537,1.39917976689705
"Galium septentrionale Roem. & Schult.",27,50.8518518518519,25.2048586642516,4.85067731156405
"Galium verum L.",826,63.0363196125908,47.7294764449712,1.66072088321621
"Aegopodium podagraria L.",320,65.246875,31.0771865884594,1.737267544031
"Catabrosa aquatica (L.) P.Beauv.",499,60.0981963927856,38.9231605404718,1.74243996941436
"Anthoxanthum odoratum L.",611,67.291325695581,47.3455754511129,1.91539696235516
"Draba verna L.",301,84.6212624584718,34.1565427563674,1.96875039466752
"Epilobium alsinifolium Vill.",221,22.3031674208145,26.4133822644718,1.77675636467349
"Elymus mutabilis (Drobow) Tzvelev",212,-22.5141509433962,39.9467036849681,2.7435508730292
"Galium uliginosum L.",507,38.1992110453649,46.467398569439,2.06368962096979
"Bromus hordeaceus L.",439,92.8063781321185,41.7988918093151,1.99495226134034
"Arabis alpina L.",338,22.9526627218935,63.8641743653638,3.47375313604837
"Angelica archangelica L.",213,41.7464788732394,36.8232846414937,2.5230898895117
"Impatiens noli-tangere L.",559,64.1431127012522,43.2152350795631,1.82780969197913
"Dactylis glomerata L.",765,83.6091503267974,51.4578073483931,1.86046095107185
"Saussurea alpina (L.) DC.",233,5.20600858369099,40.2594019640124,2.63748111601557
"Lysimachia vulgaris L.",541,63.1035120147874,43.3719529472414,1.8647059019216
"Molinia caerulea (L.) Moench",475,65.4252631578947,38.5477427918994,1.76869174033145
"Poa annua L.",848,81.9268867924528,60.9979528851262,2.09467830200412
"Lepidium ruderale L.",349,75.8681948424069,32.4367615063434,1.73630003565316
"Agrostis stolonifera L.",747,61.9772423025435,51.9196973929115,1.89964238774053
"Phippsia algida (Sol.) R.Br.",282,-89.5992907801418,60.0867024760207,3.57811106236467
"Avena fatua L.",440,89.5181818181818,49.637773444176,2.36638799962351
"Cardamine bellidifolia L.",552,-62.1467391304348,64.4056607477392,2.74128696646727
"Cardamine alpina Willd.",14,5.28571428571429,54.132925529419,14.4676329053453
"Arctagrostis latifolia (R.Br.) Griseb.",542,-76.4630996309963,55.739106459431,2.3941996285672
"Festuca ovina L.",880,30.6056818181818,62.3983147470035,2.10344676101839
"Raphanus raphanistrum L.",392,91.9719387755102,55.5405589300028,2.80522184644972
"Poa arctica R.Br.",657,-56.4566210045662,57.7271364003067,2.25215008954647
"Barbarea stricta Andrz. ex Besser",222,38.8423423423423,34.1225819246366,2.29015774782565
"Rorippa amphibia (L.) Besser",220,74.4,34.6812491282521,2.3382093392321
"Rorippa palustris (L.) Besser",1231,52.0617384240455,64.3303422440421,1.83352499796001
"Cardamine flexuosa With.",261,76.5057471264368,34.5075934441253,2.13596641142769
"Draba norvegica Gunnerus",110,-5.58181818181818,31.7921523460166,3.03126278935233
