"species","n_bio_14","mean_bio_14","sd_bio_14","se_bio_14","within_sp_var_bio_14"
"Selinum carvifolia (L.) L.","206","3.538769","0.304216","0.021196","0.00144"
"Circaea alpina L.","770","3.359043","0.894017","0.032218","0.000384"
"Cardamine amara L.","343","3.537536","0.333745","0.018021","0.000865"
"Cardamine amporitana Sennen & Pau","3","3.58294","0.387499","0.223723","0.098865"
"Epilobium hornemannii Rchb.","461","3.389115","0.687423","0.032016","0.000643"
"Elymus fibrosus (Schrenk) Tzvelev","91","2.869808","0.542152","0.056833","0.003259"
"Epilobium palustre L.","1224","3.086909","0.926384","0.026479","0.000241"
"Calamagrostis lapponica (Wahlenb.) Hartm.","512","2.596508","0.715058","0.031601","0.000579"
"Poa trivialis L.","624","3.259492","0.840637","0.033652","0.000472"
"Poa remota Forselles","228","3.412675","0.379544","0.025136","0.001301"
"Alopecurus aequalis Sobol.","1349","3.014515","0.802775","0.021857","0.00022"
"Agrostis gigantea Roth","612","2.948302","0.971153","0.039257","0.000478"
"Agrostis capillaris L.","639","3.506696","0.496952","0.019659","0.000463"
"Cardamine pratensis L.","560","3.402467","0.672879","0.028434","0.00053"
"Melica nutans L.","570","3.393683","0.573776","0.024033","0.00052"
"Poa pratensis L.","2206","2.927536","0.955878","0.020352","0.000134"
"Glyceria lithuanica (Gorski) Gorski","217","2.916833","0.892569","0.060592","0.001367"
"Galium triflorum Michx.","704","3.346311","0.751437","0.028321","0.00042"
"Phleum alpinum L.","746","3.253027","0.801772","0.029355","0.000398"
"Epilobium montanum L.","529","3.569034","0.426253","0.018533","0.000561"
"Milium effusum L.","825","3.4349","0.704815","0.024539","0.00036"
"Festuca rubra L.","1637","3.082653","0.95687","0.02365","0.00018"
"Sherardia arvensis L.","313","2.972773","1.066329","0.060272","0.00093"
"Brachypodium pinnatum (L.) P.Beauv.","431","3.255195","0.705086","0.033963","0.000685"
"Anthriscus sylvestris (L.) Hoffm.","628","3.193461","0.803524","0.032064","0.000472"
"Poa alpina L.","827","3.106259","0.880568","0.03062","0.000359"
"Deschampsia cespitosa (L.) P.Beauv.","1277","3.111761","0.898861","0.025153","0.000231"
"Puccinellia distans (Jacq.) Parl.","432","3.145315","0.765124","0.036812","0.000679"
"Galium palustre L.","693","3.477947","0.609137","0.023139","0.000428"
"Epilobium davuricum Fisch. ex Hornem.","218","2.902405","0.829816","0.056202","0.001361"
"Briza media L.","424","3.502099","0.512644","0.024896","7e-04"
"Pimpinella saxifraga L.","475","3.480825","0.424096","0.019459","0.000624"
"Nardus stricta L.","444","3.589099","0.505445","0.023987","0.000668"
"Cirsium arvense (L.) Scop.","537","3.165101","0.878772","0.037922","0.000543"
"Poa nemoralis L.","1117","3.266476","0.808827","0.024201","0.000265"
"Leymus arenarius (L.) Hochst.","198","3.5218","0.434934","0.030909","0.001498"
"Cinna latifolia (Trevir.) Griseb.","594","3.308717","0.7593","0.031154","0.000499"
"Rhinanthus minor L.","502","3.535742","0.434866","0.019409","0.000591"
"Alopecurus geniculatus L.","420","3.504118","0.42544","0.020759","0.000706"
"Agrostis mertensii Trin.","407","3.417078","0.761401","0.037741","0.000729"
"Agrostis canina L.","390","3.50535","0.499477","0.025292","0.00076"
"Glyceria fluitans (L.) R.Br.","429","3.484277","0.532274","0.025698","0.000691"
"Poa palustris L.","1342","3.112543","0.775863","0.021179","0.000221"
"Galium boreale L.","1177","2.996246","0.804041","0.023436","0.000252"
"Galium septentrionale Roem. & Schult.","27","2.875735","0.291042","0.056011","0.010985"
"Galium verum L.","826","2.845447","1.090259","0.037935","0.000359"
"Aegopodium podagraria L.","321","3.474513","0.318539","0.017779","0.000924"
"Catabrosa aquatica (L.) P.Beauv.","493","3.161773","0.855729","0.03854","0.000593"
"Anthoxanthum odoratum L.","605","3.38613","0.751384","0.030548","0.000486"
"Draba verna L.","297","3.281943","0.784742","0.045535","0.000985"
"Epilobium alsinifolium Vill.","221","3.651086","0.489406","0.032921","0.001342"
"Elymus mutabilis (Drobow) Tzvelev","212","2.525298","0.847395","0.058199","0.001399"
"Galium uliginosum L.","508","3.294775","0.573413","0.025441","0.000584"
"Bromus hordeaceus L.","438","3.204141","0.847416","0.040491","0.000676"
"Arabis alpina L.","338","3.489203","0.724979","0.039434","0.000875"
"Angelica archangelica L.","212","3.510844","0.402544","0.027647","0.001399"
"Impatiens noli-tangere L.","559","3.282525","0.845273","0.035751","0.000531"
"Dactylis glomerata L.","755","3.022737","0.970214","0.03531","0.000388"
"Saussurea alpina (L.) DC.","232","3.237296","0.906602","0.059521","0.001278"
"Lysimachia vulgaris L.","541","3.27113","0.586553","0.025218","0.000548"
"Molinia caerulea (L.) Moench","475","3.467212","0.579207","0.026576","0.000624"
"Poa annua L.","834","3.128583","0.973091","0.033695","0.000349"
"Lepidium ruderale L.","349","3.365296","0.428876","0.022957","0.00085"
"Agrostis stolonifera L.","741","3.137086","0.897646","0.032976","0.000397"
"Phippsia algida (Sol.) R.Br.","283","2.358084","1.051494","0.062505","0.001048"
"Avena fatua L.","421","2.953824","1.002058","0.048837","0.000674"
"Cardamine bellidifolia L.","551","2.721512","1.08546","0.046242","0.000538"
"Cardamine alpina Willd.","14","3.731619","0.777311","0.207745","0.021185"
"Arctagrostis latifolia (R.Br.) Griseb.","543","2.195701","0.840185","0.036056","0.000546"
"Festuca ovina L.","874","2.969153","0.995559","0.033675","0.000337"
"Raphanus raphanistrum L.","385","3.10254","0.954087","0.048625","0.000757"
"Poa arctica R.Br.","656","2.660088","0.900178","0.035146","0.000452"
"Barbarea stricta Andrz. ex Besser","222","3.312965","0.353702","0.023739","0.001336"
"Rorippa amphibia (L.) Besser","219","3.38561","0.366501","0.024766","0.001348"
"Rorippa palustris (L.) Besser","1222","3.095905","0.848198","0.024264","0.000241"
"Cardamine flexuosa With.","261","3.623269","0.58002","0.035902","0.001136"
"Draba norvegica Gunnerus","110","3.522931","0.616254","0.058758","0.002696"
"Draba fladnizensis Wulfen","230","2.693134","0.90365","0.059585","0.00129"
"Draba lactea Adams","305","2.30072","1.003405","0.057455","0.000972"
"Draba cinerea Adams","273","1.933509","0.792624","0.047972","0.001086"
"Draba incana L.","208","3.624274","0.534195","0.03704","0.001426"
"Draba nemorosa L.","651","2.619521","0.94284","0.036953","0.000455"
"Thlaspi arvense L.","607","2.966335","1.081276","0.043888","0.000485"
"Androsace septentrionalis L.","705","2.592519","0.833418","0.031388","0.000421"
"Lysimachia thyrsiflora L.","715","3.324439","0.643","0.024047","0.000415"
"Epilobium obscurum Schreb.","188","3.514365","0.693242","0.05056","0.001578"
"Epilobium ciliatum Raf.","524","3.023353","0.911309","0.039811","0.00056"
"Epilobium lactiflorum Hausskn.","308","3.455093","0.683807","0.038964","0.000963"
"Epilobium anagallidifolium Lam.","416","3.501029","0.739407","0.036252","0.000713"
"Aethusa cynapium L.","244","3.624048","0.368995","0.023622","0.001216"
"Conium maculatum L.","404","3.052472","0.955376","0.047532","0.000713"
"Cicuta virosa L.","532","3.099075","0.782212","0.033913","0.000555"
"Carum carvi L.","552","2.956595","1.104087","0.046993","0.000524"
"Galium odoratum (L.) Scop.","403","3.560535","0.561781","0.027984","0.000736"
"Polemonium caeruleum L.","397","3.284299","0.576974","0.028957","0.000747"
"Hyoscyamus niger L.","477","2.8339","1.07363","0.049158","0.000617"
"Solanum nigrum L.","775","2.941031","1.059161","0.038046","0.000368"
"Solanum chenopodium Raf.","2","2.138333","0.083285","0.058891","0.148297"
"Solanum dulcamara L.","821","3.296056","0.861238","0.030057","0.000359"
"Linaria vulgaris Mill.","567","3.334535","0.604817","0.0254","0.000523"
"Centaurea jacea L.","478","3.489086","0.37629","0.017211","0.00062"
"Poa compressa L.","423","3.363623","0.571313","0.027778","0.000701"
"Poa glauca Vahl","951","2.693526","0.973651","0.031573","0.000312"
"Poa bulbosa L.","442","2.819617","1.012053","0.048138","0.000635"
"Glyceria maxima (Hartm.) Holmb.","279","3.482916","0.320866","0.01921","0.001063"
"Trisetum spicatum (L.) K.Richt.","1181","2.702311","1.101417","0.03205","0.000249"
"Agrostis clavata Trin.","263","2.720186","1.07903","0.066536","0.001128"
"Alopecurus pratensis L.","589","3.22855","0.627546","0.025858","0.000503"
"Scolochloa festucacea (Willd.) Link","189","2.908267","0.553867","0.040288","0.001569"
"Leersia oryzoides (L.) Sw.","665","3.426097","0.814459","0.031583","0.000443"
"Erysimum cheiranthoides L.","528","3.197887","0.741121","0.032253","0.000562"
"Puccinellia phryganodes (Trin.) Scribn. & Merr.","98","2.491919","0.787773","0.079577","0.003026"
"Chaenorhinum minus (L.) Lange","280","3.396455","0.559305","0.033425","0.001059"
"Cynosurus cristatus L.","330","3.471023","0.613921","0.033795","0.000899"
"Centaurea solstitialis L.","174","3.042365","1.08724","0.082423","0.001648"
"Primula veris L.","349","3.506369","0.403497","0.021599","0.00085"
"Cardamine hirsuta L.","486","3.104524","1.003022","0.045498","0.000603"
"Danthonia decumbens (L.) DC.","258","3.592973","0.607257","0.037806","0.00115"
"Arctium lappa L.","393","2.937019","1.060339","0.053487","0.000753"
"Cardamine bulbifera (L.) Crantz","175","3.670755","0.4387","0.033163","0.001695"
"Draba nivalis Lilj.","310","2.672115","0.847956","0.048161","0.000957"
"Drabella muralis (L.) Fourr.","13","3.343917","0.562322","0.15596","0.022815"
"Raphanus sativus L.","245","3.111746","0.985513","0.062962","0.001123"
"Helictochloa pratensis (L.) Romero Zarco","48","3.421816","0.444445","0.06415","0.006179"
"Helictotrichon pratense (L.) Pilg.","24","3.382711","0.881013","0.179836","0.012358"
"Phleum pratense L.","621","3.400523","0.539334","0.021643","0.000478"
