"species","n_bio_13","mean_bio_13","sd_bio_13","se_bio_13","within_sp_var_bio_13"
"Selinum carvifolia (L.) L.","206","4.388096","0.230992","0.016094","0.001084"
"Circaea alpina L.","772","4.647276","0.458503","0.016502","0.000289"
"Cardamine amara L.","343","4.438487","0.257529","0.013905","0.000651"
"Cardamine amporitana Sennen & Pau","3","4.577213","0.228069","0.131676","0.074462"
"Epilobium hornemannii Rchb.","461","4.548914","0.561024","0.026129","0.000485"
"Elymus fibrosus (Schrenk) Tzvelev","91","4.139536","0.271074","0.028416","0.002455"
"Epilobium palustre L.","1230","4.406243","0.430698","0.012281","0.000182"
"Calamagrostis lapponica (Wahlenb.) Hartm.","512","4.178529","0.390478","0.017257","0.000436"
"Poa trivialis L.","628","4.468631","0.381127","0.015209","0.000356"
"Poa remota Forselles","228","4.424843","0.23232","0.015386","0.00098"
"Alopecurus aequalis Sobol.","1350","4.438731","0.49886","0.013577","0.000165"
"Agrostis gigantea Roth","621","4.330932","0.470934","0.018898","0.00036"
"Agrostis capillaris L.","640","4.481877","0.353194","0.013961","0.000349"
"Cardamine pratensis L.","560","4.412878","0.37347","0.015782","0.000399"
"Melica nutans L.","570","4.522637","0.436349","0.018277","0.000392"
"Poa pratensis L.","2220","4.384563","0.514123","0.010912","0.000101"
"Glyceria lithuanica (Gorski) Gorski","217","4.463017","0.327553","0.022236","0.001029"
"Galium triflorum Michx.","707","4.601295","0.457504","0.017206","0.000316"
"Phleum alpinum L.","746","4.570186","0.590868","0.021633","0.000299"
"Epilobium montanum L.","529","4.519623","0.32613","0.01418","0.000422"
"Milium effusum L.","825","4.561416","0.404439","0.014081","0.000271"
"Festuca rubra L.","1644","4.465238","0.523713","0.012916","0.000136"
"Sherardia arvensis L.","319","4.490666","0.35327","0.019779","7e-04"
"Brachypodium pinnatum (L.) P.Beauv.","433","4.450848","0.294674","0.014161","0.000516"
"Anthriscus sylvestris (L.) Hoffm.","629","4.5152","0.432318","0.017238","0.000355"
"Poa alpina L.","827","4.406712","0.555653","0.019322","0.00027"
"Deschampsia cespitosa (L.) P.Beauv.","1282","4.452893","0.534026","0.014915","0.000174"
"Puccinellia distans (Jacq.) Parl.","437","4.242103","0.422054","0.02019","0.000511"
"Galium palustre L.","693","4.461168","0.3349","0.012722","0.000322"
"Epilobium davuricum Fisch. ex Hornem.","218","4.228651","0.452926","0.030676","0.001025"
"Briza media L.","424","4.507542","0.316452","0.015368","0.000527"
"Pimpinella saxifraga L.","475","4.422651","0.314596","0.014435","0.00047"
"Nardus stricta L.","444","4.56122","0.368387","0.017483","0.000503"
"Cirsium arvense (L.) Scop.","546","4.346689","0.586234","0.025088","0.000409"
"Poa nemoralis L.","1119","4.478591","0.440556","0.01317","2e-04"
"Leymus arenarius (L.) Hochst.","198","4.41661","0.368537","0.026191","0.001128"
"Cinna latifolia (Trevir.) Griseb.","594","4.602653","0.472763","0.019398","0.000376"
"Rhinanthus minor L.","502","4.497914","0.348145","0.015538","0.000445"
"Alopecurus geniculatus L.","420","4.443431","0.343718","0.016772","0.000532"
"Agrostis mertensii Trin.","407","4.591778","0.572954","0.0284","0.000549"
"Agrostis canina L.","390","4.497901","0.368321","0.018651","0.000573"
"Glyceria fluitans (L.) R.Br.","429","4.464541","0.320433","0.015471","0.000521"
"Poa palustris L.","1344","4.40481","0.400023","0.010912","0.000166"
"Galium boreale L.","1177","4.378999","0.416895","0.012152","0.00019"
"Galium septentrionale Roem. & Schult.","27","4.026221","0.332643","0.064017","0.008274"
"Galium verum L.","827","4.475721","0.499418","0.017366","0.00027"
"Aegopodium podagraria L.","321","4.38238","0.256529","0.014318","0.000696"
"Catabrosa aquatica (L.) P.Beauv.","500","4.317878","0.427223","0.019106","0.000447"
"Anthoxanthum odoratum L.","610","4.550998","0.377366","0.015279","0.000366"
"Draba verna L.","301","4.418429","0.395817","0.022815","0.000742"
"Epilobium alsinifolium Vill.","221","4.620406","0.41086","0.027637","0.001011"
"Elymus mutabilis (Drobow) Tzvelev","212","4.190221","0.359588","0.024697","0.001054"
"Galium uliginosum L.","508","4.372997","0.304063","0.013491","0.00044"
"Bromus hordeaceus L.","439","4.45018","0.329498","0.015726","0.000509"
"Arabis alpina L.","339","4.591336","0.503318","0.027336","0.000659"
"Angelica archangelica L.","212","4.416562","0.359028","0.024658","0.001054"
"Impatiens noli-tangere L.","559","4.638378","0.470221","0.019888","4e-04"
"Dactylis glomerata L.","765","4.490138","0.500005","0.018078","0.000292"
"Saussurea alpina (L.) DC.","232","4.456892","0.478098","0.031389","0.000963"
"Lysimachia vulgaris L.","541","4.371486","0.327788","0.014093","0.000413"
"Molinia caerulea (L.) Moench","475","4.489081","0.335427","0.01539","0.00047"
"Poa annua L.","850","4.599484","0.579799","0.019887","0.000263"
"Lepidium ruderale L.","349","4.287111","0.31893","0.017072","0.00064"
"Agrostis stolonifera L.","747","4.424789","0.445856","0.016313","0.000299"
"Phippsia algida (Sol.) R.Br.","283","3.853708","0.635048","0.03775","0.000789"
"Avena fatua L.","440","4.381302","0.537884","0.025643","0.000508"
"Cardamine bellidifolia L.","551","4.231076","0.738798","0.031474","0.000405"
"Cardamine alpina Willd.","14","4.575955","0.529047","0.141394","0.015956"
"Arctagrostis latifolia (R.Br.) Griseb.","543","3.95761","0.56653","0.024312","0.000411"
"Festuca ovina L.","881","4.440837","0.501806","0.016906","0.000254"
"Raphanus raphanistrum L.","392","4.452645","0.323223","0.016325","0.00057"
"Poa arctica R.Br.","656","4.139371","0.609667","0.023803","0.000341"
"Barbarea stricta Andrz. ex Besser","222","4.327345","0.216043","0.0145","0.001006"
"Rorippa amphibia (L.) Besser","220","4.276652","0.251541","0.016959","0.001015"
"Rorippa palustris (L.) Besser","1230","4.418605","0.482472","0.013757","0.000182"
"Cardamine flexuosa With.","261","4.588199","0.358441","0.022187","0.000856"
"Draba norvegica Gunnerus","110","4.482153","0.479033","0.045674","0.002031"
"Draba fladnizensis Wulfen","230","4.24936","0.516017","0.034025","0.000971"
"Draba lactea Adams","305","3.879687","0.60645","0.034725","0.000732"
"Draba cinerea Adams","273","3.681276","0.53341","0.032283","0.000818"
"Draba incana L.","208","4.542985","0.449318","0.031155","0.001074"
"Draba nemorosa L.","652","4.327697","0.498815","0.019535","0.000343"
"Thlaspi arvense L.","612","4.457705","0.494912","0.020006","0.000365"
"Androsace septentrionalis L.","705","4.115855","0.462629","0.017424","0.000317"
"Lysimachia thyrsiflora L.","715","4.492858","0.374716","0.014014","0.000312"
"Epilobium obscurum Schreb.","188","4.525992","0.357745","0.026091","0.001188"
"Epilobium ciliatum Raf.","530","4.461361","0.55393","0.024061","0.000421"
"Epilobium lactiflorum Hausskn.","308","4.680695","0.619738","0.035313","0.000725"
"Epilobium anagallidifolium Lam.","416","4.732628","0.615799","0.030192","0.000537"
"Aethusa cynapium L.","244","4.443945","0.309274","0.019799","0.000916"
"Conium maculatum L.","416","4.393296","0.309334","0.015166","0.000537"
"Cicuta virosa L.","534","4.404614","0.412324","0.017843","0.000418"
"Carum carvi L.","566","4.373419","0.445927","0.018744","0.000395"
"Galium odoratum (L.) Scop.","403","4.572832","0.405475","0.020198","0.000554"
"Polemonium caeruleum L.","397","4.374239","0.281581","0.014132","0.000563"
"Hyoscyamus niger L.","481","4.367799","0.435125","0.01984","0.000464"
"Solanum nigrum L.","805","4.689011","0.67344","0.023736","0.000277"
"Solanum chenopodium Raf.","2","3.401197","0.257842","0.182322","0.111692"
"Solanum dulcamara L.","827","4.429622","0.457593","0.015912","0.00027"
"Linaria vulgaris Mill.","567","4.397467","0.333198","0.013993","0.000394"
"Centaurea jacea L.","478","4.422493","0.298621","0.013659","0.000467"
"Poa compressa L.","423","4.410122","0.308149","0.014983","0.000528"
"Poa glauca Vahl","951","4.174565","0.576949","0.018709","0.000235"
"Poa bulbosa L.","467","4.304478","0.473038","0.02189","0.000478"
"Glyceria maxima (Hartm.) Holmb.","279","4.355002","0.269843","0.016155","0.000801"
"Trisetum spicatum (L.) K.Richt.","1193","4.299752","0.679619","0.019676","0.000187"
