"species","n","mean","sd","se"
"Selinum carvifolia (L.) L.",206,-1.72330097087379,44.9939414976001,3.13487644844836
"Circaea alpina L.",772,-10.970207253886,85.0904479083805,3.06247223213568
"Cardamine amara L.",343,-0.376093294460641,61.3818096939249,3.314306193331
"Cardamine amporitana Sennen & Pau",3,100.666666666667,126.064798152908,72.783545148917
"Epilobium hornemannii Rchb.",462,-8.7034632034632,87.5000139381318,4.07086906895389
"Elymus fibrosus (Schrenk) Tzvelev",91,-137.582417582418,110.32568613318,11.5652743874355
"Epilobium palustre L.",1230,-48.7463414634146,99.6179310545076,2.84043569708109
"Calamagrostis lapponica (Wahlenb.) Hartm.",510,-132.76862745098,106.441297896615,4.7132998926725
"Poa trivialis L.",628,44.4856687898089,106.085043606083,4.23325409700952
"Poa remota Forselles",228,-30.7894736842105,48.3043715580282,3.19903515581504
"Alopecurus aequalis Sobol.",1350,-10.1592592592593,108.512616597812,2.95333934798783
"Agrostis gigantea Roth",621,-25.037037037037,88.0889227057793,3.53488670244721
"Agrostis capillaris L.",639,5.53990610328638,82.2140216056879,3.25233642959945
"Cardamine pratensis L.",559,-19.8461538461538,101.204739157868,4.28050438153121
"Melica nutans L.",570,-20.9684210526316,70.2875518854575,2.94402158114792
"Poa pratensis L.",2219,-18.0013519603425,125.216117943903,2.65816285053165
"Glyceria lithuanica (Gorski) Gorski",217,-78.7880184331797,59.1165769525964,4.01309473568317
"Galium triflorum Michx.",707,-0.524752475247525,108.81168802846,4.09228470812999
"Phleum alpinum L.",747,7.19410977242303,97.0749610444087,3.55178708752251
"Epilobium montanum L.",528,17.9261363636364,77.7711833692474,3.38455632545483
"Milium effusum L.",826,-18.0726392251816,79.0022296704646,2.74883913268249
"Festuca rubra L.",1642,-18.0487210718636,118.38331574538,2.92148676618813
"Sherardia arvensis L.",320,121.98125,108.560398621702,6.068710774565
"Brachypodium pinnatum (L.) P.Beauv.",433,18.8152424942263,111.026577767813,5.33559682379819
"Anthriscus sylvestris (L.) Hoffm.",629,3.93322734499205,90.838391491196,3.6219638606428
"Poa alpina L.",827,-42.4824667472793,113.362777154898,3.94201000237854
"Deschampsia cespitosa (L.) P.Beauv.",1279,-18.3275996872557,111.532873866144,3.11865705957413
"Puccinellia distans (Jacq.) Parl.",436,-9.24082568807339,76.1571230214409,3.64726471183785
"Galium palustre L.",694,10.1887608069164,95.0905717891907,3.6095887436072
"Epilobium davuricum Fisch. ex Hornem.",218,-86.1284403669725,109.604996767713,7.42338708161805
"Briza media L.",424,36.0235849056604,89.4369273926845,4.34344115745938
