"species","n","mean","sd","se"
"Selinum carvifolia (L.) L.",206,179.577669902913,13.993423068653,0.974967983488045
"Circaea alpina L.",772,170.655440414508,32.2100826701271,1.15926624194375
"Cardamine amara L.",343,170.169096209913,20.7480142373869,1.12028746674598
"Cardamine amporitana Sennen & Pau",3,216,37.9868398264452,21.9317121994613
"Epilobium hornemannii Rchb.",462,126.313852813853,37.6709549772504,1.75261143984816
"Elymus fibrosus (Schrenk) Tzvelev",91,152.153846153846,34.2250470584607,3.58775978674784
"Epilobium palustre L.",1230,153.381300813008,37.467297049353,1.06831618450188
"Calamagrostis lapponica (Wahlenb.) Hartm.",510,122.794117647059,28.8532423143223,1.27764304448296
"Poa trivialis L.",628,176.813694267516,40.0545322503551,1.59834984262469
"Poa remota Forselles",228,161.473684210526,23.7055024472946,1.56993525159632
"Alopecurus aequalis Sobol.",1350,177.562222222222,45.769123394365,1.24567775878527
"Agrostis gigantea Roth",621,176.275362318841,32.991541267898,1.32390494671675
"Agrostis capillaris L.",639,161.782472613459,33.3459298906416,1.31914459898772
"Cardamine pratensis L.",559,157.196779964222,38.6271199834383,1.63375310001167
"Melica nutans L.",570,170.873684210526,34.7450393536862,1.45530955270402
"Poa pratensis L.",2219,173.132942767012,49.667196212076,1.05436502927006
"Glyceria lithuanica (Gorski) Gorski",217,171.285714285714,20.6261122836202,1.40019173791778
"Galium triflorum Michx.",707,174.592644978784,39.2990041925949,1.47799116819168
"Phleum alpinum L.",747,128.605087014726,36.7804605696777,1.34572667883689
"Epilobium montanum L.",528,168.231060606061,25.8330580689852,1.12423954870409
"Milium effusum L.",826,171.441888619855,36.4382701025331,1.26784956833369
"Festuca rubra L.",1642,157.320341047503,45.414896206488,1.12075774715104
"Sherardia arvensis L.",320,203.7625,36.6018975303374,2.0461082745829
"Brachypodium pinnatum (L.) P.Beauv.",433,185.182448036952,26.6795362436911,1.28213668928842
"Anthriscus sylvestris (L.) Hoffm.",629,173.074721780604,39.7656248199241,1.58555929524143
"Poa alpina L.",827,119.617896009674,40.2062969412463,1.39810993236722
"Deschampsia cespitosa (L.) P.Beauv.",1279,152.393275996873,39.0061307144487,1.09068062807456
"Puccinellia distans (Jacq.) Parl.",436,178.667431192661,37.3316536215809,1.78786195547608
"Galium palustre L.",694,175.332853025937,31.7167321465091,1.20395068812761
"Epilobium davuricum Fisch. ex Hornem.",218,120.032110091743,24.1136685361962,1.63318371224795
"Briza media L.",424,176.132075471698,29.3592166499997,1.42580960310143
"Pimpinella saxifraga L.",474,172.512658227848,25.5542545185163,1.17374578361367
"Nardus stricta L.",444,152.77027027027,32.9761035158349,1.56497661604084
"Cirsium arvense (L.) Scop.",545,184.442201834862,46.2986316132632,1.98321548249795
"Poa nemoralis L.",1119,174.745308310992,39.6294601037092,1.18468560781997
"Leymus arenarius (L.) Hochst.",200,147.945,28.9029214673315,2.04374517656524
"Cinna latifolia (Trevir.) Griseb.",594,168.210437710438,27.9879128116364,1.1483579724613
"Rhinanthus minor L.",503,155.745526838966,31.0297835153701,1.38354966372354
"Alopecurus geniculatus L.",420,163.316666666667,30.7486881313322,1.50038234952194
"Agrostis mertensii Trin.",407,118.457002457002,32.4389155980868,1.60793734917418
"Agrostis canina L.",390,166.038461538462,30.7257720331938,1.55585994610268
"Glyceria fluitans (L.) R.Br.",429,175.440559440559,27.101735221619,1.30848410666529
"Poa palustris L.",1343,175.148175725987,32.3425857996473,0.882544743500086
"Galium boreale L.",1176,166.561224489796,37.4869462878575,1.09314155262346
"Galium septentrionale Roem. & Schult.",27,172.740740740741,25.5065490724254,4.90873765768774
"Galium verum L.",826,182.869249394673,42.1469561636443,1.46648016023517
"Aegopodium podagraria L.",320,178.4625,22.8000405598275,1.27456101453817
"Catabrosa aquatica (L.) P.Beauv.",499,169.765531062124,40.5036457066603,1.81319220243947
"Anthoxanthum odoratum L.",611,168.905073649755,37.9590913163124,1.53566046052394
"Draba verna L.",301,189.554817275747,33.1846523519006,1.91273156304818
"Epilobium alsinifolium Vill.",221,121.995475113122,25.517284291518,1.71647829195736
"Elymus mutabilis (Drobow) Tzvelev",212,141.566037735849,31.6621737832549,2.17456702335464
"Galium uliginosum L.",507,159.932938856016,26.733929823291,1.18729550615182
"Bromus hordeaceus L.",439,191.71298405467,35.7002946917121,1.70388210172299
"Arabis alpina L.",338,122.073964497041,48.8075963005728,2.65478325519619
"Angelica archangelica L.",213,147.596244131455,38.5373671268834,2.64053688618192
"Impatiens noli-tangere L.",559,183.45259391771,32.3732846444676,1.36924404843375
"Dactylis glomerata L.",765,188.883660130719,39.9958545913407,1.44605317455799
"Saussurea alpina (L.) DC.",233,126.682403433476,26.2862637733879,1.72207039674578
"Lysimachia vulgaris L.",541,182.789279112754,25.0353075793063,1.07635194237948
"Molinia caerulea (L.) Moench",475,169.037894736842,31.0500248984027,1.42467284975325
"Poa annua L.",848,184.367924528302,51.2885580187709,1.76125631339336
"Lepidium ruderale L.",349,187.862464183381,26.6192501362904,1.42489579151306
"Agrostis stolonifera L.",747,174.650602409639,39.1240175549063,1.43147294491265
"Phippsia algida (Sol.) R.Br.",282,58.6950354609929,32.5602520084355,1.9389347909591
"Avena fatua L.",440,196.734090909091,43.408896788057,2.06943795639177
"Cardamine bellidifolia L.",552,81.7155797101449,36.9480025569484,1.57261142375466
"Cardamine alpina Willd.",14,97.3571428571429,53.1639078595724,14.208652039467
"Arctagrostis latifolia (R.Br.) Griseb.",542,97.4575645756458,40.1416743354958,1.72423255213214
"Festuca ovina L.",880,156.832954545455,41.2903430370928,1.3918971798334
"Raphanus raphanistrum L.",392,192,45.0926298694387,2.27752174015823
"Poa arctica R.Br.",657,92.3394216133942,37.5855793607664,1.4663531088051
"Barbarea stricta Andrz. ex Besser",222,159.536036036036,24.558657430815,1.64826916426184
"Rorippa amphibia (L.) Besser",220,186.868181818182,21.022620701378,1.41734479854859
"Rorippa palustris (L.) Besser",1231,178.776604386677,44.1400723695107,1.25806770612599
"Cardamine flexuosa With.",261,166.547892720307,29.1091217094597,1.80180939995836
"Draba norvegica Gunnerus",110,95.3636363636364,32.8244502941673,3.129688536804
"Draba fladnizensis Wulfen",230,94.3652173913043,25.9505173854515,1.71112644384846
"Draba lactea Adams",305,69.2983606557377,33.9312312074154,1.94289664705848
"Draba cinerea Adams",272,89.6838235294118,42.9040295556996,2.60143890621723
"Draba incana L.",206,125.766990291262,29.6827793989829,2.06809723632065
"Draba nemorosa L.",652,181.676380368098,38.2343552788705,1.49737291603638
"Thlaspi arvense L.",613,177.497553017945,40.9625854779111,1.65446324471597
"Androsace septentrionalis L.",705,149.903546099291,48.1828230122525,1.81467009815806
"Lysimachia thyrsiflora L.",714,176.56162464986,30.2873982310541,1.13347739132622
"Epilobium obscurum Schreb.",188,172.542553191489,23.1242470118157,1.68650904688685
"Epilobium ciliatum Raf.",530,181.556603773585,40.0585300013986,1.74003135184992
"Epilobium lactiflorum Hausskn.",307,120.065146579805,37.0648035691845,2.11540007352798
"Epilobium anagallidifolium Lam.",416,107.581730769231,34.2472660470294,1.67911036404814
"Aethusa cynapium L.",243,178.127572016461,20.9048459393978,1.34104649227544
"Conium maculatum L.",416,200.293269230769,33.2032158826374,1.62792159326541
"Cicuta virosa L.",534,171.003745318352,28.9369500445145,1.25222429656651
"Carum carvi L.",567,161.693121693122,32.8743889267155,1.38059456513182
"Galium odoratum (L.) Scop.",403,176.913151364764,28.3890859265614,1.41416109841566
"Polemonium caeruleum L.",397,159.531486146096,27.3439030017964,1.37235115261171
"Hyoscyamus niger L.",480,188.15,35.5049233552681,1.62057061868103
"Solanum nigrum L.",807,220.545229244114,46.507398209896,1.63713795367794
