"species","n","mean","sd","se"
"Selinum carvifolia (L.) L.",206,126.485436893204,55.4297382678499,3.86197286247545
"Circaea alpina L.",772,180.502590673575,172.890438586489,6.22246304242024
"Cardamine amara L.",343,135.539358600583,68.9380860169542,3.72230676452326
"Cardamine amporitana Sennen & Pau",3,175.666666666667,52.6529518007617,30.3991958957982
"Epilobium hornemannii Rchb.",462,212.9329004329,208.422069477696,9.69667223737844
"Elymus fibrosus (Schrenk) Tzvelev",91,73,32.0665973665225,3.36149277845925
"Epilobium palustre L.",1230,125.074796747967,111.233549148734,3.17163527058408
"Calamagrostis lapponica (Wahlenb.) Hartm.",510,74.6078431372549,75.480797706773,3.34234590107794
"Poa trivialis L.",628,166.035031847134,114.395221549661,4.56486629822763
"Poa remota Forselles",228,125.741228070175,70.622522410439,4.67709080350888
"Alopecurus aequalis Sobol.",1350,126.939259259259,120.461876812556,3.27855701831962
"Agrostis gigantea Roth",621,107.09500805153,89.5444329650942,3.59329431719478
"Agrostis capillaris L.",639,163.572769953052,115.971880484042,4.58777668749037
"Cardamine pratensis L.",559,148.919499105546,104.920855796694,4.437679368465
"Melica nutans L.",570,139.59298245614,103.924194793595,4.35290551553647
"Poa pratensis L.",2219,132.91527715187,135.619109508537,2.87900379469742
"Glyceria lithuanica (Gorski) Gorski",217,102.036866359447,86.0178627300943,5.83927300752988
"Galium triflorum Michx.",707,197.654879773692,205.741978563324,7.73772347392388
"Phleum alpinum L.",747,215.444444444444,216.927757722014,7.93697159919324
"Epilobium montanum L.",528,167.208333333333,107.117778050362,4.66170292854742
"Milium effusum L.",826,149.750605326877,104.544812051607,3.6375792390304
"Festuca rubra L.",1642,161.862362971985,174.02907448299,4.29472375252225
"Sherardia arvensis L.",320,194.503125,107.190920357704,5.99215461226481
"Brachypodium pinnatum (L.) P.Beauv.",433,142.406466512702,88.7089558442456,4.26308035932479
"Anthriscus sylvestris (L.) Hoffm.",629,133.713831478537,100.74430401994,4.01693845890256
"Poa alpina L.",827,168.55622732769,176.407086627448,6.13427544233214
"Deschampsia cespitosa (L.) P.Beauv.",1279,166.517591868647,196.121838935643,5.48391461935572
"Puccinellia distans (Jacq.) Parl.",436,104.162844036697,57.6149613007417,2.75925621779249
"Galium palustre L.",694,160.989913544669,102.736714517981,3.89983235247984
"Epilobium davuricum Fisch. ex Hornem.",218,107.087155963303,106.902413487188,7.24034504518458
"Briza media L.",424,168.408018867925,108.614663760344,5.27479436775552
"Pimpinella saxifraga L.",474,141.974683544304,88.3405109185472,4.05761405161673
"Nardus stricta L.",444,191.626126126126,130.593435730283,6.19769018580942
"Cirsium arvense (L.) Scop.",545,140.108256880734,95.1446713142292,4.07554993857534
"Poa nemoralis L.",1119,155.862377122431,123.896939130908,3.70378300025327
"Leymus arenarius (L.) Hochst.",200,164.52,112.374372514332,7.94606808364676
"Cinna latifolia (Trevir.) Griseb.",594,187.106060606061,189.463831741705,7.77379517858132
"Rhinanthus minor L.",503,168.425447316103,118.446829013424,5.28128307338881
"Alopecurus geniculatus L.",420,157.816666666667,107.309634780788,5.23617402053255
"Agrostis mertensii Trin.",407,192.022113022113,202.250142643868,10.025167371873
"Agrostis canina L.",390,160.184615384615,118.705428195233,6.0108830109918
"Glyceria fluitans (L.) R.Br.",429,162.097902097902,110.389707803973,5.32966531551463
"Poa palustris L.",1343,133.413253909159,131.702583591401,3.59381972653651
"Galium boreale L.",1176,123.200680272109,122.139106740149,3.56164868038922
"Galium septentrionale Roem. & Schult.",27,76.6296296296296,36.7299376406811,7.06867979472179
"Galium verum L.",826,117.06416464891,106.237353467821,3.69647028676389
"Aegopodium podagraria L.",320,124.028125,63.2132467684288,3.53372792131689
"Catabrosa aquatica (L.) P.Beauv.",499,135.889779559118,105.131634239285,4.70633830872771
"Anthoxanthum odoratum L.",611,186.945990180033,131.970471223219,5.33895379437388
"Draba verna L.",301,163.451827242525,102.341789305819,5.898882668658
"Epilobium alsinifolium Vill.",221,211.547511312217,136.352263559756,9.17204580964627
"Elymus mutabilis (Drobow) Tzvelev",212,73.5188679245283,62.8795178538845,4.31858301661562
"Galium uliginosum L.",507,128.510848126233,93.1154526934543,4.13540243679075
"Bromus hordeaceus L.",439,167.439635535308,99.2964537703825,4.73916116953502
"Arabis alpina L.",338,203.855029585799,144.962533750088,7.88492235635931
"Angelica archangelica L.",213,159.694835680751,110.893735559821,7.59831355961893
"Impatiens noli-tangere L.",559,144.431127012522,124.244232093825,5.25497110395202
"Dactylis glomerata L.",765,153.847058823529,116.803887111468,4.22305345101491
"Saussurea alpina (L.) DC.",233,154.721030042918,146.706498970951,9.61106230486287
"Lysimachia vulgaris L.",541,133.935304990758,95.5026927647774,4.10598146374711
"Molinia caerulea (L.) Moench",475,163.187368421053,108.365535534059,4.97215177216451
"Poa annua L.",848,169.787735849057,170.842442767685,5.86675357123522
"Lepidium ruderale L.",349,120.361031518625,64.9529562304199,3.47685203396773
"Agrostis stolonifera L.",747,148.45515394913,113.106922578582,4.13836588551643
"Phippsia algida (Sol.) R.Br.",282,88.4787234042553,103.253279653571,6.14864332588923
"Avena fatua L.",440,121.072727272727,83.6159960163817,3.98623620320642
"Cardamine bellidifolia L.",552,150.777173913043,208.512150400388,8.87486648854403
"Cardamine alpina Willd.",14,205.071428571429,111.05332349525,29.6802491558428
"Arctagrostis latifolia (R.Br.) Griseb.",542,58.2527675276753,68.0298723508126,2.92213322853207
"Festuca ovina L.",880,113.471590909091,100.546115669904,3.38940886779313
"Raphanus raphanistrum L.",392,158.441326530612,98.2470221789636,4.96222397243788
"Poa arctica R.Br.",657,104.092846270928,128.867045639275,5.02758228579895
"Barbarea stricta Andrz. ex Besser",222,104.202702702703,39.9219758473735,2.67938758260728
"Rorippa amphibia (L.) Besser",220,120.068181818182,55.1847861898196,3.72055752592398
"Rorippa palustris (L.) Besser",1231,133.655564581641,131.24329780606,3.74065890135084
"Cardamine flexuosa With.",261,205.965517241379,122.746998861247,7.59784848791915
"Draba norvegica Gunnerus",110,189.563636363636,129.726071826084,12.3688956335957
"Draba fladnizensis Wulfen",230,93.4391304347826,90.345785222873,5.95722466295721
"Draba lactea Adams",305,77.2786885245902,94.6858606593439,5.42169660966153
"Draba cinerea Adams",272,46.9117647058824,63.9411018870293,3.87699877792062
"Draba incana L.",206,211.563106796117,158.047795790397,11.011711716319
"Draba nemorosa L.",652,82.8006134969325,84.1713204269646,3.29640331568524
"Thlaspi arvense L.",613,120.425774877651,99.253454136869,4.00880925519466
"Androsace septentrionalis L.",705,79.509219858156,63.900870829077,2.40664602632975
"Lysimachia thyrsiflora L.",714,140.336134453782,118.013675769493,4.41655081534445
"Epilobium obscurum Schreb.",188,196.856382978723,115.989376296216,8.45939469364681
"Epilobium ciliatum Raf.",530,157.330188679245,157.402961476676,6.83714773941726
"Epilobium lactiflorum Hausskn.",307,297.635179153094,286.922976729603,16.3755592266322
"Epilobium anagallidifolium Lam.",416,281.735576923077,268.08199120482,13.1438010038095
"Aethusa cynapium L.",243,153.279835390946,87.4164765752561,5.60776958692586
"Conium maculatum L.",416,157.918269230769,89.7070361796094,4.39824930756156
"Cicuta virosa L.",534,108.241573033708,82.4542153594439,3.56814286469682
"Carum carvi L.",567,114.029982363316,93.6528105440045,3.93304835367752
"Galium odoratum (L.) Scop.",403,174.821339950372,116.703019956027,5.81339150250791
"Polemonium caeruleum L.",397,120.176322418136,77.7781041062356,3.90357114751078
"Hyoscyamus niger L.",480,112.291666666667,93.1579927941427,4.25206117210464
"Solanum nigrum L.",807,142.862453531599,130.156499292646,4.58172577077223
"Solanum chenopodium Raf.",2,40.5,2.12132034355964,1.5
"Solanum dulcamara L.",826,168.646489104116,126.113334189474,4.38804410481966
