"species","n","mean","sd","se"
"Selinum carvifolia (L.) L.",206,-28.0873786407767,39.4685689819786,2.74990550365906
"Circaea alpina L.",772,-62.6256476683938,63.1826948940976,2.27399494797603
"Cardamine amara L.",343,-38.9737609329446,49.2822389465019,2.66099078173277
"Cardamine amporitana Sennen & Pau",3,44,41.2189276910499,23.7977589981354
"Epilobium hornemannii Rchb.",462,-93.9523809523809,59.8161491333129,2.78289911476939
"Elymus fibrosus (Schrenk) Tzvelev",91,-183.78021978022,94.4732533810263,9.90348789951176
"Epilobium palustre L.",1230,-105.461788617886,87.9621548553132,2.50809108358712
"Calamagrostis lapponica (Wahlenb.) Hartm.",510,-203.688235294118,83.3097685931767,3.6890185588509
"Poa trivialis L.",628,-24.8216560509554,66.0635480816154,2.63622256326667
"Poa remota Forselles",228,-67.9912280701754,44.6864742397853,2.95943405268746
"Alopecurus aequalis Sobol.",1350,-71.857037037037,88.3444863248919,2.40443236760302
"Agrostis gigantea Roth",621,-74.1658615136876,75.1499137881171,3.01566216023483
"Agrostis capillaris L.",639,-50.2253521126761,62.4975679689298,2.47236557824165
"Cardamine pratensis L.",559,-69.8765652951699,89.5989719583617,3.78963273103444
"Melica nutans L.",570,-66.3140350877193,62.5512484119206,2.61998348658577
"Poa pratensis L.",2219,-83.9756647138351,96.869057887268,2.05639445839787
"Glyceria lithuanica (Gorski) Gorski",217,-127.741935483871,62.7520675617433,4.25988791920751
"Galium triflorum Michx.",707,-67.8811881188119,65.7335597538007,2.47216495089268
"Phleum alpinum L.",747,-79.4979919678715,62.2834344139493,2.27883169602118
"Epilobium montanum L.",528,-35.3106060606061,51.0101946987007,2.2199337807484
"Milium effusum L.",826,-61.865617433414,63.6263342043605,2.21384330619048
"Festuca rubra L.",1642,-82.911084043849,95.8504351694011,2.36541590440887
"Sherardia arvensis L.",320,34.33125,53.7779274243293,3.00627753524626
"Brachypodium pinnatum (L.) P.Beauv.",433,-41.1501154734411,78.2030127902843,3.75819695647914
"Anthriscus sylvestris (L.) Hoffm.",629,-43.8855325914149,73.6852248015507,2.93802231538219
"Poa alpina L.",827,-119.844014510278,86.1903327519581,2.9971315306814
"Deschampsia cespitosa (L.) P.Beauv.",1279,-85.0437842064113,87.1335902920715,2.43640979624121
"Puccinellia distans (Jacq.) Parl.",436,-52.7247706422018,63.2316844132779,3.02824846949231
"Galium palustre L.",694,-43.9337175792507,63.7051169110253,2.41821316861991
"Epilobium davuricum Fisch. ex Hornem.",218,-162.610091743119,95.2567681545737,6.45160241785301
