"species","n","mean","sd","se"
"Selinum carvifolia (L.) L.",206,114.043689320388,42.7161137583372,2.97617266976699
"Circaea alpina L.",772,122.787564766839,83.3513896958567,2.9998821574935
"Cardamine amara L.",343,113.160349854227,42.2404763050056,2.28077133804002
"Cardamine amporitana Sennen & Pau",3,120,29.5127091267474,17.0391705588427
"Epilobium hornemannii Rchb.",462,120.363636363636,88.4208153305052,4.11370862677971
"Elymus fibrosus (Schrenk) Tzvelev",91,62.2417582417582,26.9671984534878,2.8269305227662
"Epilobium palustre L.",1230,95.530081300813,71.3027124296871,2.03307544676041
"Calamagrostis lapponica (Wahlenb.) Hartm.",510,53.3117647058824,36.3373040394595,1.60904286788708
"Poa trivialis L.",628,102.93152866242,60.388218478382,2.4097522571981
"Poa remota Forselles",228,103.539473684211,38.7822706176317,2.5684186156753
"Alopecurus aequalis Sobol.",1350,85.0118518518519,60.2722253552481,1.64040219758218
"Agrostis gigantea Roth",621,82.7745571658615,56.7920433716535,2.2789861965935
"Agrostis capillaris L.",639,117.516431924883,61.5686987589693,2.43562008020025
"Cardamine pratensis L.",559,113.592128801431,62.1666883647044,2.62937076015095
"Melica nutans L.",570,109.145614035088,62.7037685515897,2.62637185224513
"Poa pratensis L.",2219,85.6358720144209,69.5697902751648,1.4768692326939
"Glyceria lithuanica (Gorski) Gorski",217,82.4746543778802,71.0982663290444,4.82646480952509
"Galium triflorum Michx.",707,112.206506364922,67.1357325610024,2.52489908672895
"Phleum alpinum L.",747,109.807228915663,83.8238949418501,3.06695593258191
"Epilobium montanum L.",528,122.414772727273,55.9247624964989,2.43381289131741
"Milium effusum L.",826,118.432203389831,69.5034047859251,2.41833274487503
"Festuca rubra L.",1642,98.7643118148599,76.2157358051601,1.88086692899338
"Sherardia arvensis L.",320,92.04375,61.8992352240043,3.46027244290308
"Brachypodium pinnatum (L.) P.Beauv.",433,96.2540415704388,48.5237164099139,2.33190099488662
"Anthriscus sylvestris (L.) Hoffm.",629,96.4531001589825,52.7287836775377,2.10243428753583
"Poa alpina L.",827,100.569528415961,82.7936899734161,2.87901868849844
"Deschampsia cespitosa (L.) P.Beauv.",1279,99.6684910086005,85.6831857814323,2.39585391249548
"Puccinellia distans (Jacq.) Parl.",436,88.1422018348624,44.7612102053645,2.14367318465037
"Galium palustre L.",694,118.440922190202,58.4822104870232,2.21995435197522
"Epilobium davuricum Fisch. ex Hornem.",218,76.6376146788991,60.1421653523566,4.07334142149929
"Briza media L.",424,119.877358490566,62.9744896123986,3.05831157248436
"Pimpinella saxifraga L.",474,110.879746835443,48.9697267135182,2.2492540415553
"Nardus stricta L.",444,129.234234234234,65.2233813904123,3.09536469783623
"Cirsium arvense (L.) Scop.",545,96.2256880733945,56.1526811792256,2.4053165896702
"Poa nemoralis L.",1119,106.24218051832,67.5680361356372,2.01988318157927
"Leymus arenarius (L.) Hochst.",200,118.365,55.0560406591804,3.89304996953887
"Cinna latifolia (Trevir.) Griseb.",594,112.749158249158,75.9537183187258,3.11641881109207
"Rhinanthus minor L.",503,119.34592445328,58.57864617027,2.61189273750855
"Alopecurus geniculatus L.",420,116.238095238095,54.5474370522086,2.66164238992029
"Agrostis mertensii Trin.",407,126.859950859951,97.4935265906982,4.83257469670581
"Agrostis canina L.",390,116.279487179487,54.2024799491797,2.74464926190487
"Glyceria fluitans (L.) R.Br.",429,116.324009324009,56.6880701385864,2.73692581701183
"Poa palustris L.",1343,92.5249441548771,66.2005990173911,1.80644154556104
"Galium boreale L.",1176,82.141156462585,54.8787023606528,1.60029545868655
"Galium septentrionale Roem. & Schult.",27,61.8148148148148,22.1464305806689,4.26208255244619
"Galium verum L.",826,83.2215496368039,63.9326014090546,2.22449970514063
"Aegopodium podagraria L.",320,107.265625,40.8876594528583,2.28568964943633
"Catabrosa aquatica (L.) P.Beauv.",499,96.2124248496994,63.4261339180232,2.83934370461201
"Anthoxanthum odoratum L.",611,114.281505728314,65.0438386973214,2.63139205456294
"Draba verna L.",301,102.199335548173,52.2481272349262,3.01153198812031
"Epilobium alsinifolium Vill.",221,138.470588235294,71.1923469719862,4.78891549488009
"Elymus mutabilis (Drobow) Tzvelev",212,53.3490566037736,42.0128715218725,2.88545586267411
"Galium uliginosum L.",507,98.3510848126233,51.9238098511007,2.30601735345261
"Bromus hordeaceus L.",439,99.7813211845102,55.0450418894077,2.62715651156033
"Arabis alpina L.",338,129.488165680473,81.624864801697,4.43980733959347
"Angelica archangelica L.",213,114.431924882629,51.5722731063196,3.53367392725923
"Impatiens noli-tangere L.",559,109.322003577818,70.2865619259922,2.97280481912673
"Dactylis glomerata L.",765,89.6091503267974,60.7477202720906,2.19633846167738
"Saussurea alpina (L.) DC.",233,106.412017167382,75.8593993889675,4.96971449152506
"Lysimachia vulgaris L.",541,96.3012939001848,51.7114839508285,2.22325034423811
"Molinia caerulea (L.) Moench",475,114.551578947368,52.8697445307065,2.42583024821223
"Poa annua L.",848,100.375,76.2537145629753,2.61856330888816
"Lepidium ruderale L.",349,100.151862464183,43.0147312139262,2.30252577236311
"Agrostis stolonifera L.",747,95.0682730923695,60.2140230885166,2.20311589510438
"Phippsia algida (Sol.) R.Br.",282,53.6347517730496,54.0319985407561,3.21755868991989
"Avena fatua L.",440,82.6295454545455,57.0760715236026,2.72099494694304
"Cardamine bellidifolia L.",552,80.25,86.0324243522604,3.66178315434348
"Cardamine alpina Willd.",14,170.071428571429,98.8537881346559,26.4197861846158
"Arctagrostis latifolia (R.Br.) Griseb.",542,41.0922509225092,43.061993472204,1.84967099986709
"Festuca ovina L.",880,88.2909090909091,68.5441283275442,2.31062209455466
"Raphanus raphanistrum L.",392,92.3469387755102,54.0500103822237,2.72993777603384
"Poa arctica R.Br.",657,67.8462709284627,68.1694610270103,2.6595439741144
"Barbarea stricta Andrz. ex Besser",222,91.018018018018,28.7293445712374,1.92818735713161
"Rorippa amphibia (L.) Besser",220,99.7636363636364,38.6158760907979,2.60348183493136
"Rorippa palustris (L.) Besser",1231,94.8440292445166,82.276097021859,2.34500976307387
"Cardamine flexuosa With.",261,136.865900383142,62.944612603628,3.89617370795141
"Draba norvegica Gunnerus",110,126.572727272727,78.936213836737,7.5262726830019
"Draba fladnizensis Wulfen",230,65.9913043478261,59.9035608731079,3.94992383266032
"Draba lactea Adams",305,51.2983606557377,56.515480214563,3.23606698338071
"Draba cinerea Adams",272,31.5110294117647,29.4221072411266,1.78397729240317
"Draba incana L.",206,139.18932038835,81.6903617476548,5.69163719790162
"Draba nemorosa L.",652,60.7423312883436,44.0929529195779,1.72681330725432
"Thlaspi arvense L.",613,89.9543230016313,63.7782197062249,2.57597803181319
"Androsace septentrionalis L.",705,56.8283687943262,37.3716027762838,1.40749598796064
"Lysimachia thyrsiflora L.",714,106.051820728291,65.6686941776465,2.45758911348021
"Epilobium obscurum Schreb.",188,126.228723404255,58.6698897390983,4.27894148398799
"Epilobium ciliatum Raf.",530,91.911320754717,72.426050312355,3.14598659086485
"Epilobium lactiflorum Hausskn.",307,127.511400651466,85.4981311208376,4.87963608175961
"Epilobium anagallidifolium Lam.",416,138.269230769231,103.52595677255,5.07577763217881
"Aethusa cynapium L.",243,126.592592592593,48.1180824873452,3.08677643077304
"Conium maculatum L.",416,88.9206730769231,50.518668438021,2.47688150159801
"Cicuta virosa L.",534,89.1966292134831,58.2554759350686,2.520960994912
"Carum carvi L.",567,87.7971781305115,62.5434361500113,2.62657743162503
"Galium odoratum (L.) Scop.",403,128.421836228288,67.1536866556539,3.3451634029107
"Polemonium caeruleum L.",397,96.0100755667506,46.7257731666858,2.34509933193377
"Hyoscyamus niger L.",480,79.2375,55.6005160044243,2.53780473537918
"Solanum nigrum L.",807,86.5117719950434,67.6620161866995,2.38181577523824
"Solanum chenopodium Raf.",2,27.5,2.12132034355964,1.5
"Solanum dulcamara L.",826,110.364406779661,68.5811822724724,2.38624451971235
"Linaria vulgaris Mill.",567,102.257495590829,51.976149831572,2.18279312001542
"Centaurea jacea L.",478,112.602510460251,49.5250921512947,2.2652249893309
"Poa compressa L.",423,103.439716312057,44.2701800924388,2.15248981426461
"Poa glauca Vahl",951,71.7581493165089,68.2776250191494,2.21405368748782
"Poa bulbosa L.",467,71.7858672376874,50.595564334322,2.34128349758806
"Glyceria maxima (Hartm.) Holmb.",279,108.784946236559,40.4293102227459,2.42043949109682
"Trisetum spicatum (L.) K.Richt.",1194,79.4882747068677,84.2094559374165,2.43701778192325
"Agrostis clavata Trin.",263,82.5057034220532,95.4041972096061,5.88287481946375
"Alopecurus pratensis L.",589,92.1748726655348,49.4562437697748,2.0378090234331
"Scolochloa festucacea (Willd.) Link",191,65.6544502617801,26.3637703674128,1.90761547376207
"Leersia oryzoides (L.) Sw.",670,125.973134328358,77.6640990525296,3.00042591047346
"Erysimum cheiranthoides L.",528,94.0340909090909,50.3649185600739,2.19185174133432
"Puccinellia phryganodes (Trin.) Scribn. & Merr.",99,49.969696969697,35.4738922524705,3.56526031681637
"Chaenorhinum minus (L.) Lange",280,105.732142857143,42.792359831024,2.55733263654859
"Cynosurus cristatus L.",331,118.97583081571,60.3892376184779,3.31929269398487
"Centaurea solstitialis L.",180,94.7888888888889,63.4839520379466,4.73181440790616
"Primula veris L.",349,114.206303724928,47.3286730585403,2.53344578505131
"Cardamine hirsuta L.",492,102.308943089431,75.1515649887984,3.38809420740678
"Danthonia decumbens (L.) DC.",259,132.96138996139,63.4197171153479,3.9407094783826
"Arctium lappa L.",394,86.9213197969543,55.9209402146262,2.81725626796901
"Cardamine bulbifera (L.) Crantz",176,136.596590909091,65.5433709388369,4.94051747498196
"Draba nivalis Lilj.",310,64.2774193548387,54.8196260279971,3.11354553515994
"Drabella muralis (L.) Fourr.",13,109.923076923077,48.1152462643279,13.344768272124
"Raphanus sativus L.",264,89.2613636363636,56.1204220539854,3.45397321250725
"Helictochloa pratensis (L.) Romero Zarco",48,108.770833333333,41.4678750736105,5.9853722091177
"Helictotrichon pratense (L.) Pilg.",24,116.125,59.1264764499907,12.0691414659303
"Phleum pratense L.",621,108.14653784219,57.0000801507128,2.28733442496693
"Centaurea montana L.",144,131.506944444444,62.2790917252553,5.18992431043794
"Galium aparine L.",564,91.7287234042553,61.0151175787229,2.56919992415105
"Lathraea squamaria L.",187,124.064171122995,53.6941372596355,3.92650419152686
"Glyceria notata Chevall.",307,101.182410423453,55.2102276039446,3.15101412354391
"Ligusticum scoticum L.",133,179.06015037594,87.3302474066027,7.57249281672731
"Melampyrum arvense L.",201,112.273631840796,46.8435668074473,3.30409044788123
