"species","n_bio_12","mean_bio_12","sd_bio_12","se_bio_12","within_sp_var_bio_12"
"Selinum carvifolia (L.) L.","206","6.491258","0.234545","0.016342","0.001133"
"Circaea alpina L.","772","6.64539","0.477101","0.017171","0.000302"
"Cardamine amara L.","343","6.533429","0.266258","0.014377","0.000681"
"Cardamine amporitana Sennen & Pau","3","6.684356","0.056848","0.032821","0.077809"
"Epilobium hornemannii Rchb.","461","6.543136","0.586972","0.027338","0.000506"
"Elymus fibrosus (Schrenk) Tzvelev","91","6.067974","0.348405","0.036523","0.002565"
"Epilobium palustre L.","1230","6.359983","0.526785","0.01502","0.00019"
"Calamagrostis lapponica (Wahlenb.) Hartm.","512","5.996901","0.448587","0.019825","0.000456"
"Poa trivialis L.","628","6.511557","0.3881","0.015487","0.000372"
"Poa remota Forselles","228","6.477193","0.25851","0.01712","0.001024"
"Alopecurus aequalis Sobol.","1350","6.375327","0.496336","0.013509","0.000173"
"Agrostis gigantea Roth","621","6.267398","0.530727","0.021297","0.000376"
"Agrostis capillaris L.","640","6.555547","0.374837","0.014817","0.000365"
"Cardamine pratensis L.","560","6.481702","0.453451","0.019162","0.000417"
"Melica nutans L.","570","6.528328","0.428545","0.01795","0.00041"
"Poa pratensis L.","2220","6.310111","0.581002","0.012331","0.000105"
"Glyceria lithuanica (Gorski) Gorski","217","6.332413","0.440154","0.02988","0.001076"
"Galium triflorum Michx.","707","6.617633","0.456593","0.017172","0.00033"
"Phleum alpinum L.","746","6.552306","0.579422","0.021214","0.000313"
"Epilobium montanum L.","529","6.603808","0.332248","0.014446","0.000441"
"Milium effusum L.","825","6.603829","0.408531","0.014223","0.000283"
"Festuca rubra L.","1644","6.415738","0.584338","0.014412","0.000142"
"Sherardia arvensis L.","319","6.510671","0.34432","0.019278","0.000732"
"Brachypodium pinnatum (L.) P.Beauv.","433","6.467292","0.314579","0.015118","0.000539"
"Anthriscus sylvestris (L.) Hoffm.","629","6.505148","0.377371","0.015047","0.000371"
