"species","n_bio_ai","mean_bio_ai","sd_bio_ai","se_bio_ai","within_sp_var_bio_ai"
"Draba lactea Adams","291","9.06653","0.541696","0.031755","0.001045"
"Draba cinerea Adams","269","8.705176","0.390981","0.023839","0.001131"
"Draba incana L.","197","9.487176","0.464648","0.033105","0.001544"
"Draba nemorosa L.","651","8.601085","0.531473","0.02083","0.000467"
"Thlaspi arvense L.","606","8.873501","0.577423","0.023456","0.000502"
"Androsace septentrionalis L.","699","8.581155","0.507804","0.019207","0.000435"
"Lysimachia thyrsiflora L.","710","9.07742","0.458694","0.017214","0.000428"
"Epilobium obscurum Schreb.","187","9.079778","0.423519","0.030971","0.001626"
"Epilobium ciliatum Raf.","522","8.728103","0.739224","0.032355","0.000583"
"Epilobium lactiflorum Hausskn.","303","9.452961","0.634605","0.036457","0.001004"
"Epilobium anagallidifolium Lam.","413","9.47976","0.607092","0.029873","0.000736"
"Aethusa cynapium L.","240","9.077912","0.348025","0.022465","0.001267"
"Conium maculatum L.","416","8.704541","0.50546","0.024782","0.000731"
"Cicuta virosa L.","526","8.983188","0.464683","0.020261","0.000578"
"Carum carvi L.","564","8.898992","0.613681","0.025841","0.000539"
"Galium odoratum (L.) Scop.","399","9.12374","0.459315","0.022995","0.000762"
"Polemonium caeruleum L.","393","9.103578","0.36289","0.018305","0.000774"
"Hyoscyamus niger L.","479","8.683803","0.59594","0.027229","0.000635"
"Solanum nigrum L.","802","8.757624","0.86656","0.030599","0.000379"
"Solanum chenopodium Raf.","2","6.445727","0.33252","0.235127","0.152071"
"Solanum dulcamara L.","822","8.831136","0.603734","0.021058","0.00037"
"Linaria vulgaris Mill.","560","8.981006","0.432306","0.018268","0.000543"
"Centaurea jacea L.","472","9.027462","0.385079","0.017725","0.000644"
"Poa compressa L.","422","8.899563","0.398661","0.019407","0.000721"
"Poa glauca Vahl","930","8.966696","0.618367","0.020277","0.000327"
"Poa bulbosa L.","466","8.43194","0.637783","0.029545","0.000653"
"Glyceria maxima (Hartm.) Holmb.","279","8.994046","0.328237","0.019651","0.00109"
"Trisetum spicatum (L.) K.Richt.","1167","8.960084","0.749523","0.021941","0.000261"
"Agrostis clavata Trin.","262","9.062868","0.485718","0.030008","0.001161"
"Alopecurus pratensis L.","583","8.96089","0.458576","0.018992","0.000522"
"Scolochloa festucacea (Willd.) Link","190","8.693965","0.347632","0.02522","0.001601"
"Leersia oryzoides (L.) Sw.","669","8.836055","0.574204","0.0222","0.000455"
"Erysimum cheiranthoides L.","526","9.008141","0.441812","0.019264","0.000578"
"Puccinellia phryganodes (Trin.) Scribn. & Merr.","81","9.151904","0.525123","0.058347","0.003755"
"Chaenorhinum minus (L.) Lange","277","8.965079","0.439091","0.026382","0.001098"
"Cynosurus cristatus L.","325","9.030772","0.438986","0.024351","0.000936"
"Centaurea solstitialis L.","176","8.607629","0.713697","0.053797","0.001728"
"Primula veris L.","344","9.035342","0.359443","0.01938","0.000884"
"Cardamine hirsuta L.","485","8.963067","0.567915","0.025788","0.000627"
"Danthonia decumbens (L.) DC.","253","9.145166","0.449346","0.02825","0.001202"
"Arctium lappa L.","394","8.910854","0.463874","0.02337","0.000772"
"Cardamine bulbifera (L.) Crantz","173","9.154039","0.477491","0.036303","0.001758"
"Draba nivalis Lilj.","301","9.136917","0.515255","0.029699","0.00101"
"Drabella muralis (L.) Fourr.","13","8.891111","0.390504","0.108306","0.023396"
"Raphanus sativus L.","258","8.642989","1.024084","0.063757","0.001165"
"Helictochloa pratensis (L.) Romero Zarco","48","8.954557","0.332852","0.048043","0.006336"
"Helictotrichon pratense (L.) Pilg.","24","8.912867","0.399638","0.081576","0.012673"
"Phleum pratense L.","613","9.024593","0.438343","0.017705","0.000496"
"Centaurea montana L.","142","9.124368","0.363527","0.030507","0.002142"
"Galium aparine L.","552","8.87471","0.537175","0.022864","0.000551"
"Lathraea squamaria L.","186","9.026944","0.313777","0.023007","0.001635"
"Glyceria notata Chevall.","304","8.862289","0.469779","0.026944","0.001"
"Ligusticum scoticum L.","113","9.593344","0.443086","0.041682","0.002692"
"Melampyrum arvense L.","202","8.83212","0.364223","0.025627","0.001506"
"Draba alpina L.","222","9.121072","0.586706","0.039377","0.00137"
"Galium mollugo L.","430","9.030117","0.367558","0.017725","0.000707"
"Lolium perenne L.","608","8.914497","0.534465","0.021675","5e-04"
"Cakile maritima Scop.","134","8.798534","0.624394","0.053939","0.00227"
"Primula nutans Georgi","178","8.474052","0.6921","0.051875","0.001709"
"Oenanthe aquatica (L.) Poir.","242","8.923039","0.297154","0.019102","0.001257"
"Solanum melongena L.","270","8.672066","0.809904","0.049289","0.001126"
"Seseli libanotis (L.) W.D.J.Koch","179","8.948804","0.392963","0.029371","0.001699"
"Libanotis pyrenaica (L.) Bourg","8","9.070685","0.492537","0.174138","0.038018"
"Libanotis sibirica (L.) Koch","3","8.79279","0.06226","0.035946","0.101381"
"Crambe maritima L.","42","9.160072","0.419446","0.064722","0.007241"
"Carduus nutans L.","249","8.800146","0.486245","0.030815","0.001221"
"Carduus acanthoides L.","271","8.816659","0.433962","0.026361","0.001122"
"Cardamine parviflora L.","220","9.008103","0.33756","0.022758","0.001382"
"Sium latifolium L.","223","8.900138","0.273564","0.018319","0.001364"
"Solanum rostratum Dunal","554","8.268559","0.726859","0.030881","0.000549"
"Rorippa sylvestris (L.) Besser","263","8.897452","0.380478","0.023461","0.001156"
"Galium spurium L.","255","8.816592","0.54094","0.033875","0.001193"
"Agrostis vinealis Schreb.","432","8.927078","0.554272","0.026667","0.000704"
"Setaria viridis (L.) P.Beauv.","1198","8.480293","0.763879","0.02207","0.000254"
"Solanum americanum Mill.","1179","8.902315","0.832904","0.024257","0.000258"
"Solanum ptychanthum Dunal","200","8.936693","0.496218","0.035088","0.001521"
"Centaurea diffusa Lam.","136","8.668687","0.416564","0.03572","0.002236"
"Eragrostis australasica (Steud.) C.E.Hubb.","144","6.991903","0.605783","0.050482","0.002112"
"Perotis rara R.Br.","265","7.780378","0.718427","0.044133","0.001148"
"Aristida anthoxanthoides (Domin) Henrard","110","6.923275","0.569554","0.054305","0.002765"
"Poa fordeana F.Muell.","74","7.482434","0.682333","0.07932","0.00411"
"Rytidosperma caespitosum (Gaudich.) Connor & Edgar","221","7.687063","0.727437","0.048933","0.001376"
"Alyogyne hakeifolia (Giord.) Alefeld","63","7.512267","0.532577","0.067098","0.004828"
"Setaria verticillata (L.) P.Beauv.","466","7.992112","0.898523","0.041623","0.000653"
"Thyridolepis mitchelliana (Nees) S.T.Blake","152","7.180553","0.501877","0.040708","0.002001"
"Solanum elaeagnifolium Cav.","568","7.883859","0.770146","0.032315","0.000535"
"Vulpia muralis (Kunth) Nees","233","8.024309","0.616769","0.040406","0.001305"
"Aristida contorta F.Muell.","382","7.062198","0.547307","0.028003","0.000796"
"Sida platycalyx F.Muell. ex Benth.","131","7.107092","0.372787","0.032571","0.002322"
"Lepidium phlebopetalum (F.Muell.) F.Muell.","235","6.820147","0.40253","0.026258","0.001294"
"Rytidosperma tenuius (Steud.) O.E.Erikss., A.Hansen & Sunding","90","8.480102","0.60318","0.063581","0.003379"
"Lepidium oxytrichum Sprague","210","6.850041","0.382928","0.026425","0.001448"
"Bromus arenarius Labill.","153","7.37157","0.633467","0.051213","0.001988"
"Solanum quadriloculatum F.Muell.","158","7.099578","0.523006","0.041608","0.001925"
"Nicotiana velutina Wheeler","181","6.949378","0.568213","0.042235","0.00168"
"Tragus australianus S.T.Blake","325","7.265597","0.665949","0.03694","0.000936"
"Solanum petrophilum F.Muell.","71","7.025982","0.418663","0.049686","0.004284"
"Rytidosperma setaceum (R.Br.) Connor & Edgar","182","7.866461","0.659767","0.048905","0.001671"
"Solanum diversiflorum F.Muell.","74","7.295745","0.576214","0.066984","0.00411"
"Solanum ellipticum R.Br.","245","7.22434","0.707214","0.045182","0.001241"
"Poa helmsii Vickery","15","8.985002","0.336242","0.086817","0.020276"
"Solanum chippendalei Symon","75","7.092893","0.322282","0.037214","0.004055"
"Solanum simile F.Muell.","85","7.729632","0.539656","0.058534","0.003578"
"Sporobolus actinocladus (F.Muell.) F.Muell.","238","7.135742","0.601716","0.039003","0.001278"
"Eragrostis dielsii Pilg.","309","6.937806","0.455712","0.025925","0.000984"
"Rytidosperma racemosum (R.Br.) Connor & Edgar","72","8.46215","0.479232","0.056478","0.004224"
"Solanum sturtianum F.Muell.","111","6.933859","0.430032","0.040817","0.00274"
"Lepidium leptopetalum (F.Muell.) F.Muell.","32","7.317745","0.480766","0.084988","0.009504"
"Paspalidium constrictum (Domin) C.E.Hubb.","237","7.410149","0.609345","0.039581","0.001283"
"Solanum chenopodinum F.Muell.","67","6.89402","0.48904","0.059746","0.004539"
"Asperula conferta Hook.f.","136","8.167055","0.595001","0.051021","0.002236"
"Daucus glochidiatus (Labill.) Fisch., C.A.Mey. & Avé-Lall.","373","7.50908","0.801775","0.041514","0.000815"
"Echinochloa esculenta (A.Braun) H.Scholz","106","8.506498","0.805458","0.078233","0.002869"
"Solanum nemophilum F.Muell.","22","8.185108","0.350936","0.07482","0.013825"
"Eriachne mucronata R.Br.","287","7.255406","0.601426","0.035501","0.00106"
"Themeda triandra Forssk.","749","8.116416","0.869416","0.031768","0.000406"
"Solanum centrale J.M.Black","135","6.859785","0.385341","0.033165","0.002253"
"Grammosolen truncatus (Ising) Haegi","16","6.905555","0.511429","0.127857","0.019009"
"Sacciolepis indica (L.) Chase","346","9.122145","0.564725","0.03036","0.000879"
"Enneapogon polyphyllus (Domin) N.T.Burb.","336","7.167254","0.574356","0.031334","0.000905"
