"species","n_bio_ai","mean_bio_ai","sd_bio_ai","se_bio_ai","within_sp_var_bio_ai"
"Panicum capillare L.","509","8.459637","0.792633","0.035133","0.000598"
"Croton pungens Jacq.","21","9.112808","0.400267","0.087345","0.014483"
"Chamaesaracha sordida (Dunal) A.Gray","83","7.452776","0.368363","0.040433","0.003664"
"Eragrostis pectinacea (Michx.) Nees","588","8.387881","0.808367","0.033336","0.000517"
"Sporobolus indicus (L.) R.Br.","438","8.861949","0.584863","0.027946","0.000694"
"Physalis cinerascens Hitchc.","64","8.256184","0.560801","0.0701","0.004752"
"Solanum stoloniferum Schltdl. & Bouché","81","8.17608","0.51836","0.057596","0.003755"
"Datura innoxia Mill.","105","8.003551","0.585493","0.057138","0.002897"
"Loeselia coerulea (Cav.) G.Don","42","7.974746","0.438215","0.067618","0.007241"
"Lepidium virginicum L.","497","8.586917","0.693287","0.031098","0.000612"
"Polemonium pauciflorum S.Watson","14","7.980693","0.397846","0.106329","0.021724"
"Agrostis hyemalis (Walter) Britton, Sterns & Poggenb.","336","8.869337","0.429189","0.023414","0.000905"
"Arundinella deppeana Nees","76","9.209611","0.454182","0.052098","0.004002"
"Houstonia wrightii A.Gray","55","7.945155","0.420598","0.056713","0.00553"
"Panicum hirticaule J.Presl","190","7.977332","0.902823","0.065498","0.001601"
"Croton californicus Müll.Arg.","82","6.97019","0.823818","0.090975","0.003709"
"Salvia reflexa Hornem.","231","7.927807","0.527184","0.034686","0.001317"
"Panicum virgatum L.","517","8.584845","0.64012","0.028152","0.000588"
"Oenothera patriciae W.L.Wagner & Hoch","18","8.230053","0.276796","0.065241","0.016897"
"Quincula lobata (Torr.) Raf.","127","7.593541","0.524876","0.046575","0.002395"
"Croton humilis L.","38","8.547802","0.414843","0.067296","0.008004"
"Columnea schiedeana Schltdl.","22","9.220167","0.562302","0.119883","0.013825"
"Salvia iodantha Fernald","29","8.646806","0.253823","0.047134","0.010488"
"Salvia arbuscula Fernald","13","8.825101","0.159092","0.044124","0.023396"
"Poa fendleriana (Steud.) Vasey","200","7.88361","0.549572","0.038861","0.001521"
"Elymus canadensis L.","526","8.448342","0.668125","0.029132","0.000578"
"Elymus wiegandii Fernald","48","9.130117","0.310226","0.044777","0.006336"
"Muhlenbergia lindheimeri Hitchc.","16","7.925589","0.416738","0.104184","0.019009"
"Muhlenbergia arenicola Buckley","98","7.505772","0.339845","0.03433","0.003103"
"Salvia cinnabarina M.Martens & Galeotti","46","8.830749","0.436487","0.064356","0.006612"
"Hunzikeria texana (Torr.) D' Arcy","19","7.687574","0.430355","0.09873","0.016007"
"Eragrostis intermedia Hitchc.","211","8.097909","0.653597","0.044995","0.001441"
"Anoda crenatiflora Ortega","46","8.073745","0.583092","0.085972","0.006612"
"Axonopus fissifolius (Raddi) Kuhlm.","248","9.156126","0.469611","0.02982","0.001226"
"Ludwigia glandulosa Walter","79","8.976833","0.233309","0.026249","0.00385"
"Sporobolus airoides (Torr.) Torr.","288","7.519807","0.61023","0.035958","0.001056"
"Ipomopsis aggregata (Pursh) V.E.Grant","142","8.075925","0.579684","0.048646","0.002142"
"Panicum tenerum Beyr. ex Trin.","32","9.104308","0.280152","0.049524","0.009504"
"Cynosciadium digitatum Nutt. ex DC.","37","8.97267","0.234532","0.038557","0.00822"
"Paspalum distichum L.","401","8.259533","0.844415","0.042168","0.000758"
"Croton xalapensis Kunth","47","9.103061","0.515798","0.075237","0.006471"
"Setaria leucopila (Scribn. & Merr.) K.Schum.","188","7.598184","0.492006","0.035883","0.001618"
"Daucus pusillus Michx.","250","8.317103","0.890925","0.056347","0.001217"
"Salvia keerlii Benth.","30","8.128266","0.434682","0.079362","0.010138"
"Cenchrus incertus M.A.Curtis","297","8.178454","0.840055","0.048745","0.001024"
"Salvia karwinskii Benth.","23","9.055733","0.367249","0.076577","0.013224"
"Lasiacis nigra Davidse","152","9.136725","0.609204","0.049413","0.002001"
"Aristida purpurascens Poir.","130","8.92056","0.343485","0.030126","0.00234"
"Thysanocarpus erectus S.Watson","9","6.711665","0.159454","0.053151","0.033794"
"Pedicularis canadensis L.","271","8.965635","0.33388","0.020282","0.001122"
"Limnosciadium pinnatum (Nutt. ex DC.) Mathias & Constance","34","8.828129","0.283822","0.048675","0.008945"
"Lepidium oblongum Small","134","7.914728","0.758666","0.065539","0.00227"
"Physalis hederifolia A.Gray","164","7.546666","0.485416","0.037905","0.001855"
"Hesperidanthus linearifolius (A.Gray) Rydb.","69","7.750554","0.465376","0.056025","0.004408"
"Callirhoe involucrata (Nutt. ex Torr. & A.Gray) A.Gray","74","8.118449","0.479036","0.055687","0.00411"
"Polytaenia texana (J.M.Coult. & Rose) Mathias & Constance","16","8.496622","0.292245","0.073061","0.019009"
"Oenothera cinerea (Wooton & Standl.) W.L.Wagner & Hoch","12","7.825192","0.50642","0.146191","0.025345"
"Salvia forreri Greene","25","8.189314","0.432087","0.086417","0.012166"
"Physalis philadelphica Lam.","90","8.373294","0.768278","0.080984","0.003379"
"Croton virletianus Müll.Arg.","7","7.879328","0.327577","0.123812","0.043449"
"Sporobolus clandestinus (Biehler) Hitchc.","122","8.88743","0.319025","0.028883","0.002493"
"Hypericum gentianoides (L.) Britton, Sterns & Poggenb.","177","9.100206","0.20931","0.015733","0.001718"
"Erioneuron nealleyi (Vasey) Tateoka","41","7.557404","0.340773","0.05322","0.007418"
"Erioneuron avenaceum (Kunth) Tateoka","62","7.653711","0.411319","0.052238","0.004906"
"Bouteloua aristidoides (Kunth) Griseb.","214","7.427382","0.715483","0.048909","0.001421"
"Imperata brevifolia Vasey","24","7.076619","0.811735","0.165695","0.012673"
"Cestrum glanduliferum Kerber ex Francey","41","9.295746","0.453956","0.070896","0.007418"
"Bothriochloa barbinodis (Lag.) Herter","250","7.762084","0.63367","0.040077","0.001217"
"Sporobolus wrightii Scribn.","98","7.484019","0.506161","0.05113","0.003103"
"Abutilon incanum (Link) Sweet","73","7.338542","0.587726","0.068788","0.004166"
"Crusea calocephala DC.","59","9.044956","0.44519","0.057959","0.005155"
"Cestrum guatemalense Francey","10","9.220157","0.424438","0.134219","0.030414"
"Croton ciliatoglandulifer Ortega","107","8.323459","0.524065","0.050663","0.002842"
"Aristida arizonica Vasey","80","7.741121","0.502252","0.056153","0.003802"
"Sorghastrum nutans (L.) Nash","439","8.604817","0.594637","0.02838","0.000693"
"Aristida curvifolia E.Fourn.","21","7.639504","0.286444","0.062507","0.014483"
"Salvia rubiginosa Benth.","26","8.989598","0.51682","0.101357","0.011698"
"Salvia mocinoi Benth.","46","8.95136","0.314047","0.046304","0.006612"
"Limnosciadium pumilum (Engelm. & A.Gray) Mathias & Constance","18","8.682878","0.335829","0.079156","0.016897"
"Lycium berlandieri Dunal","85","7.229784","0.448579","0.048655","0.003578"
"Croton lechleri Müll.Arg.","54","9.641731","0.742471","0.101038","0.005632"
"Panicum maximum Jacq.","554","8.804134","0.642743","0.027308","0.000549"
"Spermolepis inermis (Nutt. ex DC.) Mathias & Constance","90","8.492576","0.50802","0.05355","0.003379"
"Eragrostis lugens Nees","263","8.550843","0.634379","0.039117","0.001156"
"Oplismenus hirtellus (L.) P.Beauv.","686","9.126909","0.517406","0.019755","0.000443"
"Salvia stolonifera Benth.","5","8.616625","0.380902","0.170345","0.060828"
"Phalaris caroliniana Walter","161","8.220083","0.851433","0.067102","0.001889"
"Salvia ballotiflora Benth.","59","7.749359","0.404537","0.052666","0.005155"
"Chaerophyllum tainturieri Hook. & Arn.","173","8.876898","0.369408","0.028086","0.001758"
"Spartina patens (Aiton) Muhl.","79","9.119451","0.399934","0.044996","0.00385"
"Croton urucurana Baill.","167","9.169222","0.279042","0.021593","0.001821"
"Hordeum pusillum Nutt.","308","8.337347","0.709334","0.040418","0.000987"
"Hordeum intercedens Nevski","18","7.4073","0.500784","0.118036","0.016897"
"Salvia greggii A.Gray","45","7.703543","0.401081","0.05979","0.006759"
"Croton nitens Sw.","17","8.929206","0.354668","0.08602","0.017891"
"Witheringia solanacea L'Hér.","188","9.545361","0.531898","0.038793","0.001618"
"Salvia roemeriana Scheele","34","7.827499","0.446242","0.07653","0.008945"
"Salvia jaimehintoniana Ramamoorthy ex B.L.Turner","8","8.16869","0.345729","0.122234","0.038018"
"Muhlenbergia flaviseta Scribn.","14","8.140192","0.341389","0.09124","0.021724"
"Brachiaria fasciculata (Sw.) Parodi","129","8.481438","0.772979","0.068057","0.002358"
"Muhlenbergia microsperma (DC.) Kunth","146","7.579353","0.845083","0.06994","0.002083"
"Bouteloua rigidiseta (Steud.) Hitchc.","52","8.229104","0.404815","0.056138","0.005849"
"Nectouxia formosa Kunth","25","8.395107","0.510593","0.102119","0.012166"
"Croton dioicus Cav.","94","7.690295","0.47328","0.048815","0.003236"
"Brachistus stramonifolius (Kunth) Miers","33","9.004814","0.503395","0.08763","0.009216"
"Cakile lanceolata (Willd.) O.E.Schulz","40","8.79822","0.401779","0.063527","0.007604"
"Cakile lanceolata subsp. pseudoconstricta Rodman","1","8.271804",NA,NA,"0.304142"
"Salvia carnea Kunth","39","9.253008","0.379631","0.06079","0.007799"
"Salvia simulans Fernald","5","8.907549","0.566607","0.253394","0.060828"
"Salvia myriantha Epling","4","9.306584","0.454308","0.227154","0.076035"
"Salvia ionocalyx Epling","2","9.089442","0.10245","0.072443","0.152071"
"Solanum verrucosum Schltdl.","31","8.484441","0.534499","0.095999","0.009811"
"Calamovilfa gigantea (Nutt.) Scribn. & Merr.","28","7.573545","0.453345","0.085674","0.010862"
"Ipomopsis havardii (A.Gray) V.E.Grant","5","7.437468","0.229229","0.102514","0.060828"
"Croton monanthogynus Michx.","167","8.630343","0.513039","0.0397","0.001821"
"Chloris canterae Arechav.","70","8.668135","0.365465","0.043681","0.004345"
"Salvia manantlanensis Ramamoorthy","2","9.039908","0.145224","0.102689","0.152071"
"Salvia tiliifolia Vahl","123","8.544715","0.657584","0.059292","0.002473"
"Vaseyochloa multinervosa (Vasey) Hitchc.","6","8.33149","0.276331","0.112812","0.05069"
"Lycium parishii A.Gray","11","6.70395","0.465726","0.140422","0.027649"
"Salvia elegans Vahl","57","8.604235","0.497262","0.065864","0.005336"
"Croton salutaris Casar.","16","9.316217","0.144062","0.036016","0.019009"
"Ipomopsis tenuifolia (A.Gray) V.E.Grant","13","7.145856","0.762585","0.211503","0.023396"
"Thelypodium wrightii A.Gray","48","7.569709","0.334044","0.048215","0.006336"
"Draba helleriana Greene","35","8.079777","0.463106","0.078279","0.00869"
"Oenothera brachycarpa A.Gray","42","7.382059","0.270897","0.0418","0.007241"
"Cestrum oblongifolium Schltdl.","27","8.483244","0.564362","0.108612","0.011265"
"Eragrostis obtusiflora (E.Fourn.) Scribn.","19","7.600465","0.47596","0.109193","0.016007"
"Salvia lycioides A.Gray","33","7.610939","0.268074","0.046666","0.009216"
"Calamagrostis purpurascens R.Br.","406","8.742203","0.51455","0.025537","0.000749"
"Sida aggregata C.Presl","61","8.770862","0.452617","0.057952","0.004986"
"Vulpia octoflora (Walter) Rydb.","482","8.178694","0.874828","0.039847","0.000631"
"Salvia thyrsiflora Benth.","15","8.721803","0.259023","0.066879","0.020276"
"Croton punctatus Jacq.","77","8.880421","0.510201","0.058143","0.00395"
"Solanum tampicense Dunal","50","9.045701","0.484302","0.068491","0.006083"
"Erysimum capitatum (Douglas ex Hook.) Greene","249","8.05866","0.731089","0.046331","0.001221"
"Andropogon gerardii Vitman","497","8.623936","0.571987","0.025657","0.000612"
"Muhlenbergia arenacea (Buckley) Hitchc.","57","7.432806","0.358825","0.047528","0.005336"
"Croton argyranthemus Michx.","51","8.664514","0.567838","0.079513","0.005964"
"Oenothera curtiflora W.L.Wagner & Hoch","168","8.021727","0.555951","0.042893","0.00181"
"Digitaria californica (Benth.) Henrard","196","7.626976","0.596381","0.042599","0.001552"
"Muhlenbergia villiflora Hitchc.","19","7.588328","0.275396","0.06318","0.016007"
"Elymus elymoides (Raf.) Swezey","275","7.867502","0.66402","0.040042","0.001106"
"Piptochaetium seleri (Pilg.) Henrard","17","8.457138","0.47273","0.114654","0.017891"
"Croton willdenowii G.L.Webster","66","9.067581","0.202685","0.024949","0.004608"
"Metcalfia mexicana (Scribn.) Conert","14","7.628875","0.308475","0.082443","0.021724"
"Muhlenbergia utilis (Torr.) Hitchc.","50","8.001454","0.56709","0.080199","0.006083"
"Aristida ternipes Cav.","172","8.078588","0.72854","0.055551","0.001768"
"Cirsium ochrocentrum A.Gray","126","7.651006","0.308252","0.027461","0.002414"
"Lycium puberulum A.Gray","12","7.131101","0.253324","0.073128","0.025345"
"Salvia helianthemifolia Benth.","21","8.469112","0.534927","0.116731","0.014483"
"Lycium brevipes Benth.","45","6.67908","0.693299","0.103351","0.006759"
"Tripsacum dactyloides (L.) L.","248","8.725465","0.492574","0.031278","0.001226"
"Houstonia rubra Cav.","47","7.456257","0.29938","0.043669","0.006471"
"Solanum appendiculatum Humb. & Bonpl. ex Dunal","54","8.928962","0.52407","0.071317","0.005632"
"Aristida desmantha Trin. & Rupr.","24","8.799027","0.329191","0.067196","0.012673"
"Oenothera heterophylla Spach","15","8.773254","0.317305","0.081928","0.020276"
"Salvia vitifolia Benth.","17","8.816454","0.443488","0.107562","0.017891"
"Muhlenbergia glauca (Nees) Mez","31","7.818435","0.381992","0.068608","0.009811"
"Aristida pansa Wooton & Standl.","71","7.541583","0.451828","0.053622","0.004284"
"Bouteloua warnockii Gould & Kapadia","9","7.213262","0.125842","0.041947","0.033794"
"Phlox nana Nutt.","44","7.552004","0.342587","0.051647","0.006912"
"Phlox roemeriana Scheele","18","8.191632","0.31589","0.074456","0.016897"
"Muhlenbergia rigida (Kunth) Kunth","158","8.138884","0.558889","0.044463","0.001925"
"Paspalum conjugatum P.J.Bergius","482","9.213608","0.558005","0.025416","0.000631"
"Calibrachoa parviflora (Juss.) D' Arcy","118","7.934742","0.748154","0.068873","0.002577"
"Croton schiedeanus Schltdl.","123","9.435291","0.492079","0.044369","0.002473"
"Galium mexicanum var. asperrimum (A.Gray) L.C.Higgins & S.L.Welsh","20","8.201807","0.535479","0.119737","0.015207"
"Navarretia fossalis Moran","7","7.443351","0.135209","0.051104","0.043449"
"Ludwigia palustris (L.) Elliott","402","8.908274","0.545266","0.027195","0.000757"
"Oenothera sinuosa W.L.Wagner & Hoch","21","8.214911","0.264658","0.057753","0.014483"
"Salvia occidentalis Sw.","138","9.091968","0.578511","0.049246","0.002204"
"Croton texensis (Klotzsch) Müll.Arg.","180","7.804681","0.556438","0.041474","0.00169"
"Agrostis scabra Willd.","926","8.866671","0.68022","0.022353","0.000328"
"Muhlenbergia setifolia Vasey","34","7.589746","0.427426","0.073303","0.008945"
"Pseudabutilon umbellatum (L.) Fryxell","39","8.671838","0.412992","0.066132","0.007799"
"Muhlenbergia depauperata Scribn.","67","7.712225","0.33895","0.041409","0.004539"
"Tauschia texana A.Gray","7","8.525217","0.459609","0.173716","0.043449"
"Salvia longispicata M.Martens & Galeotti","34","8.86905","0.482083","0.082677","0.008945"
"Loeselia ciliata L.","69","8.627608","0.639614","0.077","0.004408"
"Loeselia involucrata G.Don","10","8.117588","0.46014","0.145509","0.030414"
"Chamaesaracha coronopus (Dunal) A.Gray","115","7.430482","0.439135","0.04095","0.002645"
"Streptanthus platycarpus A.Gray","11","7.542757","0.479524","0.144582","0.027649"
"Salvia compsostachys Epling","5","8.237138","0.361854","0.161826","0.060828"
"Andropogon glomeratus (Walter) Britton, Sterns & Poggenb.","239","8.571345","0.886023","0.057312","0.001273"
"Eragrostis spectabilis (Pursh) Steud.","301","8.82194","0.452984","0.02611","0.00101"
"Piptochaetium avenaceum (L.) Parodi","101","9.043359","0.238347","0.023716","0.003011"
"Croton caboensis Croizat","7","7.113166","0.237258","0.089675","0.043449"
"Solanum carolinense L.","269","8.901508","0.417659","0.025465","0.001131"
"Luehea candida (DC.) Mart.","81","8.889808","0.359243","0.039916","0.003755"
"Muhlenbergia asperifolia (Nees & Meyen ex Trin.) Parodi","376","7.738633","0.70264","0.036236","0.000809"
"Andropogon ternarius Michx.","134","8.956081","0.329506","0.028465","0.00227"
"Croton gracilipes Baill.","79","8.871127","0.397247","0.044694","0.00385"
"Croton pseudoniveus Lundell","26","8.723556","0.498636","0.097791","0.011698"
"Croton andinus Müll.Arg.","37","8.404184","0.429538","0.070616","0.00822"
"Brachypodium mexicanum (Roem. & Schult.) Link","95","8.570125","0.665183","0.068246","0.003201"
"Croton oerstedianus Müll.Arg.","16","8.803809","0.336129","0.084032","0.019009"
"Croton lundellii Standl.","21","8.833499","0.511081","0.111527","0.014483"
"Streptanthus carinatus C.Wright","19","7.250867","0.204445","0.046903","0.016007"
"Lepidium lasiocarpum Nutt.","135","7.119664","0.677604","0.058319","0.002253"
"Stipa leucotricha Trin. & Rupr.","27","8.237528","0.516732","0.099445","0.011265"
"Hochreutinera amplexifolia (DC.) Fryxell","26","8.872485","0.388021","0.076097","0.011698"
"Trepocarpus aethusae Nutt. ex DC.","59","9.048051","0.200898","0.026155","0.005155"
"Poa autumnalis Muhl. ex Elliott","89","9.09119","0.136655","0.014485","0.003417"
"Muhlenbergia dubia E.Fourn.","73","8.040268","0.475567","0.055661","0.004166"
"Croton matourensis Aubl.","133","9.696653","0.374562","0.032479","0.002287"
"Plectocephalus americanus (Nutt.) D.Don","84","8.026187","0.601664","0.065647","0.003621"
"Clarkia epilobioides (Nutt.) A.Nelson & J.F.Macbr.","30","7.616036","0.447425","0.081688","0.010138"
"Ipomopsis sonorae (Rose) A.D.Grant","7","7.255044","0.503476","0.190296","0.043449"
"Croton alamosanus Rose","36","8.15219","0.446832","0.074472","0.008448"
"Ludwigia peploides (Kunth) P.H.Raven","254","8.598217","0.80014","0.050205","0.001197"
"Cirsium neomexicanum A.Gray","86","7.353337","0.46603","0.050253","0.003537"
"Daucosma laciniatum Engelm. & A.Gray","8","8.163253","0.436316","0.154261","0.038018"
"Salvia lasiocephala Hook. & Arn.","82","8.980308","0.612398","0.067628","0.003709"
"Salvia bupleuroides C.Presl ex Benth.","4","8.874795","0.277365","0.138682","0.076035"
"Galium circaezans Michx.","139","8.969985","0.28802","0.02443","0.002188"
"Pappophorum bicolor E.Fourn.","50","7.650249","0.38067","0.053835","0.006083"
"Physalis mollis Nutt.","32","8.428821","0.531997","0.094045","0.009504"
"Lycianthes peduncularis (Schltdl.) Bitter","9","8.195946","0.372061","0.12402","0.033794"
"Billieturnera helleri (Rose ex A.Heller) Fryxell","13","7.997179","0.24144","0.066963","0.023396"
"Munroa squarrosa (Nutt.) Torr.","120","7.491323","0.389675","0.035572","0.002535"
"Oenothera linifolia Nutt.","69","8.922332","0.242745","0.029223","0.004408"
"Hypericum galioides Lam.","46","9.07609","0.122823","0.018109","0.006612"
"Maurandya scandens (Cav.) Pers.","30","8.505074","0.633141","0.115595","0.010138"
"Agalinis purpurea (L.) Pennell","141","9.062275","0.17178","0.014466","0.002157"
"Didymaea alsinoides (Cham. & Schltdl.) Standl.","13","8.608191","0.452081","0.125385","0.023396"
"Olmeca recta Soderstr.","5","9.550595","0.270214","0.120843","0.060828"
"Lupinus bicolor Lindl.","78","8.098781","0.911517","0.103209","0.003899"
"Lycium fremontii A.Gray","46","6.650487","0.552808","0.081507","0.006612"
"Solanum refractum Hook. & Arn.","34","8.682708","0.358843","0.061541","0.008945"
"Solanum bicorne Dunal","16","8.577623","0.354365","0.088591","0.019009"
"Bouteloua repens (Kunth) Scribn. & Merr.","170","8.313818","0.68616","0.052626","0.001789"
"Opizia stolonifera J.Presl","36","8.548868","0.395088","0.065848","0.008448"
"Muhlenbergia fragilis Swallen","89","7.829338","0.547984","0.058086","0.003417"
"Solanum cardiophyllum Lindl.","20","8.324463","0.45295","0.101283","0.015207"
"Oenothera calcicola (P.H.Raven & D.P.Greg.) W.L.Wagner & Hoch","15","7.749133","0.298253","0.077009","0.020276"
"Bromus pubescens Muhl. ex Willd.","191","8.980854","0.243186","0.017596","0.001592"
"Salvia farinacea Benth.","45","7.883878","0.525681","0.078364","0.006759"
"Schizachyrium sanguineum (Retz.) Alston","494","8.775284","0.592545","0.02666","0.000616"
"Salvia engelmannii A.Gray","8","8.055401","0.458169","0.161987","0.038018"
"Uniola paniculata L.","43","8.838789","0.301532","0.045983","0.007073"
"Ipomopsis rubra (L.) Wherry","64","8.601803","0.503365","0.062921","0.004752"
"Oxypolis rigidior (L.) Raf.","114","9.074439","0.15844","0.014839","0.002668"
"Lepidium austrinum Small","58","8.053593","0.500696","0.065745","0.005244"
"Solanum ehrenbergii (Bitter) Rydb.","10","7.96572","0.295304","0.093383","0.030414"
"Pavonia schiedeana Steud.","115","9.394297","0.442991","0.041309","0.002645"
"Cobaea pachysepala Standl.","7","9.163486","0.387773","0.146564","0.043449"
"Salvia microphylla Kunth","75","8.23188","0.566097","0.065367","0.004055"
"Salvia neurepia Fernald","1","9.144841",NA,NA,"0.304142"
"Sporobolus atrovirens (Kunth) Kunth","38","8.183364","0.389719","0.063221","0.008004"
"Hordeum jubatum L.","716","8.446814","0.716162","0.026764","0.000425"
"Hypericum sphaerocarpum Michx.","65","8.984532","0.150154","0.018624","0.004679"
"Muhlenbergia capillaris (Lam.) Trin.","155","8.79708","0.424341","0.034084","0.001962"
"Phlox cuspidata Scheele","18","8.546583","0.274536","0.064709","0.016897"
"Datura stramonium L.","102","8.458822","0.507078","0.050208","0.002982"
"Periptera punicea (Lag.) DC.","34","8.491573","0.371271","0.063672","0.008945"
"Melica mutica Walter","101","9.034228","0.224527","0.022341","0.003011"
"Aristida hamulosa Henrard","78","7.564652","0.58744","0.066514","0.003899"
"Maurandella antirrhiniflora (Humb. & Bonpl. ex Willd.) Rothm.","62","7.438418","0.489285","0.062139","0.004906"
"Muhlenbergia longiligula Hitchc.","44","7.969997","0.397972","0.059997","0.006912"
"Oenothera serrulata Nutt.","179","8.113331","0.415071","0.031024","0.001699"
"Oenothera filiformis (Small) W.L.Wagner & Hoch","61","8.888982","0.183044","0.023436","0.004986"
"Oenothera spachiana Torr. & A.Gray","19","8.933622","0.185388","0.042531","0.016007"
"Cestrum aurantiacum Lindl.","41","8.980761","0.401647","0.062727","0.007418"
"Cestrum regelii Planch.","5","9.00445","0.239556","0.107133","0.060828"
"Gilia diegensis (Munz) A.D.Grant & V.E.Grant","10","7.460598","0.57647","0.182296","0.030414"
"Leptochloa viscida (Scribn.) Beal","47","7.054752","0.600877","0.087647","0.006471"
"Cestrum elegans (Brongn.) Schltdl.","12","9.050171","0.474224","0.136897","0.025345"
"Solanum donianum Walp.","30","8.845807","0.337118","0.061549","0.010138"
"Schizachyrium brevifolium (Sw.) Buse","345","9.027758","0.553663","0.029808","0.000882"
"Salvia herbacea Benth.","7","8.691975","0.531129","0.200748","0.043449"
"Maurandya barclaiana Lindl.","25","7.90723","0.453861","0.090772","0.012166"
"Bakeridesia gaumeri (Standl.) D.M.Bates","10","8.721727","0.133783","0.042306","0.030414"
"Solanum tridynamum Dunal","66","8.315939","0.605556","0.074539","0.004608"
"Salvia fulgens Cav.","22","8.568967","0.343279","0.073187","0.013825"
"Salvia cardinalis Kunth","11","8.549333","0.496682","0.149755","0.027649"
"Arundinella berteroniana (Schult.) Hitchc. & Chase","142","9.319325","0.585031","0.049095","0.002142"
"Salvia chamaedryoides Cav.","21","8.026452","0.589778","0.1287","0.014483"
"Columnea erythrophaea Decne. ex Houllet","4","9.148725","0.187936","0.093968","0.076035"
"Arracacia nelsonii J.M.Coult. & Rose","10","9.044763","0.300242","0.094945","0.030414"
"Lupinus excubitus M.E.Jones","31","7.380052","0.795414","0.142861","0.009811"
"Bromus carinatus Hook. & Arn.","245","8.327306","0.831733","0.053137","0.001241"
"Croton lindheimerianus Scheele","58","7.854432","0.527028","0.069202","0.005244"
"Triplasis purpurea (Walter) Chapm.","151","8.626217","0.552148","0.044933","0.002014"
"Schizachyrium scoparium (Michx.) Nash","385","8.53446","0.649354","0.033094","0.00079"
"Bastardiastrum cinctum (Brandegee) D.M.Bates","12","7.765544","0.463685","0.133854","0.025345"
"Eragrostis sessilispica Buckley","48","8.084748","0.386719","0.055818","0.006336"
"Spartina alterniflora Loisel.","95","9.273282","0.313396","0.032154","0.003201"
"Setaria grisebachii E.Fourn.","156","7.877318","0.592088","0.047405","0.00195"
"Loeselia pumila (Mart. & Galeotti) Walp.","35","8.412426","0.296849","0.050177","0.00869"
"Muhlenbergia rigens (Benth.) Hitchc.","119","7.572074","0.539984","0.0495","0.002556"
"Eragrostis reptans (Michx.) Nees","58","8.560924","0.425734","0.055902","0.005244"
"Ipomopsis pinnata (Cav.) V.E.Grant","27","7.955753","0.326304","0.062797","0.011265"
"Ptilimnium nuttallii (DC.) Britton","57","8.923702","0.204778","0.027124","0.005336"
"Croton niveus Jacq.","94","8.672332","0.504983","0.052085","0.003236"
"Abutilon abutiloides (Jacq.) Garcke","77","7.884497","0.610795","0.069607","0.00395"
"Brachiaria arizonica (Scribn. & Merr.) S.T.Blake","60","7.352964","0.584186","0.075418","0.005069"
"Bouteloua triaena (Trin.) Scribn.","38","8.363743","0.435361","0.070625","0.008004"
"Physalis crassifolia Benth.","85","6.807394","0.660728","0.071666","0.003578"
"Axonopus furcatus (Flüggé) Hitchc.","49","8.995681","0.141897","0.020271","0.006207"
"Cestrum fasciculatum (Schltdl.) Miers","20","8.915034","0.577673","0.129172","0.015207"
"Physalis heterophylla Nees","104","8.852174","0.455605","0.044676","0.002924"
"Melica imperfecta Trin.","47","7.594715","0.766974","0.111875","0.006471"
"Eriochloa acuminata (J.Presl) Kunth","91","7.640938","0.844497","0.088527","0.003342"
"Croton yecorensis V.W.Steinmann & Felger","2","8.441228","0.079149","0.055967","0.152071"
"Salvia melissodora Lag.","38","8.320904","0.364845","0.059186","0.008004"
"Croton organensis Baill.","9","9.486282","0.107233","0.035744","0.033794"
"Salvia hispanica L.","58","8.6778","0.467664","0.061407","0.005244"
"Brachiaria meziana Hitchc.","34","8.042129","0.380032","0.065175","0.008945"
"Schizachyrium tenerum Nees","164","8.926424","0.523654","0.040891","0.001855"
"Oenothera kunthiana (Spach) Munz","94","8.054569","0.687554","0.070916","0.003236"
"Aristida dichotoma Michx.","124","9.03994","0.217635","0.019544","0.002453"
"Glyceria striata (Lam.) Hitchc.","738","8.768621","0.622151","0.022902","0.000412"
"Paspalum nutans Lam.","63","9.345419","0.372486","0.046929","0.004828"
"Hypericum silenoides Juss.","82","8.559037","0.957791","0.10577","0.003709"
"Salvia misella Kunth","141","8.695129","0.631125","0.05315","0.002157"
"Muhlenbergia setarioides E.Fourn.","9","9.184383","0.411928","0.137309","0.033794"
"Enantiophylla heydeana J.M.Coult. & Rose","20","8.744314","0.26944","0.060249","0.015207"
"Houstonia pusilla Schoepf","123","8.975836","0.227015","0.020469","0.002473"
"Trichospermum mexicanum (DC.) Baill.","57","9.439802","0.512027","0.06782","0.005336"
"Trichospermum grewiifolium (A.Rich.) Kosterm.","61","9.431342","0.451491","0.057807","0.004986"
"Salvia clinopodioides Kunth","8","8.600007","0.172319","0.060924","0.038018"
"Oenothera primiveris A.Gray","69","6.855954","0.589981","0.071025","0.004408"
"Neogoezia gracilipes (Hemsl.) Hemsl.","8","8.68961","0.34507","0.122001","0.038018"
"Panicum obtusum Kunth","176","7.73593","0.508044","0.038295","0.001728"
"Pennisetum nervosum (Nees) Trin.","31","8.860339","0.482964","0.086743","0.009811"
"Salvia recurva Benth.","13","8.938236","0.479724","0.133051","0.023396"
"Aristida jorullensis Kunth","47","8.786861","0.39924","0.058235","0.006471"
"Physalis lagascae Roem. & Schult.","96","8.82079","0.526289","0.053714","0.003168"
"Physalis minima L.","7","8.525635","0.358514","0.135506","0.043449"
