"species","n_temp","mean_temp","se_temp","within_sp_var_temp","life_form"
"Nanorrhinum petranum (Danin) Yousefi & Zarre",NA,NA,NA,NA,"no_life_form_on_database"
"Nanorrhinum ramosissimum (Wall.) Betsche",3,5.644322,0.002368,1.8e-05,"perennial"
"Nanorrhinum sagittatum (Poir.) Yousefi & Zarre",NA,NA,NA,NA,"no_life_form_on_database"
"Nanorrhinum scariosepalum (Täckh. & Boulos) Yousefi & Zarre",NA,NA,NA,NA,"no_life_form_on_database"
"Nanorrhinum scoparium (Brouss. ex Spreng.) Yousefi & Zarre",2,5.634564,0.021254,2.7e-05,"no_life_form_on_database"
"Nanorrhinum urbani (Pit.) Yousefi & Zarre",NA,NA,NA,NA,"no_life_form_on_database"
"Nanorrhinum woodii (D.A.Sutton) Ghebr.",NA,NA,NA,NA,"no_life_form_on_database"
"Neogaerrhinum filipes (A.Gray) Rothm.",14,5.655316,0.000492,4e-06,"annual"
"Neogaerrhinum strictum (Hook. & Arn.) Rothm.",2,5.650028,0.001935,2.7e-05,"annual"
"Pseudomisopates Guemes_indet_sp1",NA,NA,NA,NA,"no_life_form_on_database"
"Pseudorontium cyathiferum (Benth.) Rothm.",25,5.643368,0.002016,2e-06,"annual"
"Rhodochiton atrosanguineum (Zucc.) Rothm.",1,5.639244,NA,5.4e-05,"perennial"
"Sairocarpus breweri (A.Gray) D.A.Sutton",1,5.652665,NA,5.4e-05,"no_life_form_on_database"
"Sairocarpus cornutus (Benth.) D.A.Sutton",3,5.654183,0.00065,1.8e-05,"annual"
"Sairocarpus costatus (Wiggins) D.A.Sutton",1,5.657215,NA,5.4e-05,"no_life_form_on_database"
"Sairocarpus coulterianus (A.DC.) D.A.Sutton",3,5.652067,0.00356,1.8e-05,"annual"
"Sairocarpus elmeri (Rothm.) D.A.Sutton",NA,NA,NA,NA,"no_life_form_on_database"
"Sairocarpus kingii (S.Watson) D.A.Sutton",5,5.652524,0.000361,1.1e-05,"annual"
"Sairocarpus multiflorus (Pennell) D.A.Sutton",2,5.640123,0.004441,2.7e-05,"annual"
"Sairocarpus nuttallianus (A.DC.) D.A.Sutton",15,5.648016,0.002088,4e-06,"annual"
"Sairocarpus subcordatus (A.Gray) D.A.Sutton",NA,NA,NA,NA,"annual"
"Sairocarpus vexillocalyculatus (Kellogg) D.A.Sutton",1,5.654067,NA,5.4e-05,"annual"
"Sairocarpus vexillocalyculatus subsp. intermedius (D.M.Thomps.) Barringer",NA,NA,NA,NA,"annual"
"Sairocarpus virga (A.Gray) D.A.Sutton",NA,NA,NA,NA,"perennial"
"Sairocarpus watsonii (Vasey & Rose) D.A.Sutton",5,5.64284,0.003483,1.1e-05,"annual"
"Schweinfurthia imbricata Mill.",2,5.641657,0.01206,2.7e-05,"annual"
"Schweinfurthia latifolia Baker",3,5.636026,0.003567,1.8e-05,"no_life_form_on_database"
"Schweinfurthia papilionacea (L.) Boiss.",22,5.651293,0.002129,2e-06,"annual"
"Schweinfurthia pedicellata Benth. & Hook.f.",NA,NA,NA,NA,"annual"
"Schweinfurthia pterosperma (A.Rich.) A.Br.",4,5.646405,0.002922,1.4e-05,"annual"
"Schweinfurthia spinosa Mill.",4,5.641518,0.004759,1.4e-05,"no_life_form_on_database"
