"","Group.1","Group.2","rates","alpha","sigma.sq","theta","expected_mean","expected_var"
"1","Alysseae","annual",0.0462306382756973,0.29525667927218,0.0141151691822046,1001.0401384377,1000.51526044115,0.0244697631696682
"2","Antirrhineae","annual",0.0354591759136129,0.0334532166369285,0.00156236885928299,838.583325930029,839.48981162947,0.0262802547054477
"3","Apioideae","annual",0.0239166903901073,0.079873792151981,0.0108122904579793,943.663154213744,933.2667062343,0.0750149941676867
"4","Arabideae","annual",1.15131180283123,0.680150675479394,0.0288181534315376,993.317362489872,992.392174436276,0.0474236734422767
"5","Balsamiaceae","annual",0.0145932973273253,0.00380646087356312,0.00582319014631264,346378.374734984,849.973795887024,0.22211988314216
"6","Brassiceae","annual",0.056886461120339,5.02214681317506,0.352976255140195,865.43884364758,865.480433578597,0.0350279093398854
"7","Cardamineae","annual",0.0319416374371235,0.326759303129775,0.0929725100866211,910.867313214845,908.066406225372,0.142415862087603
"8","Cardueae","annual",0.070351335869741,0.0902076098298408,0.00787459454038458,938.278820965688,930.337621517261,0.0456471641426861
"9","CES","annual",0.104116106182856,0.00666190718558443,0.00365851888695706,1613.9500583672,832.713664267786,0.146402744423451
"10","Chamaecrista","annual",0.0687479692531081,0.133319230520958,0.00168011486376243,421.584619075369,419.653079150027,0.00632868727180073
"12","Croton","annual",0.0317935775864435,0.13380143894287,0.0221060432414858,944.867342720875,786.431856591306,0.0799985883174368
"13","Erysimeae","annual",0.198250304399665,0.0532520306884039,0.0154967131726735,1008.16368525413,1007.71816670217,0.122071823463906
"14","Euclidieae","annual",0.0459069095780893,0.579571876471555,0.00504497800628098,1159.92730550393,1159.75010488658,0.00417277768510297
"15","Eumalvoideae","annual",0.0419671522112124,0.0799334786353406,0.0236653677229458,573.698438609938,564.939218439071,0.13420066785739
"16","Gesneriaceae","annual",0.0103429706876025,0.000117147597742756,0.00273603147934446,479.559183920526,479.624542689354,0.197445032991928
"17","Grewioideae","annual",0.0183973913866852,0.0561511797613459,0.00826692011491035,531.339029400495,521.780874954823,0.0736869318686982
"18","Heliophileae","annual",0.0339428546800534,0.229949722772978,0.00241148930563487,680.822714451418,680.805003228843,0.00661690150126399
"19","Hypericum","annual",0.109497776443363,0.0263411233958274,0.0587529029188997,1059.13797131819,892.645912668065,0.615562987632234
"20","Lepidieae","annual",0.267850146896098,1.20419534072956,0.18476811831968,867.865366998807,860.580185228182,0.0778092706301876
"21","Lupinus","annual",0.0331732404454628,0.00150558707421557,0.00411431524828916,767.461383446941,766.211686987026,0.0742228065379161
"22","Lysimachieae","annual",0.0339975999038601,0.0020687268840388,6.37191436360046e-05,815.378811839932,825.214514617203,0.190874243785088
"23","Onagraceae","annual",0.0740216493969269,0.0556632876646265,0.0367746990283874,716.509790633074,717.691353676273,0.283344598592413
"24","Orobanchaceae","annual",0.0495105271563991,0.108050468354045,0.0181602241338264,864.614561157006,867.539142968427,0.0866216251091536
"25","Panicoideae","annual",0.0406033759647137,5.82108862146549,0.982464505414327,549.640241956298,549.634825211793,0.084436862013988
"26","Polemoniaceae","annual",0.0119942111955789,0.0309440572750682,0.00421092453053633,936.138182560056,924.871045500847,0.0681236069096978
"27","Pooideae","annual",0.0225681449329155,0.599694347977992,0.0502596634034125,925.967539683063,916.432883973803,0.0501451429087409
"28","Primulaceae","annual",0.0322818367486795,2.55118575337793,0.197294719150097,1067.51702343636,1065.14704859644,0.0399656175998748
"29","Rubieae","annual",0.131202710225119,0.951760009208897,0.0174010814366045,885.231526638597,885.289455958395,0.00988395953976418
"30","Salvia","annual",0.0357522244068362,0.0463260735320622,0.0111284892338604,889.904718255722,756.566800737877,0.122034237724631
"31","Solanaceae","annual",0.0332489644475624,0.107592331588686,0.0275606998883385,565.977752837956,547.629475571808,0.12826101985409
"32","Spermacoceae","annual",0.0541920561444638,0.0574132016389369,0.044813672475115,426.024679868636,451.75256393532,0.204731374579832
"33","Thelypodieae","annual",0.0309963383211562,0.00627389192583416,0.0065488755205209,841.947964641667,840.30440634076,0.0961764766407942
"34","Alysseae","perennial",0.0264435122466949,0.29525667927218,0.0131755185566677,996.015901158277,996.56116071512,0.0238920590561347
"35","Antirrhineae","perennial",0.0156621505612643,0.0334532166369285,0.00567421239203732,837.302125894201,838.907877231716,0.0552575020488121
"36","Apioideae","perennial",0.0128429577332729,0.079873792151981,0.0140705838725157,923.416731488907,923.560248021177,0.0900247578189782
"37","Arabideae","perennial",0.253079882578933,0.680150675479394,0.145790518573834,991.071352432711,991.113327079626,0.10693386143069
"38","Balsamiaceae","perennial",0.0136937872634976,0.00380646087356312,0.00053683145639897,294.505223907895,418.545004625945,0.0961355567233068
"39","Brassiceae","perennial",0.0212000957827465,5.02214681317506,0.352684110392634,904.628578546811,903.539404386473,0.0348998507479112
"40","Cardamineae","perennial",0.0366889825010021,0.326759303129775,0.0918080530251864,903.092943215178,903.216508319285,0.140600500143577
"41","Cardueae","perennial",0.0172346879028647,0.0902076098298408,0.0143350217005824,926.199938537062,926.071184251848,0.0690027927520495
"42","CES","perennial",0.0306445781311298,0.00666190718558443,0.00627936460251506,790.308620141611,812.204551703224,0.159484449192832
"43","Chamaecrista","perennial",0.0119196925771108,0.133319230520958,0.00166960622239578,417.479164875716,417.536706538221,0.00631860475644721
"45","Croton","perennial",0.00530538162471609,0.13380143894287,0.0144448534326972,441.669281615003,449.85864407656,0.0546681229629459
"46","Erysimeae","perennial",0.0282361002044657,0.0532520306884039,0.0187733618503542,1006.94915352953,1006.95588886953,0.125160602719008
"47","Euclidieae","perennial",0.0598300045427668,0.579571876471555,0.0475654325909062,1135.80506403046,1136.15584415098,0.0444876169674298
"48","Eumalvoideae","perennial",0.0146608266720189,0.0799334786353406,0.0136644917026867,553.671626861418,554.652930632314,0.0887987769941752
"49","Gesneriaceae","perennial",0.00239727849485723,0.000117147597742756,0.00270859965375577,479.622938322497,479.632455307451,0.196280607323943
"50","Grewioideae","perennial",0.00198939465046455,0.0561511797613459,0.0088864088346393,461.762100884091,465.804725303867,0.0797482869160806
"51","Heliophileae","perennial",0.0205373684304233,0.229949722772978,0.0026265226341582,676.483308563656,678.326028100235,0.00675669132091231
"52","Hypericum","perennial",0.0135637003864417,0.0263411233958274,0.00773588361394171,859.501785425737,872.116986545303,0.33904790504571
"53","Lepidieae","perennial",0.206048052085819,1.20419534072956,0.179842717300859,809.447137682945,820.311873238946,0.0752057403461277
"54","Lupinus","perennial",0.0857118418612295,0.00150558707421557,0.0285174859481736,698.858054032455,759.650441163865,0.174877762730427
"55","Lysimachieae","perennial",0.0274646580798168,0.0020687268840388,0.00905691372520478,826.014557514288,825.973938890047,0.24500091260047
"56","Onagraceae","perennial",0.0107629988861196,0.0556632876646265,0.0179628556456099,673.965449149802,682.706142011485,0.232322014870083
"57","Orobanchaceae","perennial",0.0449371655744723,0.108050468354045,0.0220467375193179,878.884690373801,876.58424237772,0.101085135763782
"58","Panicoideae","perennial",0.0424843276921038,5.82108862146549,0.982414220981989,548.358333222152,548.364392399938,0.0844310331824307
"59","Polemoniaceae","perennial",0.0101999361452363,0.0309440572750682,0.00516661263481264,418.137332402572,689.649525070577,0.0761377667487893
"60","Pooideae","perennial",0.0313470997260799,0.599694347977992,0.158273964738308,873.220878021893,873.636097325242,0.131482934584042
"61","Primulaceae","perennial",0.0116935159401663,2.55118575337793,0.191623471587057,940.087717357382,940.121822591591,0.0375279465722554
"62","Rubieae","perennial",0.0113219909555655,0.951760009208897,0.0860436850448011,887.01500942228,886.936364128509,0.0442306703802309
