"","Group.1","Group.2","rates","alpha","sigma.sq","theta","expected_mean","expected_var"
"1","Alysseae","annual",0.0422293456490884,6.77642682133675,0.00120015513700462,11.63582113951,11.5992030092015,0.000101949236059558
"2","Antirrhineae","annual",0.0335280419322304,0.0528313371176466,2.79311143834183e-05,16.496949079425,16.4742520111891,0.000262837227151244
"3","Apioideae","annual",0.0125753602452267,0.0946365863524898,2.59703134573059e-05,17.2854379137459,13.9009452569208,0.000201982937217734
"4","Arabideae","annual",0.274328569685356,1.43675206046297,0.00151969482140584,6.86915524354197,5.98927729857502,0.000528861865245665
"5","Balsamiaceae","annual",0.0147744190274909,0.123445130497329,5.83929350244802e-05,13.0946963720999,13.4773252995615,0.000236752402721136
"6","Brassiceae","annual",0.0560216147283757,7.38562272988171,0.00294880497268543,15.0759850145242,15.0753257398487,0.000195908668888047
"7","Cardamineae","annual",0.0270394444012169,1.56747446938674,0.000616634560973015,13.772192406297,11.565317572734,0.000428659514339161
"8","Cardueae","annual",0.0577560890454158,0.04988559276373,3.19176461211121e-05,59.65264608076,12.686972859045,0.000328506092702288
"9","CES","annual",0.0974656691284743,8.01338137532636e-05,2.2610542194378e-05,1494.21648871625,5.18294859345616,0.000451325139804278
"10","Chamaecrista","annual",0.0798663991416208,0.193702963831743,1.06274448685037e-05,23.5948827021973,23.488592512012,2.89494841929544e-05
"12","Croton","annual",0.0135255522128625,0.0944320871739439,5.05537704729136e-05,22.2632167121318,22.4232045699864,0.00019980398078091
"13","Erysimeae","annual",0.183506511180229,0.57528604041788,0.000214635731636943,9.48554426488261,9.554405022487,0.000233437834691352
"14","Euclidieae","annual",0.0417080587836449,1.44339277771106,0.00194282864008973,9.54005349895209,9.31514576449968,0.000694514797915039
"15","Eumalvoideae","annual",0.0409799689691121,0.0740699974758367,4.07597644971318e-05,19.3896529348162,19.3014422411375,0.000275184347841975
"16","Gesneriaceae","annual",0.0233961304023556,0.0114242141232047,5.36662727362125e-06,293.347346019596,21.0624017935614,0.000315618129516943
"17","Grewioideae","annual",0.0181160977429462,0.0240039691318275,4.95145806629717e-06,22.8486457432049,22.7632130649927,0.000103689407500541
"18","Heliophileae","annual",0.0360873471753864,5.34179125139462,0.000211680687131078,16.4494833588884,16.4494831168175,1.94154458006758e-05
"19","Hypericum","annual",0.0846282486196636,0.388291139111364,0.000156689271876685,15.0683909339107,15.0818611743938,0.000203442354317375
"20","Lepidieae","annual",0.288099482249404,0.0796650502268067,0.000601499169179934,14.3618430338419,14.3617829320668,0.0022259788762363
"21","Lupinus","annual",0.0894509310915408,0.00771824531219086,1.40479123938263e-05,13.8705262677774,13.8615743958399,0.000193243258172225
"22","Lysimachieae","annual",0.0312919970531881,0.0722565196303388,6.48772968370309e-06,17.9111067550968,13.8900604222378,0.000162766928898232
"23","Onagraceae","annual",0.0856574746914973,0.338381610036859,0.000308117791314843,14.4855368282011,14.4851096913097,0.00047495313582548
"24","Orobanchaceae","annual",0.0500470505546059,0.0930597957430134,7.60981543908314e-05,13.1565371043816,13.1141785674977,0.000459830280191924
"25","Panicoideae","annual",0.0267443595794266,5.12319916144584,0.00143838149795259,21.9289640603628,21.9190315943581,0.000140452527778288
"26","Polemoniaceae","annual",0.0111353087070233,0.0500847019166325,2.1506837293375e-05,13.5090910205437,13.501974220674,0.000225861731704231
"27","Pooideae","annual",0.0188198530155899,2.24398818480155,0.000589686978371264,13.7395078582231,13.3865245858167,0.000141575320321919
"28","Primulaceae","annual",0.0281161930095512,0.196476697743973,0.000150716128685947,5.20605779266549,5.66541943508537,0.000383349171386358
"29","Rubieae","annual",0.202619023105671,14.721920766634,0.00248467428210144,14.2412053911044,14.2410897797855,8.60301831534952e-05
"30","Salvia","annual",0.0183530574677397,0.0946879602728617,2.79187587389369e-05,16.9541833319707,15.9886691281267,0.00014705880207536
"31","Solanaceae","annual",0.0409088689215232,0.119201947108105,7.2987607836702e-05,16.7514342800108,16.8145423571768,0.000306006097204151
"32","Spermacoceae","annual",0.0336771199787966,0.109789339112559,3.27751107765273e-05,22.276895984812,22.0518739142467,0.000149289057429181
"33","Thelypodieae","annual",0.030813336788529,0.60214063280996,0.000184536226487135,16.0302033088655,15.1078576164438,0.000144556342411815
"34","Alysseae","perennial",0.0219970750081224,6.77642682133675,0.00172701543193615,10.5103977894223,10.5140163787601,0.000119523949926351
"35","Antirrhineae","perennial",0.0120017985360965,0.0528313371176466,2.50951331962483e-05,15.7493571036051,16.1769451726647,0.000248551195230151
"36","Apioideae","perennial",0.0130107447384977,0.0946365863524898,6.74386297230938e-05,10.4374119859211,10.4937058158461,0.000354419883548023
"37","Arabideae","perennial",0.0798792792583359,1.43675206046297,0.0015197813269433,3.93536869949662,3.94547407579904,0.000528903867472782
"38","Balsamiaceae","perennial",0.0143715381501154,0.123445130497329,5.84073133542289e-05,19.2453076386105,18.2078246284562,0.0002369529125801
"39","Brassiceae","perennial",0.0185401433498746,7.38562272988171,0.00277679529110419,13.9219198866938,13.9410978505023,0.000190176972204449
"40","Cardamineae","perennial",0.0389042780831766,1.56747446938674,0.00159957507575824,7.48623570176318,7.55988708347303,0.000461451491352659
