"species","n_temp","mean_temp","sd_temp","se_temp","within_sp_var_temp"
"Linaria spartea (L.) Willd.","53","5.63959","0.007801","0.001072","1e-06"
"Linaria loeselii Schweigg.","6","5.626052","0.004763","0.001944","9e-06"
"Linaria purpurea (L.) Mill.","72","5.630477","0.006764","0.000797","1e-06"
"Antirrhinum sempervirens Lapeyr.","9","5.640304","0.003646","0.001215","6e-06"
"Linaria chalepensis (L.) Mill.","48","5.630617","0.012718","0.001836","1e-06"
"Linaria tristis (L.) Mill.","25","5.64181","0.008278","0.001656","2e-06"
"Linaria peloponnesiaca Boiss. & Heldr.","12","5.641099","0.004737","0.001367","5e-06"
"Antirrhinum pulverulentum Lázaro Ibiza","6","5.644916","0.001283","0.000524","9e-06"
"Linaria microsepala A.Kern.","1","5.631749",NA,NA,"5.4e-05"
"Linaria grandiflora Desf.","13","5.646781","0.004749","0.001317","4e-06"
"Antirrhinum graniticum Rothm.","30","5.643129","0.003569","0.000652","2e-06"
"Antirrhinum grosii Font Quer","2","5.643855","0.000501","0.000354","2.7e-05"
"Linaria nurensis Boiss. & Hausskn.","3","5.654767","0.000926","0.000535","1.8e-05"
"Linaria lineolata Boiss. & Kotschy","3","5.648681","0.000733","0.000423","1.8e-05"
"Mohavea confertiflora (Benth. ex A.DC.) A.Heller","22","5.653497","0.005106","0.001089","2e-06"
"Linaria elymaitica (Boiss.) Kuprian.","4","5.645145","0.009889","0.004945","1.4e-05"
"Linaria maroccana Hook.fil.","51","5.632641","0.008472","0.001186","1e-06"
"Linaria japonica Miq.","51","5.628796","0.005192","0.000727","1e-06"
"Asarina procumbens Mill.","7","5.636891","0.005586","0.002111","8e-06"
"Antirrhinum latifolium Mill.","24","5.634174","0.006507","0.001328","2e-06"
"Linaria thymifolia (Vahl) DC.","4","5.636296","0.005198","0.002599","1.4e-05"
"Chaenorhinum origanifolium (L.) Kostel.","42","5.637378","0.007528","0.001162","1e-06"
"Epixiphium wislizenii (Engelm. ex A.Gray) Munz","13","5.653014","0.001803","5e-04","4e-06"
"Maurandella antirrhiniflora (Humb. & Bonpl. ex Willd.) Rothm.","61","5.652572","0.003537","0.000453","1e-06"
"Holmgrenanthe petrophila (Coville & C.V.Morton) Elisens","1","5.651963",NA,NA,"5.4e-05"
"Linaria amethystea (Vent.) Hoffmanns. & Link","44","5.642036","0.005817","0.000877","1e-06"
"Linaria tristis subsp. mesatlantica D.A.Sutton","4","5.650645","0.001327","0.000664","1.4e-05"
"Kickxia aegyptiaca (L.) Nábelek","12","5.64686","0.011286","0.003258","5e-06"
"Linaria ricardoi Cout.","1","5.641375",NA,NA,"5.4e-05"
"Antirrhinum onubense (Fern.Casas) Fern.Casas","3","5.640529","0.007296","0.004212","1.8e-05"
"Gambelia juncea (Benth.) D.A.Sutton","22","5.63853","0.00853","0.001819","2e-06"
"Chaenorhinum (DC.) Rchb.","70","5.640333","0.008121","0.000971","1e-06"
"Linaria cretacea Fisch. ex Spreng.","15","5.639646","0.001446","0.000373","4e-06"
"Linaria incompleta Kuprian.","12","5.643584","0.003613","0.001043","5e-06"
"Cymbalaria microcalyx subsp. minor (Cufod.) Greuter","1","5.635325",NA,NA,"5.4e-05"
"Linaria altaica Fisch. ex Ledeb.","14","5.644206","0.002565","0.000686","4e-06"
"Cymbalaria pubescens (J. & C.Presl) Cufod.","4","5.622014","0.006548","0.003274","1.4e-05"
"Linaria reflexa (L.) Desf.","20","5.636809","0.010231","0.002288","3e-06"
"Linaria multicaulis (L.) Mill.","5","5.642343","0.007932","0.003547","1.1e-05"
"Cymbalaria glutinosa Bigazzi & Raffaelli","2","5.630486","0.005833","0.004125","2.7e-05"
"Nanorrhinum ramosissimum (Wall.) Betsche","3","5.644322","0.004102","0.002368","1.8e-05"
"Linaria ventricosa Coss. & Balansa","11","5.647226","0.00865","0.002608","5e-06"
"Linaria bipartita (Vent.) Willd.","39","5.634067","0.006619","0.00106","1e-06"
"Nanorrhinum heterophyllum (Schousb.) Ghebr.","16","5.638285","0.013985","0.003496","3e-06"
"Nanorrhinum asparagoides (Schweinf.) Ghebr.","4","5.645531","0.003241","0.00162","1.4e-05"
"Schweinfurthia papilionacea (L.) Boiss.","22","5.651293","0.009987","0.002129","2e-06"
"Schweinfurthia spinosa Mill.","4","5.641518","0.009519","0.004759","1.4e-05"
"Linaria ficalhoana Rouy","1","5.631033",NA,NA,"5.4e-05"
"Linaria oblongifolia (Boiss.) Boiss. & Reut.","12","5.642306","0.005652","0.001632","5e-06"
"Linaria anticaria Boiss. & Reut.","8","5.644958","0.002549","0.000901","7e-06"
"Linaria polygalifolia Hoffmanns. & Link","6","5.626401","0.006981","0.00285","9e-06"
"Linaria munbyana Boiss. & Reut.","12","5.635304","0.006736","0.001945","5e-06"
"Linaria atlantica Boiss. & Reut.","4","5.632358","0.006887","0.003444","1.4e-05"
"Antirrhinum meonanthum Hoffmanns. & Link","22","5.640994","0.004618","0.000985","2e-06"
"Maurandya scandens (Cav.) Pers.","31","5.644148","0.007437","0.001336","2e-06"
"Maurandya barclaiana Lindl.","25","5.646844","0.004034","0.000807","2e-06"
"Lophospermum purpusii (Brandegee) Rothm.","6","5.642966","0.003296","0.001346","9e-06"
"Lophospermum erubescens D.Don","18","5.640769","0.005533","0.001304","3e-06"
"Rhodochiton atrosanguineum (Zucc.) Rothm.","1","5.639244",NA,NA,"5.4e-05"
"Mabrya geniculata (Rob. & Fernald) Elisens","4","5.653711","0.003981","0.00199","1.4e-05"
"Sairocarpus kingii (S.Watson) D.A.Sutton","5","5.652524","0.000808","0.000361","1.1e-05"
"Linaria virgata (Poir.) Desf.","7","5.637061","0.01052","0.003976","8e-06"
"Pseudorontium cyathiferum (Benth.) Rothm.","25","5.643368","0.010081","0.002016","2e-06"
"Mabrya acerifolia (Pennell) Elisens","1","5.654417",NA,NA,"5.4e-05"
"Chaenorhinum villosum (L.) Lange","20","5.644444","0.005158","0.001153","3e-06"
"Sairocarpus multiflorus (Pennell) D.A.Sutton","2","5.640123","0.00628","0.004441","2.7e-05"
"Linaria kurdica Boiss. & Hohen.","12","5.647148","0.003549","0.001025","5e-06"
"Linaria haelava (Forssk.) Delile","2","5.654238","0.00421","0.002977","2.7e-05"
"Linaria armeniaca Chav.","3","5.645034","0.00089","0.000514","1.8e-05"
