"species","temp","lon","lat"
"Linaria texana Scheele",127,-111.03194,29.63333
"Linaria texana Scheele",128,-110.805056,30.470389
"Linaria texana Scheele",78,-82.596783,29.754316
"Linaria texana Scheele",96,-95.733318,37.910146
"Linaria texana Scheele",99,-98.705533,29.519583
"Linaria texana Scheele",92,-96.358029,30.635372
"Linaria texana Scheele",48,-88.023053,30.228537
"Linaria texana Scheele",113,-103.598806,43.76303
"Linaria texana Scheele",85,-79.028982,35.913197
"Linaria texana Scheele",89,-90.741519,38.481998
"Linaria texana Scheele",56,-77.710533,34.411192
"Linaria texana Scheele",104,-97.669768,38.081896
"Linaria texana Scheele",131,-105.270546,39.985998
"Linaria texana Scheele",89,-89.96648,36.557003
"Linaria texana Scheele",126,-111.332,31.5747
"Linaria texana Scheele",87,-114.21667,29.46667
"Linaria texana Scheele",124,-111.241,33.6891
"Linaria texana Scheele",126,-111.82,31.8139
"Linaria texana Scheele",92,-94.41,37.27
"Linaria texana Scheele",118,-118.576,34.4276
"Linaria texana Scheele",94,-116.40833,31.53333
"Linaria texana Scheele",128,-110.22944,31.35667
"Linaria texana Scheele",119,-106.45667,31.90389
"Linaria texana Scheele",119,-107.69667,31.915
"Linaria texana Scheele",124,-109.356,32.0044
"Linaria texana Scheele",123,-111.412,33.9226
"Linaria texana Scheele",126,-110.225,32.3612
"Linaria texana Scheele",124,-111.454,33.5434
"Linaria texana Scheele",126,-110.201,32.9107
"Linaria texana Scheele",124,-112.592,34.3392
"Linaria texana Scheele",123,-111.38,34.45
"Linaria texana Scheele",125,-112.557,33.5965
"Linaria texana Scheele",124,-108.997,31.4633
"Linaria texana Scheele",127,-111.908333,30.975
"Linaria texana Scheele",82,-109.2625,26.59167
"Linaria texana Scheele",79,-124.029174,42.297172
"Linaria texana Scheele",76,-125.1,50.158333
"Linaria texana Scheele",94,-97.333611,30.339167
"Linaria texana Scheele",100,-99.707222,28.456944
"Linaria texana Scheele",43,-109.908333,23.541667
"Linaria texana Scheele",63,-84.148345,30.12254
"Linaria texana Scheele",128,-112.69278,32.01278
"Linaria texana Scheele",70,-85.2941,30.4306
"Linaria texana Scheele",58,-87.2142,30.4093
"Linaria texana Scheele",111,-121.315573,36.240107
"Linaria texana Scheele",79,-97.03333,28.71666
"Linaria texana Scheele",88,-58.93,-28.46
"Linaria texana Scheele",NA,-118.32,29.03
"Linaria texana Scheele",131,-116,31.983333
"Linaria texana Scheele",59,-88.78,30.41
"Linaria texana Scheele",109,-69.25,-32.41
"Linaria texana Scheele",103,-69.52,-33.61
"Linaria texana Scheele",90,-62.27,-38.21
"Linaria texana Scheele",90,-62.44,-37.76
"Linaria texana Scheele",91,-60.66,-31.44
"Linaria texana Scheele",90,-64.18,-36.47
"Linaria texana Scheele",94,-65.53,-36.44
"Linaria texana Scheele",87,-58.4,-31.91
"Linaria texana Scheele",90,-61.28,-32.64
"Linaria texana Scheele",90,-58.98,-33.65
"Linaria canadensis (L.) Chaz.",86,-88.1,33.73
"Linaria canadensis (L.) Chaz.",91,-87.36,32.09
"Linaria canadensis (L.) Chaz.",89,-86.2,32.22
"Linaria canadensis (L.) Chaz.",89,-85.64,33.31
"Linaria canadensis (L.) Chaz.",88,-86.69,33.37
"Linaria canadensis (L.) Chaz.",61,-87.91,30.47
"Linaria canadensis (L.) Chaz.",89,-86.21,32.41
"Linaria canadensis (L.) Chaz.",87,-86.48,31.39
"Linaria canadensis (L.) Chaz.",NA,-87.15,30.5333
"Linaria canadensis (L.) Chaz.",87,-85.8,34.45
"Linaria canadensis (L.) Chaz.",84,-87.29,34.43
"Linaria canadensis (L.) Chaz.",91,-87.81,32.58
"Linaria canadensis (L.) Chaz.",49,-88.0775,30.247778
"Linaria canadensis (L.) Chaz.",89,-86.45,32.46
"Linaria canadensis (L.) Chaz.",85,-89.5206,34.3572
"Linaria canadensis (L.) Chaz.",87,-89.70972,33.69756
"Linaria canadensis (L.) Chaz.",77,-89.4921,30.7519
"Linaria canadensis (L.) Chaz.",91,-88.620547,32.62841
"Linaria canadensis (L.) Chaz.",91,-88.661389,31.754167
"Linaria canadensis (L.) Chaz.",88,-91.046,31.9919
"Linaria canadensis (L.) Chaz.",85,-88.566667,34
"Linaria canadensis (L.) Chaz.",88,-91.05,32.6
"Linaria canadensis (L.) Chaz.",91,-89.3617,32.2033
"Linaria canadensis (L.) Chaz.",88,-90.9292,33.45465
"Linaria canadensis (L.) Chaz.",89,-90.151667,32.33
"Linaria canadensis (L.) Chaz.",90,-92.345476,34.96809
"Linaria canadensis (L.) Chaz.",90,-91.790202,33.927188
"Linaria canadensis (L.) Chaz.",86,-79.42315,35.958689
"Linaria canadensis (L.) Chaz.",88,-90.713007,35.124349
"Linaria canadensis (L.) Chaz.",88,-90.743192,35.409614
"Linaria canadensis (L.) Chaz.",91,-93.397292,36.261411
"Linaria canadensis (L.) Chaz.",85,-78.900122,35.465695
"Linaria canadensis (L.) Chaz.",82,-97.411786,28.346131
"Linaria canadensis (L.) Chaz.",69,-74.094586,40.573161
"Linaria canadensis (L.) Chaz.",58,-74.01597,40.192336
"Linaria canadensis (L.) Chaz.",123,-103.741262,30.789142
"Linaria canadensis (L.) Chaz.",113,-99.747572,34.290452
"Linaria canadensis (L.) Chaz.",83,-81.7,27.95
"Linaria canadensis (L.) Chaz.",77,-81.4151,28.6435
"Linaria canadensis (L.) Chaz.",90,-93.673425,31.571218
"Linaria canadensis (L.) Chaz.",76,-82.3717,28.6489
"Linaria canadensis (L.) Chaz.",80,-75.228313,40.073495
"Linaria canadensis (L.) Chaz.",79,-82.35912,29.64345
"Linaria canadensis (L.) Chaz.",65,-72.088,41.6979
"Linaria canadensis (L.) Chaz.",67,-77.926098,34.552111
"Linaria canadensis (L.) Chaz.",55,-86.433267,43.781788
"Linaria canadensis (L.) Chaz.",70,-71.066667,42.983610999059
"Linaria canadensis (L.) Chaz.",67,-67.345556,45.1219439990568
"Linaria canadensis (L.) Chaz.",68,-70.585833,43.478332999058
"Linaria canadensis (L.) Chaz.",45,-74.776581,39.128591
"Linaria canadensis (L.) Chaz.",72,-82.4615,28.1511
"Linaria canadensis (L.) Chaz.",88,-83.019594,34.88037
"Linaria canadensis (L.) Chaz.",83,-76.018576,39.748424
"Linaria canadensis (L.) Chaz.",81,-75.40529,41.173069999065
"Linaria canadensis (L.) Chaz.",81,-79.268056,40.1625
"Linaria canadensis (L.) Chaz.",80,-79.240278,40.395833
"Linaria canadensis (L.) Chaz.",51,-73.082056,40.735932
"Linaria canadensis (L.) Chaz.",72,-85.1283,30.3992
"Linaria canadensis (L.) Chaz.",57,-79.023112,33.815482
"Linaria canadensis (L.) Chaz.",75,-73.036,41.5583
"Linaria canadensis (L.) Chaz.",92,-93.05518,34.5037
"Linaria canadensis (L.) Chaz.",69,-81.6833,30
"Linaria canadensis (L.) Chaz.",73,-84.6875,30.270832999178
"Linaria canadensis (L.) Chaz.",81,-74.988564,41.486289
"Linaria canadensis (L.) Chaz.",80,-72.598145,42.370923
"Linaria canadensis (L.) Chaz.",61,-80.308722,42.56605
"Linaria canadensis (L.) Chaz.",87,-82.460953,35.318728
"Linaria canadensis (L.) Chaz.",74,-69.715833,44.5505559990569
"Linaria canadensis (L.) Chaz.",88,-83.719286,34.877733
"Linaria canadensis (L.) Chaz.",87,-91.154551,30.450746
"Linaria canadensis (L.) Chaz.",80,-86.885155,41.198527
"Linaria canadensis (L.) Chaz.",75,-71.367284,42.599814
"Linaria canadensis (L.) Chaz.",85,-85.390521,35.371458
"Linaria canadensis (L.) Chaz.",123,-110.658,33.8095
"Linaria canadensis (L.) Chaz.",83,-97.34024,19.302071
"Linaria canadensis (L.) Chaz.",120,-106.336098,31.64802
"Linaria canadensis (L.) Chaz.",91,-116.7667,32.03333
"Linaria canadensis (L.) Chaz.",101,-98.883333,19.516667
"Linaria canadensis (L.) Chaz.",127,-111.14,31.2
"Linaria canadensis (L.) Chaz.",135,-104.534711,38.987312
"Linaria canadensis (L.) Chaz.",60,-88.953286,30.431561
"Linaria canadensis (L.) Chaz.",132,-105.282033,39.809689
"Linaria canadensis (L.) Chaz.",128,-105.179685,40.528286
"Linaria canadensis (L.) Chaz.",85,-86.222222,41.100556
"Linaria canadensis (L.) Chaz.",79,-80.30293,33.335914
"Linaria canadensis (L.) Chaz.",90,-81.714554,33.315977
"Linaria canadensis (L.) Chaz.",102,-116.905604,32.576291
"Linaria canadensis (L.) Chaz.",92,-95.316395,34.656116
"Linaria canadensis (L.) Chaz.",44,-80.3973,27.6386
"Linaria canadensis (L.) Chaz.",78,-81.4384,26.7617
"Linaria canadensis (L.) Chaz.",43,-80.1495,26.0112
"Linaria canadensis (L.) Chaz.",75,-84.2807,30.4383
"Linaria canadensis (L.) Chaz.",59,-81.8068,26.2109
"Linaria canadensis (L.) Chaz.",56,-80.8448,28.6653
"Linaria canadensis (L.) Chaz.",64,-81.6025,30.6325
"Linaria canadensis (L.) Chaz.",49,-82.5053,27.2344
"Linaria canadensis (L.) Chaz.",62,-81.2833,29.45
"Linaria canadensis (L.) Chaz.",44,-80.3984,25.7587
"Linaria canadensis (L.) Chaz.",49,-80.1,26.4833
"Linaria canadensis (L.) Chaz.",69,-80.8298,27.2439
"Linaria canadensis (L.) Chaz.",54,-85.6167,30.2
"Linaria canadensis (L.) Chaz.",80,-72.983333,45.283333
"Linaria canadensis (L.) Chaz.",80,-73.515,45.127
"Linaria canadensis (L.) Chaz.",79,-72.116667,46.3
"Linaria canadensis (L.) Chaz.",79,-71.366667,47
"Linaria canadensis (L.) Chaz.",80,-72.7,45.5
"Linaria canadensis (L.) Chaz.",75,-73.3974,41.325
"Linaria vulgaris Mill.",72,8.695556,49.41056
"Linaria vulgaris Mill.",78,86.190903,55.365717
"Linaria vulgaris Mill.",79,87.811617,54.836675
"Linaria vulgaris Mill.",86,86.820205,53.882816
"Linaria vulgaris Mill.",77,85.8285,55.5622
"Linaria vulgaris Mill.",78,88.674315,55.60181
"Linaria vulgaris Mill.",77,87.819435,55.755212
"Linaria vulgaris Mill.",89,87.541667,53.108333
"Linaria vulgaris Mill.",61,29.089332,66.003979
"Linaria vulgaris Mill.",50,24.26258,65.814315
"Linaria vulgaris Mill.",63,25.749175,66.501925
"Linaria vulgaris Mill.",40,24.914706,60.19269
"Linaria vulgaris Mill.",56,25.388986,65.292064
"Linaria vulgaris Mill.",62,28.474204,64.696928
"Linaria vulgaris Mill.",64,27.750382,62.764581
"Linaria vulgaris Mill.",63,28.765827,63.697755
"Linaria vulgaris Mill.",63,28.802997,61.879919
"Linaria vulgaris Mill.",33,23.534593,60.109869
"Linaria vulgaris Mill.",62,26.479844,65.941077
"Linaria vulgaris Mill.",64,24.882194,63.580785
"Linaria vulgaris Mill.",63,28.851941,62.687041
"Linaria vulgaris Mill.",66,23.543084,61.30932
"Linaria vulgaris Mill.",65,26.75564,62.317753
"Linaria vulgaris Mill.",61,23.731475,67.442731
"Linaria vulgaris Mill.",57,24.78,60.73
"Linaria vulgaris Mill.",56,24.013007,66.078932
"Linaria vulgaris Mill.",63,25.8634,64.219902
"Linaria vulgaris Mill.",40,21.44352,61.918737
"Linaria vulgaris Mill.",63,27.731774,64.567457
"Linaria vulgaris Mill.",62,30.225904,63.905896
"Linaria vulgaris Mill.",65,22.926263,61.741494
"Linaria vulgaris Mill.",60,24.910911,67.650225
"Linaria vulgaris Mill.",62,29.176565,61.784748
"Linaria vulgaris Mill.",64,27.097444,63.596372
"Linaria vulgaris Mill.",49,23.036307,63.811151
"Linaria vulgaris Mill.",64,25.9748,61.169899
"Linaria vulgaris Mill.",63,29.111235,63.580888
"Linaria vulgaris Mill.",61,27.473113,66.715601
"Linaria vulgaris Mill.",56,28.773033,60.773033
"Linaria vulgaris Mill.",64,26.044593,64.016264
"Linaria vulgaris Mill.",56,27.500699,68.675998
"Linaria vulgaris Mill.",61,22.936754,63.089607
"Linaria vulgaris Mill.",62,26.047992,64.849175
"Linaria vulgaris Mill.",63,29.7377,62.5963
"Linaria vulgaris Mill.",62,24.624876,66.627931
"Linaria vulgaris Mill.",67,23.8055,62.393398
"Linaria vulgaris Mill.",65,26.228001,62.584999
"Linaria vulgaris Mill.",61,29.452244,65.190978
"Linaria vulgaris Mill.",46,25.638,60.3591
"Linaria vulgaris Mill.",59,28.372441,67.480732
"Linaria vulgaris Mill.",65,27.8524,61.889099
"Linaria vulgaris Mill.",65,25.9125,62.964199
"Linaria vulgaris Mill.",73,18.12556,49.58861
"Linaria vulgaris Mill.",70,8.6947,50.134133
"Linaria vulgaris Mill.",88,18.414252,43.854982
"Linaria vulgaris Mill.",70,19.401,52.125
"Linaria vulgaris Mill.",70,16.925202,52.406347
"Linaria vulgaris Mill.",49,17.316823,54.70003
"Linaria vulgaris Mill.",36,18.577142,54.735879
"Linaria vulgaris Mill.",71,17.258253,52.042944
"Linaria vulgaris Mill.",84,7.064679,45.303731
"Linaria vulgaris Mill.",87,23.408049,43.052251
"Linaria vulgaris Mill.",74,20.537586,49.643991
"Linaria vulgaris Mill.",73,17.846968,51.141744
"Linaria vulgaris Mill.",86,26.363441,43.649143
"Linaria vulgaris Mill.",70,18.308576,52.681287
"Linaria vulgaris Mill.",74,16.07556,49.56167
"Linaria vulgaris Mill.",70,17.503248,53.458782
"Linaria vulgaris Mill.",87,25.618755,42.494485
"Linaria vulgaris Mill.",72,21.633784,50.078329
"Linaria vulgaris Mill.",68,14.728938,51.948145
"Linaria vulgaris Mill.",80,23.924832,46.175407
"Linaria vulgaris Mill.",67,16.810045,53.673275
"Linaria vulgaris Mill.",71,23.86,52.7
"Linaria vulgaris Mill.",69,26.011162,53.712306
"Linaria vulgaris Mill.",67,15.20922,53.279736
"Linaria vulgaris Mill.",68,15.533471,52.246185
"Linaria vulgaris Mill.",70,18.290433,52.303361
"Linaria vulgaris Mill.",72,21.628236,50.731693
"Linaria vulgaris Mill.",69,7.590844,50.351233
"Linaria vulgaris Mill.",64,14.663589,53.429677
"Linaria vulgaris Mill.",75,16.58889,49.31194
"Linaria vulgaris Mill.",69,7.077775,50.768084
"Linaria vulgaris Mill.",73,20.316667,51.133333
"Linaria vulgaris Mill.",69,17.766441,53.717595
"Linaria vulgaris Mill.",74,19.947625,49.298736
"Linaria vulgaris Mill.",69,16.809138,52.648083
"Linaria vulgaris Mill.",45,18.546951,54.510831
"Linaria vulgaris Mill.",59,-0.641798,53.188293
"Linaria vulgaris Mill.",76,34.357113,50.527796
"Linaria vulgaris Mill.",66,25.3116,62.271801
"Linaria vulgaris Mill.",57,13.6465,64.2942
"Linaria vulgaris Mill.",55,22.30942,65.9449
"Linaria vulgaris Mill.",67,14.26375,57.78186
"Linaria vulgaris Mill.",65,15.58694,58.4206
"Linaria vulgaris Mill.",75,47.247098,54.547976
"Linaria vulgaris Mill.",74,46.029855,53.875459
"Linaria vulgaris Mill.",75,15.77028,49.035
"Linaria vulgaris Mill.",39,8.00441354174914,58.1630640386463
"Linaria vulgaris Mill.",72,14.57724,50.94875
"Linaria vulgaris Mill.",72,137.625,35.602083
"Linaria vulgaris Mill.",73,139.38817,35.5864
"Linaria vulgaris Mill.",70,139.39085,35.44648
"Linaria vulgaris Mill.",66,25.583333,58.15
"Linaria vulgaris Mill.",67,26.083333,58.45
"Linaria vulgaris Mill.",65,27.083326,58.65
"Linaria vulgaris Mill.",68,139.210833,36.675833
"Linaria vulgaris Mill.",20,22.083333,58.25
"Linaria vulgaris Mill.",52,14.152375,56.031862
"Linaria vulgaris Mill.",81,10.36129,46.93629
"Linaria vulgaris Mill.",70,136.1444,34.7339
"Linaria vulgaris Mill.",83,49.07222,52.11278
"Linaria vulgaris Mill.",78,9.13524,47.63576
"Linaria vulgaris Mill.",33,16.44767,57.040729
"Linaria vulgaris Mill.",62,15.345917,57.169415
"Linaria vulgaris Mill.",71,37.237548,53.992595
"Linaria vulgaris Mill.",73,38.644889,53.635528
"Linaria vulgaris Mill.",36,-4.22,51.810001
"Linaria vulgaris Mill.",71,57.153969,57.35209
"Linaria vulgaris Mill.",94,47.9,46.9
"Linaria vulgaris Mill.",78,48.637499,54.072965
"Linaria vulgaris Mill.",81,40.030747,49.349283
"Linaria vulgaris Mill.",72,47.236404,56.093875
"Linaria vulgaris Mill.",75,30.52355,50.450441
"Linaria vulgaris Mill.",83,57.799264,52.474544
"Linaria vulgaris Mill.",57,24.518582,58.368738
"Linaria vulgaris Mill.",76,40.743859,52.858017
"Linaria vulgaris Mill.",63,57.090594,65.269217
"Linaria vulgaris Mill.",80,39.02826,49.699162
