"species","n_temp","mean_temp","sd_temp","se_temp","within_sp_var_temp"
"Sairocarpus nuttallianus (A.DC.) D.A.Sutton","15","10.586667","2.288439","0.590872","0.284481"
"Neogaerrhinum filipes (A.Gray) Rothm.","14","12.657143","0.525817","0.140531","0.304801"
"Linaria texana Scheele","75","9.826667","2.460133","0.284072","0.056896"
"Linaria canadensis (L.) Chaz.","106","8.079245","1.849052","0.179596","0.040257"
"Linaria vulgaris Mill.","670","6.679254","1.725428","0.066659","0.006369"
"Chaenorhinum minus (L.) Lange","313","6.467732","1.861007","0.10519","0.013633"
"Linaria incarnata (Vent.) Spreng.","73","6.812329","2.337077","0.273534","0.058455"
"Linaria repens (L.) Mill.","166","6.368675","1.753675","0.136112","0.025706"
"Linaria supina (L.) Chaz.","91","7.18022","1.873987","0.196447","0.046892"
"Misopates orontium (L.) Raf.","189","6.389947","2.957582","0.215132","0.022578"
"Linaria salzmannii Boiss.","4","9.55","0.834666","0.417333","1.066802"
"Linaria nigricans Lange","2","6.9","0.707107","0.5","2.133604"
"Linaria intricata Coincy","2","9.6","0.565685","0.4","2.133604"
"Linaria oblongifolia subsp. haenseleri (Boiss. & Reut.) Valdés","14","8.985714","1.616196","0.431947","0.304801"
"Chaenorhinum exile (Coss. & Kralik) Lange","13","8.523077","1.274202","0.3534","0.328247"
"Linaria verticillata subsp. cuartanensis (Degen & Hervier) L.Sáez & M.B.Crespo","18","9.066667","2.39411","0.564297","0.237067"
"Misopates microcarpum (Pomel) D.A.Sutton","14","8.278571","1.87624","0.501446","0.304801"
"Linaria triphylla (L.) Mill.","42","4.688095","3.012268","0.464803","0.1016"
"Linaria hirta (L.) Moench","37","9.143243","1.399313","0.230046","0.11533"
"Linaria pedunculata (L.) Chaz.","14","6.4","2.069931","0.553212","0.304801"
"Antirrhinum majus L.","69","7.508696","2.088325","0.251405","0.061844"
"Gadoria falukei Güemes & Mota","1","7.6",NA,NA,"4.267209"
"Anarrhinum laxiflorum Boiss.","16","8.79375","1.638076","0.409519","0.266701"
"Linaria latifolia Desf.","11","9.981818","1.526315","0.460201","0.387928"
"Chaenorhinum reyesii (C.Vicioso & Pau) Benedí","15","9.773333","0.518882","0.133975","0.284481"
"Linaria benitoi Fern.Casas","3","6.466667","2.478575","1.431006","1.422403"
"Linaria lilacina Lange","4","9.75","1.502221","0.75111","1.066802"
"Antirrhinum litigiosum Pau","27","8.796296","1.480769","0.284974","0.158045"
"Antirrhinum hispanicum Chav.","13","9.715385","0.58998","0.163631","0.328247"
"Linaria verticillata Boiss.","8","9.5375","1.828299","0.646401","0.533401"
"Linaria micrantha (Cav.) Hoffmanns. & Link","60","7.735","3.118226","0.402561","0.07112"
"Linaria oligantha Lange","9","8.122222","1.561872","0.520624","0.474134"
"Linaria glauca subsp. olcadium Valdés & D.A.Webb","1","10.1",NA,NA,"4.267209"
"Linaria arvensis (L.) Desf.","82","7.515854","2.060113","0.227501","0.052039"
"Antirrhinum charidemi Lange","3","8.5","3.292416","1.900877","1.422403"
"Kickxia spuria subsp. integrifolia (Brot.) R.Fern.","65","7.607692","2.434409","0.301951","0.065649"
"Linaria amoi Campo ex Amo","2","9.3","0.565685","0.4","2.133604"
"Chaenorhinum robustum Loscos","17","9.582353","0.447542","0.108545","0.251012"
"Antirrhinum controversum Pau","10","8.53","1.965282","0.621477","0.426721"
"Antirrhinum mollissimum (Pau) Rothm.","4","9.4","1.019804","0.509902","1.066802"
"Linaria tristis subsp. pectinata (Pau & Font Quer) Maire","7","9.671429","2.198268","0.830867","0.609601"
"Linaria platycalyx Boiss.","2","8.9","0","0","2.133604"
"Chaenorhinum raveyi (Boiss.) Pau","3","9.133333","0.723418","0.417666","1.422403"
"Chaenorhinum macropodum (Boiss. & Reut.) Lange","7","9.685714","1.673747","0.632617","0.609601"
"Antirrhinum siculum Mill.","16","5.20625","3.07798","0.769495","0.266701"
"Chaenorhinum grandiflorum (Coss.) Willk.","5","8.54","1.662227","0.743371","0.853442"
"Linaria viscosa (L.) Dum.Cours.","28","8.782143","1.555886","0.294035","0.1524"
"Linaria nivea Boiss. & Reut.","12","9.783333","0.939858","0.271314","0.355601"
"Kickxia elatine subsp. crinita (Mabille) Greuter","55","5.065455","3.023747","0.407722","0.077586"
"Linaria badalii Willk.","21","8.9","0.630079","0.137495","0.2032"
"Chaenorhinum glareosum (Boiss.) Willk.","2","8.4","2.545584","1.8","2.133604"
"Linaria saturejoides Boiss.","5","8.62","1.451551","0.649153","0.853442"
"Linaria depauperata subsp. ilergabona (M.B.Crespo & Arán) L.Sáez","1","6.2",NA,NA,"4.267209"
"Kickxia spuria (L.) Dumort.","110","7.013636","2.179996","0.207854","0.038793"
"Cymbalaria aequitriloba (Viv.) A.Chev.","7","3.8","2.039608","0.770899","0.609601"
"Anarrhinum pedatum Desf.","11","7.745455","2.048103","0.617526","0.387928"
"Linaria gharbensis Batt. & Pit.","9","8.744444","2.316847","0.772282","0.474134"
"Linaria triornithophora (L.) Willd.","29","7.482759","2.081735","0.386568","0.147145"
"Linaria alpina (L.) Mill.","59","8.130508","1.019847","0.132773","0.072326"
"Cymbalaria muralis P.Gaertn., B.Mey. & Scherb.","38","5.865789","2.748196","0.445816","0.112295"
"Cymbalaria longipes (Boiss. & Heldr.) A.Chev.","10","3.42","2.752292","0.870351","0.426721"
"Linaria pelisseriana (L.) Mill.","86","5.531395","2.639664","0.284642","0.049619"
"Kickxia elatine (L.) Dumort.","133","6.966165","2.027571","0.175813","0.032084"
"Kickxia commutata (Bernh. ex Rchb.) Fritsch","46","5.48913","2.892998","0.426549","0.092765"
"Kickxia cirrhosa (L.) Fritsch","37","6.091892","2.828759","0.465045","0.11533"
"Misopates calycinum (Vent.) Rothm.","24","7.670833","2.613091","0.533395","0.1778"
"Mohavea breviflora Coville","17","12.417647","0.567049","0.13753","0.251012"
"Gambelia speciosa Nutt.","7","6.742857","4.505499","1.702919","0.609601"
"Linaria odora (M.Bieb.) Fisch.","40","7.7225","1.467509","0.232034","0.10668"
"Linaria dalmatica (L.) Mill.","23","7.813043","1.407223","0.293426","0.185531"
"Linaria simplex Desf.","44","8.534091","1.825904","0.275265","0.096982"
"Linaria angustissima (Loisel.) Borbás","33","7.730303","1.584591","0.275842","0.129309"
"Linaria spartea (L.) Willd.","53","8.20566","2.18266","0.299811","0.080513"
"Linaria loeselii Schweigg.","6","4.416667","1.324261","0.540627","0.711201"
"Linaria purpurea (L.) Mill.","72","5.651389","1.8859","0.222255","0.059267"
"Antirrhinum sempervirens Lapeyr.","9","8.4","1.024695","0.341565","0.474134"
"Linaria chalepensis (L.) Mill.","48","5.70625","3.552907","0.512818","0.0889"
"Linaria tristis (L.) Mill.","25","8.832","2.330901","0.46618","0.170688"
"Linaria peloponnesiaca Boiss. & Heldr.","12","8.625","1.328105","0.383391","0.355601"
"Antirrhinum pulverulentum Lázaro Ibiza","6","9.7","0.363318","0.148324","0.711201"
"Linaria microsepala A.Kern.","1","6",NA,NA,"4.267209"
"Linaria grandiflora Desf.","13","10.230769","1.347457","0.373717","0.328247"
"Antirrhinum graniticum Rothm.","30","9.196667","1.003952","0.183296","0.14224"
"Antirrhinum grosii Font Quer","2","9.4","0.141421","0.1","2.133604"
"Linaria nurensis Boiss. & Hausskn.","3","12.5","0.264575","0.152752","1.422403"
"Linaria lineolata Boiss. & Kotschy","3","10.766667","0.208167","0.120185","1.422403"
"Mohavea confertiflora (Benth. ex A.DC.) A.Heller","22","12.140909","1.452308","0.309633","0.193964"
"Linaria elymaitica (Boiss.) Kuprian.","4","9.775","2.786126","1.393063","1.066802"
"Linaria maroccana Hook.fil.","51","6.258824","2.378838","0.333104","0.083671"
"Linaria japonica Miq.","51","5.180392","1.446377","0.202533","0.083671"
