"species","life_form"
"Draba ritacuvana","perennial"
"Draba pseudocheiranthoides","perennial"
"Draba funckeana","no_life_form_on_database"
"Draba soratensis","perennial"
"Draba peruviana","perennial"
"Draba pickeringii","perennial"
"Draba hammenii","perennial"
"Draba hemsleyana","perennial"
"Draba pulvinata subsp. pulvinata","no_life_form_on_database"
"Draba extensa","perennial"
"Draba violacea","perennial"
"Draba sericea","perennial"
"Draba boyacana","perennial"
"Draba barclayana","perennial"
"Draba standleyi","perennial"
"Draba rositae","perennial"
"Draba spruceana","perennial"
"Draba pennellii","perennial"
"Draba chionophila","perennial"
"Draba pycnophylla","perennial"
"Draba densifolia","perennial"
"Draba solitaria","no_life_form_on_database"
"Draba litamo","perennial"
"Draba farsetioides","perennial"
"Draba hidalgensis","perennial"
"Draba confertifolia","perennial"
"Draba depressa","perennial"
"Draba mexicana","no_life_form_on_database"
"Draba jorullensis","perennial"
"Draba inquisiviana","perennial"
"Draba obovata","perennial"
"Draba cryptantha","perennial"
"Draba lapaziana","perennial"
"Draba aretioides","perennial"
"Draba hallii","perennial"
"Draba hookeri","perennial"
"Draba cuzcoensis","perennial"
"Draba nivicola","perennial"
"Draba lindenii","perennial"
"Draba macleanii","perennial"
"Draba schusteri","perennial"
"Draba splendens","perennial"
"Draba wurdackii","perennial"
"Draba discoidea","perennial"
"Draba matthioloides subsp. saundersii","perennial"
"Draba burkei","perennial"
"Draba globosa","perennial"
"Draba pectinipila","perennial"
"Draba kassii","perennial"
"Draba sphaeroides","perennial"
"Draba sobolifera","perennial"
"Draba subalpina","perennial"
"Draba streptobrachia","perennial"
"Draba brachystylis","annual"
"Draba novolympica","perennial"
"Draba mogollonica","perennial"
"Draba sphaerocarpa","perennial"
"Draba spectabilis","perennial"
"Draba ogilviensis","perennial"
"Draba albertina","annual"
"Draba stenopetala","perennial"
"Draba corrugata","perennial"
"Draba cruciata","perennial"
"Draba crassifolia","annual"
"Draba pusilla","annual"
"Draba aureola","perennial"
"Draba helleriana","annual"
"Draba aurea","perennial"
"Draba stylosa","perennial"
"Draba affghanica","perennial"
"Draba stenoloba","annual"
"Draba lemmonii","perennial"
"Draba maguirei","perennial"
"Draba ventosa","perennial"
"Draba streptocarpa","perennial"
"Draba exunguiculata","perennial"
"Draba asprella","perennial"
"Draba demareei","perennial"
"Draba crassa","perennial"
"Draba polyphylla","perennial"
"Draba amplexicaulis","perennial"
"Draba melanopus","annual"
"Draba matangensis","perennial"
"Draba pauciflora","perennial"
"Draba micropetala","perennial"
"Draba bhutanica","perennial"
"Draba cholaensis","perennial"
"Draba alpicola","no_life_form_on_database"
"Draba gracillima","annual"
"Draba odudiana","perennial"
"Draba eriopoda","annual"
"Draba trinervis","perennial"
"Draba alberti","perennial"
"Draba kongboiana","no_life_form_on_database"
"Draba jucunda","perennial"
"Draba involucrata","perennial"
"Draba eschscholtzii","perennial"
"Draba cachemirica","perennial"
"Draba korshinskyi","perennial"
"Draba setosa","perennial"
"Draba aubrietioides","annual"
"Draba radicans","perennial"
"Draba macbeathiana","perennial"
"Draba stenocarpa","annual"
"Draba koeiei","perennial"
"Draba olgae","perennial"
"Draba yunnanensis","perennial"
"Draba surculosa","perennial"
"Draba pilosa","perennial"
"Draba barbata","no_life_form_on_database"
"Draba palanderiana","perennial"
"Draba turczaninovi","no_life_form_on_database"
"Draba fladnizensis","perennial"
"Draba lichiangensis","perennial"
"Draba tomentosa","perennial"
"Draba ladina","perennial"
"Draba alpina","perennial"
"Draba arseniewi","perennial"
"Draba dubia","perennial"
"Draba porsildii","perennial"
"Draba lonchocarpa","perennial"
"Draba gilliesii","perennial"
"Draba magellanica","perennial"
"Draba macrocarpa","no_life_form_on_database"
"Draba cana","perennial"
"Draba breweri","perennial"
"Draba grandis","perennial"
"Draba winterbottomii","perennial"
"Draba oligosperma","perennial"
"Draba corymbosa","no_life_form_on_database"
"Draba lactea","perennial"
"Draba oblongata","perennial"
"Draba paysonii","perennial"
"Draba oxycarpa","perennial"
"Draba subcapitata","perennial"
"Draba oreades","perennial"
"Draba pohlei","perennial"
"Draba groenlandica","no_life_form_on_database"
"Draba ramulosa","perennial"
