"species","life_form"
"Salvia florida","no_life_form_on_database"
"Salvia tortuosa","perennial"
"Salvia rufula","perennial"
"Salvia tolimensis","perennial"
"Salvia bogotensis","perennial"
"Salvia sphacelioides","perennial"
"Salvia cuatrecasana","no_life_form_on_database"
"Salvia sordida","perennial"
"Salvia amplifrons","annual"
"Salvia raymondii","perennial"
"Salvia cyanicalyx","no_life_form_on_database"
"Salvia densiflora","perennial"
"Salvia tuerckheimii","perennial"
"Salvia carnea","perennial"
"Salvia simulans","no_life_form_on_database"
"Salvia palealis","no_life_form_on_database"
"Salvia pansamalensis","perennial"
"Salvia jorgehintoniana","no_life_form_on_database"
"Salvia nervata","perennial"
"Salvia tubifera","perennial"
"Salvia personata","annual"
"Salvia tiliifolia","annual"
"Salvia leptostachys","annual"
"Salvia rhyacophila","no_life_form_on_database"
"Salvia hispanica","annual"
"Salvia pennellii","perennial"
"Salvia richardsonii","no_life_form_on_database"
"Salvia farinacea","perennial"
"Salvia caudata","perennial"
"Salvia chiapensis","perennial"
"Salvia ionocalyx","no_life_form_on_database"
"Salvia areolata","perennial"
"Salvia filipes","no_life_form_on_database"
"Salvia tonaticensis","no_life_form_on_database"
"Salvia connivens","perennial"
"Salvia iodantha","perennial"
"Salvia curviflora","perennial"
"Salvia littae","perennial"
"Salvia polystachya","no_life_form_on_database"
"Salvia arbuscula","no_life_form_on_database"
"Salvia trichostephana","perennial"
"Salvia plurispicata","no_life_form_on_database"
"Salvia longistyla","perennial"
"Salvia longispicata","no_life_form_on_database"
"Salvia myriantha","no_life_form_on_database"
"Salvia sapinea","no_life_form_on_database"
"Salvia languidula","perennial"
"Salvia confertispicata","no_life_form_on_database"
"Salvia mexicana","perennial"
"Salvia angulata","perennial"
"Salvia xalapensis","annual"
"Salvia amarissima","no_life_form_on_database"
"Salvia santanae","no_life_form_on_database"
"Salvia ibugana","no_life_form_on_database"
"Salvia peninsularis","no_life_form_on_database"
"Salvia leucantha","perennial"
"Salvia pauciserrata","perennial"
"Salvia pichinchensis","perennial"
"Salvia alborosea","no_life_form_on_database"
"Salvia diegoae","no_life_form_on_database"
"Salvia vazquezii","no_life_form_on_database"
"Salvia gravida","no_life_form_on_database"
"Salvia palmeri","no_life_form_on_database"
"Salvia rosei","perennial"
"Salvia guadalajarensis","perennial"
"Salvia muscarioides","perennial"
"Salvia agnes","perennial"
"Salvia cryptodonta","perennial"
"Salvia lavanduloides","perennial"
"Salvia moniliformis","perennial"
"Salvia heterofolia","no_life_form_on_database"
"Salvia rzedowskii","perennial"
"Salvia remota","perennial"
"Salvia stachyoides","no_life_form_on_database"
"Salvia helianthemifolia","perennial"
"Salvia miniata","perennial"
"Salvia articulata","perennial"
"Salvia hilarii","perennial"
"Salvia splendens","perennial"
"Salvia tomentella","perennial"
"Salvia sophrona","perennial"
"Salvia stachydifolia","perennial"
"Salvia atrocyanea","perennial"
"Salvia pallida","perennial"
"Salvia grewiifolia","perennial"
"Salvia brevipes","perennial"
"Salvia cerradicola","perennial"
"Salvia melissiflora","perennial"
"Salvia haenkei","perennial"
"Salvia platystoma","no_life_form_on_database"
"Salvia oxyphora","perennial"
"Salvia durifolia","no_life_form_on_database"
"Salvia rusbyi","perennial"
"Salvia alba","no_life_form_on_database"
"Salvia graciliramulosa","perennial"
"Salvia formosa","no_life_form_on_database"
"Salvia sarmentosa","no_life_form_on_database"
"Salvia dombeyi","perennial"
"Salvia rypara","perennial"
"Salvia sucrensis","perennial"
"Salvia orbignaei","perennial"
"Salvia nervosa","perennial"
"Salvia minarum","perennial"
"Salvia exserta","annual"
"Salvia praeclara","no_life_form_on_database"
"Salvia subrotunda","perennial"
"Salvia confertiflora","perennial"
"Salvia guaranitica","perennial"
"Salvia scabrida","perennial"
"Salvia squalens","perennial"
"Salvia striata","no_life_form_on_database"
"Salvia tubiflora","perennial"
"Salvia oppositiflora","no_life_form_on_database"
"Salvia lobbii","perennial"
"Salvia speciosa","no_life_form_on_database"
"Salvia blepharophylla","no_life_form_on_database"
"Salvia sharpii","perennial"
"Salvia hirtella","perennial"
"Salvia sprucei","perennial"
"Salvia reflexa","annual"
"Salvia rhombifolia","annual"
"Salvia prasiifolia","no_life_form_on_database"
"Salvia reptans","perennial"
"Salvia jaimehintoniana","perennial"
"Salvia azurea","perennial"
"Salvia leptophylla","no_life_form_on_database"
"Salvia cedrosensis","perennial"
"Salvia cualensis","no_life_form_on_database"
"Salvia buchananii","perennial"
"Salvia gachantivana","no_life_form_on_database"
"Salvia gracilipes","no_life_form_on_database"
"Salvia melaleuca","perennial"
"Salvia erythrostoma","no_life_form_on_database"
"Salvia rubescens","perennial"
"Salvia amethystina","perennial"
"Salvia leucochlamys","perennial"
"Salvia urica","perennial"
"Salvia perlonga","perennial"
"Salvia praestans","perennial"
"Salvia infuscata","perennial"
"Salvia herbacea","perennial"
"Salvia angustiarum","no_life_form_on_database"
"Salvia chionophylla","perennial"
"Salvia coccinea","annual"
"Salvia protracta","perennial"
"Salvia thyrsiflora","perennial"
"Salvia nepetoides","no_life_form_on_database"
"Salvia inconspicua","no_life_form_on_database"
"Salvia quercetorum","no_life_form_on_database"
"Salvia ramamoorthyana","perennial"
"Salvia alamosana","perennial"
"Salvia chapalensis","perennial"
"Salvia aequidistans","no_life_form_on_database"
"Salvia sphacelifolia","perennial"
"Salvia tepicensis","perennial"
