"species","life_form","source","notes_1","notes_2"
"Hydrocera triflora","perennial","","",NA
"Impatiens falcifer","annual","http://www.efloras.org/florataxon.aspx?flora_id=2&taxon_id=242423074","manually_curated",NA
"Impatiens serrata","annual","","",NA
"Impatiens glandulifera","annual","","",NA
"Impatiens sulcata","annual","","",NA
"Impatiens amplexicaulis","annual","","",NA
"Impatiens chungtienensis","annual","","",NA
"Impatiens amphorata","annual","https://www.flowersofindia.net/catalog/slides/Amphora%20Balsam.html","manually_curated",NA
"Impatiens brachycentra","annual","","",NA
"Impatiens parviflora","annual","","",NA
"Impatiens balfourii","annual","","",NA
"Impatiens cymbifera","annual","","",NA
"Impatiens desmantha","annual","","",NA
"Impatiens eubotrya","perennial","Grey-Wilson, C. (1989). A revision of Sumatran Impatiens: studies in Balsaminaceae: VIII. Kew bulletin, 67-106.","manually_curated",NA
"Impatiens siculifer","annual","http://www.efloras.org/florataxon.aspx?flora_id=2&taxon_id=200013307","manually_curated",NA
"Impatiens longiloba","annual","https://www.rarepalmseeds.com/impatiens-longiloba","manually_curated",NA
"Impatiens racemosa","annual","","",NA
"Impatiens occultans","annual","","",NA
"Impatiens pradhanii","annual","","",NA
"Impatiens radiata","annual","","",NA
"Impatiens wallichii","perennial","","",NA
"Impatiens urticifolia","annual","","",NA
"Impatiens rectangula","annual","","",NA
"Impatiens cyathiflora","annual","","",NA
"Impatiens drepanophora","annual","","",NA
"Impatiens chimiliensis","perennial","","",NA
"Impatiens devolii","annual","","",NA
"Impatiens purpurea","annual","","",NA
"Impatiens scutisepala","annual","","",NA
"Impatiens holocentra","perennial","","",NA
"Impatiens taronensis","perennial","http://www.efloras.org/florataxon.aspx?flora_id=2&taxon_id=242445587","manually_curated",NA
"Impatiens microcentra","perennial","","",NA
"Impatiens cyanantha","annual","","",NA
"Impatiens fenghwaiana","annual","","",NA
"Impatiens aquatilis","annual","","",NA
"Impatiens uliginosa","annual","","",NA
"Impatiens bicornuta","annual","","",NA
"Impatiens auriculata","perennial","","",NA
"Impatiens gongshanensis","annual","","",NA
"Impatiens soulieana","annual","","",NA
"Impatiens platychlaena","annual","","",NA
"Impatiens apsotis","annual","","",NA
"Impatiens lecomtei","annual","","",NA
"Impatiens pritzelii","perennial","","",NA
"Impatiens fissicornis","annual","","",NA
"Impatiens tayemonii","no_life_form_on_database","","",NA
"Impatiens corchorifolia","annual","","",NA
"Impatiens shimianensis","annual","Zhang, J. G., & Zhang, L. B. (2011). Impatiens shimianensis sp. nov.(Balsaminaceae): A new species from Sichuan, China, based on morphological and molecular evidence. Systematic Botany, 36(3), 721-729.","manually_curated",NA
"Impatiens delavayi","annual","","",NA
"Impatiens poculifer","annual","","",NA
"Impatiens subecalcarata","annual","","",NA
"Impatiens nubigena","annual","","",NA
"Impatiens barbata","annual","","",NA
"Impatiens davidii","annual","","",NA
"Impatiens capensis","annual","","",NA
"Impatiens pallida","annual","","",NA
"Impatiens noli-tangere","annual","","",NA
"Impatiens faberi","annual","","",NA
"Impatiens imbecilla","annual","","",NA
"Impatiens uniflora","annual","","",NA
"Impatiens oxyanthera","annual","","",NA
"Impatiens forrestii","perennial","","",NA
"Impatiens textorii","annual","","",NA
"Impatiens clavigera","annual","","",NA
"Impatiens omeiana","perennial","","",NA
"Impatiens reticulata","no_life_form_on_database","","",NA
"Impatiens angustisepala","no_life_form_on_database","","",NA
"Impatiens diversifolia","annual","","",NA
"Impatiens brevicornis","annual","","",NA
"Impatiens herbicola","annual","","",NA
"Impatiens ligulata","annual","","",NA
"Impatiens debilis","annual","","",NA
"Impatiens chinensis","annual","","",NA
"Impatiens minor","annual","","",NA
"Impatiens pseudochinensis","no_life_form_on_database","","",NA
"Impatiens platypetala","perennial","","",NA
"Impatiens gardneriana","annual","","",NA
"Impatiens beccarii","perennial","Grey-Wilson, C. (1989). A revision of Sumatran Impatiens: studies in Balsaminaceae: VIII. Kew bulletin, 67-106.","manually_curated",NA
