species,life_form,
Bonplandia geminiflora,perennial,
Cobaea minor,perennial,
Cobaea pachysepala,perennial,
Cobaea scandens,perennial,
Cobaea penduliflora,perennial,
Cantua volcanica,perennial,
Cantua quercifolia,perennial,
Cantua cuzcoensis,perennial,
Cantua flexuosa,perennial,
Cantua bicolor,perennial,
Cantua candelilla,perennial,
Cantua pyrifolia,perennial,
Cantua buxifolia,perennial,
Aliciella latifolia,annual,
Aliciella subnuda,perennial,rescored_biennial
Aliciella caespitosa,perennial,
Aliciella tenuis,perennial,
Aliciella hutchinsifolia,annual,
Aliciella leptomeria,annual,
Aliciella triodon,annual,
Aliciella mcvickerae,annual,
Giliastrum foetidum,perennial,
Giliastrum purpusii,perennial,
Giliastrum ludens,perennial,
Giliastrum rigidulum,annual,
Ipomopsis sonorae,no_life_form_on_database,
Ipomopsis havardii,no_life_form_on_database,
Dayia grantii,perennial,
Bryantiella glutinosa,no_life_form_on_database,
Dayia scabra,annual,
Loeselia glandulosa,perennial,
Loeselia coerulea,no_life_form_on_database,
Loeselia ciliata,perennial,
Loeselia involucrata,no_life_form_on_database,
Loeselia pumila,no_life_form_on_database,
Bryantiella palmeri,annual,
Ipomopsis effusa,no_life_form_on_database,
Ipomopsis tenuifolia,no_life_form_on_database,
Ipomopsis guttata,no_life_form_on_database,
Ipomopsis roseata,perennial,
Ipomopsis wrightii,perennial,
Ipomopsis gunnisonii,annual,
Ipomopsis pumila,annual,
Ipomopsis gossypifera,annual,
Ipomopsis tridactyla,no_life_form_on_database,
Ipomopsis congesta,perennial,
Ipomopsis spicata,perennial,
Ipomopsis polycladon,annual,
Ipomopsis macombii,perennial,
Ipomopsis thurberi,no_life_form_on_database,
Ipomopsis wendtii,no_life_form_on_database,
Ipomopsis rubra,perennial,rescored_biennial
Ipomopsis arizonica,perennial,rescored_biennial
Ipomopsis multiflora,perennial,
Ipomopsis tenuituba,perennial,rescored_biennial
Ipomopsis aggregata,perennial,rescored_biennial
Ipomopsis macrosiphon,perennial,
Ipomopsis longiflora,annual,
Ipomopsis laxiflora,annual,
Ipomopsis sancti-spiritus,no_life_form_on_database,
Ipomopsis polyantha,perennial,
Ipomopsis pringlei,no_life_form_on_database,
Ipomopsis pinnata,perennial,rescored_biennial
Ipomopsis monticola,no_life_form_on_database,
Microgilia minutiflora,annual,
Eriastrum densifolium,perennial,
Eriastrum wilcoxii,annual,
Eriastrum signatum,annual,
Eriastrum sapphirinum,annual,
Langloisia punctata,no_life_form_on_database,
Langloisia setosissima,no_life_form_on_database,
Langloisia matthewsii,no_life_form_on_database,
Loeseliastrum schottii,no_life_form_on_database,
Loeseliastrum depressum,annual,
Linanthus filiformis,annual,
Linanthus campanulatus,annual,
Linanthus maculatus,no_life_form_on_database,
Linanthus concinnus,annual,
Linanthus dianthiflorus,no_life_form_on_database,
Linanthus uncialis,no_life_form_on_database,
Linanthus bellus,no_life_form_on_database,
Linanthus orcuttii,no_life_form_on_database,
Linanthus demissus,annual,
Linanthus caespitosus,perennial,
Linanthus watsonii,perennial,
Linanthus jonesii,no_life_form_on_database,
Linanthus dichotomus,annual,
Linanthus bigelovii,annual,
Linanthus arenicola,annual,
Linanthus killipii,annual,
Linanthus parryae,annual,
Linanthus jaegeri,perennial,
Linanthus pungens,perennial,
Linanthus californicus,perennial,
Gymnosteris nudicaulis,annual,
Gymnosteris parvula,annual,
Linanthus inyoensis,annual,
Microsteris gracilis,annual,
Phlox alaskensis,no_life_form_on_database,
Phlox alyssifolia,perennial,
Phlox longifolia,perennial,
Phlox hoodii,perennial,
Phlox nana,no_life_form_on_database,
Phlox diffusa,perennial,
Phlox stansburyi,no_life_form_on_database,
Phlox bifida,perennial,
Phlox oklahomensis,perennial,
Phlox nivalis,perennial,
Phlox subulata,perennial,
Phlox condensata,perennial,
Phlox stolonifera,perennial,
Phlox glaberrima,perennial,
Phlox pulchra,no_life_form_on_database,
Phlox paniculata,perennial,
Phlox buckleyi,perennial,
Phlox amplifolia,perennial,
Phlox maculata,no_life_form_on_database,
Phlox ovata,no_life_form_on_database,
Phlox amoena,perennial,
Phlox divaricata,perennial,
Phlox pattersonii,no_life_form_on_database,
Phlox drummondii,annual,
Phlox cuspidata,annual,
Phlox roemeriana,annual,
Phlox floridana,perennial,
Phlox pulcherrima,no_life_form_on_database,
Phlox pilosa,no_life_form_on_database,
Phlox carolina,perennial,
Leptosiphon montanus,annual,
Leptosiphon ciliatus,annual,
Leptosiphon grandiflorus,annual,
Leptosiphon nudatus,annual,
Leptosiphon breviculus,annual,
Leptosiphon aureus,no_life_form_on_database,
Leptosiphon jamauensis,no_life_form_on_database,
Linanthus jamauensis,no_life_form_on_database,
Leptosiphon latisectus,annual,
Leptosiphon croceus,no_life_form_on_database,
Leptosiphon minimus,annual,
Leptosiphon parviflorus,no_life_form_on_database,
Leptosiphon pygmaeus,no_life_form_on_database,
Leptosiphon filipes,annual,
Linanthus pusillus,no_life_form_on_database,
Leptosiphon rattanii,annual,
Leptosiphon bolanderi,annual,
Leptosiphon ambiguus,annual,
Leptosiphon pachyphyllus,perennial,
Leptosiphon floribundum,perennial,
Leptosiphon laxus,no_life_form_on_database,
Leptosiphon melingii,no_life_form_on_database,
Leptosiphon nuttallii,perennial,
Leptosiphon harknessii,no_life_form_on_database,
Leptosiphon septentrionalis,annual,
Leptosiphon androsaceus,annual,
Leptosiphon jepsonii,annual,
Leptosiphon bicolor,annual,
Leptosiphon rosaceus,annual,
Leptosiphon oblanceolatus,annual,
Leptosiphon acicularis,annual,
Leptosiphon serrulatus,annual,
Leptosiphon liniflorus,annual,
Leptosiphon lemmonii,no_life_form_on_database,
Polemonium confertum,no_life_form_on_database,
Polemonium viscosum,perennial,
Polemonium carneum,perennial,
Polemonium elusum,perennial,
Polemonium pauciflorum,no_life_form_on_database,
Polemonium mexicanum,no_life_form_on_database,
Polemonium grandiflorum,no_life_form_on_database,
Polemonium elegans,perennial,
Polemonium pulcherrimum,perennial,
Polemonium pectinatum,perennial,
Polemonium chinense,perennial,
Polemonium caeruleum,perennial,
Polemonium occidentale,perennial,
Polemonium acutiflorum,no_life_form_on_database,
Polemonium vanbruntiae,perennial,
Polemonium micranthum,annual,
Polemonium boreale,perennial,
Polemonium californicum,no_life_form_on_database,
Polemonium delicatum,no_life_form_on_database,
Polemonium reptans,perennial,
Polemonium eximium,perennial,
Polemonium chartaceum,no_life_form_on_database,
Polemonium brandegeei,perennial,
Polemonium eddyense,perennial,
Polemonium foliosissimum,perennial,
Saltugilia splendens,annual,
Saltugilia caruifolia,no_life_form_on_database,
Saltugilia latimeri,no_life_form_on_database,
Saltugilia australis,no_life_form_on_database,
Lathrocasis tenerrima,annual,
Gilia achilleifolia,annual,
Gilia nevinii,annual,
Gilia angelensis,annual,
Gilia yorkii,annual,
Gilia capitata,annual,
Gilia clivorum,annual,
Gilia laciniata,annual,
Gilia lomensis,no_life_form_on_database,
Gilia valdiviensis,annual,
Gilia millefoliata,annual,
Gilia tricolor,annual,
Gilia scopulorum,annual,
Gilia cana,annual,
Gilia brecciarum,annual,
Gilia ochroleuca,annual,
Gilia inconspicua,annual,
Gilia diegensis,annual,
Gilia crassifolia,annual,
Gilia clokeyi,annual,
Gilia sinuata,annual,
Gilia leptantha,annual,
Gilia stellata,annual,
