"species","life_form"
"Primula muscarioides","perennial"
"Primula pinnatifida","perennial"
"Primula vialii","perennial"
"Primula bellidifolia","perennial"
"Primula flaccida","perennial"
"Primula cernua","perennial"
"Primula violacea","perennial"
"Primula deflexa","perennial"
"Primula siamensis","perennial"
"Primula aromatica","perennial"
"Primula watsonii","perennial"
"Primula reidii","annual"
"Primula wigramiana","no_life_form_on_database"
"Primula sertulum","perennial"
"Primula erratica","perennial"
"Primula efarinosa","perennial"
"Primula glabra","perennial"
"Primula tenuiloba","perennial"
"Primula capitata","perennial"
"Primula glomerata","perennial"
"Primula stirtoniana","perennial"
"Primula primulina","perennial"
"Primula cachemiriana","no_life_form_on_database"
"Primula denticulata","perennial"
"Primula pumilio","perennial"
"Primula gemmifera","perennial"
"Primula fasciculata","perennial"
"Primula nutans","perennial"
"Primula involucrata","no_life_form_on_database"
"Primula scotica","perennial"
"Primula farinosa","perennial"
"Primula egaliksensis","perennial"
"Primula mistassinica","perennial"
"Primula halleri","perennial"
"Primula serrata","perennial"
"Primula pinnata","perennial"
"Primula laurentiana","perennial"
"Primula incana","perennial"
"Primula scandinavica","perennial"
"Primula borealis","perennial"
"Primula anvilensis","perennial"
"Primula specuicola","perennial"
"Primula modesta","no_life_form_on_database"
"Primula aliciae","perennial"
"Primula pulchella","perennial"
"Primula darialica","no_life_form_on_database"
"Primula algida","perennial"
"Primula baldshuanica","perennial"
"Primula muscoides","perennial"
"Primula reptans","perennial"
"Primula alpicola","perennial"
"Primula firmipes","perennial"
"Primula waltonii","perennial"
"Primula reticulata","perennial"
"Primula souliei","perennial"
"Primula florida","no_life_form_on_database"
"Primula bella","perennial"
"Primula membranifolia","no_life_form_on_database"
"Primula yunnanensis","perennial"
"Primula elliptica","perennial"
"Primula warshenewskiana","perennial"
"Primula clarkei","perennial"
"Primula luteola","perennial"
"Primula auriculata","perennial"
"Primula walshii","perennial"
"Dionysia tapetodes","perennial"
"Dionysia revoluta","perennial"
"Dionysia aretioides","perennial"
"Dionysia lindbergii","perennial"
"Dionysia gaubae","perennial"
"Dionysia haussknechtii","perennial"
"Dionysia bryoides","perennial"
"Dionysia lurorum","perennial"
"Dionysia hissarica","perennial"
"Primula gaubaeana","perennial"
"Primula floribunda","perennial"
"Primula simensis","no_life_form_on_database"
"Primula verticillata","perennial"
"Primula edelbergii","perennial"
"Primula veris","perennial"
"Primula elatior","perennial"
"Primula megaseifolia","perennial"
"Primula grandis","no_life_form_on_database"
"Primula juliae","perennial"
"Primula cockburniana","annual"
"Primula aurantiaca","perennial"
"Primula pulverulenta","perennial"
"Primula chungensis","perennial"
"Primula japonica","perennial"
"Primula amethystina","perennial"
"Primula faberi","perennial"
"Primula chionantha","perennial"
"Primula orbicularis","perennial"
"Primula nivalis","perennial"
"Primula boreiocalliantha","perennial"
"Primula hongshanensis","no_life_form_on_database"
"Primula calliantha","perennial"
"Primula tanneri var. nepalensis","no_life_form_on_database"
"Primula tanneri subsp. tsariensis","no_life_form_on_database"
"Primula sonchifolia","perennial"
"Primula calderiana","perennial"
"Primula petelotii","perennial"
"Primula aureata","perennial"
"Primula boothii","perennial"
"Primula deuteronana","perennial"
"Primula bracteosa","perennial"
"Primula exscapa","no_life_form_on_database"
"Primula odontocalyx","perennial"
"Primula moupinensis","perennial"
"Primula ovalifolia","perennial"
"Primula serratifolia","no_life_form_on_database"
"Primula prenantha","perennial"
"Primula prolifera","perennial"
"Primula secundiflora","perennial"
"Primula poissonii","perennial"
"Primula cicutariifolia","perennial"
"Primula merrilliana","perennial"
"Primula maximowiczii","perennial"
"Primula advena","perennial"
"Primula minor","perennial"
"Primula soongii","perennial"
"Primula stuartii","perennial"
"Primula eximia","perennial"
"Primula tschuktschorum","perennial"
"Primula caveana","perennial"
"Primula littledalei","perennial"
"Primula fedtschenkoi","perennial"
"Primula rotundifolia","perennial"
"Primula malvacea","perennial"
"Primula blattariformis","perennial"
"Primula saturata","perennial"
"Primula celsiiformis","perennial"
"Primula pycnoloba","perennial"
"Primula cortusoides","perennial"
"Primula kisoana","perennial"
"Primula chapaensis","perennial"
"Primula sinomollis","perennial"
"Primula tosaensis","perennial"
"Cortusa turkestanica","no_life_form_on_database"
"Cortusa matthioli","no_life_form_on_database"
"Primula polyneura","perennial"
"Primula septemloba","perennial"
"Cortusa brotheri","no_life_form_on_database"
"Primula geraniifolia","perennial"
"Primula latisecta","perennial"
"Primula heucherifolia","perennial"
"Primula mollis","perennial"
"Primula forbesii","no_life_form_on_database"
"Primula malacoides","annual"
"Primula interjacens","perennial"
"Primula forrestii","no_life_form_on_database"
"Primula bracteata","no_life_form_on_database"
"Primula wangii","perennial"
"Primula dryadifolia","perennial"
"Primula calyptrata","no_life_form_on_database"
"Primula asarifolia","perennial"
"Primula sinolisteri","perennial"
"Primula obconica","perennial"
"Primula barbicalyx","perennial"
"Primula rugosa","perennial"
"Primula partschiana","perennial"
"Primula rupestris","perennial"
"Primula sinensis","no_life_form_on_database"
"Dodecatheon poeticum","no_life_form_on_database"
"Dodecatheon pulchellum","no_life_form_on_database"
"Dodecatheon dentatum","no_life_form_on_database"
"Dodecatheon frigidum","no_life_form_on_database"
"Primula suffrutescens","perennial"
"Dodecatheon hendersonii","no_life_form_on_database"
"Dodecatheon alpinum","no_life_form_on_database"
"Dodecatheon clevelandii","no_life_form_on_database"
"Dodecatheon conjugens","no_life_form_on_database"
"Primula cuneifolia subsp. cuneifolia","no_life_form_on_database"
"Primula cuneifolia var. saxifragifolia","perennial"
"Primula nipponica","perennial"
"Primula capillaris","perennial"
