"species","life_form","source","notes_1","notes_2","X"
"Centaurea napifolia","annual","https://en.hortipedia.com/Centaurea_napifolia","manually_curated","",""
"Centaurea diluta","annual","https://www.cal-ipc.org/plants/profile/centaurea-diluta-profile/","manually_curated","",""
"Centaurea involucrata","no_life_form_on_database","","","",""
"Centaurea solstitialis","annual","Young, S. L., Kyser, G. B., Barney, J. N., Claassen, V. P., & DiTomaso, J. M. (2010). Spatio_Temporal Relationship between Water Depletion and Root Distribution Patterns of Centaurea solstitialis and Two Native Perennials. Restoration Ecology, 18, 323-333.","manually_curated","",""
"Centaurea melitensis","annual","https://www.calflora.org/app/taxon?crn=1851","manually_curated","",""
"Centaurea sulphurea","annual","https://www.calflora.org/app/taxon?crn=1855","manually_curated","",""
"Centaurea iberica","perennial","https://www.calflora.org/app/taxon?crn=1849","manually_curated","""less aggressive weed than other Centaurea""","https://www.cabi.org/isc/datasheet/109132#tosummaryOfInvasiveness"
"Centaurea calcitrapa","annual","https://www.calflora.org/app/taxon?crn=1845","manually_curated","can also grow as perennial",""
"Centaurea bruguierana","annual","https://doi.org/10.1007/s11033-020-05679-x","manually_curated","",""
"Centaurea behen","perennial","Rec. Nat. Prod. 11:1 (2017) 69-73","manually_curated","",""
"Centaurea diffusa","annual","https://www.invasiveplantatlas.org/subject.html?sub=4472","manually_curated","",""
"Centaurea stoebe","annual","https://en.wikipedia.org/wiki/Centaurea_stoebe","manually_curated","""biennial or short lived perenial""",""
"Centaurea virgata","perennial","https://www.invasiveplantatlas.org/subject.html?sub=4373","manually_curated","",""
"Centaurea parlatoris","perennial","10.1080/11263504.2011.629462","manually_curated","",""
"Centaurea cineraria","annual","https://en.wikipedia.org/wiki/Centaurea_cineraria","manually_curated","""Depending on climate, it can be grown as either an annual or as a perennial.""",""
"Centaurea arrigonii","no_life_form_on_database","","","",""
"Centaurea jacea","perennial","https://en.wikipedia.org/wiki/Centaurea_jacea","manually_curated","",""
"Centaurea benedicta","annual","","","",""
"Centaurea lingulata","no_life_form_on_database","","","",""
"Centaurea montana","perennial","https://en.wikipedia.org/wiki/Centaurea_montana","manually_curated","",""
"Centaurea cyanus","annual","","","",""
"Centaurea depressa","annual","https://pfaf.org/user/Plant.aspx?LatinName=Centaurea+depressa","manually_curated","",""
"Carthamus lanatus","annual","https://www.calflora.org/app/taxon?crn=1662","manually_curated","",""
"Carthamus creticus","annual","https://www.calflora.org/app/taxon?crn=11480","manually_curated","",""
"Carthamus leucocaulos","annual","https://www.calflora.org/app/taxon?crn=1663","manually_curated","",""
"Carthamus turkestanicus","no_life_form_on_database","","","",""
"Carthamus oxyacanthus","annual","https://idtools.org/id/fnw/factsheet.php?name=14592","manually_curated","",""
"Carthamus tinctorius","annual","","","",""
"Carthamus caeruleus","perennial","https://doi.org/10.1139/g78-025","manually_curated","",""
"Carthamus duvauxii","no_life_form_on_database","","","",""
"Carthamus riphaeus","no_life_form_on_database","","","",""
"Carthamus balearicus","no_life_form_on_database","","","",""
"Centaurea lagascana","no_life_form_on_database","","","",""
"Centaurea carolipauana","no_life_form_on_database","","","",""
"Centaurea ragusina","perennial","https://www.smgrowers.com/products/plants/plantdisplay.asp?plant_id=4195","manually_curated","",""
"Crupina vulgaris","annual","https://www.cal-ipc.org/plants/profile/crupina-vulgaris-profile/","manually_curated","",""
"Mantisalca salmantica","perennial","https://www.calflora.org/app/taxon?crn=10808","manually_curated","",""
"Rhaponticoides hajastana","perennial","https://ibo2022.org/en/armenia/biodiversity/armenian-flora","manually_curated","",""
"Zoegea leptaurea","annual","https://doi.org/10.1093/aob/mcr138","manually_curated","",""
"Centaurea tweediei","annual","https://doi.org/10.1093/aob/mcr138","manually_curated","",""
"Plectocephalus americanus","annual","http://www.texaswildbuds.com/sb/flower-database/bluepurple/plectocephalus-americanus/","manually_curated","",""
"Plectocephalus varians","annual","https://doi.org/10.1093/aob/mcr138","manually_curated","",""
"Centaurodendron palmiforme","perennial","https://doi.org/10.1093/aob/mcr138","manually_curated","treelet",""
"Plectocephalus chilensis","perennial","https://doi.org/10.1093/aob/mcr138","manually_curated","",""
"Stizolophus coronopifolius","annual","https://doi.org/10.1093/aob/mcr138","manually_curated","",""
"Stizolophus balsamita","annual","https://doi.org/10.1093/aob/mcr138","manually_curated","",""
"Klasea coriacea","perennial","10.1093/aob/mcr138","manually_curated","",""
"Klasea serratuloides","perennial","10.1093/aob/mcr138","manually_curated","",""
"Callicephalus nitens","annual","10.1093/aob/mcr138","manually_curated","",""
"Serratula coronata","perennial","https://doi.org/10.1093/aob/mcr138","manually_curated","",""
"Rhaponticum australe","no_life_form_on_database","","","",""
"Acroptilon repens","perennial","10.1093/aob/mcr138","manually_curated","",""
"Rhaponticum acaule","perennial","10.1093/aob/mcr138","manually_curated","",""
"Lamyropsis carpini","no_life_form_on_database","","","",""
"Cheirolophus teydis","perennial","10.1093/aob/mcr138","manually_curated","",""
"Cheirolophus mauritanicus","perennial","10.1093/aob/mcr138","manually_curated","",""
"Volutaria muricata","no_life_form_on_database","","","",""
"Volutaria crupinoides","perennial","10.1093/aob/mcr138","manually_curated","",""
"Schischkinia albispina","annual","10.1093/aob/mcr138","manually_curated","",""
"Goniocaulon indicum","annual","10.1093/aob/mcr138","manually_curated","",""
"Schmalhausenia nidulans","no_life_form_on_database","","","",""
"Cousinia grandifolia","no_life_form_on_database","","","",""
"Cousinia grandifolia","annual","","","",""
"Arctium lappa","perennial","","","",""
"Cousinia umbrosa","perennial","TAXON 58 (1) ¥ February 2009: 153Ð171","manually_curated","",""
"Cousinia triflora","perennial","TAXON 58 (1) ¥ February 2009: 153Ð171","manually_curated","",""
"Cousinia lappacea","perennial","TAXON 58 (1) ¥ February 2009: 153Ð171","manually_curated","",""
"Cousinia polycephala","perennial","TAXON 58 (1) ¥ February 2009: 153Ð171","manually_curated","",""
"Cousinia neubaueri","no_life_form_on_database","","","",""
"Cousinia astracanica","no_life_form_on_database","","","",""
"Cousinia purpurea","perennial","TAXON 58 (1) ¥ February 2009: 153Ð171","manually_curated","",""
"Cousinia microcarpa","no_life_form_on_database","","","",""
"Cousinia coronata","perennial","TAXON 58 (1) ¥ February 2009: 153Ð171","manually_curated","",""
"Jurinea albicaulis","perennial","http://www.efloras.org/florataxon.aspx?flora_id=2&taxon_id=116886","manually_curated","",""
"Jurinea humilis","perennial","https://plantsbank.com/jurinea-humilis/","manually_curated","",""
"Jurinea carduiformis","perennial","http://www.efloras.org/florataxon.aspx?flora_id=2&taxon_id=116886","manually_curated","",""
"Jurinea robusta","perennial","http://www.efloras.org/florataxon.aspx?flora_id=2&taxon_id=116886","manually_curated","",""
"Himalaiella deltoidea","annual","http://www.efloras.org/florataxon.aspx?flora_id=2&taxon_id=250097331","manually_curated","""biennial""",""
"Saussurea discolor","perennial","https://en.wikipedia.org/wiki/Saussurea","manually_curated","",""
"Saussurea manshurica","perennial","https://en.wikipedia.org/wiki/Saussurea","manually_curated","",""
"Saussurea alpina","perennial","https://en.wikipedia.org/wiki/Saussurea","manually_curated","",""
"Saussurea americana","perennial","https://en.wikipedia.org/wiki/Saussurea","manually_curated","",""
"Saussurea maximowiczii","perennial","https://en.wikipedia.org/wiki/Saussurea","manually_curated","",""
"Saussurea elegans","perennial","https://en.wikipedia.org/wiki/Saussurea","manually_curated","",""
"Cirsium quercetorum","perennial","https://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=2232","manually_curated","",""
"Cirsium rhothophilum","perennial","https://www.calflora.org/app/taxon?crn=2148","manually_curated","",""
"Cirsium hydrophilum","perennial","https://www.calflora.org/app/taxon?crn=2133","manually_curated","",""
"Cirsium andrewsii","perennial","https://www.calflora.org/app/taxon?crn=2116","manually_curated","",""
"Cirsium crassicaule","annual","https://en.wikipedia.org/wiki/Cirsium_crassicaule","manually_curated","",""
"Cirsium douglasii","perennial","https://www.calflora.org/app/taxon?crn=2125","manually_curated","",""
"Cirsium fontinale","perennial","https://www.calflora.org/app/taxon?crn=2128","manually_curated","",""
"Cirsium occidentale","perennial","https://www.calflora.org/app/taxon?crn=2140","manually_curated","",""
"Cirsium ochrocentrum","perennial","https://www.calflora.org/app/taxon?crn=11532","manually_curated","",""
"Cirsium neomexicanum","perennial","https://www.calflora.org/app/taxon?crn=2137","manually_curated","",""
"Cirsium inamoenum","perennial","https://www.calflora.org/app/taxon?crn=12142","manually_curated","",""
"Cirsium scariosum","perennial","https://www.calflora.org/app/taxon?crn=2149","manually_curated","",""
"Cirsium tracyi","perennial","https://en.hortipedia.com/Cirsium_tracyi","manually_curated","",""
"Cirsium arizonicum","perennial","https://www.calflora.org/app/taxon?crn=2117","manually_curated","",""
"Cirsium cymosum","perennial","https://www.calflora.org/app/taxon?crn=2124","manually_curated","",""
"Cirsium remotifolium","perennial","https://www.calflora.org/app/taxon?crn=2147","manually_curated","",""
"Cirsium brevistylum","perennial","https://www.calflora.org/app/taxon?crn=2119","manually_curated","",""
"Cirsium andersonii","perennial","https://www.calflora.org/app/taxon?crn=2115","manually_curated","",""
"Cirsium canescens","perennial","https://www.calflora.org/app/taxon?crn=11527","manually_curated","",""
"Cirsium ciliolatum","perennial","https://www.calflora.org/app/taxon?crn=2121","manually_curated","",""
"Cirsium arvense","perennial","","","",""
"Carduus pycnocephalus","annual","https://www.calflora.org/app/taxon?crn=1504","manually_curated","",""
"Carduus tenuiflorus","annual","https://www.calflora.org/app/taxon?crn=1505","manually_curated","",""
"Carduus carlinoides","perennial","https://www.alamy.com/cardo-de-sierra-nevada-carduus-carlinoides-hispanicus-is-a-perennial-herb-endemic-to-sierra-nevada-this-photo-was-taken-in-sierra-nevada-national-image388002268.html","manually_curated","",""
"Carduus defloratus","perennial","https://en.hortipedia.com/Carduus_defloratus","manually_curated","",""
"Carduus nutans","annual","https://www.cal-ipc.org/plants/profile/carduus-nutans-profile/","manually_curated","",""
"Carduus acanthoides","annual","https://www.invasiveplantatlas.org/subject.html?sub=3400","manually_curated","",""
"Tyrimnus leucographus","annual","https://savvastryfonosplants.com/tyrimnus-leucographus/","manually_curated","",""
"Cirsium echinus","annual","https://dergipark.org.tr/en/download/article-file/414755","manually_curated","biennial",""
"Cirsium palustre","perennial","https://nas.er.usgs.gov/queries/greatlakes/FactSheet.aspx?Species_ID=2702","manually_curated","biennial or perennial",""
"Cirsium spinosissimum","perennial","https://candide.com/US/plants/4e72b83f-7128-4459-ad30-61bb41bf15a3","manually_curated","",""
"Cirsium bertolonii","no_life_form_on_database","","","",""
"Cirsium erisithales","perennial","https://myplantin.com/plant/7012","manually_curated","",""
"Cirsium vulgare","annual","https://www.invasiveplantatlas.org/subject.html?sub=3393","manually_curated","",""
"Cirsium monspessulanum","perennial","https://worldoffloweringplants.com/cirsium-monspessulanum-montpellier-thistle/","manually_curated","",""
"Cirsium nipponicum","perennial","https://pfaf.org/user/Plant.aspx?LatinName=Cirsium+nipponicum","manually_curated","",""
"Cirsium tanakae","no_life_form_on_database","","","",""
"Silybum marianum","annual","","","",""
"Cirsium tenoreanum","no_life_form_on_database","","","",""
"Cirsium baytopae","no_life_form_on_database","","","",""
"Cirsium scabrum","perennial","https://www.calflora.org/app/taxon?crn=8477","manually_curated","",""
"Picnomon acarna","annual","https://wssa.net/wp-content/uploads/Picnomon-acarna.pdf","manually_curated","",""
"Notobasis syriaca","annual","https://eol.org/pages/6273415","manually_curated","",""
"Carduus keniensis","no_life_form_on_database","","","",""
"Carduus nyassanus","perennial","http://www.worldfloraonline.org/taxon/wfo-0000080986;jsessionid=FBD74D5C37E612BE96BC10C5DA147835","manually_curated","",""
"Myopordon aucheri","perennial","aob","","",""
"Lamyropsis cynaroides","no_life_form_on_database","","","",""
"Ptilostemon gnaphaloides","perennial"," Systematic Botany (2010), 35(4): pp. 907-917","manually_curated","",""
"Ptilostemon hispanicus","perennial"," Systematic Botany (2010), 35(4): pp. 907-917","manually_curated","",""
"Ptilostemon abylensis","perennial"," Systematic Botany (2010), 35(4): pp. 907-917","manually_curated","",""
"Ptilostemon diacantha","perennial"," Systematic Botany (2010), 35(4): pp. 907-917","manually_curated","",""
"Ptilostemon afer","perennial"," Systematic Botany (2010), 35(4): pp. 907-917","manually_curated","",""
"Galactites tomentosa","annual","https://www.gardenersworld.com/plants/galactites-tomentosa-alba/","manually_curated","",""
"Cynara cornigera","perennial","https://eol.org/pages/6242674","manually_curated","",""
"Cynara cardunculus","perennial","","","artichoke",""
"Cynara humilis","perennial","https://en.wikipedia.org/wiki/Cynara","manually_curated","",""
"Olgaea pectinata","perennial","Folia Geobotanica, Vol. 45, No. 2 (2010), pp. 201-214","manually_curated","",""
"Olgaea baldschuanica","perennial","Folia Geobotanica, Vol. 45, No. 2 (2010), pp. 201-214","manually_curated","",""
"Syreitschikovia spinulosa","perennial","Folia Geobotanica, Vol. 45, No. 2 (2010), pp. 201-214","manually_curated","",""
"Lamyropappus schacaptaricus","no_life_form_on_database","","","",""
"Ancathia igniaria","perennial","Folia Geobotanica, Vol. 45, No. 2 (2010), pp. 201-214","manually_curated","",""
"Xanthopappus subacaulis","no_life_form_on_database","","","",""
"Synurus palmatopinnatifidus","perennial","Folia Geobotanica, Vol. 45, No. 2 (2010), pp. 201-214","manually_curated","",""
"Alfredia cernua","perennial","Folia Geobotanica, Vol. 45, No. 2 (2010), pp. 201-214","manually_curated","",""
"Alfredia nivea","perennial","Folia Geobotanica, Vol. 45, No. 2 (2010), pp. 201-214","manually_curated","",""
"Onopordum illyricum","annual","https://www.calflora.org/app/taxon?crn=5917","manually_curated","",""
"Onopordum nervosum","annual","https://en.hortipedia.com/Onopordum_nervosum","manually_curated","",""
"Onopordum acanthium","annual","https://www.invasiveplantatlas.org/subject.html?sub=4432","manually_curated","biennial",""
"Onopordum tauricum","perennial","https://www.calflora.org/app/taxon?crn=5918","manually_curated","",""
"Staehelina lobelii","perennial","","manually_curated","",""
"Staehelina fruticosa","perennial","","manually_curated","",""
"Staehelina uniflosculosa","perennial","","manually_curated","",""
"Staehelina dubia","perennial","","manually_curated","",""
"Berardia subacaulis","no_life_form_on_database","","","",""
"Xeranthemum longepapposum","annual","https://www.atozflowers.com/flower/xeranthemum/","manually_curated","",""
"Xeranthemum cylindraceum","annual","https://www.atozflowers.com/flower/xeranthemum/","manually_curated","",""
"Xeranthemum annuum","annual","https://www.atozflowers.com/flower/xeranthemum/","manually_curated","",""
"Xeranthemum inapertum","annual","https://www.atozflowers.com/flower/xeranthemum/","manually_curated","",""
"Siebera pungens","no_life_form_on_database","","","",""
"Chardinia orientalis","no_life_form_on_database","","","",""
"Amphoricarpos autariatus","no_life_form_on_database","","","",""
"Amphoricarpos exsul","no_life_form_on_database","","","",""
"Dipterocome pusilla","no_life_form_on_database","","","",""
"Echinops spinosissimus","perennial"," 10.1111/njb.03081","manually_curated","",""
"Echinops viscosus","no_life_form_on_database","","","",""
"Echinops hoehnelii","perennial"," 10.1111/njb.03081","manually_curated","",""
"Echinops angustilobus","perennial"," 10.1111/njb.03081","manually_curated","",""
"Echinops niveus","perennial"," 10.1111/njb.03081","manually_curated","",""
"Echinops persicus","perennial"," 10.1111/njb.03081","manually_curated","",""
"Echinops ritro","perennial"," 10.1111/njb.03081","manually_curated","",""
"Echinops tschimganicus","perennial"," 10.1111/njb.03081","manually_curated","",""
"Echinops sphaerocephalus","perennial"," 10.1111/njb.03081","manually_curated","",""
"Echinops acantholepis","annual"," 10.1111/njb.03081","manually_curated","",""
"Cardopatium corymbosum","perennial","","manually_curated","",""
"Cousiniopsis atractyloides","annual","","manually_curated","",""
"Carlina lanata","no_life_form_on_database","","","",""
"Carlina falcata","no_life_form_on_database","","","",""
"Carlina vulgaris","annual","https://en.hortipedia.com/Carlina_vulgaris","manually_curated","",""
"Carlina sicula","perennial","https://es.wikipedia.org/wiki/Carlina_sicula","manually_curated","",""
"Carlina acanthifolia","perennial","https://eol.org/pages/6207221","manually_curated","",""
"Carlina gummifera","no_life_form_on_database","","","",""
"Atractylis carduus","perennial","https://www.treknature.com/gallery/photo241255.htm","manually_curated","",""
"Atractylis cancellata","annual","https://en.wikipedia.org/wiki/Atractylis_cancellata","manually_curated","",""
"Atractylodes koreana","perennial","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7521906/","manually_curated","",""
"Atractylodes lancea","perennial","","","",""
"Atractylodes japonica","perennial","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7521906/","manually_curated","",""
