"species","life_form","n","mean","sd","se"
"Salvia chamelaeagnea","perennial",10,2049.3,298.753354235005,94.4741057997728
"Salvia chapalensis","perennial",1,1802,NA,NA
"Salvia chiapensis","perennial",NA,NA,NA,NA
"Salvia chienii","perennial",NA,NA,NA,NA
"Salvia chinensis","annual",46,1220.89130434783,103.331877035086,15.2354540832104
"Salvia chionantha","perennial",NA,NA,NA,NA
"Salvia chionopeplica","no_life_form_on_database",7,1897.14285714286,211.979895722392,80.1208695752648
"Salvia chionophylla","perennial",1,1775,NA,NA
"Salvia chloroleuca","perennial",NA,NA,NA,NA
"Salvia chrysophylla","perennial",NA,NA,NA,NA
"Salvia chunganensis","annual",NA,NA,NA,NA
"Salvia cinnabarina","perennial",46,1711.34782608696,137.635786268818,20.2932895643919
"Salvia clevelandii","perennial",11,1805.81818181818,151.4792515045,45.6727127967551
"Salvia clinopodioides","no_life_form_on_database",8,1787.5,156.101615256583,55.1902553510517
"Salvia coahuilensis","perennial",8,1990.75,108.22034400769,38.2616695550894
"Salvia coccinea","annual",128,1750.390625,193.144074753032,17.0716856254838
"Salvia columbariae","annual",80,2159.8375,457.291709346134,51.1267673822515
"Salvia compsostachys","no_life_form_on_database",5,1855,136.830186727929,61.1923197795279
"Salvia concolor","perennial",11,1576.90909090909,113.721110217457,34.2882048485414
"Salvia confertiflora","perennial",2,1307,83.4386001800126,59
"Salvia confertispicata","no_life_form_on_database",NA,NA,NA,NA
"Salvia congestiflora","no_life_form_on_database",6,1175.33333333333,93.5428600517788,38.1887127012391
"Salvia connivens","perennial",8,1824.375,50.8132083503605,17.9651820991924
"Salvia corrugata","perennial",10,1248.1,115.695433502508,36.5861084748478
"Salvia cryptodonta","perennial",NA,NA,NA,NA
"Salvia cualensis","no_life_form_on_database",NA,NA,NA,NA
"Salvia cuatrecasana","no_life_form_on_database",NA,NA,NA,NA
"Salvia curtiflora","no_life_form_on_database",5,1561.6,171.849643584152,76.8534969926548
"Salvia curviflora","perennial",9,1805.88888888889,119.85245559066,39.95081853022
"Salvia cuspidata","perennial",7,1441.85714285714,254.439533466158,96.1691041792501
"Salvia cyanescens","perennial",NA,NA,NA,NA
"Salvia cyanicalyx","no_life_form_on_database",NA,NA,NA,NA
"Salvia cyclostegia","perennial",6,1137.66666666667,208.632372048699,85.1738092243019
"Salvia cynica","perennial",7,1060.57142857143,133.904016796681,50.6109611423761
"Salvia dabieshanensis","perennial",NA,NA,NA,NA
"Salvia daghestanica","no_life_form_on_database",1,1782,NA,NA
"Salvia densiflora","perennial",NA,NA,NA,NA
"Salvia deserta","perennial",10,1341,176.975202280495,55.964472857539
"Salvia deserti","perennial",5,2523.8,278.281691816045,124.451355958864
"Salvia dianthera","perennial",NA,NA,NA,NA
"Salvia dichroantha","perennial",NA,NA,NA,NA
"Salvia diegoae","no_life_form_on_database",NA,NA,NA,NA
"Salvia digitaloides","perennial",4,1203.75,108.45083371433,54.2254168571652
"Salvia discolor","no_life_form_on_database",2,1329.5,202.939646200539,143.5
"Salvia disermas","no_life_form_on_database",19,2166.31578947368,188.428604997454,43.2284866976971
"Salvia disjuncta","perennial",7,1546.14285714286,138.223766132346,52.2436729235629
"Salvia divinorum","perennial",2,1773,74.953318805774,53
"Salvia dolomitica","no_life_form_on_database",3,1714.66666666667,197.798719240882,114.199143799087
"Salvia dombeyi","perennial",NA,NA,NA,NA
"Salvia dominica","perennial",1,1887,NA,NA
"Salvia dorisiana","perennial",3,1673.33333333333,57.3265499863138,33.0974990663108
"Salvia dorrii","perennial",53,2035.49056603774,505.58160045336,69.4469737603543
"Salvia dorystaechas","perennial",NA,NA,NA,NA
"Salvia durifolia","no_life_form_on_database",8,1583.5,103.148990715926,36.4686754038899
"Salvia elegans","perennial",57,1774.52631578947,207.221250398074,27.4471251223727
"Salvia engelmannii","perennial",8,2037.875,223.104996102092,78.8795278301936
"Salvia eremostachya","perennial",12,1951,190.538948535702,55.0038566140979
"Salvia eriophora","perennial",NA,NA,NA,NA
"Salvia erythrostoma","no_life_form_on_database",NA,NA,NA,NA
"Salvia euphratica","perennial",3,1517.66666666667,170.227299024961,98.2807769154839
"Salvia evansiana","perennial",8,1054.5,205.532062149506,72.6665574485855
"Salvia exserta","annual",8,1718.375,88.8625543827577,31.4176573988032
"Salvia farinacea","perennial",45,2083.84444444444,226.328698573512,33.7390903512955
"Salvia filifolia","no_life_form_on_database",NA,NA,NA,NA
"Salvia filipes","no_life_form_on_database",2,1881,319.61226509632,226
"Salvia flaccidifolia","perennial",NA,NA,NA,NA
"Salvia flava","perennial",11,1173.81818181818,114.523201301586,34.5300444097911
"Salvia flocculosa","no_life_form_on_database",NA,NA,NA,NA
"Salvia florida","no_life_form_on_database",8,1288.75,79.7706533936958,28.203184977182
"Salvia formosa","no_life_form_on_database",NA,NA,NA,NA
"Salvia forreri","no_life_form_on_database",25,1828.28,153.389895364721,30.6779790729442
"Salvia frigida","perennial",NA,NA,NA,NA
"Salvia fruticosa","perennial",19,1640.94736842105,169.951128166047,38.9894627903437
"Salvia fruticulosa","perennial",6,1628,137.212244351588,56.0166641872458
"Salvia fulgens","perennial",22,1748.86363636364,140.840096919993,30.027209554936
"Salvia funerea","perennial",9,2542.22222222222,467.637353559833,155.879117853278
"Salvia gachantivana","no_life_form_on_database",2,1211.5,260.922402257836,184.5
"Salvia galloana","no_life_form_on_database",NA,NA,NA,NA
"Salvia garipensis","no_life_form_on_database",18,2428.5,174.536781897954,41.138714015507
"Salvia geminata","perennial",NA,NA,NA,NA
"Salvia gesneriiflora","no_life_form_on_database",15,1725.2,135.778811728066,35.0579384393756
"Salvia gilliesii","no_life_form_on_database",26,1840.15384615385,177.471731226738,34.8050700244703
"Salvia glabrescens","perennial",16,1107.9375,145.468653553495,36.3671633883737
"Salvia glechomifolia","no_life_form_on_database",16,1790.625,138.406105356664,34.601526339166
"Salvia glutinosa","perennial",113,948.699115044248,164.208213044758,15.4474092771184
"Salvia gracilipes","no_life_form_on_database",NA,NA,NA,NA
"Salvia graciliramulosa","perennial",1,1771,NA,NA
"Salvia gravida","no_life_form_on_database",6,1743,85.5195883993837,34.9132257652216
"Salvia greatae","perennial",1,2879,NA,NA
"Salvia greggii","perennial",45,2044.26666666667,156.794219513116,23.3735022206901
"Salvia grewiifolia","perennial",21,1571.04761904762,127.478420209256,27.8180719086811
"Salvia guadalajarensis","perennial",3,1806,250.736913915762,144.763024745041
"Salvia guaranitica","perennial",30,1452.33333333333,191.851834593213,35.0271925018176
"Salvia haenkei","perennial",12,1559.91666666667,211.428671975523,61.0342003397367
"Salvia handelii","perennial",2,1259.5,2.12132034355964,1.5
"Salvia heerii","no_life_form_on_database",NA,NA,NA,NA
"Salvia heldreichiana","perennial",NA,NA,NA,NA
"Salvia helianthemifolia","perennial",21,1778.04761904762,170.228515880999,37.1469075935558
"Salvia henryi","perennial",25,2338,248.986780104219,49.7973560208438
"Salvia herbacea","perennial",7,1811.71428571429,211.976189139027,80.1194686184368
"Salvia herbanica","perennial",NA,NA,NA,NA
"Salvia heterochroa","perennial",2,1044,244.658946290545,173
"Salvia heterofolia","no_life_form_on_database",NA,NA,NA,NA
"Salvia hians","perennial",NA,NA,NA,NA
"Salvia hidalgensis","no_life_form_on_database",1,1836,NA,NA
"Salvia hierosolymitana","perennial",1,1921,NA,NA
"Salvia hilarii","perennial",NA,NA,NA,NA
