"species","life_form","n","mean","sd","se"
"Andrzeiowskia cardamine","annual",1,95,NA,NA
"Aplanodes doidgeana","perennial",1,115,NA,NA
"Armoracia rusticana","perennial",6,80.3333333333333,5.00666222813829,2.04396129556745
"Barbarea australis","annual",4,57.75,8.65544144839919,4.32772072419959
"Barbarea grayi","annual",8,84,2.50713268211203,0.886405260427918
"Barbarea intermedia","annual",83,83.5903614457831,13.388233043016,1.46954949253617
"Barbarea orthoceras","annual",430,80.4279069767442,27.8390003770967,1.34251581082543
"Barbarea stricta","annual",222,59.4414414414414,15.5552931060203,1.04400291587345
"Barbarea verna","annual",30,70.9333333333333,21.3136403358933,3.89132053150691
"Barbarea vulgaris","annual",223,71.9013452914798,17.4866525155633,1.17099286415103
"Cardamine abchasica","perennial",NA,NA,NA,NA
"Cardamine acris","perennial",NA,NA,NA,NA
"Cardamine africana","perennial",94,75.2340425531915,20.2348711742633,2.08706760444447
"Cardamine alpina","no_life_form_on_database",14,75.9285714285714,19.0806558737227,5.09951978531472
"Cardamine altigena","perennial",10,48.7,2.40601099101581,0.760847480700888
"Cardamine amara","perennial",343,64.8775510204082,12.6464354988695,0.682843332682201
"Cardamine amporitana","no_life_form_on_database",3,74.6666666666667,9.50438495292217,5.48735921105144
"Cardamine angulata","perennial",27,71.037037037037,24.95146285442,4.80191126522477
"Cardamine angustata","perennial",33,84.6363636363636,3.1106488653714,0.541494462985104
"Cardamine apennina","perennial",4,77,7.07106781186548,3.53553390593274
"Cardamine appendiculata","perennial",19,64.6842105263158,5.44724835305708,1.2496844784918
"Cardamine asarifolia","perennial",5,80.4,1.67332005306815,0.748331477354788
"Cardamine barbaraeoides","perennial",1,90,NA,NA
"Cardamine bellidifolia","perennial",552,55.2119565217391,19.2298260228544,0.818475749365469
"Cardamine bilobata","perennial",9,61.3333333333333,5.07444578254611,1.69148192751537
"Cardamine bipinnata","perennial",5,78.8,10.0598210719674,4.4988887516808
"Cardamine blaisdellii","perennial",18,57.0555555555556,10.2238028047713,2.40977343092261
"Cardamine bonariensis","perennial",90,74.7111111111111,15.6695112566163,1.65171151308515
"Cardamine breweri","perennial",64,103.78125,23.9877407512506,2.99846759390632
"Cardamine bulbifera","perennial",176,62.5170454545455,17.8629622985081,1.34647144519127
"Cardamine bulbosa","perennial",194,84.0412371134021,8.62628532229375,0.619331192570524
"Cardamine californica","perennial",46,96.3913043478261,25.4178224968838,3.7476534701385
"Cardamine carnosa","perennial",5,89.4,6.26897120746299,2.80356915377524
"Cardamine castellana","no_life_form_on_database",NA,NA,NA,NA
"Cardamine clematitis","perennial",NA,NA,NA,NA
"Cardamine concatenata","perennial",22,79.9545454545455,5.61017165281295,1.19609261525766
"Cardamine conferta","perennial",2,62,4.24264068711928,3
"Cardamine constancei","perennial",NA,NA,NA,NA
"Cardamine cordifolia","perennial",70,116.557142857143,9.79742011928593,1.17101568242389
"Cardamine corymbosa","perennial",38,42.3684210526316,16.2786895226452,2.64075214850997
"Cardamine crassifolia","perennial",2,86,4.24264068711928,3
"Cardamine cubita","perennial",NA,NA,NA,NA
"Cardamine debilis","perennial",41,45.9512195121951,15.0863368971931,2.35608998635353
"Cardamine delavayi","perennial",NA,NA,NA,NA
"Cardamine densiflora","no_life_form_on_database",NA,NA,NA,NA
"Cardamine dentata","no_life_form_on_database",171,62.672514619883,14.3821091512855,1.0998273751829
"Cardamine digitata","perennial",110,58.0545454545455,12.8946588499158,1.22945748144794
"Cardamine diphylla","perennial",131,74.8091603053435,11.5599537554417,1.00999784909434
"Cardamine dissecta","perennial",NA,NA,NA,NA
"Cardamine douglassii","perennial",65,79.0615384615385,8.95104205364682,1.11024012542093
"Cardamine enneaphyllos","perennial",22,78.7272727272727,4.34447452224764,0.926245080331896
"Cardamine fallax","no_life_form_on_database",NA,NA,NA,NA
"Cardamine fialae","annual",1,70,NA,NA
"Cardamine flexuosa","annual",261,62.0421455938697,18.0399701942517,1.11664612197517
"Cardamine fragariifolia","perennial",9,66.8888888888889,3.58623913189167,1.19541304396389
"Cardamine franchetiana","perennial",7,77,9.21954445729289,3.48466026218585
"Cardamine fulcrata","perennial",26,67.8076923076923,18.9568335557798,3.71774093141737
"Cardamine gallaecica","no_life_form_on_database",NA,NA,NA,NA
"Cardamine glacialis","perennial",22,46.1818181818182,17.7700560430994,3.78858867806813
"Cardamine glanduligera","perennial",12,76.0833333333333,3.26018218490744,0.941133531031768
"Cardamine glandulosa","no_life_form_on_database",NA,NA,NA,NA
