"species","life_form","n_bio_13","mean_bio_13","sd_bio_13","se_bio_13","within_sp_var_bio_13"
"×Stiporyzopsis bloomeri","no_life_form_on_database",NA,NA,NA,NA,NA
"Achnatherum wallowaense","no_life_form_on_database",3,3.929351,0.332087,0.191731,0.074492
"Aciachne acicularis","perennial",27,5.164637,0.373815,0.071941,0.008277
"Aciachne flagellifera","perennial",6,5.325895,0.51167,0.208888,0.037246
"Aciachne pulvinata","perennial",14,5.051486,0.293919,0.078553,0.015963
"Aegilops bicornis","annual",NA,NA,NA,NA,NA
"Aegilops biuncialis","annual",83,4.495765,0.46188,0.050698,0.002692
"Aegilops caudata","annual",32,4.680201,0.357406,0.063181,0.006984
"Aegilops columnaris","annual",9,4.409079,0.580891,0.19363,0.024831
"Aegilops comosa","annual",17,4.618426,0.333009,0.080767,0.013146
"Aegilops crassa","annual",20,4.244877,0.394608,0.088237,0.011174
"Aegilops cylindrica","annual",95,4.280179,0.35595,0.03652,0.002352
"Aegilops geniculata","annual",155,4.477394,0.421316,0.033841,0.001442
"Aegilops juvenalis","annual",4,4.020568,0.246703,0.123352,0.055869
"Aegilops kotschyi","annual",24,3.85603,0.697093,0.142294,0.009311
"Aegilops longissima","annual",NA,NA,NA,NA,NA
"Aegilops peregrina","annual",13,4.574425,0.591137,0.163952,0.01719
"Aegilops searsii","annual",1,4.094345,NA,NA,0.223476
"Aegilops sharonensis","annual",1,5.043425,NA,NA,0.223476
"Aegilops speltoides","annual",12,4.627693,0.35323,0.101969,0.018623
"Aegilops tauschii","annual",42,4.210738,0.448748,0.069243,0.005321
"Aegilops triuncialis","annual",253,4.39562,0.388426,0.02442,0.000883
"Aegilops umbellulata","annual",39,4.478752,0.400664,0.064158,0.00573
"Aegilops uniaristata","annual",6,4.820321,0.295135,0.120488,0.037246
"Aegilops vavilovii","annual",NA,NA,NA,NA,NA
"Aegilops ventricosa","annual",83,4.160432,0.541338,0.05942,0.002692
"Agropogon lutosus","no_life_form_on_database",NA,NA,NA,NA,NA
"Agropyron brownei","no_life_form_on_database",NA,NA,NA,NA,NA
"Agropyron cristatum","perennial",370,4.13974,0.423403,0.022012,0.000604
"Agropyron desertorum","perennial",70,3.924624,0.424631,0.050753,0.003193
"Agropyron fragile","perennial",35,3.68873,0.37009,0.062557,0.006385
"Agropyron mongolicum","perennial",4,4.443738,0.113154,0.056577,0.055869
"Agropyron retrofractum","no_life_form_on_database",NA,NA,NA,NA,NA
"Agropyron velutinum","no_life_form_on_database",NA,NA,NA,NA,NA
"Agrostis avenacea","no_life_form_on_database",23,4.821323,0.746113,0.155575,0.009716
"Agrostis billardierei","no_life_form_on_database",NA,NA,NA,NA,NA
"Agrostis botelhoi","no_life_form_on_database",NA,NA,NA,NA,NA
"Agrostis canina","perennial",390,4.489856,0.36811,0.01864,0.000573
"Agrostis capillaris","perennial",639,4.478439,0.355806,0.014075,0.00035
"Agrostis castellana","perennial",90,4.589662,0.384263,0.040505,0.002483
"Agrostis clavata","annual",263,4.729993,0.565906,0.034895,0.00085
"Agrostis congestiflora","perennial",NA,NA,NA,NA,NA
"Agrostis durieui","no_life_form_on_database",11,4.935389,0.342249,0.103192,0.020316
"Agrostis exarata","perennial",359,4.507374,0.824622,0.043522,0.000622
"Agrostis gigantea","perennial",621,4.322153,0.483406,0.019398,0.00036
"Agrostis gracililaxa","perennial",NA,NA,NA,NA,NA
"Agrostis hyemalis","perennial",337,4.808352,0.277901,0.015138,0.000663
"Agrostis idahoensis","perennial",102,4.531164,0.728382,0.072121,0.002191
"Agrostis imbecilla","perennial",6,4.688284,0.39279,0.160356,0.037246
"Agrostis imberbis","perennial",15,4.547692,0.759687,0.19615,0.014898
"Agrostis leptostachys","no_life_form_on_database",NA,NA,NA,NA,NA
"Agrostis mertensii","perennial",407,4.594165,0.572969,0.028401,0.000549
"Agrostis meyenii","perennial",31,4.536762,0.712785,0.12802,0.007209
