"species","life_form","n_bio_13","mean_bio_13","sd_bio_13","se_bio_13","within_sp_var_bio_13"
"Salvia cedrosensis","perennial",5,2.80879,0.173588,0.077631,0.044677
"Salvia cerinopruinosa","perennial",NA,NA,NA,NA,NA
"Salvia cerradicola","perennial",4,5.729462,0.041462,0.020731,0.055846
"Salvia chamaedryoides","perennial",21,4.663363,0.595527,0.129955,0.010637
"Salvia chamelaeagnea","perennial",10,3.774458,0.329568,0.104219,0.022338
"Salvia chapalensis","perennial",1,5.673323,NA,NA,0.223385
"Salvia chiapensis","perennial",NA,NA,NA,NA,NA
"Salvia chienii","perennial",NA,NA,NA,NA,NA
"Salvia chinensis","annual",46,5.39306,0.285149,0.042043,0.004856
"Salvia chionantha","perennial",NA,NA,NA,NA,NA
"Salvia chionopeplica","no_life_form_on_database",7,3.908662,0.55496,0.209755,0.031912
"Salvia chionophylla","perennial",1,5.455321,NA,NA,0.223385
"Salvia chloroleuca","perennial",NA,NA,NA,NA,NA
"Salvia chrysophylla","perennial",NA,NA,NA,NA,NA
"Salvia chunganensis","annual",NA,NA,NA,NA,NA
"Salvia cinnabarina","perennial",46,5.527951,0.40702,0.060012,0.004856
"Salvia clevelandii","perennial",11,4.212664,0.479988,0.144722,0.020308
"Salvia clinopodioides","no_life_form_on_database",8,5.393003,0.237407,0.083936,0.027923
"Salvia coahuilensis","perennial",8,4.031324,0.199944,0.070691,0.027923
"Salvia coccinea","annual",129,5.240768,0.465735,0.041006,0.001732
"Salvia columbariae","annual",82,3.775813,0.757512,0.083653,0.002724
"Salvia compsostachys","no_life_form_on_database",5,5.045265,0.254581,0.113852,0.044677
"Salvia concolor","perennial",11,5.361838,0.429821,0.129596,0.020308
"Salvia confertiflora","perennial",2,5.456033,0.075456,0.053355,0.111692
"Salvia confertispicata","no_life_form_on_database",NA,NA,NA,NA,NA
"Salvia congestiflora","no_life_form_on_database",6,5.223879,0.250367,0.102212,0.037231
"Salvia connivens","perennial",8,5.046192,0.583911,0.206444,0.027923
"Salvia corrugata","perennial",10,5.108197,0.402652,0.12733,0.022338
"Salvia cryptodonta","perennial",NA,NA,NA,NA,NA
"Salvia cualensis","no_life_form_on_database",NA,NA,NA,NA,NA
"Salvia cuatrecasana","no_life_form_on_database",NA,NA,NA,NA,NA
"Salvia curtiflora","no_life_form_on_database",5,5.977999,0.474315,0.21212,0.044677
"Salvia curviflora","perennial",9,5.137653,0.36857,0.122857,0.024821
"Salvia cuspidata","perennial",7,4.844187,0.994055,0.375717,0.031912
"Salvia cyanescens","perennial",NA,NA,NA,NA,NA
"Salvia cyanicalyx","no_life_form_on_database",NA,NA,NA,NA,NA
"Salvia cyclostegia","perennial",6,5.240503,0.328706,0.134194,0.037231
"Salvia cynica","perennial",7,5.173206,0.307183,0.116104,0.031912
"Salvia dabieshanensis","perennial",NA,NA,NA,NA,NA
"Salvia daghestanica","no_life_form_on_database",1,4.248495,NA,NA,0.223385
"Salvia densiflora","perennial",NA,NA,NA,NA,NA
"Salvia deserta","perennial",10,3.587019,0.473387,0.149698,0.022338
"Salvia deserti","perennial",5,2.358311,0.847556,0.379039,0.044677
"Salvia dianthera","perennial",NA,NA,NA,NA,NA
"Salvia dichroantha","perennial",NA,NA,NA,NA,NA
"Salvia diegoae","no_life_form_on_database",NA,NA,NA,NA,NA
"Salvia digitaloides","perennial",4,4.986607,0.220709,0.110354,0.055846
"Salvia discolor","no_life_form_on_database",2,3.695091,1.138044,0.804719,0.111692
"Salvia disermas","no_life_form_on_database",19,3.960349,0.451359,0.103549,0.011757
"Salvia disjuncta","perennial",7,5.382852,0.307459,0.116209,0.031912
"Salvia divinorum","perennial",2,5.765334,0.13499,0.095452,0.111692
"Salvia dolomitica","no_life_form_on_database",3,5.103826,0.705674,0.407421,0.074462
"Salvia dombeyi","perennial",NA,NA,NA,NA,NA
