"species","life_form","n_bio_ai","mean_bio_ai","sd_bio_ai","se_bio_ai","within_sp_var_bio_ai"
"Salvia cedrosensis","perennial",5,6.190142,0.112298,0.050221,0.060828
"Salvia cerinopruinosa","perennial",NA,NA,NA,NA,NA
"Salvia cerradicola","perennial",4,9.275872,0.045543,0.022772,0.076035
"Salvia chamaedryoides","perennial",21,8.026452,0.589778,0.1287,0.014483
"Salvia chamelaeagnea","perennial",10,7.240663,0.600213,0.189804,0.030414
"Salvia chapalensis","perennial",1,8.488794,NA,NA,0.304142
"Salvia chiapensis","perennial",NA,NA,NA,NA,NA
"Salvia chienii","perennial",NA,NA,NA,NA,NA
"Salvia chinensis","annual",46,9.337648,0.186304,0.027469,0.006612
"Salvia chionantha","perennial",NA,NA,NA,NA,NA
"Salvia chionopeplica","no_life_form_on_database",7,7.310384,0.400776,0.151479,0.043449
"Salvia chionophylla","perennial",1,8.075583,NA,NA,0.304142
"Salvia chloroleuca","perennial",NA,NA,NA,NA,NA
"Salvia chrysophylla","perennial",NA,NA,NA,NA,NA
"Salvia chunganensis","annual",NA,NA,NA,NA,NA
"Salvia cinnabarina","perennial",46,8.830749,0.436487,0.064356,0.006612
"Salvia clevelandii","perennial",11,7.562348,0.456605,0.137672,0.027649
"Salvia clinopodioides","no_life_form_on_database",8,8.600007,0.172319,0.060924,0.038018
"Salvia coahuilensis","perennial",8,7.49882,0.24477,0.086539,0.038018
"Salvia coccinea","annual",128,8.762247,0.518698,0.045847,0.002376
"Salvia columbariae","annual",81,7.163631,0.766732,0.085192,0.003755
"Salvia compsostachys","no_life_form_on_database",5,8.237138,0.361854,0.161826,0.060828
"Salvia concolor","perennial",11,8.764,0.370728,0.111779,0.027649
"Salvia confertiflora","perennial",2,9.476128,0.192813,0.136339,0.152071
"Salvia confertispicata","no_life_form_on_database",NA,NA,NA,NA,NA
"Salvia congestiflora","no_life_form_on_database",6,9.539583,0.131642,0.053743,0.05069
"Salvia connivens","perennial",8,8.184564,0.407302,0.144003,0.038018
"Salvia corrugata","perennial",10,9.009243,0.302504,0.09566,0.030414
"Salvia cryptodonta","perennial",NA,NA,NA,NA,NA
"Salvia cualensis","no_life_form_on_database",NA,NA,NA,NA,NA
"Salvia cuatrecasana","no_life_form_on_database",NA,NA,NA,NA,NA
"Salvia curtiflora","no_life_form_on_database",5,9.129223,0.357292,0.159786,0.060828
"Salvia curviflora","perennial",9,8.2357,0.418998,0.139666,0.033794
"Salvia cuspidata","perennial",7,8.108172,1.272124,0.480818,0.043449
"Salvia cyanescens","perennial",NA,NA,NA,NA,NA
"Salvia cyanicalyx","no_life_form_on_database",NA,NA,NA,NA,NA
"Salvia cyclostegia","perennial",6,8.919662,0.2701,0.110268,0.05069
"Salvia cynica","perennial",7,9.219138,0.203264,0.076827,0.043449
"Salvia dabieshanensis","perennial",NA,NA,NA,NA,NA
"Salvia daghestanica","no_life_form_on_database",1,7.77863,NA,NA,0.304142
"Salvia densiflora","perennial",NA,NA,NA,NA,NA
"Salvia deserta","perennial",10,7.496097,0.508329,0.160748,0.030414
"Salvia deserti","perennial",5,5.467291,1.401992,0.62699,0.060828
"Salvia dianthera","perennial",NA,NA,NA,NA,NA
"Salvia dichroantha","perennial",NA,NA,NA,NA,NA
"Salvia diegoae","no_life_form_on_database",NA,NA,NA,NA,NA
"Salvia digitaloides","perennial",4,8.733199,0.026922,0.013461,0.076035
"Salvia discolor","no_life_form_on_database",2,6.126659,1.157381,0.818392,0.152071
"Salvia disermas","no_life_form_on_database",19,7.273149,0.493656,0.113252,0.016007
"Salvia disjuncta","perennial",7,8.771459,0.320421,0.121108,0.043449
"Salvia divinorum","perennial",2,9.148801,0.473433,0.334768,0.152071
"Salvia dolomitica","no_life_form_on_database",3,8.447107,0.447274,0.258234,0.101381
"Salvia dombeyi","perennial",NA,NA,NA,NA,NA
"Salvia dominica","perennial",1,7.903227,NA,NA,0.304142
"Salvia dorisiana","perennial",3,9.058784,0.177405,0.102425,0.101381
"Salvia dorrii","perennial",53,7.22695,0.713897,0.098061,0.005739
"Salvia dorystaechas","perennial",NA,NA,NA,NA,NA
"Salvia durifolia","no_life_form_on_database",8,9.211196,0.147418,0.05212,0.038018
"Salvia elegans","perennial",57,8.604235,0.497262,0.065864,0.005336
"Salvia engelmannii","perennial",8,8.055401,0.458169,0.161987,0.038018
"Salvia eremostachya","perennial",12,7.129617,0.383687,0.110761,0.025345
"Salvia eriophora","perennial",NA,NA,NA,NA,NA
"Salvia erythrostoma","no_life_form_on_database",NA,NA,NA,NA,NA
"Salvia euphratica","perennial",3,8.100756,0.249891,0.144275,0.101381
"Salvia evansiana","perennial",8,9.189427,0.342937,0.121247,0.038018
"Salvia exserta","annual",8,8.036004,0.792457,0.280176,0.038018
"Salvia farinacea","perennial",45,7.883878,0.525681,0.078364,0.006759
"Salvia filifolia","no_life_form_on_database",NA,NA,NA,NA,NA
