"","waiting_times","alpha","sigma.sq","theta","tip_state"
"Houstonia_croftiae",0.0341260062663294,0.0584116264354631,0.0229572407283025,4.22272916476553,"annual"
"Houstonia_rubra",0.0124004567182147,0.0584116264354631,0.0242203398261531,4.1132755611008,"perennial"
"Houstonia_wrightii",0.0124004567182147,0.0584116264354631,0.0242203398261531,4.1132755611008,"perennial"
"Stenaria_rupicola",0.0124004567182147,0.0584116264354631,0.0242203398261531,4.1132755611008,"perennial"
"Stenaria_nigricans_var._nigricans",0.0124004567182147,0.0584116264354631,0.0242203398261531,4.1132755611008,"perennial"
"Stenaria_nigricans",0.0124004567182147,0.0584116264354631,0.0242203398261531,4.1132755611008,"perennial"
"Houstonia_palmeri",0.0124004567182147,0.0584116264354631,0.0242203398261531,4.1132755611008,"perennial"
"Houstonia_acerosa",0.0124004567182147,0.0584116264354631,0.0242203398261531,4.1132755611008,"perennial"
"Houstonia_caerulea",0.0124004567182147,0.0584116264354631,0.0242203398261531,4.1132755611008,"perennial"
"Houstonia_serpyllifolia",0.0124004567182147,0.0584116264354631,0.0242203398261531,4.1132755611008,"perennial"
"Houstonia_pusilla",0.0341260062663294,0.0584116264354631,0.0229572407283025,4.22272916476553,"annual"
"Houstonia_micrantha",0.0341260062663294,0.0584116264354631,0.0229572407283025,4.22272916476553,"annual"
"Houstonia_procumbens",0.0124004567182147,0.0584116264354631,0.0242203398261531,4.1132755611008,"perennial"
"Houstonia_longifolia",0.0124004567182147,0.0584116264354631,0.0242203398261531,4.1132755611008,"perennial"
"Houstonia_purpurea",0.0124004567182147,0.0584116264354631,0.0242203398261531,4.1132755611008,"perennial"
"Houstonia_canadensis",0.0124004567182147,0.0584116264354631,0.0242203398261531,4.1132755611008,"perennial"
"Houstonia_ouachitana",0.0124004567182147,0.0584116264354631,0.0242203398261531,4.1132755611008,"perennial"
"Oldenlandia_ovata",0.0341284436568901,0.0584116264354631,0.0229572407283025,4.22272892088499,"annual"
"Oldenlandia_microtheca",0.0124004567182147,0.0584116264354631,0.0242203398261531,4.1132755611008,"perennial"
"Arcytophyllum_vernicosum",0.0124004567182147,0.0584116264354631,0.0242203398261531,4.1132755611008,"perennial"
"Arcytophyllum_nitidum",0.0124004567182147,0.0584116264354631,0.0242203398261531,4.1132755611008,"perennial"
"Arcytophyllum_setosum",0.0124004567182147,0.0584116264354631,0.0242203398261531,4.1132755611008,"perennial"
"Arcytophyllum_aristatum",0.0124004567182147,0.0584116264354631,0.0242203398261531,4.1132755611008,"perennial"
"Arcytophyllum_muticum",0.0124004567182147,0.0584116264354631,0.0242203398261531,4.1132755611008,"perennial"
"Arcytophyllum_rivetii",0.0124004567182147,0.0584116264354631,0.0242203398261531,4.1132755611008,"perennial"
"Arcytophyllum_filiforme",0.0124004567182147,0.0584116264354631,0.0242203398261531,4.1132755611008,"perennial"
"Arcytophyllum_thymifolium",0.0124004567182147,0.0584116264354631,0.0242203398261531,4.1132755611008,"perennial"
"Stenotis_brevipes",0.0124004567182147,0.0584116264354631,0.0242203398261531,4.1132755611008,"perennial"
"Stenotis_mucronata",0.0124004567182147,0.0584116264354631,0.0242203398261531,4.1132755611008,"perennial"
"Stenotis_australis",0.0124004567182147,0.0584116264354631,0.0242203398261531,4.1132755611008,"perennial"
"Oldenlandia_pringlei",0.0124004567182147,0.0584116264354631,0.0242203398261531,4.1132755611008,"perennial"
"Astiella_delicatula",0.0341260062663294,0.0584116264354631,0.0229572407283025,4.22272916476553,"annual"
"Phialiphora_bevazahensis",0.0124004567182147,0.0584116264354631,0.0242203398261531,4.1132755611008,"perennial"
"Phialiphora_capitulata",0.0124004567182147,0.0584116264354631,0.0242203398261531,4.1132755611008,"perennial"
"Astiella_latifolia",0.0341260062663294,0.0584116264354631,0.0229572407283025,4.22272916476553,"annual"
"Astiella_perrieri",0.0341260062663294,0.0584116264354631,0.0229572407283025,4.22272916476553,"annual"
"Amphistemon_rakotonasolianus",0.0124004567182147,0.0584116264354631,0.0242203398261531,4.1132755611008,"perennial"
"Hedythyrsus_spermacocinus",0.0124004567182147,0.0584116264354631,0.0242203398261531,4.1132755611008,"perennial"
"Oldenlandia_fastigiata",0.0341260062663294,0.0584116264354631,0.0229572407283025,4.22272916476553,"annual"
"Oldenlandia_nervosa",0.0341260062663294,0.0584116264354631,0.0229572407283025,4.22272916476553,"annual"
"Oldenlandia_echinulosa",0.0341260062663294,0.0584116264354631,0.0229572407283025,4.22272916476553,"annual"
"Spermacoce_filituba",0.0341260062663294,0.0584116264354631,0.0229572407283025,4.22272916476553,"annual"
"Spermacoce_ruelliae",0.0341260062663294,0.0584116264354631,0.0229572407283025,4.22272916476553,"annual"
"Diodella_teres",0.0341260062663294,0.0584116264354631,0.0229572407283025,4.22272916476553,"annual"
"Ernodea_littoralis",0.0124004567182147,0.0584116264354631,0.0242203398261531,4.1132755611008,"perennial"
"Mitracarpus_frigidus",0.0124004567182147,0.0584116264354631,0.0242203398261531,4.1132755611008,"perennial"
"Spermacoce_erosa",0.0341260062663294,0.0584116264354631,0.0229572407283025,4.22272916476553,"annual"
"Spermacoce_prostrata",0.0341320320220823,0.0584116264354631,0.0229572407283025,4.22272856184017,"annual"
"Spermacoce_capitata",0.0124004567182147,0.0584116264354631,0.0242203398261531,4.1132755611008,"perennial"
"Richardia_brasiliensis",0.0341260062663294,0.0584116264354631,0.0229572407283025,4.22272916476553,"annual"
"Richardia_scabra",0.0341260062663294,0.0584116264354631,0.0229572407283025,4.22272916476553,"annual"
