"waiting_times","alpha","sigma.sq","theta","tip_state"
0.0301963730897818,0.509286310870477,0.176654090620798,7.25212009423746,"annual"
0.0478068920751341,0.509286310870477,0.488688493207952,8.54466462952933,"perennial"
0.0472647947962212,0.509286310870477,0.489200369684365,8.57781594097623,"perennial"
0.0652526484894256,0.509286310870477,0.472215317467865,7.47779126328269,"perennial"
0.0301963730897818,0.509286310870477,0.176654090620798,7.25212009423746,"annual"
0.0301963730897818,0.509286310870477,0.176654090620798,7.25212009423746,"annual"
0.0301963730897818,0.509286310870477,0.176654090620798,7.25212009423746,"annual"
0.0301963730897818,0.509286310870477,0.176654090620798,7.25212009423746,"annual"
0.0301963730897818,0.509286310870477,0.176654090620798,7.25212009423746,"annual"
0.0474194119364962,0.509286310870477,0.489054371778533,8.56836049172328,"perennial"
0.0472965244858207,0.509286310870477,0.489170408396445,8.57587551973686,"perennial"
0.0489813966058793,0.509286310870477,0.487579465941777,8.47283927712663,"perennial"
0.0301963730897818,0.509286310870477,0.176654090620798,7.25212009423746,"annual"
0.0301963730897818,0.509286310870477,0.176654090620798,7.25212009423746,"annual"
0.0301963730897818,0.509286310870477,0.176654090620798,7.25212009423746,"annual"
0.0301963730897818,0.509286310870477,0.176654090620798,7.25212009423746,"annual"
0.0301963730897818,0.509286310870477,0.176654090620798,7.25212009423746,"annual"
0.0301963730897818,0.509286310870477,0.176654090620798,7.25212009423746,"annual"
0.0301963730897818,0.509286310870477,0.176654090620798,7.25212009423746,"annual"
0.0301963730897818,0.509286310870477,0.176654090620798,7.25212009423746,"annual"
0.0652508270350381,0.509286310870477,0.472217037378285,7.47790265204267,"perennial"
