"","rates","alpha","sigma.sq","theta","expected_mean","expected_var","tip_state"
"Alysseae.Odontarrhena_bertolonii",0.021996991129513,6.77642682133675,0.00172701543216092,5.64777774021132,5.64778475393585,0.000119517258715613,"perennial"
"Alysseae.Clypeola_cyclodontea",0.0422263506163225,6.77642682133675,0.00120015513327051,5.65173739297445,5.65173734190094,0.000101948065392469,"annual"
"Alysseae.Clypeola_jonthlaspi",0.0422263505764831,6.77642682133675,0.00120015513326655,5.65173739297445,5.65173734190094,0.000101948065392469,"annual"
"Alysseae.Alyssum_fastigiatum",0.021996991129513,6.77642682133675,0.00172701543216092,5.64777774021132,5.6477964015103,0.000119516310523233,"perennial"
"Alysseae.Alyssum_montanum",0.021996991129513,6.77642682133675,0.00172701543216092,5.64777774021132,5.6477964015103,0.000119516310523233,"perennial"
"Alysseae.Alyssum_cuneifolium",0.021996991129513,6.77642682133675,0.00172701543216092,5.64777774021132,5.64779640151029,0.000119516310523233,"perennial"
"Alysseae.Alyssum_gmelinii",0.021996991129513,6.77642682133675,0.00172701543216092,5.64777774021132,5.64779640151029,0.000119516310523233,"perennial"
"Alysseae.Alyssum_siculum",0.0422263504995586,6.77642682133675,0.0012001551332589,5.65173739297445,5.65173738369177,0.000101947704101922,"annual"
"Alysseae.Alyssum_alyssoides",0.0422263503617583,6.77642682133675,0.00120015513324521,5.65173739297445,5.65173738369177,0.000101947704101922,"annual"
"Alysseae.Alyssum_granatense",0.0422263509039722,6.77642682133675,0.00120015513329919,5.65173739297445,5.65173738369177,0.000101947704101922,"annual"
"Alysseae.Alyssum_turkestanicum",0.0422264071357016,6.77642682133675,0.00120015513324989,5.65173739297445,5.65173738369177,0.000101947704101922,"annual"
"Alysseae.Alyssum_foliosum",0.0422263505728456,6.77642682133675,0.00120015513326619,5.65173739297445,5.65173738369177,0.000101947704101922,"annual"
"Alysseae.Alyssum_szovitsianum",0.0422263512230763,6.77642682133675,0.0012001551333308,5.65173739297445,5.65173738369177,0.000101947704101921,"annual"
"Alysseae.Alyssum_minutum",0.0422263507561855,6.77642682133675,0.00120015513328457,5.65173739297445,5.65173738369177,0.000101947704101921,"annual"
"Alysseae.Alyssum_stapfii",0.0422274434281312,6.77642682133675,0.00120015513327057,5.65173739296307,5.65173738369177,0.000101947704101923,"annual"
"Alysseae.Alyssum_strigosum",0.0422264041090757,6.77642682133675,0.00120015513328559,5.65173739297445,5.65173738369177,0.00010194770410192,"annual"
"Alysseae.Alyssum_hirsutum",0.0422263504667212,6.77642682133675,0.00120015513325564,5.65173739297445,5.65173738369177,0.000101947704101923,"annual"
"Alysseae.Alyssum_simplex",0.0422263503626627,6.77642682133675,0.0012001551332453,5.65173739297445,5.65173738369177,0.000101947704101923,"annual"
"Alysseae.Alyssum_umbellatum",0.0422263506674314,6.77642682133675,0.00120015513327559,5.65173739297445,5.65173738369177,0.000101947704101922,"annual"
"Alysseae.Alyssum_persicum",0.021996991129513,6.77642682133675,0.00172701543216092,5.64777774021132,5.64780129979147,0.000119516626277544,"perennial"
"Alysseae.Alyssum_lenense",0.021996991129513,6.77642682133675,0.00172701543216092,5.64777774021132,5.64780129979146,0.000119516626277546,"perennial"
"Alysseae.Alyssum_dasycarpum",0.0422270846211043,6.77642682133675,0.00120015513370441,5.65173739297445,5.65170714017389,0.000101948487387825,"annual"
"Alysseae.Fibigia_clypeata",0.021996991129513,6.77642682133675,0.00172701543216092,5.64777774021132,5.6477777407471,0.000119526961866444,"perennial"
"Alysseae.Fibigia_eriocarpa",0.021996991129513,6.77642682133675,0.00172701543216092,5.64777774021132,5.6477777407471,0.000119526961866444,"perennial"
"Alysseae.Fibigia_macrocarpa",0.0219969911743936,6.77642682133675,0.0017270154321608,5.64777774021132,5.6477777407471,0.000119526961866442,"perennial"
"Alysseae.Lutzia_cretica",0.021996991129513,6.77642682133675,0.00172701543216092,5.64777774021132,5.6477777407471,0.000119526961866443,"perennial"
"Alysseae.Alyssoides_utriculata",0.021996991129513,6.77642682133675,0.00172701543216092,5.64777774021132,5.6477777407471,0.000119526961866443,"perennial"
"Alysseae.Clastopus_vestitus",0.021996991129513,6.77642682133675,0.00172701543216092,5.64777774021132,5.6477777407471,0.000119526961866445,"perennial"
"Alysseae.Hormathophylla_longicaulis",0.0219992558060332,6.77642682133675,0.00172701542609218,5.64777774021132,5.6477777407471,0.00011952695320924,"perennial"
"Alysseae.Hormathophylla_reverchonii",0.021996991129513,6.77642682133675,0.00172701543216092,5.64777774021132,5.6477777407471,0.00011952695320924,"perennial"
"Alysseae.Hormathophylla_spinosa",0.021996991129513,6.77642682133675,0.00172701543216092,5.64777774021132,5.6477777407471,0.000119526953209237,"perennial"
"Alysseae.Hormathophylla_purpurea",0.021996991129513,6.77642682133675,0.00172701543216092,5.64777774021132,5.6477777407471,0.000119526953209244,"perennial"
"Alysseae.Hormathophylla_cadevalliana",0.021996991129513,6.77642682133675,0.00172701543216092,5.64777774021132,5.6477777407471,0.00011952695320924,"perennial"
"Alysseae.Bornmuellera_tymphaea",0.021996991129513,6.77642682133675,0.00172701543216092,5.64777774021132,5.6477777407471,0.000119526842260728,"perennial"
"Alysseae.Bornmuellera_angustifolia",0.021996991129513,6.77642682133675,0.00172701543216092,5.64777774021132,5.6477777407471,0.000119526842260728,"perennial"
"Alysseae.Berteroa_orbiculata",0.021996991129513,6.77642682133675,0.00172701543216092,5.64777774021132,5.64788556126412,0.000119525326043357,"perennial"
