"waiting_times","alpha","sigma.sq","theta","tip_state"
22.2941294347836,2.05732314061144,2.67691747470604,8.10419080391616,"annual"
22.2941294347836,2.05732314061144,2.67691747470604,8.10419080391616,"annual"
22.2941294347836,2.05732314061144,2.67691747470604,8.10419080391616,"annual"
22.2941294347836,2.05732314061144,2.67691747470604,8.10419080391616,"annual"
22.2941294347836,2.05732314061144,2.67691747470604,8.10419080391616,"annual"
22.2941294347836,2.05732314061144,2.67691747470604,8.10419080391616,"annual"
22.2941294347836,2.05732314061144,2.67691747470604,8.10419080391616,"annual"
51.7680219454308,2.05732314061144,2.66802778033086,7.91408557979374,"perennial"
51.8264190807205,2.05732314061144,2.66802778033086,7.91404888309001,"perennial"
22.2941294347836,2.05732314061144,2.67691747470604,8.10419080391616,"annual"
22.2941294347836,2.05732314061144,2.67691747470604,8.10419080391616,"annual"
22.2941294347836,2.05732314061144,2.67691747470604,8.10419080391616,"annual"
22.2941294347836,2.05732314061144,2.67691747470604,8.10419080391616,"annual"
22.2941294347836,2.05732314061144,2.67691747470604,8.10419080391616,"annual"
22.2941294347836,2.05732314061144,2.67691747470604,8.10419080391616,"annual"
22.2941294347836,2.05732314061144,2.67691747470604,8.10419080391616,"annual"
22.2941294347836,2.05732314061144,2.67691747470604,8.10419080391616,"annual"
22.2941294347836,2.05732314061144,2.67691747470604,8.10419080391616,"annual"
22.2941294347836,2.05732314061144,2.67691747470604,8.10419080391616,"annual"
22.2941294347836,2.05732314061144,2.67691747470604,8.10419080391616,"annual"
51.8449250977716,2.05732314061144,2.66802778033086,7.91403727117656,"perennial"
51.8436732596421,2.05732314061144,2.66802778033086,7.91403805640215,"perennial"
51.7938292245719,2.05732314061144,2.66802778033086,7.91406935232004,"perennial"
22.2941294347836,2.05732314061144,2.67691747470604,8.10419080391616,"annual"
51.824051758499,2.05732314061144,2.66802778033086,7.91405036910467,"perennial"
51.824051758499,2.05732314061144,2.66802778033086,7.91405036910467,"perennial"
51.8147511673567,2.05732314061144,2.66802778033086,7.91405620858309,"perennial"
51.824051758499,2.05732314061144,2.66802778033086,7.91405036910467,"perennial"
51.7818547347396,2.05732314061144,2.66802778033086,7.9140768798013,"perennial"
51.7818547347396,2.05732314061144,2.66802778033086,7.9140768798013,"perennial"
51.7844733135227,2.05732314061144,2.66802778033086,7.91407523339596,"perennial"
51.7926600622584,2.05732314061144,2.66802778033086,7.91407008713308,"perennial"
51.8440050439938,2.05732314061144,2.66802778033086,7.91403784828404,"perennial"
51.8149449497799,2.05732314061144,2.66802778033086,7.91405608689328,"perennial"
51.7804515048536,2.05732314061144,2.66802778033086,7.91407776213664,"perennial"
22.2941294347836,2.05732314061144,2.67691747470604,8.10419080391616,"annual"
22.2941294347836,2.05732314061144,2.67691747470604,8.10419080391616,"annual"
22.2941294347836,2.05732314061144,2.67691747470604,8.10419080391616,"annual"
51.84300665609,2.05732314061144,2.66802778033086,7.91403847455009,"perennial"
51.84175546076,2.05732314061144,2.66802778033086,7.91403925943056,"perennial"
22.2941294347836,2.05732314061144,2.67691747470604,8.10419080391616,"annual"
22.2941294347836,2.05732314061144,2.67691747470604,8.10419080391616,"annual"
22.2941292870545,2.05732314061144,2.67691747470588,8.10419080391616,"annual"
22.2941294347836,2.05732314061144,2.67691747470604,8.10419080391616,"annual"
22.2941294347836,2.05732314061144,2.67691747470604,8.10419080391616,"annual"
22.2941294347836,2.05732314061144,2.67691747470604,8.10419080391616,"annual"
22.2941294347836,2.05732314061144,2.67691747470604,8.10419080391616,"annual"
22.2941294347836,2.05732314061144,2.67691747470604,8.10419080391616,"annual"
51.8183945326326,2.05732314061144,2.66802778033086,7.9140539208064,"perennial"
22.2941292846496,2.05732314061144,2.67691747470587,8.10419080391616,"annual"
22.2941294347836,2.05732314061144,2.67691747470604,8.10419080391616,"annual"
51.8157543207093,2.05732314061144,2.66802778033086,7.91405557864137,"perennial"
51.8201562401768,2.05732314061144,2.66802778033086,7.91405281469357,"perennial"
51.8458701609244,2.05732314061144,2.66802778033086,7.91403667840317,"perennial"
22.2941294347836,2.05732314061144,2.67691747470604,8.10419080391616,"annual"
22.2941294347836,2.05732314061144,2.67691747470604,8.10419080391616,"annual"
22.2941294347836,2.05732314061144,2.67691747470604,8.10419080391616,"annual"
51.7446456687488,2.05732314061144,2.66802778033086,7.91410029263796,"perennial"
51.7717891311457,2.05732314061144,2.66802778033086,7.91408320999987,"perennial"
51.8410939444563,2.05732314061144,2.66802778033086,7.91403967441803,"perennial"
22.2941294347836,2.05732314061144,2.67691747470604,8.10419080391616,"annual"
22.2941294347836,2.05732314061144,2.67691747470604,8.10419080391616,"annual"
51.8184015694483,2.05732314061144,2.66802778033086,7.91405391638809,"perennial"
51.8449589861714,2.05732314061144,2.66802778033086,7.91403724992031,"perennial"
22.2941294347836,2.05732314061144,2.67691747470604,8.10419080391616,"annual"
51.79337581527,2.05732314061144,2.66802778033086,7.91406963728172,"perennial"
51.7980515184388,2.05732314061144,2.66802778033086,7.91406669890431,"perennial"
51.7686251901015,2.05732314061144,2.66802778246819,7.91408063855064,"perennial"
22.2941294347836,2.05732314061144,2.67691747470604,8.10419080391616,"annual"
22.2941294347836,2.05732314061144,2.67691747470604,8.10419080391616,"annual"
