"","waiting_times","alpha","sigma.sq","theta","tip_state"
"Galium_eriocarpum",0.0490240503330311,1.18607452475377,0.558829387476371,8.76969095222965,"perennial"
"Galium_kamtschaticum",0.0490240503330311,1.18607452475377,0.558829387476371,8.76969095222965,"perennial"
"Galium_trichocarpum",0.0490240503330311,1.18607452475377,0.558829387476371,8.76969095222965,"perennial"
"Galium_bermudense",0.0490240503330311,1.18607452475377,0.558829387476371,8.76969095222965,"perennial"
"Galium_circaezans",0.0490240503330311,1.18607452475377,0.558829387476371,8.76969095222965,"perennial"
"Galium_linearifolium",0.0490240503330311,1.18607452475377,0.558829387476371,8.76969095222965,"perennial"
"Galium_multiflorum",0.0490240503330311,1.18607452475377,0.558829387476371,8.76969095222965,"perennial"
"Galium_elegans",0.0490240503330311,1.18607452475377,0.558829387476371,8.76969095222965,"perennial"
"Galium_bungei",0.0490240503330311,1.18607452475377,0.558829387476371,8.76969095222965,"perennial"
"Galium_gaudichaudii",0.0490240503330311,1.18607452475377,0.558829387476371,8.76969095222965,"perennial"
"Galium_ciliare",0.0490240503330311,1.18607452475377,0.558829387476371,8.76969095222965,"perennial"
"Galium_migrans",0.0490240503330311,1.18607452475377,0.558829387476371,8.76969095222965,"perennial"
"Galium_glandulosum",0.0490240503330311,1.18607452475377,0.558829387476371,8.76969095222965,"perennial"
"Galium_hirtum",0.0416959869187638,1.18607452475377,0.153634389723078,8.35687701829247,"annual"
"Galium_bigeminum",0.0416959869187638,1.18607452475377,0.153634389723078,8.35687701829247,"annual"
"Galium_kinuta",0.0490240503330311,1.18607452475377,0.558829387476371,8.76969095222965,"perennial"
"Galium_rubioides",0.0490240503330311,1.18607452475377,0.558829387476371,8.76969095222965,"perennial"
"Galium_boreale",0.0490240503330311,1.18607452475377,0.558829387476371,8.76969095222965,"perennial"
"Galium_hypocarpium",0.0490240503330311,1.18607452475377,0.558829387476371,8.76969095222965,"perennial"
"Galium_humile",0.0490240503330311,1.18607452475377,0.558829387476371,8.76969095222965,"perennial"
"Galium_araucanum",0.0490240503330311,1.18607452475377,0.558829387476371,8.76969095222965,"perennial"
"Galium_richardianum",0.0490240503330311,1.18607452475377,0.558829387476371,8.76969095222965,"perennial"
"Galium_rotundifolium",0.0490240503330311,1.18607452475377,0.558829387476371,8.76969095222965,"perennial"
"Galium_scabrum",0.0490240503330311,1.18607452475377,0.558829387476371,8.76969095222965,"perennial"
"Cruciata_laevipes",0.0490240503330311,1.18607452475377,0.558829387476371,8.76969095222965,"perennial"
"Cruciata_pedemontana",0.0416954387802863,1.18607452475377,0.153634389723078,8.35687707490451,"annual"
"Cruciata_articulata",0.0416961199665034,1.18607452475377,0.153634389723078,8.35687700455122,"annual"
"Valantia_muralis",0.0416941976457252,1.18607452475377,0.153634389723078,8.35687720308959,"annual"
"Valantia_hispida",0.0416960985994489,1.18607452475377,0.153634389723078,8.35687700675802,"annual"
"Asperula_conferta",0.0490240503330311,1.18607452475377,0.558829387476371,8.76969095222965,"perennial"
"Galium_palustre",0.0490240503330311,1.18607452475377,0.558829387476371,8.76969095222965,"perennial"
"Galium_innocuum",0.0490240503330311,1.18607452475377,0.558829387476371,8.76969095222965,"perennial"
"Asperula_gunnii",0.0490240503330311,1.18607452475377,0.558829387476371,8.76969095222965,"perennial"
"Galium_elongatum",0.0490240503330311,1.18607452475377,0.558829387476371,8.76969095222965,"perennial"
"Galium_debile",0.0490240503330311,1.18607452475377,0.558829387476371,8.76969095222965,"perennial"
"Asperula_laevigata",0.0490240503330311,1.18607452475377,0.558829387476371,8.76969095222965,"perennial"
"Asperula_tinctoria",0.0490320309628192,1.18607452475377,0.558829387476371,8.76969093099003,"perennial"
"Galium_exile",0.0490240503330311,1.18607452475377,0.558829387476371,8.76969095222965,"perennial"
"Galium_graecum",0.0490568661858339,1.18607452475377,0.558829387476371,8.76969086489367,"perennial"
"Galium_canum",0.0490256849851469,1.18607452475377,0.558829387476371,8.76969094787919,"perennial"
"Asperula_arvensis",0.0416961456999703,1.18607452475377,0.153634389723078,8.35687700189345,"annual"
"Asperula_orientalis",0.0416961456999703,1.18607452475377,0.153634389723078,8.35687700189345,"annual"
"Asperula_taurina",0.0490250372580264,1.18607452475377,0.558829387476371,8.76969094960305,"perennial"
"Asperula_cynanchica",0.0490240503330311,1.18607452475377,0.558829387476371,8.76969095222965,"perennial"
"Asperula_aristata",0.0490240503330311,1.18607452475377,0.558829387476371,8.76969095222965,"perennial"
"Asperula_hirsuta",0.0490240503330311,1.18607452475377,0.558829387476371,8.76969095222965,"perennial"
"Asperula_hirta",0.0490240503330311,1.18607452475377,0.558829387476371,8.76969095222965,"perennial"
"Asperula_purpurea",0.0490240503330312,1.18607452475377,0.558829387476371,8.76969095222965,"perennial"
"Sherardia_arvensis",0.0416959887250456,1.18607452475377,0.153634389723078,8.35687701810591,"annual"
"Crucianella_maritima",0.0533444322553616,1.18607452475377,0.558829387476371,8.76967945398322,"perennial"
"Crucianella_macrostachya",0.0416961456999703,1.18607452475377,0.153634389723078,8.35687700189345,"annual"
"Crucianella_imbricata",0.0416951447460323,1.18607452475377,0.153634389723078,8.35687710527254,"annual"
"Crucianella_patula",0.0416961130359923,1.18607452475377,0.153634389723078,8.35687700526701,"annual"
"Crucianella_angustifolia",0.041696072596904,1.18607452475377,0.153634389723078,8.35687700944358,"annual"
"Crucianella_latifolia",0.0416960441811744,1.18607452475377,0.153634389723078,8.35687701237837,"annual"
"Asperula_prostrata",0.0490240503330311,1.18607452475377,0.558829387476371,8.76969095222965,"perennial"
