species,life_form,,
Hydrocera triflora (L.) Wight & Arn. Wight & Arn. (L.),perennial,,
Impatiens falcifer Hook.fil.,annual,http://www.efloras.org/florataxon.aspx?flora_id=2&taxon_id=242423074,manually_curated
Impatiens serrata Benth.,annual,,
Impatiens glandulifera Royle,annual,,
Impatiens sulcata Wall.,annual,,
Impatiens amplexicaulis Edgew.,annual,,
Impatiens chungtienensis Y.L.Chen,annual,,
Impatiens amphorata Edgew.,annual,https://www.flowersofindia.net/catalog/slides/Amphora%20Balsam.html,manually_curated
Impatiens brachycentra Kar. & Kir.,annual,,
Impatiens parviflora DC.,annual,,
Impatiens balfourii Hook.fil.,annual,,
Impatiens cymbifera Hook.fil.,annual,,
Impatiens desmantha Hook.fil.,annual,,
Impatiens eubotrya Miq.,perennial,"Grey-Wilson, C. (1989). A revision of Sumatran Impatiens: studies in Balsaminaceae: VIII. Kew bulletin, 67-106.",manually_curated
Impatiens siculifer Hook.fil.,annual,http://www.efloras.org/florataxon.aspx?flora_id=2&taxon_id=200013307,manually_curated
Impatiens longiloba Craib,annual,https://www.rarepalmseeds.com/impatiens-longiloba,manually_curated
Impatiens racemosa DC.,annual,,
Impatiens occultans Hook.fil.,annual,,
Impatiens pradhanii Hara,annual,,
Impatiens radiata Hook.fil.,annual,,
Impatiens wallichii Hook.fil.,perennial,,
Impatiens urticifolia Wall.,annual,,
Impatiens rectangula Hand.-Mazz.,annual,,
Impatiens cyathiflora Hook.fil.,annual,,
Impatiens drepanophora Hook.fil.,annual,,
Impatiens chimiliensis Comber,perennial,,
Impatiens devolii T.C.Huang,annual,,
Impatiens purpurea Hand.-Mazz.,annual,,
Impatiens scutisepala Hook.fil.,annual,,
Impatiens holocentra Hand.-Mazz.,perennial,,
Impatiens taronensis Hand.-Mazz.,perennial,http://www.efloras.org/florataxon.aspx?flora_id=2&taxon_id=242445587,manually_curated
Impatiens microcentra Hand.-Mazz.,perennial,,
Impatiens cyanantha Hook.fil.,annual,,
Impatiens fenghwaiana Y.L.Chen,annual,,
Impatiens aquatilis Hook.fil.,annual,,
Impatiens uliginosa Franch.,annual,,
Impatiens bicornuta Wall.,annual,,
Impatiens auriculata Wight,perennial,,
Impatiens gongshanensis Y.L.Chen,annual,,
Impatiens soulieana Hook.fil.,annual,,
