"species","life_form"
"Lecocarpus lecocarpoides (B.L.Rob. & Greenm.) Cronquist & Stuessy Cronquist & Stuessy (B.L.Rob. & Greenm.)","no_life_form_on_database"
"Melampodium nutans Stuessy","no_life_form_on_database"
"Melampodium divaricatum (Rich.) DC. DC. (Rich.)","no_life_form_on_database"
"Melampodium perfoliatum (Cav.) Kunth Kunth (Cav.)","no_life_form_on_database"
"Melampodium glabrum S.Watson","no_life_form_on_database"
"Ichthyothere granvillei H.Rob.","no_life_form_on_database"
"Ichthyothere macdanielii H.Rob.","no_life_form_on_database"
"Ichthyothere terminalis (Spreng.) S.F.Blake S.F.Blake (Spreng.)","no_life_form_on_database"
"Ichthyothere scandens S.F.Blake","no_life_form_on_database"
"Smallanthus connatus (Spreng.) H.Rob. H.Rob. (Spreng.)","no_life_form_on_database"
"Smallanthus maculatus (Cav.) H.Rob. H.Rob. (Cav.)","no_life_form_on_database"
"Smallanthus jelskii (Hieron.) H.Rob. H.Rob. (Hieron.)","no_life_form_on_database"
"Smallanthus microcephalus (Hieron.) H.Rob. H.Rob. (Hieron.)","no_life_form_on_database"
"Calycadenia pauciflora A.Gray","no_life_form_on_database"
"Calycadenia spicata (Greene) Greene Greene (Greene)","no_life_form_on_database"
"Calycadenia multiglandulosa DC.","no_life_form_on_database"
"Calycadenia hooveri G.D.Carr","no_life_form_on_database"
"Dubautia arborea (A.Gray) D.D.Keck D.D.Keck (A.Gray)","no_life_form_on_database"
"Dubautia scabra (DC.) D.D.Keck D.D.Keck (DC.)","no_life_form_on_database"
"Dubautia menziesii (A.Gray) D.D.Keck D.D.Keck (A.Gray)","no_life_form_on_database"
"Dubautia waianapanapaensis G.D.Carr","no_life_form_on_database"
"Deinandra frutescens (A.Gray) B.G.Baldwin B.G.Baldwin (A.Gray)","no_life_form_on_database"
"Deinandra minthornii (Jeps.) B.G.Baldwin B.G.Baldwin (Jeps.)","no_life_form_on_database"
"Deinandra bacigalupii B.G.Baldwin","no_life_form_on_database"
"Deinandra increscens (H.M.Hall ex D.D.Keck) B.G.Baldwin B.G.Baldwin (H.M.Hall ex D.D.Keck)","no_life_form_on_database"
"Arnica mallotopus (Franch. & Sav.) Makino Makino (Franch. & Sav.)","no_life_form_on_database"
"Arnica unalaschcensis Less.","no_life_form_on_database"
"Arnica dealbata (A.Gray) B.G.Baldwin B.G.Baldwin (A.Gray)","no_life_form_on_database"
"Arnica longifolia D.C.Eaton","no_life_form_on_database"
"Lasthenia fremontii (Torr. ex A.Gray) Greene Greene (Torr. ex A.Gray)","no_life_form_on_database"
"Lasthenia platycarpha (A.Gray) Greene Greene (A.Gray)","no_life_form_on_database"
"Lasthenia debilis (Greene ex A.Gray) Ornduff Ornduff (Greene ex A.Gray)","no_life_form_on_database"
"Lasthenia chrysantha (Greene ex A.Gray) Greene Greene (Greene ex A.Gray)","no_life_form_on_database"
"Liatris hirsuta Rydb.","no_life_form_on_database"
"Liatris provincialis Godfrey","no_life_form_on_database"
"Liatris garberi A.Gray","no_life_form_on_database"
"Liatris compacta (Torr. & A.Gray) Rydb. Rydb. (Torr. & A.Gray)","no_life_form_on_database"
"Carphephorus bellidifolius (Michx.) Torr. & A.Gray Torr. & A.Gray (Michx.)","no_life_form_on_database"
"Carphephorus tomentosus (Michx.) Torr. & A.Gray Torr. & A.Gray (Michx.)","no_life_form_on_database"
"Carphephorus corymbosus (Nutt.) Torr. & A.Gray Torr. & A.Gray (Nutt.)","no_life_form_on_database"
"Carphephorus pseudoliatris Cass.","no_life_form_on_database"
"Eupatorium hyssopifolium L.","no_life_form_on_database"
"Eupatorium mohrii Greene","no_life_form_on_database"
"Eupatorium glaucescens Ellis","no_life_form_on_database"
"Eupatorium rotundifolium L.","no_life_form_on_database"
"Brickellia cordifolia Elliott","no_life_form_on_database"
"Brickellia grandiflora (Hook.) Nutt. Nutt. (Hook.)","no_life_form_on_database"
"Brickellia rusbyi A.Gray","no_life_form_on_database"
"Brickellia spinulosa A.Gray","no_life_form_on_database"
"Polymnia canadensis L.","no_life_form_on_database"
"Polymnia johnbeckii D.Estes","no_life_form_on_database"
"Polymnia laevigata Beadle","no_life_form_on_database"
"Polymnia cossatotensis Pittman & V.M.Bates","no_life_form_on_database"
"Pectis incisifolia I.M.Johnst.","no_life_form_on_database"
"Pectis stenophylla A.Gray","no_life_form_on_database"
"Pectis bonplandiana Kunth","no_life_form_on_database"
"Pectis coulteri Harv. & A.Gray","no_life_form_on_database"
"Porophyllum lanceolatum DC.","no_life_form_on_database"
"Porophyllum macrocephalum DC.","no_life_form_on_database"
"Porophyllum punctatum (Mill.) S.F.Blake S.F.Blake (Mill.)","no_life_form_on_database"
"Porophyllum coloratum (Kunth) DC. DC. (Kunth)","no_life_form_on_database"
"Tagetes campanulata Griseb.","no_life_form_on_database"
"Tagetes palmeri A.Gray","no_life_form_on_database"
"Tagetes lucida Cav.","perennial"
"Tagetes pringlei S.Watson","no_life_form_on_database"
"Flaveria chlorifolia A.Gray","no_life_form_on_database"
"Flaveria floridana Johnst.","no_life_form_on_database"
"Flaveria trinervia (Spreng.) C.Mohr C.Mohr (Spreng.)","no_life_form_on_database"
"Flaveria anomala B.L.Rob.","no_life_form_on_database"
