species,life_form,,,
Aphyllon Mitch._indet_sp1,no_life_form_on_database,,,
Aphyllon robbinsii (Heckard) A.C.Schneid. A.C.Schneid. (Heckard),annual,https://www.calflora.org/app/taxon?crn=13530,manually_curated,
Aphyllon Mitch._indet_sp2,no_life_form_on_database,,,
Aphyllon vallicolum (Jeps.) A.C.Schneid. A.C.Schneid. (Jeps.),annual,https://www.calflora.org/app/taxon?crn=13450,manually_curated,
Aphyllon Mitch._indet_sp3,no_life_form_on_database,,,
Aphyllon Mitch._indet_sp4,no_life_form_on_database,,,
Aphyllon Mitch._indet_sp5,no_life_form_on_database,,,
Aphyllon corymbosum (Rydb.) A.C.Schneid. A.C.Schneid. (Rydb.),annual,https://www.calflora.org/app/taxon?crn=13440,manually_curated,
Aphyllon Mitch._indet_sp6,no_life_form_on_database,,,
Aphyllon Mitch._indet_sp7,no_life_form_on_database,,,
Aphyllon chilensis Phil.,no_life_form_on_database,,,
Aphyllon tacnaense (Mattf.) A.C.Schneid. A.C.Schneid. (Mattf.),annual,https://warpp.app/taxa/717,manually_curated,
Aphyllon ludovicianum Nutt,annual,https://warpp.app/taxa/705,manually_curated,
Aphyllon multiflorum Nutt,annual,https://warpp.app/taxa/1726,,
Aphyllon Mitch._indet_sp8,no_life_form_on_database,,,
Aphyllon arizonicum (L.T.Collins) A.C.Schneid. A.C.Schneid. (L.T.Collins),annual,https://warpp.app/taxa/220,manually_curated,
Aphyllon riparium (L.T.Collins) A.C.Schneid. A.C.Schneid. (L.T.Collins),annual,https://warpp.app/taxa/716,manually_curated,
Aphyllon tarapacanum (Phil.) A.C.Schneid. A.C.Schneid. (Phil.),annual,https://warpp.app/taxa/718,manually_curated,
Aphyllon pinorum (Geyer ex Hook.) A.Gray A.Gray (Geyer ex Hook.),annual,https://warpp.app/taxa/1755,manually_curated,
Aphyllon Mitch._indet_sp9,no_life_form_on_database,,,
Aphyllon dugesii S.Watson,annual,https://warpp.app/taxa/702,,
Aphyllon Mitch._indet_sp10,no_life_form_on_database,,,
Aphyllon Mitch._indet_sp11,no_life_form_on_database,,,
Aphyllon tuberosum (A.Gray) A.Gray A.Gray (A.Gray),perennial,https://www.calflora.org/app/taxon?crn=13446,manually_curated,
Aphyllon Mitch._indet_sp12,no_life_form_on_database,,,
Aphyllon purpureum (A.Heller) Holub Holub (A.Heller),annual,https://www.calflora.org/app/taxon?crn=13529,manually_curated,
Aphyllon uniflorum (L.) Torr. & A.Gray Torr. & A.Gray (L.),annual,http://floraofalabama.org/Plant.aspx?id=2797,manually_curated,
Aphyllon fasciculatum Torr. & Gray,perennial,https://www.calflora.org/app/taxon?crn=13441,manually_curated,
"Phelipanche georgii-reuteri Carlón, G.Gómez, M.Laínz, G.Moreno, Ó.Sánchez & Schneew.",no_life_form_on_database,,,
Phelipanche tunetana (Beck) Soják Soják (Beck),perennial,https://warpp.app/taxa/1857,manually_curated,
Phelipanche nana (Reut.) Soják Soják (Reut.),annual,https://www.maltawildplants.com/ORBN/Phelipanche_nana_subsp_melitensis.php,manually_curated,
Phelipanche oxyloba (Reut.) Soják Soják (Reut.),perennial,https://warpp.app/taxa/1595,manually_curated,
Orobanche gratiosa (Webb & Berthel.) Linding. Linding. (Webb & Berthel.),perennial,,,
"Phelipanche portoilicitana (A.Pujadas & M.B.Crespo) Carlón, G.Gómez, M.Laínz, G.Moreno, Ó.Sánchez & Schneew. Carlón, G.Gómez, M.Laínz, G.Moreno, Ó.Sánchez & Schneew. (A.Pujadas & M.B.Crespo)",no_life_form_on_database,,,
Phelipanche pulchella (C.A.Mey.) Soják Soják (C.A.Mey.),no_life_form_on_database,,,
Phelipanche bungeana (Beck) Soják Soják (Beck),no_life_form_on_database,,,
Phelipanche coelestis (Boiss. & Reut.) Soják Soják (Boiss. & Reut.),perennial,https://warpp.app/taxa/1592,,
Phelipanche ramosa (L.) Pomel Pomel (L.),perennial,https://www.calflora.org/app/taxon?crn=13518,manually_curated,
