"species","life_form"
"Moricandia sinaica (Boiss.) Boiss. Boiss. (Boiss.)","perennial"
"Moricandia moricandioides (Boiss.) Heywood Heywood (Boiss.)","perennial"
"Moricandia foetida Bourg.","perennial"
"Rytidocarpus moricandioides Coss.","no_life_form_on_database"
"Coincya longirostra (Boiss.) Greuter & Burdet Greuter & Burdet (Boiss.)","annual"
"Coincya monensis (L.) Greuter & Burdet Greuter & Burdet (L.)","annual"
"Coincya rupestris Porta & Rigo ex Rouy","annual"
"Hemicrambe fruticulosa Webb","no_life_form_on_database"
"Kremeriella cordylocarpus (Coss. & Durieu) Maire Maire (Coss. & Durieu)","no_life_form_on_database"
"Sinapis alba L.","annual"
"Cakile maritima f. islandica Gand.","no_life_form_on_database"
"Cakile arabica Velen. & Bornm.","annual"
"Cakile lanceolata subsp. pseudoconstricta Rodman","annual"
"Cakile constricta Rodman","annual"
"Cakile lanceolata var. fusiformis (Greene) Patman Patman (Greene)","annual"
"Cakile edentula var. lacustris Fernald","annual"
"Cakile lanceolata (Willd.) O.E.Schulz O.E.Schulz (Willd.)","annual"
"Cakile edentula subsp. edentula","no_life_form_on_database"
"Cakile maritima Scop.","perennial"
"Cakile edentula subsp. harperi (Small) Rodman","no_life_form_on_database"
"Erucaria ollivieri Maire","no_life_form_on_database"
"Erucaria cakiloidea (DC.) O.E.Schulz O.E.Schulz (DC.)","annual"
"Erucaria pinnata (Viv.) El Naggar El Naggar (Viv.)","annual"
"Erucaria erucarioides (Coss. & Durieu) Müll.Berol. Müll.Berol. (Coss. & Durieu)","no_life_form_on_database"
"Didesmus aegyptius (L.) Desv. Desv. (L.)","annual"
"Didesmus bipinnatus (Desf.) DC. DC. (Desf.)","annual"
"Erucaria microcarpa Boiss.","annual"
"Pseuderucaria teretifolia (Desf.) O.E.Schulz O.E.Schulz (Desf.)","annual"
"Eremophyton chevallieri (Barratte ex L.Chevall.) Bég. Bég. (Barratte ex L.Chevall.)","annual"
"Erucaria hispanica Gaertn.","annual"
"Zilla spinosa subsp. spinosa","no_life_form_on_database"
"Zilla macroptera Coss.","no_life_form_on_database"
"Foleyola billotii Maire","no_life_form_on_database"
"Physorhynchus chamaerapistrum (Boiss.) Boiss. Boiss. (Boiss.)","perennial"
"Douepea tortuosa Cambess.","perennial"
"Fortuynia garcinii (Burm.f.) Shuttlew. Shuttlew. (Burm.f.)","perennial"
"Schouwia purpurea Muschl.","annual"
"Ammosperma cinerea (Desf.) Hook.f. Hook.f. (Desf.)","no_life_form_on_database"
"Erucastrum elatum (Ball) O.E.Schulz O.E.Schulz (Ball)","no_life_form_on_database"
"Eruca vesicaria var. sativa (Mill.) Thell. Thell. (Mill.)","no_life_form_on_database"
"Eruca vesicaria (L.) Cav. Cav. (L.)","annual"
"Moricandia foleyi Batt.","no_life_form_on_database"
"Eruca pinnatifida (Desf.) Pomel Pomel (Desf.)","annual"
"Diplotaxis griffithii (Hook.f. & Thomson) Boiss. Boiss. (Hook.f. & Thomson)","annual"
"Diplotaxis acris (Forssk.) Boiss. Boiss. (Forssk.)","annual"
"Diplotaxis tenuifolia subsp. cretacea (Kotov) Sobrino Vesperinas Sobrino Vesperinas (Kotov)","no_life_form_on_database"
"Diplotaxis simplex Asch. ex Rohlfs","annual"
"Diplotaxis tenuifolia (L.) DC. DC. (L.)","perennial"
"Brassica gravinae Ten.","perennial"
"Brassica desnottesii Emb. & Maire","perennial"
"Brassica repanda (Willd.) DC. DC. (Willd.)","perennial"
"Diplotaxis muralis (L.) DC. DC. (L.)","annual"
"Diplotaxis viminea (L.) DC. DC. (L.)","annual"
"Brassica elongata var. integrifolia Boiss.","annual"
"Diplotaxis antoniensis Rustan","perennial"
"Diplotaxis harra (Forssk.) Boiss. Boiss. (Forssk.)","perennial"
"Diplotaxis sundingii Rustan","perennial"
"Diplotaxis gorgadensis Rustan","perennial"
"Diplotaxis hirta (A.Chev.) Rustan & L.Borgen Rustan & L.Borgen (A.Chev.)","perennial"
"Diplotaxis gracilis (Webb) O.E.Schulz O.E.Schulz (Webb)","perennial"
"Diplotaxis varia Rustan","perennial"
"Nasturtiopsis coronopifolia Muschl.","no_life_form_on_database"
"Fezia pterocarpa Pit. ex Batt.","no_life_form_on_database"
"Savignya parviflora subsp. parviflora","no_life_form_on_database"
"Henophyton deserti (Coss. & Durieu) Coss. & Durieu Coss. & Durieu (Coss. & Durieu)","no_life_form_on_database"
"Psychine stylosa Desf.","no_life_form_on_database"
"Muricaria prostrata (Desf.) Desv. Desv. (Desf.)","no_life_form_on_database"
"Vella mairei Humbert","no_life_form_on_database"
"Vella anremerica (Litard. & Maire) Gomez-Campo Gomez-Campo (Litard. & Maire)","no_life_form_on_database"
"Vella aspera Pers.","perennial"
"Vella pseudocytisus subsp. glabrata Greuter","perennial"
"Vella lucentina M.B.Crespo","perennial"
"Vella castrilensis Vivero, J.Prado, Hern.Berm., Crespo et al.","no_life_form_on_database"
"Vella bourgaeana (Coss.) S.I.Warwick & Al-Shehbaz S.I.Warwick & Al-Shehbaz (Coss.)","perennial"
"Vella spinosa Boiss.","perennial"
"Carrichtera annua Asch.","annual"
"Succowia balearica (L.) Medik. Medik. (L.)","annual"
"Orychophragmus violaceus (L.) O.E.Schulz O.E.Schulz (L.)","annual"
"Orychophragmus diffusus Z.M.Tan & J.M.Xu","annual"
"Orychophragmus ziguiensis Z.E.Chao & J.Q.Wu","annual"
"Orychophragmus hupehensis (Pamp.) Z.M.Tan & X.L.Zhang Z.M.Tan & X.L.Zhang (Pamp.)","annual"
"Orychophragmus taibaiensis Z.M.Tan & B.Z.Zhao","annual"
"Sinalliaria limprichtiana (Pax) X.F.Jin, Y.Y.Zhou & H.W.Zhang X.F.Jin, Y.Y.Zhou & H.W.Zhang (Pax)","annual"
