species,life_form,,
Oenothera macrocarpa Nutt.,perennial,https://naturalhistory2.si.edu/botany/onagraceae/result.cfm?myFrom=tree&genus=Oenothera,manually_included
Oenothera multicaulis Ruiz & Pav.,perennial,,
Oenothera tetraptera Cav.,perennial,,
Oenothera linifolia Nutt.,annual,,
Oenothera fruticosa L.,perennial,,
Oenothera pilosella Raf.,perennial,,
Oenothera perennis L.,perennial,,
Oenothera riparia Nutt.,perennial,,
Oenothera spachiana Torr. & A.Gray,annual,,
Oenothera havardii S.Watson,perennial,,
Oenothera kunthiana (Spach) Munz Munz (Spach),perennial,,
Oenothera speciosa Nutt.,perennial,,
Oenothera rosea Aiton,perennial,,
Oenothera canescens Torr.,perennial,,
Oenothera acutissima W.L.Wagner,perennial,,
Oenothera flava (A.Nelson) Garrett Garrett (A.Nelson),perennial,,
Oenothera acaulis Cav.,perennial,,
Oenothera berlandieri (Spach) Steud. Steud. (Spach),perennial,https://naturalhistory2.si.edu/botany/onagraceae/result.cfm?myFrom=tree&genus=Oenothera,manually_included
Oenothera serrulata Nutt.,perennial,,
Oenothera toumeyi (Small) Tidestr. Tidestr. (Small),annual,,
Oenothera hartwegii Benth.,perennial,,
Oenothera lavandulifolia Torr. & A.Gray,annual,,
Oenothera cespitosa Nutt.,perennial,,
"Oenothera psammophila (A.Nelson & J.F.Macbr.) W.L.Wagner, Stockh. & W.M.Klein W.L.Wagner, Stockh. & W.M.Klein (A.Nelson & J.F.Macbr.)",perennial,,
Chylismia arenaria A.Nelson,annual,,
Chylismia claviformis A.Heller,annual,,
Eulobus californicus Nutt. ex Torr. & A.Gray,annual,,
Eulobus crassifolius (Greene) W.L.Wagner & Hoch W.L.Wagner & Hoch (Greene),perennial,,
Camissonia benitensis Raven,annual,,
Camissonia contorta P.H.Raven,annual,,
Camissonia strigulosa (Fisch. & C.A.Mey.) Raven Raven (Fisch. & C.A.Mey.),annual,,
Camissonia campestris (Greene) Raven Raven (Greene),annual,https://naturalhistory2.si.edu/botany/onagraceae/result.cfm?myFrom=tree&genus=Oenothera,manually_included
Camissonia kernensis (Munz) Raven Raven (Munz),annual,,
Eremothera boothii (Douglas) W.L.Wagner & Hoch W.L.Wagner & Hoch (Douglas),annual,,
Eremothera minor (A.Nelson) W.L.Wagner & Hoch W.L.Wagner & Hoch (A.Nelson),annual,,
Eremothera nevadensis (Kellogg) W.L.Wagner & Hoch W.L.Wagner & Hoch (Kellogg),annual,,
Eremothera refracta (S.Watson) W.L.Wagner & Hoch W.L.Wagner & Hoch (S.Watson),annual,,
Camissoniopsis cheiranthifolia (Hornem. ex Spreng.) W.L.Wagner & Hoch W.L.Wagner & Hoch (Hornem. ex Spreng.),perennial,,
Neoholmgrenia andina (Nutt.) W.L.Wagner & Hoch W.L.Wagner & Hoch (Nutt.),annual,,
Tetrapteron graciliflorum (Hook. & Arn.) W.L.Wagner & Hoch W.L.Wagner & Hoch (Hook. & Arn.),annual,,
Clarkia biloba (Durand) A.Nelson & J.F.Macbr. A.Nelson & J.F.Macbr. (Durand),annual,,
Clarkia lingulata H. & Lewis,annual,,
Clarkia modesta Jeps.,annual,,
Clarkia heterandra (Torr.) F.H.Lewis & P.H.Raven F.H.Lewis & P.H.Raven (Torr.),annual,,
