species,life_form,,
Odontarrhena alpestris Ledeb.,perennial,http://2018.botanyconference.org/engine/search/index.php?func=detail&aid=790,Taxa of the genus Odontarrhena (Brassicaceae) in Balkan - taxonomy and phylogenetic relationships.
Odontarrhena pateri (Nyár.),perennial,http://2018.botanyconference.org/engine/search/index.php?func=detail&aid=790,Taxa of the genus Odontarrhena (Brassicaceae) in Balkan - taxonomy and phylogenetic relationships.
Odontarrhena oxycarpa (Boiss. & Balansa),perennial,http://2018.botanyconference.org/engine/search/index.php?func=detail&aid=790,Taxa of the genus Odontarrhena (Brassicaceae) in Balkan - taxonomy and phylogenetic relationships.
Odontarrhena carica (T.R.Dudley & Hub.-Mor.),perennial,http://2018.botanyconference.org/engine/search/index.php?func=detail&aid=790,Taxa of the genus Odontarrhena (Brassicaceae) in Balkan - taxonomy and phylogenetic relationships.
Odontarrhena condensata (Boiss. & Hausskn.) Jord. & Fourr. Jord. & Fourr. (Boiss. & Hausskn.),perennial,http://2018.botanyconference.org/engine/search/index.php?func=detail&aid=790,Taxa of the genus Odontarrhena (Brassicaceae) in Balkan - taxonomy and phylogenetic relationships.
Odontarrhena obovata C.A.Mey.,perennial,http://2018.botanyconference.org/engine/search/index.php?func=detail&aid=790,Taxa of the genus Odontarrhena (Brassicaceae) in Balkan - taxonomy and phylogenetic relationships.
Odontarrhena troodi (Boiss.),perennial,http://2018.botanyconference.org/engine/search/index.php?func=detail&aid=790,Taxa of the genus Odontarrhena (Brassicaceae) in Balkan - taxonomy and phylogenetic relationships.
Odontarrhena anatolica (Hausskn. ex Nyár.),perennial,http://2018.botanyconference.org/engine/search/index.php?func=detail&aid=790,Taxa of the genus Odontarrhena (Brassicaceae) in Balkan - taxonomy and phylogenetic relationships.
Odontarrhena davisiana (T.R.Dudley),perennial,http://2018.botanyconference.org/engine/search/index.php?func=detail&aid=790,Taxa of the genus Odontarrhena (Brassicaceae) in Balkan - taxonomy and phylogenetic relationships.
Odontarrhena chalcidica (Janka),perennial,http://2018.botanyconference.org/engine/search/index.php?func=detail&aid=790,Taxa of the genus Odontarrhena (Brassicaceae) in Balkan - taxonomy and phylogenetic relationships.
Odontarrhena kavadarcensis (Micevski),perennial,http://2018.botanyconference.org/engine/search/index.php?func=detail&aid=790,Taxa of the genus Odontarrhena (Brassicaceae) in Balkan - taxonomy and phylogenetic relationships.
Odontarrhena argentea Ledeb.,perennial,http://2018.botanyconference.org/engine/search/index.php?func=detail&aid=790,Taxa of the genus Odontarrhena (Brassicaceae) in Balkan - taxonomy and phylogenetic relationships.
Odontarrhena polyclada (Rech.f.),perennial,http://2018.botanyconference.org/engine/search/index.php?func=detail&aid=790,Taxa of the genus Odontarrhena (Brassicaceae) in Balkan - taxonomy and phylogenetic relationships.
Odontarrhena gevgelicensis (Micevski),perennial,http://2018.botanyconference.org/engine/search/index.php?func=detail&aid=790,Taxa of the genus Odontarrhena (Brassicaceae) in Balkan - taxonomy and phylogenetic relationships.
Odontarrhena serpentina (Micevski),perennial,http://2018.botanyconference.org/engine/search/index.php?func=detail&aid=790,Taxa of the genus Odontarrhena (Brassicaceae) in Balkan - taxonomy and phylogenetic relationships.
Odontarrhena muralis Jord. & Fourr.,perennial,http://2018.botanyconference.org/engine/search/index.php?func=detail&aid=790,Taxa of the genus Odontarrhena (Brassicaceae) in Balkan - taxonomy and phylogenetic relationships.
Odontarrhena diffusa Jord. & Fourr.,perennial,http://2018.botanyconference.org/engine/search/index.php?func=detail&aid=790,Taxa of the genus Odontarrhena (Brassicaceae) in Balkan - taxonomy and phylogenetic relationships.
Odontarrhena samarifera (Boiss. & Hausskn.),perennial,http://2018.botanyconference.org/engine/search/index.php?func=detail&aid=790,Taxa of the genus Odontarrhena (Brassicaceae) in Balkan - taxonomy and phylogenetic relationships.
