"","np","lnLik","DiscLik","ContLik","AIC","dAIC","AICwt"
"Alysseae.CID_BM1",4,103.162892520081,-15.1569740703472,122.086047721877,-198.325785040162,25.1912523170811,1.4883010884566e-06
"Alysseae.CID_OU1",5,115.673511297556,-15.1844462395479,134.593228227139,-221.347022595113,2.17001476213048,0.148487199938609
"Alysseae.CD_BMV",5,103.549706130721,-15.2022091727341,122.299001053625,-197.099412261443,26.4176250958006,8.06097054248146e-07
"Alysseae.CD_OUV",6,116.176673563225,-15.1458161576557,135.08091611368,-220.353347126449,3.16369023079383,0.0903472902144829
"Alysseae.CD_OUM",6,117.758518678622,-15.0850799464299,136.713331032925,-223.517037357243,0,0.439442175610848
"Alysseae.CD_OUMV",7,118.439509391036,-15.1037320365062,137.400703842556,-222.879018782072,0.638018575170889,0.319416806160852
"Alysseae.CID_BMV",9,103.487560499184,-15.1997531258482,122.352838951907,-188.975120998369,34.5419163588746,1.38745817969832e-08
"Alysseae.CID_OUV",10,115.6780697601,-15.1842393562871,134.513166669794,-211.356139520199,12.1608978370442,0.00100507003069933
"Alysseae.CID_OUM",10,115.611178531564,-15.1767914542385,134.57909637659,-211.222357063127,12.2946802941162,0.000940038913565552
"Alysseae.CID_OUMV",11,115.648888397833,-15.0957908263324,134.573084240957,-209.297776795667,14.2192605615767,0.000359110858218821
"Antirrhineae.CID_BM1",4,324.231250138069,-72.7979160300295,400.780626292001,-640.462500276138,10.8496069688678,0.00245219408315353
"Antirrhineae.CID_OU1",5,330.656053622503,-72.7323247463146,407.243192345558,-651.312107245005,0,0.556566495515543
"Antirrhineae.CD_BMV",5,327.017330462393,-72.7409892861573,403.541502696137,-644.034660924786,7.27744632021904,0.0146298431267577
"Antirrhineae.CD_OUV",6,327.083959878397,-72.685518582209,403.644468469261,-642.167919756793,9.14418748821231,0.0057528357564215
"Antirrhineae.CD_OUM",6,331.37000837674,-72.6357676982322,407.88975492489,-650.74001675348,0.572090491525159,0.418108683295203
"Antirrhineae.CD_OUMV",7,327.237500394658,-72.7272561239359,403.128936784365,-640.475000789315,10.8371064556902,0.00246756892367546
"Antirrhineae.CID_BMV",9,324.263909381337,-72.7461684680669,400.202049188234,-630.527818762674,20.7842884823315,1.70712829164798e-05
"Antirrhineae.CID_OUV",10,309.402469611264,-77.6646881585299,391.548882144441,-598.804939222528,52.5071680224773,2.20663444251024e-12
"Antirrhineae.CID_OUM",10,324.095725784839,-73.1627725552159,400.77045078316,-628.191451569678,23.1206556753274,5.30799457110187e-06
"Antirrhineae.CID_OUMV",11,312.584070896486,-78.5800498260014,395.719604976723,-603.168141792972,48.1439654520331,1.95518471101186e-11
"Apioideae.CID_BM1",4,1106.34975861439,-209.292719662785,1317.9127594193,-2204.69951722879,47.6432558520341,4.51230493413241e-11
"Apioideae.CID_OU1",5,1106.20019950372,-209.745042899581,1318.03341404536,-2202.40039900745,49.9423740733741,1.42939172145063e-11
"Apioideae.CD_BMV",5,1111.15301018349,-210.388807117346,1322.72881552632,-2212.30602036698,40.0367527138433,2.02362301757569e-09
