"","np","lnLik","DiscLik","ContLik","AIC","dAIC","AICwt"
"Alysseae.CID_BM1",4,2.96080027849663,-15.2401130545904,21.9663034692924,2.07839944300675,10.8722472887984,0.00301446123526091
"Alysseae.CID_OU1",5,9.39692392289582,-15.1307523078314,28.3104718207209,-8.79384784579164,0,0.691971495875559
"Alysseae.CD_BMV",5,4.34583867680113,-15.1635661945774,23.3124801681217,1.30832264639774,10.1021704921894,0.00443026551418683
"Alysseae.CD_OUV",6,8.14066658121,-15.1059350789433,27.0889722463816,-4.28133316242001,4.51251468337163,0.0724783156146318
"Alysseae.CD_OUM",6,9.09704638445298,-15.1984124383759,27.996800756784,-6.19409276890597,2.59975507688567,0.188607328232303
"Alysseae.CD_OUMV",7,8.29839959322386,-15.1119063116963,27.2157281810761,-2.59679918644772,6.19704865934392,0.0312187986487542
"Alysseae.CID_BMV",9,4.31532067546937,-15.3658667110461,23.4297318798644,9.36935864906125,18.1632064948529,7.87042215788891e-05
"Alysseae.CID_OUV",10,8.58310013833621,-15.1009995115158,27.4635779085458,2.83379972332758,11.6276475691192,0.00206622026506915
"Alysseae.CID_OUM",10,9.36783559406389,-15.2253141091466,28.285114304474,1.26432881187223,10.0581766576639,0.00452879742431721
"Alysseae.CID_OUMV",11,9.33088475446737,-15.1384746321052,28.0571339969203,3.33823049106527,12.1320783368569,0.0016056129683384
"Antirrhineae.CID_BM1",4,4.07700439825601,-73.4007123565272,80.4780785525315,-0.154008796512011,16.1599215763572,0.000171629835544074
"Antirrhineae.CID_OU1",5,7.37501983568551,-72.8600521761187,83.9516366906443,-4.75003967137102,11.5638907014981,0.00170847335550428
"Antirrhineae.CD_BMV",5,10.5165297929034,-72.7218231125762,87.6706001167156,-11.0330595858068,5.28087078706233,0.0395319875039004
"Antirrhineae.CD_OUV",6,13.8399168983671,-72.7147271653587,90.7675374683918,-15.6798337967343,0.634096576134905,0.403629452330516
"Antirrhineae.CD_OUM",6,7.52199265129718,-72.7180119078188,83.4028940039129,-3.04398530259436,13.2699450702748,0.000728019833605308
"Antirrhineae.CD_OUMV",7,15.1569651864346,-72.9298694676028,93.2460945665431,-16.3139303728692,0,0.554211037288487
"Antirrhineae.CID_BMV",9,4.1112877678401,-73.0863369051458,81.1241646636151,9.77742446431979,26.091354837189,1.19676658592267e-06
"Antirrhineae.CID_OUV",10,0.400746020321254,-92.242043696173,93.5976239608296,19.1985079593575,35.5124383322267,1.07707802999764e-08
"Antirrhineae.CID_OUM",10,7.79296566325244,-72.7612540385452,84.1019009224177,4.41406867349512,20.7279990463643,1.74842644779768e-05
"Antirrhineae.CID_OUMV",11,5.5864246384159,-72.7122188432691,81.8467944459165,10.8271507231682,27.1410810960374,7.08050598458768e-07
"Apioideae.CID_BM1",4,-191.515796220135,-207.819391605366,20.0992368891906,391.031592440269,64.7337111977228,5.45779275763084e-15
"Apioideae.CID_OU1",5,-190.537838664634,-210.155897887683,20.2700077359356,391.075677329268,64.7777960867217,5.33880586233402e-15
"Apioideae.CD_BMV",5,-191.763381641585,-210.443934713585,20.0458428902118,393.52676328317,67.2288820406237,1.56746400466217e-15
"Apioideae.CD_OUV",6,-158.386896351015,-209.229543731525,53.3226491340528,328.773792702031,2.47591145948428,0.180354291843616
"Apioideae.CD_OUM",6,-158.318096507694,-208.619705434452,53.6521120991492,328.636193015388,2.33831177284156,0.193199444727083
"Apioideae.CD_OUMV",7,-156.148940621273,-210.886490237701,54.9054787303155,326.297881242547,0,0.621961960496909
"Apioideae.CID_BMV",9,-194.594452497217,-216.480827164883,20.0430403766837,407.188904994434,80.8910237518875,1.69239291429955e-18
"Apioideae.CID_OUV",10,-159.024161045986,-208.43348169507,52.7531741253836,338.048322091972,11.7504408494255,0.00174657811244703
"Apioideae.CID_OUM",10,-159.358969441001,-208.993978097219,52.9542823908434,338.717938882002,12.4200576394553,0.00124963325764777
"Apioideae.CID_OUMV",11,-158.184325087074,-208.52753863332,53.4824277523669,338.368650174148,12.0707689316012,0.00148809156228443
"Arabideae.CID_BM1",4,-147.095338775721,-107.092178426828,-37.6402410561303,302.190677551441,63.9718832661363,1.05681139724019e-14
"Arabideae.CID_OU1",5,-119.994304589092,-108.680274849195,-9.30585369281099,249.988609178184,11.7698148928794,0.00228840352212591
"Arabideae.CD_BMV",5,-145.622045509524,-106.014403993211,-35.5354845643186,301.244091019048,63.0252967337433,1.69646983614707e-14
"Arabideae.CD_OUV",6,-113.109397142653,-106.116571341314,-3.44488764318246,238.218794285305,0,0.822840080546233
"Arabideae.CD_OUM",6,-115.893501941728,-105.679233298609,-7.15448665180009,243.787003883456,5.56820959815104,0.0508386590402674
"Arabideae.CD_OUMV",7,-114.073238047084,-106.280251760757,-5.2655490526123,242.146476094167,3.92768180886225,0.115459632249915
"Arabideae.CID_BMV",9,-152.654543302959,-111.606110679394,-38.0750991761486,323.309086605919,85.0902923206137,2.74279424051603e-19
"Arabideae.CID_OUV",10,-113.752147379175,-111.111430070781,0.0971230238967165,247.50429475835,9.28550047304509,0.00792491530349283
"Arabideae.CID_OUM",10,-116.904496468634,-106.105145287932,-7.64900841406755,253.808992937268,15.5901986519629,0.000338802662705786
"Arabideae.CID_OUMV",11,-115.994934630917,-105.386144092538,-7.05908435865251,253.989869261835,15.7710749765296,0.000309506675233368
"Balsamiaceae.CID_BM1",4,-64.2981733850936,-51.4907994270523,-8.99592849617009,136.596346770187,29.4462532407992,4.01220381312922e-07
"Balsamiaceae.CID_OU1",5,-62.5218811281132,-51.4948180640248,-7.42358959027528,135.043762256226,27.8936687268382,8.72011936670503e-07
"Balsamiaceae.CD_BMV",5,-53.7924648111587,-52.615051536503,2.79839350831323,117.584929622317,10.4348360929293,0.0053908812654937
"Balsamiaceae.CD_OUV",6,-62.8571876149826,-51.2382450419191,-7.51958142990465,137.714375229965,30.5642817005772,2.29406749297993e-07
"Balsamiaceae.CD_OUM",6,-57.439116390957,-52.4112435213546,0.458660810785857,126.878232781914,19.7281392525259,5.17183458619669e-05
"Balsamiaceae.CD_OUMV",7,-46.575046764694,-57.6349905897486,14.3389308039172,107.150093529388,0,0.994387448678837
"Balsamiaceae.CID_BMV",9,-78.3379602845925,-67.5916590367402,-10.895772822656,174.675920569185,67.5258270397969,2.16027280891094e-15
"Balsamiaceae.CID_OUV",10,-52.2583411033365,-52.3859745636928,3.41904914308741,124.516682206673,17.3665886772849,0.000168441390504626
"Balsamiaceae.CID_OUM",10,-62.5696072693911,-51.1179105032524,-7.65427391421291,145.139214538782,37.9891210093942,5.60173836213269e-09
"Balsamiaceae.CID_OUMV",11,-62.561040201754,-51.3229270317202,-7.5937192709979,147.122080403508,39.9719868741198,2.07849492702426e-09
"Brassiceae.CID_BM1",4,-60.1023850802312,-35.0175524819937,-21.5913665459204,128.204770160462,74.3850060727179,5.8003479993338e-17
"Brassiceae.CID_OU1",5,-31.3078899882011,-35.3572771013089,-68.6833735066708,72.6157799764023,18.7960158886578,6.83045911543845e-05
"Brassiceae.CD_BMV",5,-59.6994185342757,-34.9300671408689,-19.868845509982,129.398837068551,75.5790729808068,3.19275589764962e-17
"Brassiceae.CD_OUV",6,-20.9098820438723,-34.612158971138,17.4470017089985,53.8197640877445,0,0.824048716460465
"Brassiceae.CD_OUM",6,-30.5940025461638,-34.9411272804496,-68.6863028196331,73.1880050923276,19.3682410045831,5.13089102803808e-05
