"wcvp_name","gbif_name"
"Pilosella neogelmii","Pilosella neogelmii (Gottschl.) Gottschl. Gottschl. (Gottschl.)"
"Pilosella neotremedalis","Pilosella ×neotremedalis Mateo"
"Pilosella nevadensis","Pilosella ×nevadensis (Arv.-Touv.) Mateo & Greuter Mateo & Greuter (Arv.-Touv.)"
"Pilosella nigrogudarica","Pilosella ×nigrogudarica Mateo & Egido"
"Tragopogon sabulosus","Tragopogon sabulosus Krasch. & S.A.Nikitin"
"Tragopogon samaritani","Tragopogon samaritani Heldr. & Sart."
"Tragopogon scoparius","Tragopogon scoparius Nikitin"
"Tragopogon segetum","Tragopogon segetus Kuth."
"Tragopogon serawschanicus","Tragopogon serawschanicus Nikitin"
"Tragopogon serotinus","Tragopogon serotinus Sosn."
"Tragopogon sibiricus","Tragopogon sibiricus Ganesch."
"Tragopogon soltisiorum","Tragopogon soltisiorum Mavrodiev"
"Tragopogon soltisiorum var. latifolius","Tragopogon soltisiorum var. latifolius Mavrodiev"
"Lagochilus inebrians","Lagochilus inebrians Bunge"
"Tragopogon songoricus","Tragopogon songoricus Nikitin"
"Tragopogon sosnowskyi","Tragopogon sosnowskyi Kuth."
"Tragopogon stribrnyi","Tragopogon stribrnyi Hayek"
"Tragopogon stroterocarpus","Tragopogon stroterocarpus Rech.fil."
"Tragopogon subacaulis","Tragopogon subacaulis O.Schwarz"
"Tragopogon subalpinus","Tragopogon subalpinus Nikitin"
"Tragopogon tanaiticus","Tragopogon tanaiticus Artemczuk"
"Tragopogon ucrainicus","Tragopogon ucrainicus Artemczuk"
"Tragopogon undulatus","Tragopogon undulatus Jacq."
"Tragopogon vaginatus","Tragopogon vaginatus Ownbey & Rech.fil."
"Tragopogon vanensis","Tragopogon vanensis Gültepe, Coskunç. & Makbul"
"Tragopogon verrucosobracteatus","Tragopogon verrucosobracteatus C.H.An"
"Tragopogon vvedenskyi","Tragopogon vvedenskyi Popov"
"Anthurium brevipedunculatum","Anthurium brevipedunculatum Madison"
"Geropogon hybridus","Geropogon hybridus (L.) Sch.Bip. Sch.Bip. (L.)"
"Scorzonera acanthoclada","Scorzonera acanthoclada Franch."
"Scorzonera acuminata","Scorzonera acuminata Boiss."
"Scorzonera adilii","Scorzonera adilii A.Duran"
"Scorzonera ahmet-duranii","Scorzonera ahmet-duranii Makbul & Coskunç."
"Scorzonera aksekiensis","Scorzonera aksekiensis A.Duran & M.Öztürk"
"Scorzonera alaica","Scorzonera alaica Lipsch."
"Scorzonera alba","Scorzonera alba R.R.Stewart"
"Lagochilus kaschgaricus","Lagochilus kaschgaricus Rupr."
"Scorzonera albertoregelia","Scorzonera albertoregelia C.Winkl."
"Scorzonera albicaulis","Scorzonera albicaulis Bunge"
"Scorzonera amasiana","Scorzonera amasiana Hausskn. & Bornm. ex Hausskn."
"Lagochilus knorringianus","Lagochilus knorringianus Pavlov"
"Scorzonera angustifolia","Scorzonera angustifolia L."
"Scorzonera aniana","Scorzonera aniana N.Kilian"
"Pseudopodospermum aragatzii","Pseudopodospermum aragatzii (Kuth.) Kuth. Kuth. (Kuth.)"
"Scorzonera argyrea","Scorzonera argyrea Boiss."
"Scorzonera aytatchii","Scorzonera aytatchii A.Duran & Sagiroglu"
"Lagochilus kschtutensis","Lagochilus kschtutensis Knorring"
"Scorzonera bicolor","Scorzonera bicolor Freyn & Sint."
"Lagochilus kschtutensis subsp. kschtutensis","Lagochilus kschtutensis subsp. kschtutensis"
"Scorzonera boissieri","Scorzonera boissieri Lipsch."
"Scorzonera bracteosa","Scorzonera bracteosa C.Winkl."
"Scorzonera bungei","Scorzonera bungei Krasch. & Lipsch."
"Scorzonera bupleurifolia","Scorzonera bupleurifolia Pouzolz"
"Scorzonera charadzae","Scorzonera charadzae Papava"
"Lagochilus kschtutensis subsp. pubescens","Lagochilus kschtutensis subsp. pubescens Kamelin & Tzukerv."
"Tragopogon albinervis","Tragopogon albinervis Freyn & Sint."
"Tragopogon albomarginatus","Tragopogon albomarginatus Kitam."
"Tragopogon altaicus","Tragopogon altaicus Nikitin & Schischk."
"Lagochilus lanatonodus","Lagochilus lanatonodus C.Y.Wu & S.J.Hsuan"
"Scorzonera coriacea","Scorzonera coriacea A.Duran & Aksoy"
"Scorzonera crassicaulis","Scorzonera crassicaulis Rech.fil."
"Scorzonera curvata","Scorzonera curvata (Poplavskaja) Lipsch. Lipsch. (Poplavskaja)"
"Anthurium brevipes","Anthurium brevipes Sodiro"
"Lagochilus leiacanthus","Lagochilus leiacanthus Fisch. & C.A.Mey."
"Scorzonera dianthoides","Scorzonera dianthoides (Lipsch. & Krasch.) Lipsch. Lipsch. (Lipsch. & Krasch.)"
"Lagochilus longidentatus","Lagochilus longidentatus Knorring"
"Scorzonera drarii","Scorzonera drarii Täckh."
"Scorzonera ekimii","Scorzonera ekimii A.Duran"
"Lagochilus macracanthus","Lagochilus macracanthus Fisch. & C.A.Mey."
"Scorzonera ferganica","Scorzonera ferganica Krasch."
"Scorzonera fistulosa","Scorzonera fistulosa Brot."
"Scorzonera flaccida","Scorzonera flaccida Rech.fil."
