"wcvp_name","gbif_name"
"Senecio trifidus","Senecio trifidus Hook. & Arn."
"Senecio trifurcatus","Senecio trifurcatus Klatt"
"Senecio trifurcifolius","Senecio trifurcifolius Hieron."
"Senecio trilobus","Senecio trilobus L."
"Senecio triodon","Senecio triodon Phil."
"Senecio triodon var. neuquensis","Senecio triodon var. neuquensis (Cabrera) Cabrera Cabrera (Cabrera)"
"Senecio triodontiphyllus","Senecio triodontiphyllus C.Jeffrey"
"Senecio tripinnatifidus","Senecio tripinnatifidus Reiche"
"Senecio triplinervius","Senecio triplinervius DC."
"Senecio triqueter","Senecio triqueter Less."
"Senecio tristis","Senecio tristis Phil."
"Senecio troncosii","Senecio troncosii Phil."
"Senecio tsaratananensis","Senecio tsaratananensis Humbert"
"Senecio tschabanicus","Senecio tschabanicus K.Koch"
"Senecio tuberculatus","Senecio tuberculatus Ali"
"Senecio tubicapillosus","Senecio tubicapillosus Cuatrec."
"Senecio tucumanensis","Senecio tucumanensis Cabrera"
"Senecio tugelensis","Senecio tugelensis J.M.Wood & M.S.Evans"
"Senecio tweediei","Senecio tweediei Hook. & Arn."
"Senecio tysonii","Senecio tysonii MacOwan"
"Senecio ulopterus","Senecio ulopterus Thell."
"Senecio umbellatus","Senecio umbellatus L."
"Senecio umbricola","Senecio umbricola Cron & B.Nord."
"Lantana veronicifolia","Lantana veronicifolia Hayek"
"Senecio umbrosus","Senecio umbrosus Waldst. & Kit."
"Senecio umgeniensis","Senecio umgeniensis Thell."
"Senecio unionis","Senecio unionis Sch.Bip. ex A.Rich."
"Senecio urophyllus","Senecio urophyllus Conrath"
"Senecio urundensis","Senecio urundensis S.Moore"
"Senecio urundensis var. longecaliculatus","Senecio urundensis var. longecaliculatus Lisowski"
"Senecio uspallatensis","Senecio uspallatensis Hook. & Arn."
"Senecio vaginatus","Senecio vaginatus Hook. & Arn."
"Lantana viburnoides","Lantana viburnoides Blanco"
"Senecio vagus","Senecio vagus F.Muell."
"Senecio vagus var. vagus","Senecio vagus subsp. vagus"
"Senecio vagus subsp. eglandulosus","Senecio vagus subsp. eglandulosus Ali"
"Senecio vaingaindrani","Senecio vaingaindrani S.Elliot."
"Senecio variabilis","Senecio variabilis Sch.Bip."
"Senecio varicosus","Senecio varicosus L.fil."
"Senecio varvarcensis","Senecio varvarcensis Cabrera"
"Senecio varvarcensis var. pinnatus","Senecio varvarcensis var. pinnatus Tortosa & Adr.Bartoli"
"Senecio vegetus","Senecio vegetus (Wedd.) Cabrera Cabrera (Wedd.)"
"Senecio vernalis","Senecio vernalis Waldst. & Kit."
"Senecio vervoorstii","Senecio vervoorstii Cabrera"
"Lantana viburnoides var. kisi","Lantana viburnoides var. kisi (A.Rich.) Verdc. Verdc. (A.Rich.)"
"Senecio vestitus","Senecio vestitus P.J.Bergius"
"Senecio vicinus","Senecio vicinus S.Moore"
"Senecio viejoanus","Senecio viejoanus B.L.Turner"
"Senecio villifructus","Senecio villifructus Hilliard"
"Senecio vimineus","Senecio vimineus DC."
"Kleinia amaniensis","Kleinia amaniensis A.Berger"
"Lantana viburnoides subsp. masaica","Lantana viburnoides subsp. masaica Verdc."
"Kleinia anteuphorbium","Kleinia anteuphorbium (L.) DC. DC. (L.)"
"Curio archeri","Curio archeri (Compton) P.V.Heath P.V.Heath (Compton)"
"Anthurium concolor","Anthurium concolor K.Krause"
"Kleinia barbertonica","Kleinia barbertonica (Klatt) Burtt Davy Burtt Davy (Klatt)"
"Kleinia breviscapa","Kleinia breviscapa DC."
"Lantana viburnoides subsp. viburnoides","Lantana viburnoides subsp. viburnoides"
"Kleinia caespitosa","Kleinia caespitosa Thulin"
"Kleinia cephalophora","Kleinia cephalophora Compton"
"Kleinia chimanimaniensis","Kleinia chimanimaniensis van Jaarsv."
"Curio talinoides var. chordifolius","Curio talinoides var. chordifolius (Hook.) P.V.Heath P.V.Heath (Hook.)"
"Kleinia cliffordiana","Kleinia cliffordiana (Hutch.) C.D.Adams C.D.Adams (Hutch.)"
"Curio crassulifolius","Curio crassulifolius (DC.) P.V.Heath P.V.Heath (DC.)"
"Kleinia descoingsii","Kleinia descoingsii C.Jeffrey"
"Kleinia dolichocoma","Kleinia dolichocoma C.Jeffrey"
"Curio ficoides","Curio ficoides (L.) P.V.Heath P.V.Heath (L.)"
"Kleinia fulgens","Kleinia fulgens Hook.fil."
"Lantana viscosa","Lantana viscosa Pohl"
"Kleinia galpinii","Kleinia galpinii Hook.f."
"Kleinia gracilis","Kleinia gracilis Thulin"
"Kleinia grandiflora","Kleinia grandiflora (Wall. ex DC.) N.Rani N.Rani (Wall. ex DC.)"
"Lantana xenica","Lantana xenica Moldenke"
"Kleinia grantii","Kleinia grantii Hook.fil."
"Kleinia gregorii","Kleinia gregorii (S.Moore) C.Jeffrey C.Jeffrey (S.Moore)"
"Lantana zahlbruckneri","Lantana zahlbruckneri Hayek"
"Curio herreanus","Curio herreanus (Dinter) P.V.Heath P.V.Heath (Dinter)"
"Kleinia implexa","Kleinia implexa (Bally) C.Jeffrey C.Jeffrey (Bally)"
"Kleinia isabellae","Kleinia isabellae Dioli & Mesfin"
"Kleinia kleinioides","Kleinia kleinioides (Sch.Bip.) M.Taylor M.Taylor (Sch.Bip.)"
"Kleinia leptophylla","Kleinia leptophylla C.Jeffrey"
"Anthurium conjunctum","Anthurium conjunctum K.Krause"
"Kleinia longiflora","Kleinia longiflora DC."
"Kleinia lunulata","Kleinia lunulata (Chiov.) Thulin Thulin (Chiov.)"
"Kleinia madagascariensis","Kleinia madagascariensis (Humbert) P.Halliday P.Halliday (Humbert)"
"Curio talinoides var. mandraliscae","Curio talinoides var. mandraliscae (Tineo) P.V.Heath P.V.Heath (Tineo)"
"Kleinia mccoyi","Kleinia mccoyi L.E.Newton"
"Kleinia mweroensis","Kleinia mweroensis (Baker) C.Jeffrey C.Jeffrey (Baker)"
"Kleinia mweroensis subsp. mweroensis","Kleinia mweroensis subsp. mweroensis"
"Kleinia neriifolia","Kleinia neriifolia Haw."
"Kleinia nogalensis","Kleinia nogalensis (Chiov.) Thulin Thulin (Chiov.)"
"Kleinia odora","Kleinia odora (Forssk.) A.Berger A.Berger (Forssk.)"
"Kleinia ogadensis","Kleinia ogadensis Thulin"
"Kleinia oligondonta","Kleinia oligondonta C.Jeffrey"
"Curio ovoideus","Curio ovoideus (Compton) P.V.Heath P.V.Heath (Compton)"
"Kleinia patriciae","Kleinia patriciae C.Jeffrey"
"Kleinia pendula","Kleinia pendula (Forssk.) DC. DC. (Forssk.)"
"Kleinia petraea","Kleinia petraea (Fr.) C.Jeffrey C.Jeffrey (Fr.)"
"Kleinia picticaulis","Kleinia picticaulis (Bally) C.Jeffrey C.Jeffrey (Bally)"
"Curio pinguifolius","Curio pinguifolius (DC.) P.V.Heath P.V.Heath (DC.)"
"Kleinia polycotoma","Kleinia polycotoma Chiov."
"Curio sulcicalyx","Curio sulcicalyx (N.E.Br.) P.V.Heath P.V.Heath (N.E.Br.)"
"Curio radicans","Curio radicans (L.) P.V.Heath P.V.Heath (L.)"
"Larnastyra cuneifolia","Larnastyra cuneifolia Raf."
"Curio repens","Curio repens (L.) P.V.Heath P.V.Heath (L.)"
"Curio rowleyanus","Curio rowleyanus (H.Jacobsen) P.V.Heath P.V.Heath (H.Jacobsen)"
"Kleinia sabulosa","Kleinia sabulosa Thulin"
"Kleinia saginata","Kleinia saginata P.Halliday"
"Kleinia schwartzii","Kleinia schwartzii L.E.Newton"
"Kleinia schweinfurthii","Kleinia schweinfurthii A.Berger"
"Kleinia scottii","Kleinia scottii (Balf.fil.) P.Halliday P.Halliday (Balf.fil.)"
"Kleinia semperviva","Kleinia semperviva (Forssk.) DC. DC. (Forssk.)"
"Curio talinoides","Curio talinoides (DC.) P.V.Heath P.V.Heath (DC.)"
"Curio talinoides var. talinoides","Curio talinoides var. talinoides"
"Gynura drymophila","Gynura drymophilus (F.Muell.) F.G.Davies F.G.Davies (F.Muell.)"
"Gynura drymophila var. glabrifolia","Gynura drymophila var. glabrifolia P.I.Forst. & Thongp."
"Gynura elberti","Gynura elberti J.Kost."
"Gynura elliptica","Gynura elliptica Y.Yabe & Hayata"
"Gynura formosana","Gynura formosana Kitam."
"Gynura fulva","Gynura fulva F.G.Davies"
"Gynura grandifolia","Gynura grandifolia F.G.Davies"
"Gynura hispida","Gynura hispida Thwaites"
"Hoehnephytum almasense","Hoehnephytum almasense D.J.N.Hind"
"Hoehnephytum imbricatum","Hoehnephytum imbricatum (Gardner) Cabrera Cabrera (Gardner)"
"Hoehnephytum trixoides","Hoehnephytum trixoides (Gardner) Cabrera Cabrera (Gardner)"
"Pentacalia aclydiphylla","Pentacalia aclydiphylla (Cuatrec.) Cuatrec. Cuatrec. (Cuatrec.)"
"Pentacalia albotecta","Pentacalia albotecta (Cuatrec.) Cuatrec. Cuatrec. (Cuatrec.)"
"Larsenaikia jardinei","Larsenaikia jardinei (F.Muell. ex Benth.) Tirveng. Tirveng. (F.Muell. ex Benth.)"
"Senecio glomeratus subsp. longifructus","Senecio glomeratus subsp. longifructus I.Thomps."
"Kleinia talinoides subsp. cylindricus","Kleinia talinoides subsp. cylindricus (A.Berger) G.D.Rowley G.D.Rowley (A.Berger)"
"Kleinia tortuosa","Kleinia tortuosa Thulin"
"Larsenaikia ochreata","Larsenaikia ochreata (F.Muell.) Tirveng. Tirveng. (F.Muell.)"
"Kleinia triantha","Kleinia triantha Chiov."
"Kleinia tuberculata","Kleinia tuberculata Thulin"
"Kleinia venteri","Kleinia venteri van Jaarsv."
"Kleinia vermicularis","Kleinia vermicularis C.Jeffrey"
"Kleinia walkeri","Kleinia walkeri (Wight) M.R.Almeida M.R.Almeida (Wight)"
"Larsenaikia suffruticosa","Larsenaikia suffruticosa (R.Br. ex Benth.)"
"Caputia medley-woodii","Caputia medley-woodii (Hutch.) B.Nord. & Pelser B.Nord. & Pelser (Hutch.)"
"Caputia oribiensis","Caputia oribiensis (van Jaarsv.) J.C.Manning J.C.Manning (van Jaarsv.)"
"Caputia pyramidata","Caputia pyramidata (DC.) B.Nord. & Pelser B.Nord. & Pelser (DC.)"
"Caputia scaposa","Caputia scaposa (DC.) B.Nord. & Pelser B.Nord. & Pelser (DC.)"
"Gynura abbreviata","Gynura abbreviata F.G.Davies"
"Gynura albicaulis","Gynura albicaulis W.W.Sm."
"Gynura amplexicaulis","Gynura amplexicaulis Oliv. & Hiern"
"Gynura annamensis","Gynura annamensis S.Moore"
"Gynura annua","Gynura annua (F.G.Davies) Vanij. & Kadereit Vanij. & Kadereit (F.G.Davies)"
"Gynura aurantiaca","Gynura aurantiaca Benth."
"Gynura aurantiaca subsp. aurantiaca","Gynura aurantiaca subsp. aurantiaca"
"Gynura aurantiaca subsp. parviflora","Gynura aurantiaca var. parviflora F.G.Davies"
"Gynura barbareifolia","Gynura barbareifolia Gagnep."
"Gynura batorensis","Gynura batorensis F.G.Davies"
"Anthurium consimile","Anthurium consimile Schott"
"Gynura bicolor","Gynura bicolor (Roxb. ex Willd.) DC. DC. (Roxb. ex Willd.)"
"Gynura brassii","Gynura brassii F.G.Davies"
"Gynura calciphila","Gynura calciphila Kerr"
"Gynura campanulata","Gynura campanulata C.Jeffrey"
"Gynura carnosula","Gynura carnosula Zoll. & Moritzi"
"Gynura colaniae","Gynura colaniae Merr."
"Gynura colorata","Gynura colorata F.G.Davies"
"Gynura cusimbua","Gynura cusimbua (D.Don) S.Moore S.Moore (D.Don)"
"Gynura daviesiae","Gynura daviesiae Vanij. & Kadereit"
"Gynura dissecta","Gynura dissecta (F.G.Davies) Vanij. & Kadereit Vanij. & Kadereit (F.G.Davies)"
"Gynura divaricata","Gynura divaricata (L.) DC. DC. (L.)"
"Gynura hmopaengensis","Gynura hmopaengensis H.Koyama"
"Gynura integrifolia","Gynura integrifolia Gagnep."
"Gynura japonica","Gynura japonica (Thunb.) Juel Juel (Thunb.)"
"Gynura longifolia","Gynura longifolia Kerr"
"Gynura lycopersicifolia","Gynura lycopersicifolia DC."
"Gynura lycopersicifolia subsp. lycopersicifolia","Gynura lycopersicifolia subsp. lycopersicifolia"
"Gynura lycopersicifolia subsp. taprobanensis","Gynura lycopersicifolia subsp. taprobanensis Grierson"
"Gynura malaccensis","Gynura malaccensis Belcher"
"Gynura micheliana","Gynura micheliana J.-G.Adam"
"Gynura molleri","Gynura molleri Gand."
"Gynura nepalensis","Gynura nepalensis DC."
"Gynura nitida","Gynura nitida DC."
"Gynura papillosa","Gynura papillosa Gand."
"Gynura procumbens","Gynura procumbens (Lour.) Merr. Merr. (Lour.)"
"Acalypha pycnantha","Acalypha pycnantha Urb."
"Anthurium consobrinum","Anthurium consobrinum Schott"
"Gynura proschii","Gynura proschii Briq."
"Gynura pseudochina","Gynura pseudochina Benth."
"Gynura rubiginosa","Gynura rubiginosa (Elmer) J.R.Drumm. J.R.Drumm. (Elmer)"
"Crassocephalum vitellinum","Crassocephalum vitellinum (Benth.) S.Moore S.Moore (Benth.)"
"Crassocephalum picridifolium","Crassocephalum ×picridifolium (DC.) S.Moore S.Moore (DC.)"
"Pentacalia magnusii","Pentacalia magnusii (Hieron.) Cuatrec. Cuatrec. (Hieron.)"
"Pentacalia matagalpensis","Pentacalia matagalpensis H.Rob."
"Pentacalia maynasensis","Pentacalia maynasensis H.Rob. & Cuatrec."
"Pentacalia millei","Pentacalia millei (Greenm.) Cuatrec. Cuatrec. (Greenm.)"
"Pentacalia miniaurita","Pentacalia miniaurita (Sagást. & M.O.Dillon) Cuatrec. Cuatrec. (Sagást. & M.O.Dillon)"
"Monticalia nigrostagnosa","Monticalia nigrostagnosa (Cuatrec.) C.Jeffrey C.Jeffrey (Cuatrec.)"
"Monticalia nitida","Monticalia nitida (Kunth) C.Jeffrey C.Jeffrey (Kunth)"
"Monticalia novolanata","Monticalia novolanata (Cuatrec.) C.Jeffrey C.Jeffrey (Cuatrec.)"
"Gynura scandens","Gynura scandens O.Hoffm."
"Gynura sechellensis","Gynura sechellensis (Baker) Hemsl. Hemsl. (Baker)"
"Gynura siamensis","Gynura siamensis Vanij. & Kadereit"
"Gynura steenisii","Gynura steenisii F.G.Davies"
"Gynura sundaiaca","Gynura sundaiaca F.G.Davies"
"Gynura taitungensis","Gynura taitungensis S.S.Ying"
"Gynura tambuyukonensis","Gynura tambuyukonensis Vanij. & Ent"
"Gynura travancorica","Gynura travancorica W.W.Sm."
"Gynura truncata","Gynura truncata Kerr"
"Gynura valeriana","Gynura valeriana Oliv."
"Gynura vidaliana","Gynura vidaliana Elmer"
"Gynura vidaliana var. apoensis","Gynura vidaliana var. apoensis (Elmer) F.G.Davies F.G.Davies (Elmer)"
"Gynura villosa","Gynura villosa Vanij. & Kadereit"
"Gynura zeylanica","Gynura zeylanica Trim."
"Erechtites apargiifolius","Erechtites apargiifolia (Walp.) Sond. Sond. (Walp.)"
"Senecio hispidissimus","Senecio hispidissimus I.Thomps."
"Erechtites atkinsoniae","Erechtites atkinsoniae F.Muell."
"Erechtites bathurstianus","Erechtites bathurstiana DC."
"Erechtites bukaensis","Erechtites bukaensis Rech. & Muschl."
"Erechtites diversifolius","Erechtites diversifolia Petrie"
"Erechtites glabrescens","Erechtites glabrescens DC."
"Erechtites glomeratus","Erechtites glomerata (Desf. ex Poir.) DC. DC. (Desf. ex Poir.)"
"Lasia concinna","Lasia concinna Alderw."
"Erechtites glossanthus","Erechtites glossantha Sond."
"Erechtites goyazensis","Erechtites goyazensis (Gardner) Cabrera Cabrera (Gardner)"
"Erechtites gunnii","Erechtites gunnii Hook.fil."
"Io ambondrombeensis","Io ambondrombeensis (Humbert) B.Nord. B.Nord. (Humbert)"
"Crassocephalum baoulense","Crassocephalum baoulense (A.Chev.) Milne-Redh. Milne-Redh. (A.Chev.)"
"Crassocephalum bauchiense","Crassocephalum bauchiense (Hutch.) Milne-Redh. Milne-Redh. (Hutch.)"
"Crassocephalum bougheyanum","Crassocephalum bougheyanum C.D.Adams"
"Crassocephalum coeruleum","Crassocephalum coeruleum (O.Hoffm.) R.E.Fr., 1916 R.E.Fr., 1916 (O.Hoffm.)"
"Erechtites hieraciifolius","Erechtites hieraciifolius Walp."
"Erechtites hispidulus","Erechtites hispidulus Hook.f., 1853"
"Erechtites ignobilis","Erechtites ignobilis Baker"
"Erechtites kermadecensis","Erechtites kermadecensis (Belcher) Allan Allan (Belcher)"
"Erechtites laceratus","Erechtites lacerata F.Muell."
"Erechtites leptanthus","Erechtites leptantha (Phil.) Cabrera Cabrera (Phil.)"
"Erechtites minimus","Erechtites minimus (Poir.) DC. DC. (Poir.)"
"Erechtites missionum","Erechtites misionum Malme"
"Anthurium conspicuum","Anthurium conspicuum Sodiro"
"Erechtites picridioides","Erechtites picridioides Turcz."
"Senecio prenanthoides","Senecio prenanthoides A.Rich."
"Erechtites quadridentatus","Erechtites quadridentatus Labill."
"Erechtites runcinatus","Erechtites runcinata (Less.) DC. DC. (Less.)"
"Erechtites scaberulus","Erechtites scaberula Hook.fil."
"Erechtites sonchoides","Erechtites sonchoides DC."
"Erechtites tenuiflorus","Erechtites tenuiflora DC."
"Erechtites petiolatus","Erechtites petiolatus Benth."
"Erechtites valerianifolius","Erechtites valerianifolius (Wolf ex Rchb.) DC. DC. (Wolf ex Rchb.)"
"Lasia spinosa","Lasia spinosa (L.) Thwaites Thwaites (L.)"
"Erechtites wairauensis","Erechtites wairauensis (Belcher) Allan Allan (Belcher)"
"Senecio virens","Senecio virens Phil."
"Crassocephalum crepidioides","Crassocephalum crepidioides (Benth.) S.Moore S.Moore (Benth.)"
"Crassocephalum ducis-aprutii","Crassocephalum ducis-aprutii S.Moore"
"Crassocephalum effusum","Crassocephalum effusum (Mattf.) C.Jeffrey C.Jeffrey (Mattf.)"
"Crassocephalum goetzenii","Crassocephalum goetzenii (O.Hoffm.) S.Moore S.Moore (O.Hoffm.)"
"Crassocephalum gracile","Crassocephalum gracile (Hook.fil. ex Hutch. & Dalziel) Milne-Redh. Milne-Redh. (Hook.fil. ex Hutch. & Dalziel)"
"Crassocephalum guineense","Crassocephalum guineense C.D.Adams"
"Crassocephalum kaessnerianum","Crassocephalum kaessnerianum (Muschl.) Lisowski Lisowski (Muschl.)"
"Crassocephalum lemuricum","Crassocephalum lemuricum (Humbert) Humbert Humbert (Humbert)"
"Crassocephalum libericum","Crassocephalum libericum S.Moore"
"Crassocephalum macropappus","Crassocephalum macropappus (Sch.Bip. ex A.Rich.) S.Moore S.Moore (Sch.Bip. ex A.Rich.)"
"Crassocephalum manampanihense","Crassocephalum manampanihense (Humbert) Humbert Humbert (Humbert)"
"Lasianthus acuminatissimus","Lasianthus acuminatissimus Merr."
"Crassocephalum montuosum","Crassocephalum montuosum (S.Moore) Milne-Redh. Milne-Redh. (S.Moore)"
"Crassocephalum paludum","Crassocephalum paludum C.Jeffrey"
"Crassocephalum radiatum","Crassocephalum radiatum S.Moore"
"Lasianthus acuminatus","Lasianthus acuminatus Wight"
"Crassocephalum rubens","Crassocephalum rubens (Juss. ex Jacq.) S.Moore S.Moore (Juss. ex Jacq.)"
"Crassocephalum rubens var. sarcobasis","Crassocephalum rubens var. sarcobasis (DC.) C.Jeffrey & Beentje C.Jeffrey & Beentje (DC.)"
"Lasianthus acutatus","Lasianthus acutatus Miq."
"Crassocephalum sonchifolium","Crassocephalum sonchifolium (L.) Less. Less. (L.)"
"Crassocephalum splendens","Crassocephalum splendens C.Jeffrey"
"Crassocephalum togoense","Crassocephalum togoense C.D.Adams"
"Crassocephalum torreanum","Crassocephalum torreanum Lisowski"
"Crassocephalum uvens","Crassocephalum uvens S.Moore"
"Lasianthus africanus","Lasianthus africanus Hiern"
"Pentacalia andrei","Pentacalia andrei (Greenm.) Cuatrec. Cuatrec. (Greenm.)"
"Pentacalia arborea","Pentacalia arborea (Kunth) H.Rob. & Cuatrec. H.Rob. & Cuatrec. (Kunth)"
"Pentacalia asplundii","Pentacalia asplundii (Cabrera) Cuatrec. Cuatrec. (Cabrera)"
"Pentacalia axillariflora","Pentacalia axillariflora S.Díaz & Pedraza"
"Pentacalia bacopoides","Pentacalia bacopoides (Greenm. & Cuatrec.) Cuatrec. Cuatrec. (Greenm. & Cuatrec.)"
"Pentacalia badilloi","Pentacalia badilloi (Cuatrec.) Cuatrec. Cuatrec. (Cuatrec.)"
"Pentacalia balsasana","Pentacalia balsasana Cuatrec. & H.Rob."
"Pentacalia beckii","Pentacalia beckii (Cabrera) Cuatrec. Cuatrec. (Cabrera)"
"Pentacalia breviligulata","Pentacalia breviligulata (Hieron.) Cuatrec. Cuatrec. (Hieron.)"
"Pentacalia cadiriensis","Pentacalia cadiriensis (Cuatrec.) Cuatrec. Cuatrec. (Cuatrec.)"
"Pentacalia caliana","Pentacalia caliana (Cuatrec.) Cuatrec. Cuatrec. (Cuatrec.)"
"Pentacalia calyculata","Pentacalia calyculata (Greenm.) H.Rob. & Cuatrec. H.Rob. & Cuatrec. (Greenm.)"
"Lasianthus angustifolius","Lasianthus angustifolius King & Gamble"
"Pentacalia campii","Pentacalia campii (Cuatrec.) Cuatrec. Cuatrec. (Cuatrec.)"
"Pentacalia candelariae","Pentacalia candelariae (Benth. ex Oerst.) H.Rob. & Cuatrec. H.Rob. & Cuatrec. (Benth. ex Oerst.)"
"Pentacalia hurtadoi","Pentacalia hurtadoi H.Rob. & Cuatrec."
"Pentacalia inornata","Pentacalia inornata H.Rob."
"Pentacalia sonsonensis","Pentacalia sonsonensis (Cuatrec.) Cuatrec. Cuatrec. (Cuatrec.)"
"Pentacalia stergiosii","Pentacalia stergiosii V.V.M.Badillo"
"Lasianthus annamicus","Lasianthus annamicus Pit."
"Monticalia apiculata","Monticalia apiculata (Sch.Bip. ex Wedd.) C.Jeffrey C.Jeffrey (Sch.Bip. ex Wedd.)"
"Monticalia ledifolia subsp. ledifolia","Monticalia ledifolia subsp. ledifolia"
"Monticalia ledifolia var. glabrata","Monticalia ledifolia var. glabrata (S.Díaz & G.P.Méndez) B.Nord. B.Nord. (S.Díaz & G.P.Méndez)"
"Lasianthus apiocarpus","Lasianthus apiocarpus Miq."
"Pentacalia caracasana","Pentacalia caracasana (Klatt) Cuatrec. Cuatrec. (Klatt)"
"Pentacalia carchiensis","Pentacalia carchiensis (Cuatrec.) Cuatrec. Cuatrec. (Cuatrec.)"
"Pentacalia cardenasii","Pentacalia cardenasii (Cuatrec.) Cuatrec. Cuatrec. (Cuatrec.)"
"Pentacalia carmelana","Pentacalia carmelana H.Rob. & Cuatrec."
"Pentacalia carmelitana","Pentacalia carmelitana S.Díaz & Rodr.-Cabeza"
"Pentacalia carpishensis","Pentacalia carpishensis (Cuatrec.) Cuatrec. Cuatrec. (Cuatrec.)"
"Pentacalia cazaletii","Pentacalia cazaletii H.Rob. & Cuatrec."
"Pentacalia chachapoyensis","Pentacalia chachapoyensis (Greenm.) Cuatrec. Cuatrec. (Greenm.)"
"Pentacalia chaquiroensis","Pentacalia chaquiroensis (Greenm.) Cuatrec. Cuatrec. (Greenm.)"
"Pentacalia chimborazensis","Pentacalia chimborazensis Sklenár"
"Pentacalia cobrensis","Pentacalia cobrensis (Cuatrec.) Cuatrec. Cuatrec. (Cuatrec.)"
"Pentacalia comarapensis","Pentacalia comarapensis (Cabrera) Cuatrec. Cuatrec. (Cabrera)"
"Pentacalia corazonensis","Pentacalia corazonensis (Hieron.) Cuatrec. Cuatrec. (Hieron.)"
"Pentacalia cuatrecasasiana","Pentacalia cuatrecasasiana S.Díaz"
"Pentacalia cutervonis","Pentacalia cutervonis H.Rob. & Cuatrec."
"Pentacalia danielis","Pentacalia danielis (Cuatrec.) Cuatrec. Cuatrec. (Cuatrec.)"
"Pentacalia davidsmithii","Pentacalia davidsmithii H.Rob. & Cuatrec."
"Pentacalia decomposita","Pentacalia decomposita (Sch.Bip. ex Hieron.) Cuatrec. Cuatrec. (Sch.Bip. ex Hieron.)"
"Lasianthus appressus","Lasianthus appressus Hook.f."
"Pentacalia desiderabilis","Pentacalia desiderabilis (Velloso) Cuatrec. Cuatrec. (Velloso)"
"Pentacalia diamantensis","Pentacalia diamantensis (Cuatrec.) Cuatrec. Cuatrec. (Cuatrec.)"
"Pentacalia dictyophlebia","Pentacalia dictyophlebia (Greenm.) Cuatrec. Cuatrec. (Greenm.)"
"Pentacalia diplostephioides","Pentacalia diplostephioides (Cuatrec.) Cuatrec. Cuatrec. (Cuatrec.)"
"Anthurium conterminum","Anthurium conterminum Sodiro"
"Pentacalia disciformis","Pentacalia disciformis (Hieron.) Cuatrec. Cuatrec. (Hieron.)"
"Pentacalia divisoria","Pentacalia divisoria (Cabrera) Cuatrec. Cuatrec. (Cabrera)"
"Pentacalia dorrii","Pentacalia dorrii H.Rob. & Cuatrec."
"Pentacalia ellipticifolia","Pentacalia ellipticifolia (Hieron.) Cuatrec. Cuatrec. (Hieron.)"
"Pentacalia encanoana","Pentacalia encanoana S.Díaz & G.P.Méndez"
"Pentacalia epidendra","Pentacalia epidendra (L.O.Williams) H.Rob. & Cuatrec. H.Rob. & Cuatrec. (L.O.Williams)"
"Lasianthus aristatus","Lasianthus aristatus Craib"
"Pentacalia epiphytica","Pentacalia epiphytica (Kuntze) Cuatrec. Cuatrec. (Kuntze)"
"Pentacalia floccosa","Pentacalia floccosa (Britton) Cuatrec. Cuatrec. (Britton)"
"Pentacalia freemanii","Pentacalia freemanii (Britton & Greenm.) Cuatrec. Cuatrec. (Britton & Greenm.)"
"Lasianthus attenuatus","Lasianthus attenuatus Jack"
"Pentacalia genuflexa","Pentacalia genuflexa (Greenm.) Cuatrec. Cuatrec. (Greenm.)"
"Pentacalia gibbiflora","Pentacalia gibbiflora (Cuatrec.) Cuatrec. Cuatrec. (Cuatrec.)"
"Pentacalia guambiana","Pentacalia guambiana S.Díaz"
"Pentacalia guanentana","Pentacalia guanentana Rodr.-Cabeza & S.Díaz"
"Pentacalia guerrerensis","Pentacalia guerrerensis (T.M.Barkley) C.Jeffrey C.Jeffrey (T.M.Barkley)"
"Lasianthus austrosinensis","Lasianthus austrosinensis H.S.Lo"
"Pentacalia hachana","Pentacalia hachana (Cuatrec.) Cuatrec. Cuatrec. (Cuatrec.)"
"Pentacalia haticoensis","Pentacalia haticoensis (Cuatrec.) Cuatrec. Cuatrec. (Cuatrec.)"
"Pentacalia haughtii","Pentacalia haughtii (Cuatrec.) Cuatrec. Cuatrec. (Cuatrec.)"
"Pentacalia herzogii","Pentacalia herzogii (Cabrera) Cuatrec. Cuatrec. (Cabrera)"
"Pentacalia hillii","Pentacalia hillii (Greenm.) Cuatrec. Cuatrec. (Greenm.)"
"Pentacalia huallagana","Pentacalia huallagana (Cuatrec.) Cuatrec. Cuatrec. (Cuatrec.)"
"Pentacalia huilensis","Pentacalia huilensis (Cuatrec.) Cuatrec. Cuatrec. (Cuatrec.)"
"Lasianthus bahorucanus","Lasianthus bahorucanus Zanoni"
"Pentacalia involuta","Pentacalia involuta (Klatt) Cuatrec. Cuatrec. (Klatt)"
"Pentacalia jahnii","Pentacalia jahnii (Cuatrec.) Cuatrec. Cuatrec. (Cuatrec.)"
"Pentacalia jalcana","Pentacalia jalcana (Cuatrec.) Cuatrec. Cuatrec. (Cuatrec.)"
"Pentacalia jelskii","Pentacalia jelskii (Hieron.) Cuatrec. Cuatrec. (Hieron.)"
"Pentacalia lewisii","Pentacalia lewisii H.Rob. & Cuatrec."
"Pentacalia lophophilus","Pentacalia lophophilus (Greenm.) Cuatrec. Cuatrec. (Greenm.)"
"Pentacalia loretensis","Pentacalia loretensis (Cuatrec.) Cuatrec. Cuatrec. (Cuatrec.)"
"Pentacalia lucidissimus","Pentacalia lucidissima (Cuatrec.) Cuatrec. Cuatrec. (Cuatrec.)"
