"wcvp_name","gbif_name"
"Schizanthus carlomunozii","Schizanthus carlomunozii V.Morales & Muñoz-Schick"
"Schulzia tianschanica","Schulzia tianschanica Lazkov & Kljuykov"
"Styphelia deserticola","Styphelia deserticola Hislop"
"Sterculia allenii","Sterculia allenii E.L.Taylor"
"Symphyotrichum drummondii var. drummondii","Symphyotrichum drummondii var. drummondii"
"Symphyotrichum ericoides var. ericoides","Symphyotrichum ericoides var. ericoides"
"Symphyotrichum falcatum var. falcatum","Symphyotrichum falcatum var. falcatum"
"Symphyotrichum foliaceum var. foliaceum","Symphyotrichum foliaceum var. foliaceum"
"Symphyotrichum laeve var. laeve","Symphyotrichum laeve var. laeve"
"Symphyotrichum novi-belgii var. novi-belgii","Symphyotrichum novi-belgii var. novi-belgii"
"Symphyotrichum ontarionis var. ontarionis","Symphyotrichum ontarionis var. ontarionis"
"Symphyotrichum patens var. patens","Symphyotrichum patens var. patens"
"Symphyotrichum pilosum var. pilosum","Symphyotrichum pilosum var. pilosum"
"Symphyotrichum puniceum var. puniceum","Symphyotrichum puniceum var. puniceum"
"Symphyotrichum spathulatum var. spathulatum","Symphyotrichum spathulatum var. spathulatum"
"Symphyotrichum subulatum var. subulatum","Symphyotrichum subulatum var. subulatum"
"Symphyotrichum tenuifolium var. tenuifolium","Symphyotrichum tenuifolium var. tenuifolium"
"Aphanostephus skirrhobasis var. skirrhobasis","Aphanostephus skirrhobasis var. skirrhobasis"
"Chaetopappa asteroides var. asteroides","Chaetopappa asteroides var. asteroides"
