"wcvp_name","gbif_name"
"Zeylanidium crustaceum","Zeylanidium crustaceum M.Kato"
"Zehneria subcoriacea","Zehneria subcoriacea Y.D.Zhou & Q.F.Wang"
"Zapoteca balsasensis","Zapoteca balsasensis H.M.Hern."
"Zapoteca cruzii","Zapoteca cruzii H.M.Hern."
"Zapoteca formosa subsp. sinaloana","Zapoteca formosa subsp. sinaloana H.M.Hern."
"Zygogynum bosavicum","Zygogynum bosavicum Vink"
"Zygogynum cyclopensis","Zygogynum cyclopensis Vink"
"Zygogynum ledermannii","Zygogynum ledermannii (Diels) Vink Vink (Diels)"
"Zygogynum staufferianum","Zygogynum staufferianum Vink"
"Zygogynum schramii","Zygogynum schramii Vink"
"Azorella albovaginata","Azorella albovaginata (Gillies & Hook.) G.M.Plunkett & A.N.Nicolas G.M.Plunkett & A.N.Nicolas (Gillies & Hook.)"
"Asimina × piedmontana","Asimina ×piedmontana C.N.Horn"
"Azorella ruizii","Azorella ruizii G.M.Plunkett & A.N.Nicolas"
"Azorella microphylla","Azorella microphylla (Cav.) G.M.Plunkett & A.N.Nicolas G.M.Plunkett & A.N.Nicolas (Cav.)"
"Azorella hallei","Azorella hallei (Skottsb.) G.M.Plunkett & A.N.Nicolas G.M.Plunkett & A.N.Nicolas (Skottsb.)"
"Azorella schizeilema","Azorella schizeilema G.M.Plunkett & A.N.Nicolas"
"Annona caesia","Annona caesia G.E.Schatz, C.A.Ramos & O.Ortiz"
"Azorella allanii","Azorella allanii (Cheeseman) G.M.Plunkett & A.N.Nicolas G.M.Plunkett & A.N.Nicolas (Cheeseman)"
"Azorella haastii subsp. cyanopetala","Azorella haastii subsp. cyanopetala (Domin) G.M.Plunkett & A.N.Nicolas G.M.Plunkett & A.N.Nicolas (Domin)"
"Alysicarpus pokleanus","Alysicarpus pokleanus Gholami & A.K.Pandey"
"Azorella colensoi","Azorella colensoi (Domin) G.M.Plunkett & A.N.Nicolas G.M.Plunkett & A.N.Nicolas (Domin)"
"Aristolochia faucimaculata","Aristolochia faucimaculata H.Zhang & C.K.Hsien"
"Hydrophylax","Hydrophylax Fitzinger, 1843"
"Anemonastrum dichotomum","Anemonastrum dichotomum (L.) Mosyakin Mosyakin (L.)"
"Anemonastrum canadense","Anemonastrum canadense (L.) Mosyakin Mosyakin (L.)"
"Armeria arenaria subsp. apennina","Armeria arenaria subsp. apennina Arrigoni"
"Anemonastrum richardsonii","Anemonastrum richardsonii (Hook.) Mosyakin Mosyakin (Hook.)"
"Biancaea oppositifolia","Biancaea oppositifolia (Hattink) Molinari & Mayta Molinari & Mayta (Hattink)"
"Biancaea godefroyana","Biancaea godefroyana (Kuntze) Molinari & Mayta Molinari & Mayta (Kuntze)"
"Biancaea parviflora","Biancaea parviflora (Prain) Mayta & Molinari Mayta & Molinari (Prain)"
"Cardamine xinfenii","Cardamine xinfenii Al-Shehbaz"
"Corydalis speciosa var. chanbaishanensis","Corydalis speciosa var. chanbaishanensis (M.L.Zhang & Y.W.Wang) Mikhailova Mikhailova (M.L.Zhang & Y.W.Wang)"
"Hydrophylax maritima","Hydrophylax maritima L.f."
"Calophyllum africanum","Calophyllum africanum Cheek & Q.Luke"
"Anodendron axillare","Anodendron axillare Merr."
"Rhinanthus osiliensis","Rhinanthus osiliensis (Ronniger & Saarsoo) Vassilcz. Vassilcz. (Ronniger & Saarsoo)"
"Ranunculus emuricatus","Ranunculus emuricatus Majeed Kak"
"Sorbus rockii","Sorbus rockii P.D.Sell"
"Sclerocactus johnsonii subsp. acunensis","Sclerocactus johnsonii subsp. acunensis (W.T.Marshall) M.A.Baker & J.M.Porter M.A.Baker & J.M.Porter (W.T.Marshall)"
"Sclerocactus johnsonii subsp. erectocentrus","Sclerocactus johnsonii subsp. erectocentrus (J.M.Coult.) M.A.Baker M.A.Baker (J.M.Coult.)"
"Symplocos pustulosa","Symplocos pustulosa Aranha"
"Gelrebia oligophylla","Gelrebia oligophylla (Harms) Gagnon & G.P.Lewis Gagnon & G.P.Lewis (Harms)"
"Gelrebia rostrata","Gelrebia rostrata (N.E.Br.) Gagnon & G.P.Lewis Gagnon & G.P.Lewis (N.E.Br.)"
"Gelrebia trothaei subsp. erlangeri","Gelrebia trothaei subsp. erlangeri (Harms) Gagnon & G.P.Lewis Gagnon & G.P.Lewis (Harms)"
"Gordonia cristalensis","Gordonia cristalensis (Borhidi & O.Muñiz) Greuter & R.Rankin Greuter & R.Rankin (Borhidi & O.Muñiz)"
"Gelrebia trothaei","Gelrebia trothaei (Harms) Gagnon & G.P.Lewis Gagnon & G.P.Lewis (Harms)"
"Gelrebia","Gelrebia Gagnon & G.P.Lewis"
"Strobilanthes atropurpurea var. brevifolia","Strobilanthes atropurpurea var. brevifolia Kuntze"
"Sisymbrium nepalense","Sisymbrium nepalense Al-Shehbaz"
"Eremocarya micrantha var. pseudolepida","Eremocarya micrantha var. pseudolepida M.G.Simpson, L.M.Simpson & Rebman"
"Eriastrum pluriflorum subsp. albifaux","Eriastrum pluriflorum subsp. albifaux S.J.De Groot"
"Eriastrum sapphirinum subsp. brevibracteatum","Eriastrum sapphirinum subsp. brevibracteatum S.J.De Groot"
"Eriastrum densifolium subsp. patens","Eriastrum densifolium var. patens Hoover"
"Eriastrum diffusum subsp. utahense","Eriastrum diffusum subsp. utahense S.J.De Groot"
"Eriastrum diffusum subsp. coachellae","Eriastrum diffusum subsp. coachellae S.J.De Groot"
"Euphrasia salisburgensis var. hibernica","Euphrasia salisburgensis var. hibernica Pugsley"
"Echinocereus relictus","Echinocereus relictus Wellard"
"Eriastrum eremicum subsp. markianum","Eriastrum eremicum subsp. markianum S.J.De Groot"
"Euploca tenella","Euploca tenella (Torr.) Feuillet & Halse Feuillet & Halse (Torr.)"
"Euploca greggii","Euploca greggii (Torr.) Halse & Feuillet Halse & Feuillet (Torr.)"
"Euploca confertifolia","Euploca confertifolia (Torr.) Feuillet & Halse Feuillet & Halse (Torr.)"
"Euploca torreyi","Euploca torreyi (I.M.Johnst.) Halse & Feuillet Halse & Feuillet (I.M.Johnst.)"
"Eriastrum calocyanum","Eriastrum calocyanum S.J.De Groot"
"Anodendron benthamianum","Anodendron benthamianum Hemsl."
"Doliocarpus rennerae","Doliocarpus rennerae Aymard"
"Doliocarpus robustus","Doliocarpus robustus (Aymard) Aymard Aymard (Aymard)"
"Dendrophthora primaria","Dendrophthora primaria Kuijt"
"Discocactus fariae-peresii","Discocactus fariae-peresii P.J.Braun"
"Draba santaquinensis","Draba santaquinensis Windham & Allphin"
"Draba laegaardii","Draba laegaardii Al-Shehbaz"
"Diplycosia platyphylla","Diplycosia platyphylla P.W.Fritsch"
"Erythrostemon hughesii","Erythrostemon hughesii (G.P.Lewis) Gagnon & G.P.Lewis Gagnon & G.P.Lewis (G.P.Lewis)"
"Erysimum talijevii","Erysimum talijevii Klokov"
"Erythrostemon melanadenius","Erythrostemon melanadenius (Rose) Gagnon & G.P.Lewis Gagnon & G.P.Lewis (Rose)"
"Erythrostemon fimbriatus","Erythrostemon fimbriatus (Tul.) Gagnon & G.P.Lewis Gagnon & G.P.Lewis (Tul.)"
"Erythrostemon mexicanus","Erythrostemon mexicanus (A.Gray) Gagnon & G.P.Lewis Gagnon & G.P.Lewis (A.Gray)"
"Erythrostemon nicaraguensis","Erythrostemon nicaraguensis (G.P.Lewis) Gagnon & G.P.Lewis Gagnon & G.P.Lewis (G.P.Lewis)"
"Erythrostemon oyamae","Erythrostemon oyamae (Sotuyo & G.P.Lewis) Gagnon & G.P.Lewis Gagnon & G.P.Lewis (Sotuyo & G.P.Lewis)"
"Hiraea singularis","Hiraea singularis C.E.Anderson"
"Hiraea woytkowskii","Hiraea woytkowskii C.E.Anderson"
"Hedysarum macranthum","Hedysarum macranthum Freyn & Sint."
"Isatis raimondoi","Isatis raimondoi Di Grist., Scafidi & Domina"
"Passiflora cerradensis","Passiflora cerradensis Sacco"
"Petrosedum × hommelsii","Petrosedum ×hommelsii ('t Hart) Niederle Niederle ('t Hart)"
"Fendlerella queretarana","Fendlerella queretarana B.L.Turner"
"Falcataria falcata","Falcataria falcata (L.) Greuter & R.Rankin Greuter & R.Rankin (L.)"
"Freziera guaramacalana","Freziera guaramacalana D.Santam. & Cuello"
"Gelrebia merxmuellerana","Gelrebia merxmuellerana (A.Schreib.) Gagnon & G.P.Lewis Gagnon & G.P.Lewis (A.Schreib.)"
"Gelrebia bracteata","Gelrebia bracteata (Germish.) Gagnon & G.P.Lewis Gagnon & G.P.Lewis (Germish.)"
"Gelrebia dauensis","Gelrebia dauensis (Thulin) Gagnon & G.P.Lewis Gagnon & G.P.Lewis (Thulin)"
"Gelrebia glandulosopedicellata","Gelrebia glandulosopedicellata (R.Wilczek) Gagnon & G.P.Lewis Gagnon & G.P.Lewis (R.Wilczek)"
"Hiraea brevistipulata","Hiraea brevistipulata C.E.Anderson"
"Hiraea andersonii","Hiraea andersonii C.E.Anderson"
"Hiraea holmgreniorum","Hiraea holmgreniorum C.E.Anderson"
"Hiraea kariniana","Hiraea kariniana C.E.Anderson"
"Anodendron borneense","Anodendron borneense (King & Gamble) Mabb. Mabb. (King & Gamble)"
"Jacksonia scoparia","Jacksonia scoparia Sm."
"Kallstroemia porteri","Kallstroemia porteri B.L.Turner"
"Lepidium densipuberulum","Lepidium densipuberulum Al-Shehbaz"
"Limadendron hostmannii","Limadendron hostmannii (Benth.) Meireles & A.M.G.Azevedo Meireles & A.M.G.Azevedo (Benth.)"
"Limadendron amazonicum","Limadendron amazonicum (Ducke) Meireles & A.M.G.Azevedo Meireles & A.M.G.Azevedo (Ducke)"
"Limadendron","Limadendron Meireles & A.M.G.Azevedo"
"Leptosiphon croceus","Leptosiphon croceus (Eastw.) Strother & Kersh Strother & Kersh (Eastw.)"
"Monanthotaxis latistamina","Monanthotaxis latistamina P.H.Hoekstra"
"Monanthotaxis maputensis","Monanthotaxis maputensis P.H.Hoekstra"
"Monanthotaxis tripetala","Monanthotaxis tripetala P.H.Hoekstra"
"Monanthotaxis zenkeri","Monanthotaxis zenkeri P.H.Hoekstra"
"Monanthotaxis komorensis","Monanthotaxis komorensis P.H.Hoekstra"
"Mollinedia marqueteana","Mollinedia marqueteana Peixoto"
"Monanthotaxis couvreurii","Monanthotaxis couvreurii P.H.Hoekstra"
"Monanthotaxis atewensis","Monanthotaxis atewensis P.H.Hoekstra"
"Monanthotaxis aquila","Monanthotaxis aquila P.H.Hoekstra"
"Melicope oppenheimeri","Melicope oppenheimeri K.R.Wood, Appelhans & W.L.Wagner"
"Monanthotaxis filipes","Monanthotaxis filipes P.H.Hoekstra"
"Rhytidosporum","Rhytidosporum F.Muell."
"Rhytidosporum procumbens","Rhytidosporum procumbens (Hook.) F.Muell. F.Muell. (Hook.)"
"Anodendron candolleanum","Anodendron candolleanum Wight"
"Orobanche arizonica","Orobanche arizonica L.T.Collins"
"Orobanche cooperi subsp. latiloba","Orobanche cooperi subsp. latiloba (Munz) T.S.Collins T.S.Collins (Munz)"
"Onosma anatolica","Onosma anatolica Binzet"
"Pilea subintegerrima","Pilea subintegerrima (Griseb.) Greuter & R.Rankin Greuter & R.Rankin (Griseb.)"
"Portulaca monanthoides","Portulaca monanthoides Lodé"
"Petrosedum × lorenzoi","Petrosedum ×lorenzoi ('t Hart) Niederle Niederle ('t Hart)"
"Pulsatilla cernua var. koreana","Pulsatilla cernua var. koreana (Y.Yabe ex Nakai) U.C.La U.C.La (Y.Yabe ex Nakai)"
"Passiflora dorisiae","Passiflora dorisiae Esquerre"
"Pittosporum rangitahua","Pittosporum rangitahua E.K.Cameron & Sykes"
"Primula hirsuta subsp. brevipilosa","Primula hirsuta subsp. brevipilosa Kress"
"Phoebe cavaleriei","Phoebe cavaleriei (H.Lév.) Y.Yang & Bing Liu Y.Yang & Bing Liu (H.Lév.)"
"Primula undulifolia","Primula undulifolia G.Hao, C.M.Hu & Y.Xu"
"Primula intricata subsp. impigrorum","Primula intricata subsp. impigrorum (Kress) Kress Kress (Kress)"
"Primula hirsuta subsp. longipilosa","Primula hirsuta subsp. longipilosa Kress"
"Primula intricata subsp. bergidensis","Primula intricata subsp. bergidensis (Kress) Kress Kress (Kress)"
"Rubus lasiostylus var. eglandulosus","Rubus lasiostylus var. eglandulosus Focke"
"Anodendron coriaceum","Anodendron coriaceum (Blume) Miq. Miq. (Blume)"
"Stellaria yungasensis","Stellaria yungasensis (Rusby) Rusby Rusby (Rusby)"
"Steriphoma menispermifolium","Steriphoma menispermifolium Cornejo & Mercado-Gom."
"Sorocea angustifolia","Sorocea angustifolia Al.Santos & Romaniuc"
"Sloanea herrerae","Sloanea herrerae Aguilar & D.Santam."
"Sauvagesia paganuccii","Sauvagesia paganuccii D.B.O.S.Cardoso & Harley"
"Thapsia scabra","Thapsia scabra (Cav.) Simonsen, Rønsted, Weitzel & Spalik Simonsen, Rønsted, Weitzel & Spalik (Cav.)"
"Trifolium absconditum","Trifolium absconditum Molinari"
"Thapsia smittii","Thapsia smittii Simonsen, Rønsted, Weitzel & Spalik"
"Terminalia diptera","Terminalia diptera (Sagra) Greuter & R.Rankin Greuter & R.Rankin (Sagra)"
"Tara vesicaria","Tara vesicaria (L.) Molinari, Sánchez Och. & Mayta Molinari, Sánchez Och. & Mayta (L.)"
"Tara cacalaco","Tara cacalaco (Bonpl.) Molinari & Sánchez Och. Molinari & Sánchez Och. (Bonpl.)"
"Thapsia thapsioides","Thapsia thapsioides (Desf.) Simonsen, Rønsted, Weitzel & Spalik Simonsen, Rønsted, Weitzel & Spalik (Desf.)"
"Viola kitaibeliana subsp. machadiana","Viola kitaibeliana subsp. machadiana (Cout.) Capelo & C.Aguiar Capelo & C.Aguiar (Cout.)"
"Hylaea","Hylaea Agassiz, 1846"
"Hylaea arborescens","Hylaea arborescens (Monach.) J.F.Morales J.F.Morales (Monach.)"
"Zornia mitziana","Zornia mitziana Sousa Costa"
"Sapindus saponaria var. jardiniana","UNMATCHED_Sapindus saponaria var. jardiniana"
"Hylaea leptoloba","Hylaea leptoloba (Monach.) J.F.Morales J.F.Morales (Monach.)"
"Dianthus thunbergii f. maritimus","Dianthus thunbergii f. maritimus Hooper"
"Herniaria erckertii var. dewetii","Herniaria erckertii var. dewetii Herm."
"Herniaria erckertii var. dinteri","Herniaria erckertii var. dinteri Chaudhri"
"Herniaria erckertii subsp. pulvinata","Herniaria erckertii subsp. pulvinata Chaudhri"
"Hylandia","Hylandia Airy Shaw"
"Halenia conzattii","Halenia conzattii Greenm."
"Hylandia dockrillii","Hylandia dockrillii Airy Shaw"
"Nepenthes × ventrata","Nepenthes L."
"Spergularia hanoverensis","Spergularia hanoverensis Simon"
"Atriplex cinerea subsp. bolusii","Atriplex cinerea subsp. bolusii (C.H.Wright) Aellen Aellen (C.H.Wright)"
"Atriplex cinerea var. adamsonii","Atriplex cinerea var. adamsonii Aellen"
"Atriplex vestita var. appendiculata","Atriplex vestita var. appendiculata Aellen"
"Atriplex vestita var. inappendiculata","Atriplex vestita var. inappendiculata Aellen"
"Hylophila","Hylophila Lindl."
"Hylophila cheangii","Hylophila cheangii Holttum"
"Trichodiadema decorum","Trichodiadema decorum Stearn"
"Hylophila lanceolata","Hylophila lanceolata (Blume) Miq. Miq. (Blume)"
"Hylophila mollis","Hylophila mollis Lindl."
"Kedrostis nana var. schlechteri","Kedrostis nana var. schlechteri (Cogn.) A.Meeuse A.Meeuse (Cogn.)"
"Kedrostis nana var. zeyheri","Kedrostis nana var. zeyheri (Schrad.) A.Meeuse A.Meeuse (Schrad.)"
"Sebaea capitata var. sclerosepala","Sebaea capitata var. sclerosepala (Schinz) Marais Marais (Schinz)"
"Sebaea micrantha var. intermedia","Sebaea micrantha var. intermedia (Cham. & Schltdl.) Marais Marais (Cham. & Schltdl.)"
"Schwantesia succumbens","Schwantesia succumbens (Dinter) Dinter Dinter (Dinter)"
"Hylophila nipponica","Hylophila nipponica (Fukuy.) T.P.Lin T.P.Lin (Fukuy.)"
"Ruschia neovirens","Ruschia neovirens Schwantes"
"Sebaea sedoides var. schoenlandii","Sebaea sedoides var. schoenlandii (Schinz) Marais Marais (Schinz)"
"Sebaea zeyheri var. acutiloba","Sebaea zeyheri subsp. acutiloba (Schinz) Marais Marais (Schinz)"
"Sebaea zeyheri var. cleistantha","Sebaea zeyheri subsp. cleistantha (R.A.Dyer) Marais Marais (R.A.Dyer)"
"Rubus humulifolius","Rubus humulifolius C.A.Mey."
"Crataegus songarica","Crataegus songarica K.Koch"
"Rosa gulczensis","Rosa L."
"Rosa issyksuensis","Rosa L."
"Phacelia cicutaria","Phacelia cicutaria Greene"
"Micromelum minutum var. curranii","Micromelum minutum var. curranii (Elmer) Tanaka Tanaka (Elmer)"
"Micromelum compressum var. inodorum","Micromelum compressum var. inodorum (Blanco) Tanaka Tanaka (Blanco)"
"Hylophila rubra","Hylophila rubra Ames"
"Microtropis microcarpa var. densiflora","Microtropis microcarpa var. densiflora (Wight) Merr. & F.L.Freeman Merr. & F.L.Freeman (Wight)"
"Hymenocardia","Hymenocardia Wall. ex Lindl."
"Hymenocardia acida","Hymenocardia acida Tul."
"Hymenocardia heudelotii","Hymenocardia heudelotii Planch. ex Müll.Arg."
"Amaranthus wallichii","Amaranthus L."
"Hymenocardia heudelotii var. chevalieri","Hymenocardia heudelotii var. chevalieri (Beille) J.Léonard J.Léonard (Beille)"
"Hymenocardia heudelotii var. heudelotii","Hymenocardia heudelotii var. heudelotii"
"Mezoneuron ouenense","Mezoneuron ouenense (Guillaumin) R.Clark R.Clark (Guillaumin)"
"Mezoneuron schlechteri","Mezoneuron schlechteri (Harms) R.Clark R.Clark (Harms)"
"Mezoneuron rubiginosum","Mezoneuron rubiginosum (Guillaumin)"
"Roridula","Roridula Forssk."
"Roridula dentata","Roridula dentata L."
"Roridula gorgonias","Roridula gorgonias Planch."
"Salacia lehmbachii var. usambarensis","Salacia lehmbachii Loes."
"Terminalia bagamoyoana","Terminalia bagamoyoana Engl."
"Terminalia emarginata","Terminalia emarginata Engl."
"Pelargonium myrrhifolium var. coriandrifolium","Pelargonium myrrhifolium var. coriandrifolium (L.) Harv. Harv. (L.)"
"Minuartia hirsuta subsp. oreina","Minuartia hirsuta subsp. oreina Mattf."
"Sericolea ovalifolia","Sericolea ovalifolia (Wernham) Gibbs Gibbs (Wernham)"
"Hymenocardia lyrata","Hymenocardia lyrata Tul."
"Mitrastemon yamamotoi var. kanehirae","UNMATCHED_Mitrastemon yamamotoi var. kanehirae"
"Anodendron gracile","Anodendron gracile (King & Gamble) Mabb. Mabb. (King & Gamble)"
"Streptocarpus polyanthus subsp. comptonii","Streptocarpus polyanthus subsp. comptonii Hilliard"
"Streptocarpus polyanthus subsp. dracomontanus","Streptocarpus polyanthus subsp. dracomontanus Hilliard"
"Moehringia sedoides var. tendae","Moehringia sedoides Cumino ex Balb."
"Grusonia densispina","Grusonia densispina (Ralston & Hilsenb.) Pinkava Pinkava (Ralston & Hilsenb.)"
"Psammotropha mucronata","Psammotropha mucronata (Thunb.) Fenzl Fenzl (Thunb.)"
"Psammotropha quadrangularis","Psammotropha quadrangularis (L.fil.) Fenzl Fenzl (L.fil.)"
"Hibiscus aethiopicus var. angustifolius","Hibiscus aethiopicus var. angustifolius (Eckl. & Zeyh.) Exell Exell (Eckl. & Zeyh.)"
"Pityopus","Pityopus Small"
"Pityopus californicus","Pityopus californica (Eastw.) H.F.Copel. H.F.Copel. (Eastw.)"
"Crataegus caucasica","Crataegus caucasica K.Koch"
"Hymenocardia punctata","Hymenocardia punctata Wall. ex Lindl."
"Taeniopetalum urbani","Taeniopetalum urbani (Freyn & Sint. ex H.Wolff) Pimenov Pimenov (Freyn & Sint. ex H.Wolff)"
"Hymenocardia ripicola","Hymenocardia ripicola J.Léonard"
"Protea grandiceps","Protea grandiceps Tratt."
"Hymenocardia ulmoides","Hymenocardia ulmoides Oliv."
"Erythranthe visibilis","Erythranthe visibilis G.L.Nesom"
"Myosotis ramosissima subsp. lebelii","Myosotis ramosissima subsp. lebelii (Corb.) Blaise Blaise (Corb.)"
"Ranunculus mongolicus","Ranunculus mongolicus (Krylov) Serg. Serg. (Krylov)"
"Myosotis lithuanica","Myosotis lithuanica Besser"
"Myosotis ramosissima subsp. uncata","Myosotis ramosissima subsp. uncata (Boiss. & Balansa) Grau Grau (Boiss. & Balansa)"
"Hymenocoleus","Hymenocoleus Robbr."
"Hymenocoleus axillaris","Hymenocoleus axillaris Robbr."
"Hymenocoleus barbatus","Hymenocoleus barbatus Robbr."
"Anodendron howii","Anodendron howii Tsiang"
"Hymenocoleus glaber","Hymenocoleus glaber Robbr."
"Hymenocoleus globulifer","Hymenocoleus globulifer Robbr."
"Echinopsis jajoana","Echinopsis jajoana (Backeb.) Blossf. Blossf. (Backeb.)"
"Artanema longifolium var. amplexicaule","Artanema longifolium var. amplexicaule Vatke"
"Russelia worthingtonii","Russelia worthingtonii B.L.Turner"
"Alchemilla gourzae","Alchemilla gourzae Ibn Tattou"
"Hymenocoleus hirsutus","Hymenocoleus hirsutus (Benth.) Robbr. Robbr. (Benth.)"
"Hymenocoleus libericus","Hymenocoleus libericus (A.Chev. ex Hutch. & Dalziel) Robbr. Robbr. (A.Chev. ex Hutch. & Dalziel)"
"Hymenocoleus multinervis","Hymenocoleus multinervis Robbr."
"Hymenocoleus nervopilosus","Hymenocoleus nervopilosus Robbr."
"Hymenocoleus nervopilosus var. nervopilosus","Hymenocoleus nervopilosus var. nervopilosus"
"Hymenocoleus nervopilosus var. orientalis","Hymenocoleus nervopilosus var. orientalis Robbr."
"Hymenocoleus neurodictyon","Hymenocoleus neurodictyon (K.Schum.) Robbr. Robbr. (K.Schum.)"
"Ferocactus emoryi subsp. covillei","Ferocactus emoryi subsp. covillei (Britton & Rose) D.R.Hunt & Dimmitt D.R.Hunt & Dimmitt (Britton & Rose)"
"Hymenocoleus neurodictyon var. neurodictyon","Hymenocoleus neurodictyon var. neurodictyon"
"Hymenocoleus neurodictyon var. orientalis","Hymenocoleus neurodictyon var. orientalis (Verdc.) Robbr. Robbr. (Verdc.)"
"Hymenocoleus neurodictyon var. rhombicifolius","Hymenocoleus neurodictyon var. rhombicifolius Robbr."
"Hymenocoleus rotundifolius","Hymenocoleus rotundifolius (A.Chev. ex Hepper) Robbr. Robbr. (A.Chev. ex Hepper)"
"Hymenocoleus scaphus","Hymenocoleus scaphus (K.Schum.) Robbr. Robbr. (K.Schum.)"
"Hymenocoleus subipecacuanha","Hymenocoleus subipecacuanha (K.Schum.) Robbr. Robbr. (K.Schum.)"
"Rorippa × astyla","Rorippa astyla (Rchb.) Rchb. Rchb. (Rchb.)"
"Hymenocrater","Hymenocrater Fisch. & C.A.Mey."
"Hamamelis japonica var. bitchuensis","Hamamelis japonica var. bitchuensis (Makino) Ohwi Ohwi (Makino)"
"Hamamelis japonica var. megalophylla","Hamamelis japonica var. megalophylla (Koidz.) Kitam. Kitam. (Koidz.)"
"Stomatium bolusiae","Stomatium bolusiae Schwantes"
"Limeum aethiopicum var. intermedium","Limeum aethiopicum var. intermedium Friedrich"
"Limeum aethiopicum var. fluviale","Limeum aethiopicum var. fluviale (Eckl. & Zeyh.) Friedrich Friedrich (Eckl. & Zeyh.)"
"Limeum aethiopicum var. lanceolatum","Limeum aethiopicum var. lanceolatum Friedrich"
"Ruellia nobilis","Ruellia nobilis (Moore) Lindau Lindau (Moore)"
"Limeum africanum subsp. canescens","Limeum africanum subsp. canescens (E.Mey. ex Fenzl) Friedrich Friedrich (E.Mey. ex Fenzl)"
"Limeum myosotis var. rotundifolium","UNMATCHED_Limeum myosotis var. rotundifolium"
"Tilia platyphyllos subsp. sitnensis","Tilia platyphyllos Scop."
"Hymenocrater calycinus","Hymenocrater calycinus (Boiss.) Benth. Benth. (Boiss.)"
"Limeum pterocarpum var. apterum","Limeum pterocarpum subsp. apterum Friedrich"
"Limeum telephioides var. schlechteri","Limeum telephioides var. schlechteri (Schellenb.) Friedrich Friedrich (Schellenb.)"
"Limeum viscosum subsp. nummulifolium","Limeum viscosum subsp. nummulifolium (H.Walter) Friedrich Friedrich (H.Walter)"
"Limeum viscosum subsp. transvaalense","Limeum viscosum subsp. transvaalense Friedrich"
"Limeum viscosum var. glomeratum","Limeum viscosum var. glomeratum (Eckl. & Zeyh.) Friedr Friedr (Eckl. & Zeyh.)"
"Limeum viscosum var. macrocarpum","Limeum viscosum var. macrocarpum Friedrich"
"Pharnaceum confertum var. brachyphyllum","Pharnaceum confertum var. brachyphyllum Adamson"
"Psammotropha mucronata var. foliosa","Psammotropha mucronata var. foliosa Adamson"
"Sulla aculeolata subsp. aculeolata","Sulla aculeolata subsp. aculeolata"
"Hedysarum algidum var. algidum","Hedysarum algidum var. algidum"
"Hedysarum alpinum subsp. alpinum","Hedysarum alpinum subsp. alpinum"
"Hedysarum boreale subsp. boreale","Hedysarum boreale subsp. boreale"
"Hedysarum boveanum subsp. boveanum","Hedysarum boveanum subsp. boveanum"
"Hedysarum grandiflorum subsp. grandiflorum","Hedysarum grandiflorum subsp. grandiflorum"
"Harpalyce formosa var. formosa","Harpalyce formosa var. formosa"
"Rubus lesdainii","Rubus lesdainii Sudre ex Gand."
"Hedysarum hedysaroides subsp. hedysaroides","Hedysarum hedysaroides subsp. hedysaroides"
"Hedysarum hyrcanum var. hyrcanum","Hedysarum hyrcanum var. hyrcanum"
"Hymenocrater incanus","Hymenocrater incanus Bunge"
"Hedysarum manaslense var. manaslense","Hedysarum manaslense var. manaslense"
"Piper pterocladum","Piper pterocladum C.DC."
"Hyobanche barklyi","Hyobanche barklyi N.E.Br."
"Sopubia cana var. glabrescens","Sopubia cana var. glabrescens Diels"
"Oxalis ciliaris var. pageae","Oxalis ciliaris var. pageae (L.Bolus) Salter Salter (L.Bolus)"
"Oxalis commutata var. concolor","Oxalis commutata var. concolor Salter"
"Hymenocrater inciaidentatus","Hymenocrater inciaidentatus Boriss."
"Oxalis commutata var. montana","Oxalis commutata var. montana Salter"
"Oxalis compressa var. purpurascens","Oxalis compressa var. purpurascens Salter"
"Sedum satumense","Sedum satumense Hatus."
"Sedum japonicum var. senanense","Sedum japonicum var. senanense (Makino) Makino Makino (Makino)"
"Hedysarum polybotrys var. polybotrys","Hedysarum polybotrys var. polybotrys"
"Hedysarum songaricum var. songaricum","Hedysarum songaricum var. songaricum"
"Hedysarum varium subsp. varium","Hedysarum varium subsp. varium"
"Hedysarum vicioides subsp. vicioides","Hedysarum vicioides subsp. vicioides"
"Oxalis eckloniana var. hopefieldiana","Oxalis eckloniana var. hopefieldiana Knuth"
"Oxalis eckloniana var. montigena","Oxalis eckloniana var. montigena (Schltr.) Knuth Knuth (Schltr.)"
"Oxalis eckloniana var. robusta","Oxalis eckloniana var. robusta Salter"
"Oxalis furcillata var. caulescens","Oxalis furcillata var. caulescens T.M.Salter"
"Oxalis gracilis var. lilacina","UNMATCHED_Oxalis gracilis var. lilacina"
"Oxalis gracilis var. purpurea","Oxalis gracilis var. purpurea T.M.Salter"
"Oxalis helicoides var. alba","Oxalis helicoides var. alba T.M.Salter"
"Oxalis hirta var. canescens","Oxalis hirta var. canescens Knuth"
"Oxalis hirta var. intermedia","Oxalis hirta var. intermedia Salter"
"Oxalis hirta var. polioeides","Oxalis hirta var. polioeides Salter"
"Oxalis hirta var. secunda","Oxalis hirta var. secunda (Jacq.) Salter Salter (Jacq.)"
"Oxalis hirta var. tubiflora","Oxalis hirta var. tubiflora (Jacq.) Salter Salter (Jacq.)"
"Oxalis hirta var. tenuicaulis","Oxalis hirta var. tenuicaulis Knuth"
"Oxalis imbricata var. cuneifolia","Oxalis imbricata var. cuneifolia Salter"
"Oxalis lanata var. rosea","Oxalis lanata var. rosea T.M.Salter"
