,np,lnLik,DiscLik,ContLik,AICc,dAICc,AICcwt
bio_1.Grewioideae.CID_OUMV,11,210.4866244,-22.94709529,237.9493576,-394.4986726,32.13536467,5.33E-08
bio_1.Grewioideae.HYB_BMV,11,214.3347138,-23.09862394,241.7603823,-402.1948514,24.43918584,2.50E-06
bio_1.Grewioideae.HYB_OUV,12,218.9249031,-23.12508394,246.6115794,-408.4704958,18.16354142,5.76E-05
bio_1.Grewioideae.HYB_OUM,12,210.4743987,-22.99596721,237.9401004,-391.569487,35.06455026,1.23E-08
bio_1.Grewioideae.HYB_OUMV,15,219.3102825,-22.93105854,246.8655815,-399.8932923,26.74074496,7.90E-07
bio_1.Heliophileae.CID_BM1,4,115.9501144,-18.03443983,138.3376287,-222.6502287,14.01535044,0.000484353
bio_1.Heliophileae.CID_OU1,5,123.7052619,-17.78002309,146.0700478,-235.4750399,1.19053924,0.295144186
bio_1.Heliophileae.CD_BMV,5,116.0999159,-17.74418989,138.5377605,-220.2643479,16.40123126,0.000146918
bio_1.Heliophileae.CD_OUV,6,123.7375411,-18.00318055,146.0831894,-232.6750823,3.990496863,0.072783202
bio_1.Heliophileae.CD_OUM,6,125.7327896,-17.76935853,148.1144389,-236.6655792,0,0.535249837
bio_1.Heliophileae.CD_OUMV,7,125.5455091,-18.09298182,147.9626663,-233.2289493,3.436629849,0.096006769
bio_1.Heliophileae.CID_BMV,9,116.079668,-17.93922555,138.4416658,-207.4926693,29.1729099,2.48E-07
bio_1.Heliophileae.CID_OUV,10,123.6555585,-18.07309601,146.0776655,-218.8495786,17.81600058,7.24E-05
bio_1.Heliophileae.CID_OUM,10,123.4209672,-18.10073399,145.4137935,-218.380396,18.28518321,5.73E-05
bio_1.Heliophileae.CID_OUMV,11,125.3938863,-18.04001589,147.7821422,-218.2277727,18.43780651,5.31E-05
bio_1.Heliophileae.HYB_BMV,11,115.4495505,-17.75638108,138.8231855,-198.3391009,38.32647822,2.55E-09
bio_1.Heliophileae.HYB_OUV,12,121.3850966,-17.93564733,143.7510361,-205.7701931,30.89538602,1.05E-07
bio_1.Heliophileae.HYB_OUM,12,124.121215,-18.02496738,145.7281781,-211.24243,25.42314917,1.61E-06
bio_1.Heliophileae.HYB_OUMV,15,123.0132524,-18.00739967,144.558473,-193.169362,43.49621715,1.92E-10
bio_1.Hypericum.CID_BM1,4,166.9629681,-12.83834686,184.3904194,-325.2592696,18.75457766,6.48E-05
bio_1.Hypericum.CID_OU1,5,177.5153982,-12.83673358,194.9119517,-344.0138472,0,0.766017835
bio_1.Hypericum.CD_BMV,5,167.021612,-12.82706083,184.533344,-323.0262749,20.98757236,2.12E-05
