,np,lnLik,DiscLik,ContLik,AICc,dAICc,AICcwt
bio_1.Balsamiaceae.HYB_OUV,12,183.4952782,-51.23662502,238.9161358,-338.7743403,27.72105265,9.53E-07
bio_1.Balsamiaceae.HYB_OUM,12,184.4216313,-50.98097662,239.750121,-340.6270463,25.86834657,2.41E-06
bio_1.Balsamiaceae.HYB_OUMV,15,186.564632,-52.68868112,249.1683285,-336.3687006,30.12669227,2.86E-07
bio_1.Brassiceae.CID_BM1,4,131.4446439,-39.33340292,175.3457412,-254.2739031,50.63670504,5.15E-12
bio_1.Brassiceae.CID_OU1,5,157.390946,-39.43763043,201.2217299,-303.844392,1.066216102,0.299396306
bio_1.Brassiceae.CD_BMV,5,137.3888742,-41.07724214,182.851347,-263.8402484,41.07035977,6.16E-10
bio_1.Brassiceae.CD_OUV,6,156.947512,-39.48767264,200.907481,-300.5616907,4.348917396,0.05799852
bio_1.Brassiceae.CD_OUM,6,159.1219707,-39.68101833,202.8175525,-304.9106081,0,0.510237439
bio_1.Brassiceae.CD_OUMV,7,159.002806,-39.40922402,202.7255561,-302.1991604,2.711447765,0.131519128
bio_1.Brassiceae.CID_BMV,9,137.53839,-41.64025682,183.5893295,-254.0767799,50.8338282,4.67E-12
bio_1.Brassiceae.CID_OUV,10,156.9092243,-39.80899227,200.8816392,-290.089635,14.82097318,0.000308631
bio_1.Brassiceae.CID_OUM,10,129.9680094,-41.26596959,175.7212332,-236.2072053,68.70340286,6.15E-16
bio_1.Brassiceae.CID_OUMV,11,158.7112338,-39.92377507,202.8027199,-290.8707435,14.03986462,0.000456094
bio_1.Brassiceae.HYB_BMV,11,137.3743731,-41.03809523,182.6084555,-248.1970222,56.71358598,2.47E-13
bio_1.Brassiceae.HYB_OUV,12,156.7344512,-39.9250206,200.9456594,-283.9952181,20.91538999,1.47E-05
bio_1.Brassiceae.HYB_OUM,12,158.2846716,-39.63615644,202.0307498,-287.095659,17.81494917,6.91E-05
bio_1.Brassiceae.HYB_OUMV,15,156.8741562,-39.95618352,199.7082143,-274.8594236,30.05118456,1.52E-07
bio_1.Cardamineae.CID_BM1,4,188.3609158,-53.63869448,246.4399574,-368.3177911,33.59445908,4.51E-08
bio_1.Cardamineae.CID_OU1,5,202.3541044,-53.73880907,260.4674227,-394.0959639,7.81628627,0.017859664
bio_1.Cardamineae.CD_BMV,5,188.8777054,-53.8411792,247.346533,-367.1431659,34.76908429,2.51E-08
bio_1.Cardamineae.CD_OUV,6,195.3196106,-53.6240164,253.3397555,-377.7732419,24.1390083,5.10E-06
bio_1.Cardamineae.CD_OUM,6,207.3891148,-53.59237086,265.5600512,-401.9122502,0,0.889525278
bio_1.Cardamineae.CD_OUMV,7,206.180919,-53.61271462,264.2165706,-397.1951713,4.717078885,0.084111936
bio_1.Cardamineae.CID_BMV,9,188.7695111,-53.65341968,247.1748019,-357.6241285,44.28812168,2.15E-10
bio_1.Cardamineae.CID_OUV,10,202.5506233,-53.6789481,260.8485187,-382.7356552,19.17659501,6.10E-05
bio_1.Cardamineae.CID_OUM,10,207.3680091,-53.70736603,265.5231353,-392.3704269,9.541823301,0.007536639
bio_1.Cardamineae.CID_OUMV,11,206.0056344,-53.66088572,264.1215733,-387.1417036,14.77054663,0.000551791
