"","clade","variable","X.1.","X.2."
"1","Alysseae","bio_1",0.313143032081089,0.686856967918911
"2","Alysseae","bio_4",0.325830059817985,0.674169940182015
"3","Alysseae","bio_5",0.329592755760487,0.670407244239513
"4","Alysseae","bio_6",0.336161098612774,0.663838901387226
"5","Alysseae","bio_12",0.351407354928885,0.648592645071115
"6","Alysseae","bio_14",0.309106246277329,0.690893753722671
"7","Alysseae","bio_15",0.322825800308248,0.677174199691752
"8","Alysseae","bio_ai",0.307939808660632,0.692060191339368
"9","Antirrhineae","bio_1",0.891722833937985,0.108277166062015
"10","Antirrhineae","bio_4",0.889591705220152,0.110408294779848
"11","Antirrhineae","bio_5",0.849945348203103,0.150054651796897
"12","Antirrhineae","bio_6",0.884483467753408,0.115516532246592
"13","Antirrhineae","bio_12",0.873639362424179,0.126360637575821
"14","Antirrhineae","bio_14",0.888799725143787,0.111200274856213
"15","Antirrhineae","bio_15",0.868787905933982,0.131212094066018
"16","Antirrhineae","bio_ai",0.866327585210093,0.133672414789907
"17","Apioideae","bio_1",4.75539505684646e-06,0.999995244604943
"18","Apioideae","bio_4",0.000842318519441922,0.999157681480558
"19","Apioideae","bio_5",3.29981579251213e-27,1
"20","Apioideae","bio_6",7.12635698348353e-09,0.999999992873643
"21","Apioideae","bio_12",0.000102318534970563,0.999897681465029
"22","Apioideae","bio_14",6.31010706064724e-05,0.999936898929394
"23","Apioideae","bio_15",0.000252435737397506,0.999747564262603
"24","Apioideae","bio_ai",2.34858342657782e-07,0.999999765141657
"25","Arabideae","bio_1",0.223971600152737,0.776028399847263
"26","Arabideae","bio_4",0.236801851293053,0.763198148706947
"27","Arabideae","bio_5",0.245979371459592,0.754020628540408
"28","Arabideae","bio_6",0.217607313557706,0.782392686442294
"29","Arabideae","bio_12",0.211717554329104,0.788282445670897
"30","Arabideae","bio_14",0.23687347867372,0.76312652132628
"31","Arabideae","bio_15",0.241147029265559,0.758852970734441
"32","Arabideae","bio_ai",0.212451333528908,0.787548666471092
"33","Balsamiaceae","bio_1",0.435083126633834,0.564916873366166
"34","Balsamiaceae","bio_4",0.0226980242594671,0.977301975740533
"35","Balsamiaceae","bio_5",0.63170942104726,0.36829057895274
"36","Balsamiaceae","bio_6",0.746301802084271,0.253698197915729
"37","Balsamiaceae","bio_12",0.274579270557267,0.725420729442733
"38","Balsamiaceae","bio_14",0.509004897740211,0.490995102259789
"39","Balsamiaceae","bio_15",0.662055100133527,0.337944899866473
"40","Balsamiaceae","bio_ai",0.597425001663179,0.402574998336821
"41","Brassiceae","bio_1",0.989291172376136,0.0107088276238637
"42","Brassiceae","bio_4",0.992632099299368,0.00736790070063241
"43","Brassiceae","bio_5",0.995839764116122,0.00416023588387818
"44","Brassiceae","bio_6",0.962270836286284,0.0377291637137161
"45","Brassiceae","bio_12",0.981591878252933,0.0184081217470666
"46","Brassiceae","bio_14",0.95817655540063,0.04182344459937
"47","Brassiceae","bio_15",0.985486665102887,0.0145133348971129
"48","Brassiceae","bio_ai",0.978952592671951,0.0210474073280488
"49","Cardamineae","bio_1",0.499221181658662,0.500778818341338
"50","Cardamineae","bio_4",0.500177669011661,0.499822330988339
"51","Cardamineae","bio_5",0.491541076940078,0.508458923059922
"52","Cardamineae","bio_6",0.433228140603502,0.566771859396498
"53","Cardamineae","bio_12",0.449900390133082,0.550099609866918
"54","Cardamineae","bio_14",0.47532267305282,0.52467732694718
"55","Cardamineae","bio_15",0.475899250597864,0.524100749402136
"56","Cardamineae","bio_ai",0.479771100884224,0.520228899115776
"57","Cardueae","bio_1",0.0471758993996319,0.952824100600368
"58","Cardueae","bio_4",0.862030711222242,0.137969288777758
"59","Cardueae","bio_5",0.95462503981833,0.0453749601816701
"60","Cardueae","bio_6",0.00516930399434195,0.994830696005658
"61","Cardueae","bio_12",0.872797363448447,0.127202636551553
"62","Cardueae","bio_14",0.0141179745076078,0.985882025492392
"63","Cardueae","bio_15",0.484065409284559,0.515934590715441
"64","Cardueae","bio_ai",0.976204659665201,0.0237953403347987
"65","CES","bio_1",0.242718024952973,0.757281975047027
"66","CES","bio_4",0.269688679207161,0.730311320792839
"67","CES","bio_5",0.17694304839616,0.82305695160384
"68","CES","bio_6",0.230452029034802,0.769547970965198
"69","CES","bio_12",0.197612333362419,0.802387666637581
"70","CES","bio_14",0.149032510020737,0.850967489979263
"71","CES","bio_15",0.227199535590666,0.772800464409334
"72","CES","bio_ai",0.198747758748426,0.801252241251574
"73","Chamaecrista","bio_1",0.065914574374885,0.934085425625115
"74","Chamaecrista","bio_4",0.0479579966424996,0.9520420033575
"75","Chamaecrista","bio_5",0.0831502146711581,0.916849785328842
"76","Chamaecrista","bio_6",0.056166025704073,0.943833974295927
"77","Chamaecrista","bio_12",0.0921104295429168,0.907889570457083
"78","Chamaecrista","bio_14",0.08897760156969,0.91102239843031
"79","Chamaecrista","bio_15",0.0607576056887724,0.939242394311227
"80","Chamaecrista","bio_ai",0.0940844054181509,0.905915594581849
"81","Chorisporeae","bio_1",0.549536988127618,0.450463011872382
"82","Chorisporeae","bio_4",0.535567712598587,0.464432287401413
"83","Chorisporeae","bio_5",0.56758955854479,0.43241044145521
"84","Chorisporeae","bio_6",0.547720887491988,0.452279112508012
"85","Chorisporeae","bio_12",0.521819289878775,0.478180710121225
"86","Chorisporeae","bio_14",0.49932903085483,0.50067096914517
"87","Chorisporeae","bio_15",0.675484263403583,0.324515736596417
"88","Chorisporeae","bio_ai",0.260080815203549,0.739919184796451
"89","Croton","bio_1",2.50167013923982e-07,0.999999749832986
"90","Croton","bio_4",0.000819475128360824,0.999180524871639
"91","Croton","bio_5",0.00193713600150327,0.998062863998497
"92","Croton","bio_6",0.000115065262234507,0.999884934737766
"93","Croton","bio_12",0.0052912713059102,0.99470872869409
"94","Croton","bio_14",0.00453844424552132,0.995461555754479
"95","Croton","bio_15",0.00292097190066475,0.997079028099335
"96","Croton","bio_ai",0.0488046761427324,0.951195323857268
"97","Erysimeae","bio_1",0.00929000376621253,0.990709996233787
"98","Erysimeae","bio_4",0.0112042740807338,0.988795725919266
"99","Erysimeae","bio_5",0.00572438947871374,0.994275610521286
"100","Erysimeae","bio_6",0.00630880142127966,0.99369119857872
"101","Erysimeae","bio_12",0.00926637204036332,0.990733627959637
"102","Erysimeae","bio_14",0.0128527127512398,0.98714728724876
"103","Erysimeae","bio_15",0.00803295309174428,0.991967046908256
"104","Erysimeae","bio_ai",0.0117076677296843,0.988292332270316
"105","Euclidieae","bio_1",0.733519437771861,0.266480562228139
"106","Euclidieae","bio_4",0.79442326586368,0.20557673413632
"107","Euclidieae","bio_5",0.726469879285508,0.273530120714492
"108","Euclidieae","bio_6",0.833480623602361,0.166519376397639
"109","Euclidieae","bio_12",0.899057907873652,0.100942092126348
"110","Euclidieae","bio_14",0.772903652090888,0.227096347909113
"111","Euclidieae","bio_15",0.874773562077609,0.125226437922391
"112","Euclidieae","bio_ai",0.818477066290667,0.181522933709333
"113","Eumalvoideae","bio_1",0.0128353227355039,0.987164677264496
"114","Eumalvoideae","bio_4",0.014905493968836,0.985094506031164
"115","Eumalvoideae","bio_5",0.0208618584637792,0.979138141536221
"116","Eumalvoideae","bio_6",0.0177732755725782,0.982226724427422
"117","Eumalvoideae","bio_12",0.0320587156839309,0.967941284316069
"118","Eumalvoideae","bio_14",0.0207728850846951,0.979227114915305
"119","Eumalvoideae","bio_15",0.028578086910217,0.971421913089783
"120","Eumalvoideae","bio_ai",0.00641351507045186,0.993586484929548
"121","Gesneriaceae","bio_1",0.00815982789410098,0.991840172105899
"122","Gesneriaceae","bio_4",0.0404570038971935,0.959542996102806
"123","Gesneriaceae","bio_5",0.0676279824575307,0.932372017542469
"124","Gesneriaceae","bio_6",0.0226041858034433,0.977395814196557
"125","Gesneriaceae","bio_12",0.0464586681179222,0.953541331882078
"126","Gesneriaceae","bio_14",0.047354370786085,0.952645629213915
"127","Gesneriaceae","bio_15",0.034493252363217,0.965506747636783
"128","Gesneriaceae","bio_ai",0.00119765243553191,0.998802347564468
"129","Grewioideae","bio_1",0.0185900215685712,0.981409978431429
"130","Grewioideae","bio_4",0.0169148987792345,0.983085101220765
"131","Grewioideae","bio_5",0.0243445001829859,0.975655499817014
"132","Grewioideae","bio_6",0.0225983157411128,0.977401684258887
"133","Grewioideae","bio_12",0.00934087107419016,0.99065912892581
"134","Grewioideae","bio_14",0.00539608946795962,0.99460391053204
"135","Grewioideae","bio_15",0.0296157143438618,0.970384285656138
"136","Grewioideae","bio_ai",0.00728722055637821,0.992712779443622
"137","Heliophileae","bio_1",0.988301154088581,0.0116988459114192
"138","Heliophileae","bio_4",0.995776815441064,0.00422318455893582
"139","Heliophileae","bio_5",0.9837115292277,0.0162884707722997
"140","Heliophileae","bio_6",0.985151700272837,0.0148482997271625
"141","Heliophileae","bio_12",0.994781605426376,0.00521839457362393
"142","Heliophileae","bio_14",0.986322262359791,0.0136777376402089
"143","Heliophileae","bio_15",0.987608447429842,0.0123915525701585
"144","Heliophileae","bio_ai",0.985518337906978,0.0144816620930216
"145","Hypericum","bio_1",0.149245667429804,0.850754332570196
"146","Hypericum","bio_4",0.428067399387076,0.571932600612924
"147","Hypericum","bio_5",0.126362601840201,0.873637398159799
"148","Hypericum","bio_6",0.164845879067841,0.835154120932159
"149","Hypericum","bio_12",0.157640021777827,0.842359978222173
"150","Hypericum","bio_14",0.185936081968057,0.814063918031943
"151","Hypericum","bio_15",0.160840848188252,0.839159151811748
"152","Hypericum","bio_ai",0.167852539974242,0.832147460025758
"153","Lepidieae","bio_1",0.011609740145456,0.988390259854544
"154","Lepidieae","bio_4",0.4055569505572,0.5944430494428
"155","Lepidieae","bio_5",0.438480734796655,0.561519265203345
"156","Lepidieae","bio_6",0.319759151195139,0.680240848804861
"157","Lepidieae","bio_12",0.411045190746977,0.588954809253023
"158","Lepidieae","bio_14",0.425676450073955,0.574323549926045
"159","Lepidieae","bio_15",0.482625411102035,0.517374588897965
"160","Lepidieae","bio_ai",0.398216723934003,0.601783276065997
"161","Lupinus","bio_1",0.998057327982778,0.00194267201722199
"162","Lupinus","bio_4",0.996270998173456,0.00372900182654409
"163","Lupinus","bio_5",0.99842383809664,0.00157616190335978
"164","Lupinus","bio_6",0.999793428599311,0.000206571400689167
"165","Lupinus","bio_12",0.99659482845205,0.00340517154795006
"166","Lupinus","bio_14",0.988514095258909,0.0114859047410905
"167","Lupinus","bio_15",0.990811246303747,0.00918875369625273
