"","Group.1","Group.2","Group.3","x"
"651","HYB","Hypericum","bio_6",0
"652","CD","Lepidieae","bio_6",0.61
"653","CID","Lepidieae","bio_6",0.39
"654","HYB","Lepidieae","bio_6",0
"655","CD","Lupinus","bio_6",0.99
"656","CID","Lupinus","bio_6",0.01
"657","HYB","Lupinus","bio_6",0
"658","CD","Lysimachieae","bio_6",0.87
"659","CID","Lysimachieae","bio_6",0.13
"660","HYB","Lysimachieae","bio_6",0
"661","CD","Onagraceae","bio_6",0
"662","CID","Onagraceae","bio_6",1
"663","HYB","Onagraceae","bio_6",0
"664","CD","Orobanchaceae","bio_6",0.66
"665","CID","Orobanchaceae","bio_6",0.33
"666","HYB","Orobanchaceae","bio_6",0
"667","CD","Panicoideae","bio_6",0.69
"668","CID","Panicoideae","bio_6",0.03
"669","HYB","Panicoideae","bio_6",0.27
"670","CD","Polemoniaceae","bio_6",0.23
"671","CID","Polemoniaceae","bio_6",0.01
"672","HYB","Polemoniaceae","bio_6",0.76
"673","CD","Pooideae","bio_6",1
"674","CID","Pooideae","bio_6",0
"675","HYB","Pooideae","bio_6",0
"676","CD","Primulaceae","bio_6",0.09
"677","CID","Primulaceae","bio_6",0.91
"678","HYB","Primulaceae","bio_6",0
"679","CD","Rubieae","bio_6",1
"680","CID","Rubieae","bio_6",0
"681","HYB","Rubieae","bio_6",0
"682","CD","Salvia","bio_6",0.99
"683","CID","Salvia","bio_6",0.01
"684","HYB","Salvia","bio_6",0
"685","CD","Solanaceae","bio_6",0.38
"686","CID","Solanaceae","bio_6",0.62
"687","HYB","Solanaceae","bio_6",0
"688","CD","Spermacoceae","bio_6",0.99
"689","CID","Spermacoceae","bio_6",0
"690","HYB","Spermacoceae","bio_6",0
"691","CD","Thelypodieae","bio_6",1
"692","CID","Thelypodieae","bio_6",0
"693","HYB","Thelypodieae","bio_6",0
"694","CD","Alysseae","bio_ai",0.54
"695","CID","Alysseae","bio_ai",0.46
"696","HYB","Alysseae","bio_ai",0
"697","CD","Antirrhineae","bio_ai",0.73
"698","CID","Antirrhineae","bio_ai",0.27
"699","HYB","Antirrhineae","bio_ai",0
"700","CD","Apioideae","bio_ai",0.89
"701","CID","Apioideae","bio_ai",0.1
"702","HYB","Apioideae","bio_ai",0
"703","CD","Arabideae","bio_ai",0.5
"704","CID","Arabideae","bio_ai",0.5
"705","HYB","Arabideae","bio_ai",0.01
"706","CD","Balsamiaceae","bio_ai",0.98
"707","CID","Balsamiaceae","bio_ai",0.02
"708","HYB","Balsamiaceae","bio_ai",0
"709","CD","Brassiceae","bio_ai",0.43
"710","CID","Brassiceae","bio_ai",0.57
"711","HYB","Brassiceae","bio_ai",0
"712","CD","Cardamineae","bio_ai",1
"713","CID","Cardamineae","bio_ai",0
"714","HYB","Cardamineae","bio_ai",0
"715","CD","Cardueae","bio_ai",1
"716","CID","Cardueae","bio_ai",0
"717","HYB","Cardueae","bio_ai",0
"718","CD","CES","bio_ai",0.31
"719","CID","CES","bio_ai",0.69
"720","HYB","CES","bio_ai",0
"721","CD","Chamaecrista","bio_ai",0.36
"722","CID","Chamaecrista","bio_ai",0.64
"723","HYB","Chamaecrista","bio_ai",0
"724","CD","Chorisporeae","bio_ai",0
"725","CID","Chorisporeae","bio_ai",1
"726","HYB","Chorisporeae","bio_ai",0
"727","CD","Croton","bio_ai",0
"728","CID","Croton","bio_ai",0
"729","HYB","Croton","bio_ai",1
"730","CD","Erysimeae","bio_ai",0.31
"731","CID","Erysimeae","bio_ai",0.69
"732","HYB","Erysimeae","bio_ai",0
"733","CD","Euclidieae","bio_ai",0.86
"734","CID","Euclidieae","bio_ai",0.13
"735","HYB","Euclidieae","bio_ai",0
"736","CD","Eumalvoideae","bio_ai",0.03
"737","CID","Eumalvoideae","bio_ai",0.94
"738","HYB","Eumalvoideae","bio_ai",0.03
"739","CD","Gesneriaceae","bio_ai",0.97
"740","CID","Gesneriaceae","bio_ai",0.03
"741","HYB","Gesneriaceae","bio_ai",0
"742","CD","Grewioideae","bio_ai",0.7
"743","CID","Grewioideae","bio_ai",0.29
"744","HYB","Grewioideae","bio_ai",0
"745","CD","Heliophileae","bio_ai",0.88
"746","CID","Heliophileae","bio_ai",0.13
"747","HYB","Heliophileae","bio_ai",0
"748","CD","Hypericum","bio_ai",1
"749","CID","Hypericum","bio_ai",0
"750","HYB","Hypericum","bio_ai",0
"751","CD","Lepidieae","bio_ai",0.47
"752","CID","Lepidieae","bio_ai",0.52
"753","HYB","Lepidieae","bio_ai",0
"754","CD","Lupinus","bio_ai",0.76
"755","CID","Lupinus","bio_ai",0.24
"756","HYB","Lupinus","bio_ai",0
"757","CD","Lysimachieae","bio_ai",0.73
"758","CID","Lysimachieae","bio_ai",0.27
"759","HYB","Lysimachieae","bio_ai",0
"760","CD","Onagraceae","bio_ai",0
"761","CID","Onagraceae","bio_ai",0.86
"762","HYB","Onagraceae","bio_ai",0.13
"763","CD","Orobanchaceae","bio_ai",0.32
"764","CID","Orobanchaceae","bio_ai",0.67
"765","HYB","Orobanchaceae","bio_ai",0
"766","CD","Panicoideae","bio_ai",1
"767","CID","Panicoideae","bio_ai",0
"768","HYB","Panicoideae","bio_ai",0
"769","CD","Polemoniaceae","bio_ai",0.99
"770","CID","Polemoniaceae","bio_ai",0
"771","HYB","Polemoniaceae","bio_ai",0
"772","CD","Pooideae","bio_ai",1
"773","CID","Pooideae","bio_ai",0
"774","HYB","Pooideae","bio_ai",0
"775","CD","Primulaceae","bio_ai",0.34
"776","CID","Primulaceae","bio_ai",0.66
"777","HYB","Primulaceae","bio_ai",0
"778","CD","Rubieae","bio_ai",0.99
"779","CID","Rubieae","bio_ai",0
"780","HYB","Rubieae","bio_ai",0
"781","CD","Salvia","bio_ai",0.01
"782","CID","Salvia","bio_ai",0.01
"783","HYB","Salvia","bio_ai",0.98
"784","CD","Solanaceae","bio_ai",0.1
"785","CID","Solanaceae","bio_ai",0.22
"786","HYB","Solanaceae","bio_ai",0.68
"787","CD","Spermacoceae","bio_ai",0.47
"788","CID","Spermacoceae","bio_ai",0.53
"789","HYB","Spermacoceae","bio_ai",0
"790","CD","Thelypodieae","bio_ai",0.67
"791","CID","Thelypodieae","bio_ai",0.32
"792","HYB","Thelypodieae","bio_ai",0
