"","Group.1","Group.2","Group.3","x"
"520","CD","CES","bio_5",0.35
"521","CID","CES","bio_5",0.65
"522","HYB","CES","bio_5",0
"523","CD","Chamaecrista","bio_5",1
"524","CID","Chamaecrista","bio_5",0
"525","HYB","Chamaecrista","bio_5",0
"526","CD","Chorisporeae","bio_5",0
"527","CID","Chorisporeae","bio_5",0.98
"528","HYB","Chorisporeae","bio_5",0.02
"529","CD","Croton","bio_5",0
"530","CID","Croton","bio_5",1
"531","HYB","Croton","bio_5",0
"532","CD","Erysimeae","bio_5",0.41
"533","CID","Erysimeae","bio_5",0.6
"534","HYB","Erysimeae","bio_5",0
"535","CD","Euclidieae","bio_5",0.99
"536","CID","Euclidieae","bio_5",0
"537","HYB","Euclidieae","bio_5",0
"538","CD","Eumalvoideae","bio_5",0.45
"539","CID","Eumalvoideae","bio_5",0.55
"540","HYB","Eumalvoideae","bio_5",0
"541","CD","Gesneriaceae","bio_5",0.01
"542","CID","Gesneriaceae","bio_5",0.99
"543","HYB","Gesneriaceae","bio_5",0
"544","CD","Grewioideae","bio_5",0.6
"545","CID","Grewioideae","bio_5",0.41
"546","HYB","Grewioideae","bio_5",0
"547","CD","Heliophileae","bio_5",0.85
"548","CID","Heliophileae","bio_5",0.16
"549","HYB","Heliophileae","bio_5",0
"550","CD","Hypericum","bio_5",0.22
"551","CID","Hypericum","bio_5",0.78
"552","HYB","Hypericum","bio_5",0
"553","CD","Lepidieae","bio_5",0.85
"554","CID","Lepidieae","bio_5",0.15
"555","HYB","Lepidieae","bio_5",0
"556","CD","Lupinus","bio_5",0.98
"557","CID","Lupinus","bio_5",0.02
"558","HYB","Lupinus","bio_5",0
"559","CD","Lysimachieae","bio_5",0.35
"560","CID","Lysimachieae","bio_5",0.64
"561","HYB","Lysimachieae","bio_5",0
"562","CD","Onagraceae","bio_5",1
"563","CID","Onagraceae","bio_5",0
"564","HYB","Onagraceae","bio_5",0
"565","CD","Orobanchaceae","bio_5",0.82
"566","CID","Orobanchaceae","bio_5",0.18
"567","HYB","Orobanchaceae","bio_5",0
"568","CD","Panicoideae","bio_5",0.1
"569","CID","Panicoideae","bio_5",0.07
"570","HYB","Panicoideae","bio_5",0.83
"571","CD","Polemoniaceae","bio_5",0
"572","CID","Polemoniaceae","bio_5",0.99
"573","HYB","Polemoniaceae","bio_5",0
"574","CD","Pooideae","bio_5",0
"575","CID","Pooideae","bio_5",0
"576","HYB","Pooideae","bio_5",1
"577","CD","Primulaceae","bio_5",0.28
"578","CID","Primulaceae","bio_5",0.72
"579","HYB","Primulaceae","bio_5",0
"580","CD","Rubieae","bio_5",1
"581","CID","Rubieae","bio_5",0
"582","HYB","Rubieae","bio_5",0
"583","CD","Salvia","bio_5",0.96
"584","CID","Salvia","bio_5",0.04
"585","HYB","Salvia","bio_5",0
"586","CD","Solanaceae","bio_5",0
"587","CID","Solanaceae","bio_5",1
"588","HYB","Solanaceae","bio_5",0
"589","CD","Spermacoceae","bio_5",0
"590","CID","Spermacoceae","bio_5",1
"591","HYB","Spermacoceae","bio_5",0
"592","CD","Thelypodieae","bio_5",0.54
"593","CID","Thelypodieae","bio_5",0.46
"594","HYB","Thelypodieae","bio_5",0
"595","CD","Alysseae","bio_6",0.46
"596","CID","Alysseae","bio_6",0.53
"597","HYB","Alysseae","bio_6",0
"598","CD","Antirrhineae","bio_6",0.45
"599","CID","Antirrhineae","bio_6",0.55
"600","HYB","Antirrhineae","bio_6",0
"601","CD","Apioideae","bio_6",1
"602","CID","Apioideae","bio_6",0
"603","HYB","Apioideae","bio_6",0
"604","CD","Arabideae","bio_6",0.36
"605","CID","Arabideae","bio_6",0.63
"606","HYB","Arabideae","bio_6",0
"607","CD","Balsamiaceae","bio_6",0.68
"608","CID","Balsamiaceae","bio_6",0.3
"609","HYB","Balsamiaceae","bio_6",0.01
"610","CD","Brassiceae","bio_6",0.72
"611","CID","Brassiceae","bio_6",0.28
"612","HYB","Brassiceae","bio_6",0
"613","CD","Cardamineae","bio_6",0.99
"614","CID","Cardamineae","bio_6",0.01
"615","HYB","Cardamineae","bio_6",0
"616","CD","Cardueae","bio_6",0.98
"617","CID","Cardueae","bio_6",0.02
"618","HYB","Cardueae","bio_6",0
"619","CD","CES","bio_6",0.36
